Dependency=Geometry Building Type	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Shared	Dependency=HVAC System Cooling Type	Option=None	Option=Fan Coil Heating And Cooling	Option=Fan Coil Cooling Only	Option=Boiler Baseboards Heating Only	Option=Fan Coil Heating Only	Option=PTAC Heating And Cooling	Count	Weight
Mobile Home	<1940	Electricity	Both Shared	Central	0	0.5	0	0	0	0.5	3	20739.18705
Mobile Home	<1940	Fuel Oil	Both Shared	Central	0	0.5	0	0	0	0.5	0	0
Mobile Home	<1940	Natural Gas	Both Shared	Central	0	0.5	0	0	0	0.5	0	0
Mobile Home	<1940	None	Both Shared	Central	0	0.5	0	0	0	0.5	0	0
Mobile Home	<1940	Other Fuel	Both Shared	Central	0	0.5	0	0	0	0.5	0	0
Mobile Home	<1940	Propane	Both Shared	Central	0	0.5	0	0	0	0.5	0	0
Mobile Home	<1940	Electricity	Neither Shared	Central	1	0	0	0	0	0	3	20739.18705
Mobile Home	<1940	Fuel Oil	Neither Shared	Central	1	0	0	0	0	0	0	0
Mobile Home	<1940	Natural Gas	Neither Shared	Central	1	0	0	0	0	0	0	0
Mobile Home	<1940	None	Neither Shared	Central	1	0	0	0	0	0	0	0
Mobile Home	<1940	Other Fuel	Neither Shared	Central	1	0	0	0	0	0	0	0
Mobile Home	<1940	Propane	Neither Shared	Central	1	0	0	0	0	0	0	0
Mobile Home	<1940	Electricity	Only Cooling Shared	Central	0	0	1	0	0	0	3	20739.18705
Mobile Home	<1940	Fuel Oil	Only Cooling Shared	Central	0	0	1	0	0	0	0	0
Mobile Home	<1940	Natural Gas	Only Cooling Shared	Central	0	0	1	0	0	0	0	0
Mobile Home	<1940	None	Only Cooling Shared	Central	0	0	1	0	0	0	0	0
Mobile Home	<1940	Other Fuel	Only Cooling Shared	Central	0	0	1	0	0	0	0	0
Mobile Home	<1940	Propane	Only Cooling Shared	Central	0	0	1	0	0	0	0	0
Mobile Home	<1940	Electricity	Only Heating Shared	Central	0	0	0	0.5	0.5	0	3	20739.18705
Mobile Home	<1940	Fuel Oil	Only Heating Shared	Central	0	0	0	0.5	0.5	0	0	0
Mobile Home	<1940	Natural Gas	Only Heating Shared	Central	0	0	0	0.5	0.5	0	0	0
Mobile Home	<1940	None	Only Heating Shared	Central	0	0	0	0.5	0.5	0	0	0
