Dependency=Geometry Building Type RECS	Dependency=Vintage	Dependency=Geometry House Size	Option=1	Option=2	Option=3	Count	Weight
Mobile Home	<1940	0-1499	1.0	0.0	0.0	3	20739.18705
Mobile Home	<1940	1500-2499	1.0	0.0	0.0	0	0.0
Mobile Home	<1940	2500-3499	1.0	0.0	0.0	0	0.0
Mobile Home	<1940	3500+	1.0	0.0	0.0	0	0.0
Mobile Home	1950s	0-1499	1.0	0.0	0.0	12	146802.9162
Mobile Home	1950s	1500-2499	1.0	0.0	0.0	0	0.0
Mobile Home	1950s	2500-3499	1.0	0.0	0.0	0	0.0
Mobile Home	1950s	3500+	1.0	0.0	0.0	0	0.0
Mobile Home	1960s	0-1499	1.0	0.0	0.0	33	332831.0494
Mobile Home	1960s	1500-2499	1.0	0.0	0.0	2	23883.72212
Mobile Home	1960s	2500-3499	1.0	0.0	0.0	0	0.0
Mobile Home	1960s	3500+	1.0	0.0	0.0	0	0.0
Mobile Home	1970s	0-1499	1.0	0.0	0.0	143	1669181.4
Mobile Home	1970s	1500-2499	1.0	0.0	0.0	9	100574.8414
Mobile Home	1970s	2500-3499	1.0	0.0	0.0	0	0.0
Mobile Home	1970s	3500+	1.0	0.0	0.0	0	0.0
Mobile Home	1980s	0-1499	1.0	0.0	0.0	122	1680231.102
Mobile Home	1980s	1500-2499	1.0	0.0	0.0	8	86169.83963
Mobile Home	1980s	2500-3499	1.0	0.0	0.0	0	0.0
Mobile Home	1980s	3500+	1.0	0.0	0.0	0	0.0
Mobile Home	1990s	0-1499	1.0	0.0	0.0	110	1522099.407
Mobile Home	1990s	1500-2499	1.0	0.0	0.0	30	429277.3834
Mobile Home	1990s	2500-3499	1.0	0.0	0.0	2	12732.06207
Mobile Home	1990s	3500+	1.0	0.0	0.0	0	0.0
Mobile Home	2000s	0-1499	1.0	0.0	0.0	50	659522.0438
Mobile Home	2000s	1500-2499	1.0	0.0	0.0	17	256916.3144
Mobile Home	2000s	2500-3499	1.0	0.0	0.0	0	0.0
Mobile Home	2000s	3500+	1.0	0.0	0.0	0	0.0
Mobile Home	1940s	0-1499	1.0	0.0	0.0	3	20739.18705
Mobile Home	1940s	1500-2499	1.0	0.0	0.0	0	0.0
Mobile Home	1940s	2500-3499	1.0	0.0	0.0	0	0.0
Mobile Home	1940s	3500+	1.0	0.0	0.0	0	0.0
Mobile Home	2010s	0-1499	1.0	0.0	0.0	50	659522.0438
Mobile Home	2010s	1500-2499	1.0	0.0	0.0	17	256916.3144
Mobile Home	2010s	2500-3499	1.0	0.0	0.0	0	0.0
Mobile Home	2010s	3500+	1.0	0.0	0.0	0	0.0
Multi-Family with 2 - 4 Units	<1940	0-1499	1.0	0.0	0.0	249	2524345.215
Multi-Family with 2 - 4 Units	<1940	1500-2499	1.0	0.0	0.0	26	248308.1933
Multi-Family with 2 - 4 Units	<1940	2500-3499	1.0	0.0	0.0	11	109019.0241
Multi-Family with 2 - 4 Units	<1940	3500+	1.0	0.0	0.0	2	11834.51582
Multi-Family with 2 - 4 Units	1950s	0-1499	1.0	0.0	0.0	105	1039648.1540000001
Multi-Family with 2 - 4 Units	1950s	1500-2499	1.0	0.0	0.0	10	125931.7282
Multi-Family with 2 - 4 Units	1950s	2500-3499	1.0	0.0	0.0	1	37321.43949
Multi-Family with 2 - 4 Units	1950s	3500+	1.0	0.0	0.0	0	0.0
Multi-Family with 2 - 4 Units	1960s	0-1499	1.0	0.0	0.0	101	1067688.883
Multi-Family with 2 - 4 Units	1960s	1500-2499	1.0	0.0	0.0	8	86587.88427000001
Multi-Family with 2 - 4 Units	1960s	2500-3499	1.0	0.0	0.0	0	0.0
Multi-Family with 2 - 4 Units	1960s	3500+	1.0	0.0	0.0	0	0.0
Multi-Family with 2 - 4 Units	1970s	0-1499	1.0	0.0	0.0	162	1450731.379
Multi-Family with 2 - 4 Units	1970s	1500-2499	1.0	0.0	0.0	9	78781.61249
Multi-Family with 2 - 4 Units	1970s	2500-3499	1.0	0.0	0.0	1	8878.279956
Multi-Family with 2 - 4 Units	1970s	3500+	1.0	0.0	0.0	0	0.0
Multi-Family with 2 - 4 Units	1980s	0-1499	1.0	0.0	0.0	111	1053118.999
Multi-Family with 2 - 4 Units	1980s	1500-2499	1.0	0.0	0.0	5	32756.53365
Multi-Family with 2 - 4 Units	1980s	2500-3499	1.0	0.0	0.0	0	0.0
Multi-Family with 2 - 4 Units	1980s	3500+	1.0	0.0	0.0	0	0.0
Multi-Family with 2 - 4 Units	1990s	0-1499	1.0	0.0	0.0	72	737677.3671
Multi-Family with 2 - 4 Units	1990s	1500-2499	1.0	0.0	0.0	5	23890.91836
Multi-Family with 2 - 4 Units	1990s	2500-3499	1.0	0.0	0.0	2	7862.508814
Multi-Family with 2 - 4 Units	1990s	3500+	1.0	0.0	0.0	0	0.0
Multi-Family with 2 - 4 Units	2000s	0-1499	1.0	0.0	0.0	38	315474.7047
Multi-Family with 2 - 4 Units	2000s	1500-2499	1.0	0.0	0.0	6	42915.97827
Multi-Family with 2 - 4 Units	2000s	2500-3499	1.0	0.0	0.0	2	10243.56429
Multi-Family with 2 - 4 Units	2000s	3500+	1.0	0.0	0.0	0	0.0
Multi-Family with 2 - 4 Units	1940s	0-1499	1.0	0.0	0.0	249	2524345.215
Multi-Family with 2 - 4 Units	1940s	1500-2499	1.0	0.0	0.0	26	248308.1933
Multi-Family with 2 - 4 Units	1940s	2500-3499	1.0	0.0	0.0	11	109019.0241
Multi-Family with 2 - 4 Units	1940s	3500+	1.0	0.0	0.0	2	11834.51582
Multi-Family with 2 - 4 Units	2010s	0-1499	1.0	0.0	0.0	38	315474.7047
Multi-Family with 2 - 4 Units	2010s	1500-2499	1.0	0.0	0.0	6	42915.97827
Multi-Family with 2 - 4 Units	2010s	2500-3499	1.0	0.0	0.0	2	10243.56429
Multi-Family with 2 - 4 Units	2010s	3500+	1.0	0.0	0.0	0	0.0
Multi-Family with 5+ Units	<1940	0-1499	0.127459829	0.294788505	0.577751666	265	2600040.639
Multi-Family with 5+ Units	<1940	1500-2499	0.0	1.0	0.0	10	107485.8211
Multi-Family with 5+ Units	<1940	2500-3499	0.0	0.0	1.0	1	16295.24531
Multi-Family with 5+ Units	<1940	3500+	0.127409566	0.295013594	0.57757684	0	0.0
Multi-Family with 5+ Units	1950s	0-1499	0.10524875800000001	0.567940447	0.326810795	129	1239925.215
Multi-Family with 5+ Units	1950s	1500-2499	0.0	1.0	0.0	4	39639.49325
Multi-Family with 5+ Units	1950s	2500-3499	0.10521381	0.568083914	0.326702276	0	0.0
Multi-Family with 5+ Units	1950s	3500+	0.10521381	0.568083914	0.326702276	0	0.0
Multi-Family with 5+ Units	1960s	0-1499	0.095745481	0.5301383129999999	0.374116206	248	2502644.297
Multi-Family with 5+ Units	1960s	1500-2499	0.0	0.579932948	0.42006705200000005	5	62775.37635
Multi-Family with 5+ Units	1960s	2500-3499	0.095706095	0.530158796	0.37413510899999997	0	0.0
Multi-Family with 5+ Units	1960s	3500+	0.095706095	0.530158796	0.37413510899999997	0	0.0
Multi-Family with 5+ Units	1970s	0-1499	0.102552745	0.515687522	0.381759733	411	4033394.14
Multi-Family with 5+ Units	1970s	1500-2499	0.19780716199999998	0.10505365900000001	0.6971391790000001	9	70442.13479
Multi-Family with 5+ Units	1970s	2500-3499	0.34	0.33	0.33	1	8775.313793000001
Multi-Family with 5+ Units	1970s	3500+	0.102590944	0.51552285	0.381886206	0	0.0
Multi-Family with 5+ Units	1980s	0-1499	0.08829481900000001	0.513126926	0.398578255	359	3374715.815
Multi-Family with 5+ Units	1980s	1500-2499	0.061208153	0.656821867	0.28196998100000004	10	119692.8171
Multi-Family with 5+ Units	1980s	2500-3499	0.08826336	0.513293814	0.39844282700000005	0	0.0
