Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Building Type RECS	Option=1 Pane	Option=2+ Pane	Count	Weight
CR02	<1940	Mobile Home	1	0	0	0
CR02	<1940	Multi-Family with 2 - 4 Units	0.642063726	0.357936274	18	165361.5891
CR02	<1940	Multi-Family with 5+ Units	0.341018187	0.658981813	10	90027.26284
CR02	<1940	Single-Family Attached	0.635455616	0.364544384	6	32441.10174
CR02	<1940	Single-Family Detached	0.380577934	0.619422066	176	1134613.306
CR02	1940s	Mobile Home	1	0	0	0
CR02	1940s	Multi-Family with 2 - 4 Units	0.642063726	0.357936274	18	165361.5891
CR02	1940s	Multi-Family with 5+ Units	0.341018187	0.658981813	10	90027.26284
CR02	1940s	Single-Family Attached	0.635455616	0.364544384	6	32441.10174
CR02	1940s	Single-Family Detached	0.380577934	0.619422066	176	1134613.306
CR02	1950s	Mobile Home	0	1	1	8385.213345
CR02	1950s	Multi-Family with 2 - 4 Units	0.87507932	0.12492068	6	55793.22245
CR02	1950s	Multi-Family with 5+ Units	0.589201927	0.410798073	6	47295.69673
CR02	1950s	Single-Family Attached	0.670776329	0.329223671	5	26252.58621
CR02	1950s	Single-Family Detached	0.310378345	0.689621655	100	650287.623
CR02	1960s	Mobile Home	1	0	1	7088.752818
CR02	1960s	Multi-Family with 2 - 4 Units	1	0	5	53614.06717
CR02	1960s	Multi-Family with 5+ Units	0.59191219	0.40808781	19	131682.0684
CR02	1960s	Single-Family Attached	0.197289338	0.802710662	3	11078.02128
CR02	1960s	Single-Family Detached	0.390301569	0.609698431	71	457502.4459
CR02	1970s	Mobile Home	0.699451881	0.300548119	6	47172.16736
CR02	1970s	Multi-Family with 2 - 4 Units	0.649080638	0.350919362	12	96227.19025
CR02	1970s	Multi-Family with 5+ Units	0.396405244	0.603594756	32	225293.4328
CR02	1970s	Single-Family Attached	0.155760289	0.844239711	12	79785.55356
CR02	1970s	Single-Family Detached	0.25405484	0.74594516	106	650638.9834
CR02	1980s	Mobile Home	0.873482984	0.126517016	7	66277.34413
CR02	1980s	Multi-Family with 2 - 4 Units	0	1	4	30005.38625
CR02	1980s	Multi-Family with 5+ Units	0.413640294	0.586359706	22	151005.3272
CR02	1980s	Single-Family Attached	0.098572753	0.901427247	10	51519.97195
CR02	1980s	Single-Family Detached	0.119408057	0.880591943	78	474232.6335
CR02	1990s	Mobile Home	0.379277033	0.620722967	12	102888.3446
CR02	1990s	Multi-Family with 2 - 4 Units	0	1	1	10910.10279
CR02	1990s	Multi-Family with 5+ Units	0.205889702	0.794110298	12	98249.71548
CR02	1990s	Single-Family Attached	0.257752328	0.742247672	10	53421.67272
CR02	1990s	Single-Family Detached	0.074364061	0.925635939	82	498247.5449
CR02	2000s	Mobile Home	0.625056131	0.374943869	2	22063.47621
CR02	2000s	Multi-Family with 2 - 4 Units	1	0	0	0
CR02	2000s	Multi-Family with 5+ Units	0.124008517	0.875991483	13	95640.56632
CR02	2000s	Single-Family Attached	0.085556705	0.914443295	18	100397.783
CR02	2000s	Single-Family Detached	0.043538004	0.956461996	75	455096.8464
CR02	2010s	Mobile Home	0.625056131	0.374943869	2	22063.47621
CR02	2010s	Multi-Family with 2 - 4 Units	1	0	0	0
CR02	2010s	Multi-Family with 5+ Units	0.124008517	0.875991483	13	95640.56632
CR02	2010s	Single-Family Attached	0.085556705	0.914443295	18	100397.783
CR02	2010s	Single-Family Detached	0.043538004	0.956461996	75	455096.8464
CR03	<1940	Mobile Home	1	0	0	0
CR03	<1940	Multi-Family with 2 - 4 Units	1	0	0	0
CR03	<1940	Multi-Family with 5+ Units	1	0	0	0
CR03	<1940	Single-Family Attached	1	0	0	0
CR03	<1940	Single-Family Detached	1	0	0	0
CR03	1940s	Mobile Home	1	0	0	0
CR03	1940s	Multi-Family with 2 - 4 Units	1	0	0	0
CR03	1940s	Multi-Family with 5+ Units	1	0	0	0
CR03	1940s	Single-Family Attached	1	0	0	0
CR03	1940s	Single-Family Detached	1	0	0	0
CR03	1950s	Mobile Home	1	0	0	0
CR03	1950s	Multi-Family with 2 - 4 Units	1	0	0	0
CR03	1950s	Multi-Family with 5+ Units	1	0	0	0
CR03	1950s	Single-Family Attached	1	0	0	0
CR03	1950s	Single-Family Detached	1	0	0	0
CR03	1960s	Mobile Home	1	0	0	0
CR03	1960s	Multi-Family with 2 - 4 Units	1	0	0	0
CR03	1960s	Multi-Family with 5+ Units	1	0	0	0
CR03	1960s	Single-Family Attached	1	0	0	0
CR03	1960s	Single-Family Detached	1	0	0	0
CR03	1970s	Mobile Home	1	0	0	0
CR03	1970s	Multi-Family with 2 - 4 Units	1	0	0	0
CR03	1970s	Multi-Family with 5+ Units	1	0	0	0
