Dependency=Geometry Building Type	Dependency=Vintage	Dependency=Heating Fuel	Option=Both Shared	Option=Neither Shared	Option=Only Cooling Shared	Option=Only Heating Shared	Count	Weight
Mobile Home	<1950	Electricity	0	1	0	0	3	20739.18705
Mobile Home	<1950	Fuel Oil	1	0	0	0	0	0
Mobile Home	<1950	Natural Gas	0	1	0	0	0	0
Mobile Home	<1950	None	0	1	0	0	0	0
Mobile Home	<1950	Other Fuel	0	1	0	0	0	0
Mobile Home	<1950	Propane	0	1	0	0	0	0
Mobile Home	1950s	Electricity	0	1	0	0	5	51371.74617
Mobile Home	1950s	Fuel Oil	0	1	0	0	0	0
Mobile Home	1950s	Natural Gas	0	1	0	0	5	77818.40577
Mobile Home	1950s	None	0	1	0	0	1	7949.288391
Mobile Home	1950s	Other Fuel	0	1	0	0	1	9663.475869
Mobile Home	1950s	Propane	0	1	0	0	0	0
Mobile Home	1960s	Electricity	0	1	0	0	13	138414.3113
Mobile Home	1960s	Fuel Oil	0	1	0	0	1	7659.045405
Mobile Home	1960s	Natural Gas	0	1	0	0	9	109271.0665
Mobile Home	1960s	None	0	1	0	0	0	0
Mobile Home	1960s	Other Fuel	0	1	0	0	6	59998.3383
Mobile Home	1960s	Propane	0	1	0	0	6	41372.01013
Mobile Home	1970s	Electricity	0	0.994422805	0.005577195	0	66	845946.3426
Mobile Home	1970s	Fuel Oil	0	1	0	0	3	20826.88885
Mobile Home	1970s	Natural Gas	0	1	0	0	37	435522.1829
Mobile Home	1970s	None	0	1	0	0	9	89310.77465
Mobile Home	1970s	Other Fuel	0	1	0	0	19	168597.5244
Mobile Home	1970s	Propane	0	1	0	0	18	209552.5283
Mobile Home	1980s	Electricity	0	1	0	0	77	989920.0018
Mobile Home	1980s	Fuel Oil	0	1	0	0	4	17265.6449
Mobile Home	1980s	Natural Gas	0	1	0	0	24	322014.7285
Mobile Home	1980s	None	0	1	0	0	3	41788.12292
Mobile Home	1980s	Other Fuel	0	1	0	0	10	157315.9401
Mobile Home	1980s	Propane	0	1	0	0	12	238096.5038
Mobile Home	1990s	Electricity	0	1	0	0	84	1218070.577
Mobile Home	1990s	Fuel Oil	0	1	0	0	1	6166.411961
Mobile Home	1990s	Natural Gas	0	0.978143301	0	0.021856699	28	324328.5822
Mobile Home	1990s	None	0	1	0	0	2	21545.99675
Mobile Home	1990s	Other Fuel	0	1	0	0	13	156771.2281
Mobile Home	1990s	Propane	0	1	0	0	14	237226.0564
Mobile Home	2000s	Electricity	0	1	0	0	45	643983.25
Mobile Home	2000s	Fuel Oil	0	1	0	0	0	0
Mobile Home	2000s	Natural Gas	0	1	0	0	8	110048.9486
Mobile Home	2000s	None	0	1	0	0	6	61653.67497
Mobile Home	2000s	Other Fuel	0	1	0	0	1	5676.182736
Mobile Home	2000s	Propane	0	1	0	0	7	95076.30187
Multi-Family with 2 - 4 Units	<1950	Electricity	0.014921025	0.861598263	0.027319875	0.096160838	47	582045.0346
Multi-Family with 2 - 4 Units	<1950	Fuel Oil	0.01271536	0.417576034	0	0.569708606	44	372754.1342
Multi-Family with 2 - 4 Units	<1950	Natural Gas	0.067393708	0.582772671	0	0.349833621	188	1872761.28
Multi-Family with 2 - 4 Units	<1950	None	0	1	0	0	4	29454.88275
Multi-Family with 2 - 4 Units	<1950	Other Fuel	0	0	0	1	1	10039.30855
Multi-Family with 2 - 4 Units	<1950	Propane	0	0.812041959	0	0.187958041	4	26452.30845
Multi-Family with 2 - 4 Units	1950s	Electricity	0	0.946400391	0.027271807	0.026327802	24	232651.4051
Multi-Family with 2 - 4 Units	1950s	Fuel Oil	0	0.131988187	0	0.868011813	11	103963.6452
Multi-Family with 2 - 4 Units	1950s	Natural Gas	0.026847784	0.672361947	0	0.300790268	71	790018.4822
Multi-Family with 2 - 4 Units	1950s	None	0	1	0	0	9	61800.87223
Multi-Family with 2 - 4 Units	1950s	Other Fuel					0	0
Multi-Family with 2 - 4 Units	1950s	Propane	0	1	0	0	1	14466.91654
Multi-Family with 2 - 4 Units	1960s	Electricity	0	0.869748476	0.01699899	0.113252535	44	421294.9085
Multi-Family with 2 - 4 Units	1960s	Fuel Oil	0	0	0	1	5	60754.85799
Multi-Family with 2 - 4 Units	1960s	Natural Gas	0	0.650812671	0	0.349187329	54	629081.9636
Multi-Family with 2 - 4 Units	1960s	None	0	1	0	0	6	43145.03697
Multi-Family with 2 - 4 Units	1960s	Other Fuel					0	0
Multi-Family with 2 - 4 Units	1960s	Propane					0	0
Multi-Family with 2 - 4 Units	1970s	Electricity	0.031868111	0.881433941	0.007912559	0.07878539	91	814183.7359
Multi-Family with 2 - 4 Units	1970s	Fuel Oil	0.111856306	0	0	0.888143694	8	74349.48319
Multi-Family with 2 - 4 Units	1970s	Natural Gas	0	0.797217485	0	0.202782515	60	552687.1337
Multi-Family with 2 - 4 Units	1970s	None	0	1	0	0	10	75417.4582
Multi-Family with 2 - 4 Units	1970s	Other Fuel					0	0
Multi-Family with 2 - 4 Units	1970s	Propane	0	0.666666667	0.333333333	0	3	21753.46073
Multi-Family with 2 - 4 Units	1980s	Electricity	0	0.928120421	0	0.071879579	64	573315.2865
Multi-Family with 2 - 4 Units	1980s	Fuel Oil	0	0	0	1	1	9005.897813
Multi-Family with 2 - 4 Units	1980s	Natural Gas	0.057546395	0.840647447	0	0.101806158	43	449536.9343
Multi-Family with 2 - 4 Units	1980s	None	0	1	0	0	8	54017.41425
Multi-Family with 2 - 4 Units	1980s	Other Fuel					0	0
Multi-Family with 2 - 4 Units	1980s	Propane					0	0
Multi-Family with 2 - 4 Units	1990s	Electricity	0	1	0	0	46	397623.9506
Multi-Family with 2 - 4 Units	1990s	Fuel Oil	0	0	0	1	1	11578.19645
Multi-Family with 2 - 4 Units	1990s	Natural Gas	0	0.858906757	0.078437311	0.062655932	24	261588.055
Multi-Family with 2 - 4 Units	1990s	None	0	1	0	0	7	45157.41633
Multi-Family with 2 - 4 Units	1990s	Other Fuel					0	0
Multi-Family with 2 - 4 Units	1990s	Propane	0	0	0	1	1	53483.17588
Multi-Family with 2 - 4 Units	2000s	Electricity	0	1	0	0	29	243555.6484
