Dependency=Geometry Building Type RECS to ACS	Dependency=Location EPW	Option=<1940	Option=1940-59s	Option=1960-79s	Option=1980-99s	Option=2000-09s	Option=2010s	Count
1 Attached	USA_AL_Birmingham.Muni.AP.722280_TMY3.epw	0.028081083	0.096061254	0.187234936	0.420861573	0.252821646	0.014939508	13690.81625
1 Attached	USA_AL_Huntsville.Intl.AP-Jones.Field.723230_TMY3.epw	0.034088657	0.061155414	0.24012799	0.415966209	0.225778849	0.022882881	6870.389655
1 Attached	USA_AL_Mobile-Rgnl.AP.722230_TMY3.epw	0.027488385	0.096101395	0.212229631	0.428905286	0.217263427	0.018011874	12812.99171
1 Attached	USA_AL_Montgomery-Dannelly.Field.722260_TMY3.epw	0.057062978	0.113828415	0.294611814	0.314748199	0.196469871	0.023278724	6114.182718
1 Attached	USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3.epw	0.021782969	0.078088628	0.280441906	0.376827822	0.215675789	0.027182885	4885.778496
1 Attached	USA_AR_Little.Rock-Adams.Field.723403_TMY3.epw	0.026958554	0.132283211	0.368257752	0.259119585	0.186582119	0.026798779	6899.752772
1 Attached	USA_AZ_Flagstaff-Pulliam.AP.723755_TMY3.epw	0.041206326	0.074393738	0.219820891	0.401191699	0.247559681	0.015827666	3979.106556
1 Attached	USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3.epw	0.010418507	0.055078807	0.401546934	0.382396997	0.143441171	0.007117584	73428.70348
1 Attached	USA_AZ_Prescott-Love.Field.723723_TMY3.epw	0.017400614	0.091750296	0.164044191	0.436058878	0.289353577	0.001392444	2947.514304
1 Attached	USA_AZ_Tucson.Intl.AP.722740_TMY3.epw	0.023963755	0.102238561	0.41003696	0.338787866	0.109392656	0.015580202	29030.46043
1 Attached	USA_CA_Arcata.AP.725945_TMY3.epw	0.079814812	0.177414771	0.29250788	0.321022678	0.123480478	0.00575938	4852.386065
1 Attached	USA_CA_Bakersfield-Meadows.Field.723840_TMY3.epw	0.083450933	0.191711178	0.342654906	0.278893145	0.091452824	0.011837014	8363.776939
1 Attached	USA_CA_Barstow.Daggett.AP.723815_TMY3.epw	0.03964675	0.103273246	0.372769832	0.33970294	0.12670746	0.017899772	22118.19233
1 Attached	USA_CA_Fresno.Air.Terminal.723890_TMY3.epw	0.040044423	0.136897734	0.329144287	0.331676732	0.154793346	0.007443478	15632.40468
1 Attached	USA_CA_Long.Beach-Daugherty.Field.722970_TMY3.epw	0.054946256	0.133818875	0.365005377	0.344863144	0.087773489	0.013592859	233626.9193
1 Attached	USA_CA_Los.Angeles.Intl.AP.722950_TMY3.epw	0.200475561	0.184948467	0.264282591	0.262903618	0.076529848	0.010859915	154661.0952
1 Attached	USA_CA_Sacramento.Exec.AP.724830_TMY3.epw	0.051434646	0.119350915	0.412669746	0.31381501	0.094200462	0.008529221	80565.28416
1 Attached	USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw	0.034909607	0.09803323	0.335337955	0.382347288	0.137539584	0.011832335	111627.5987
1 Attached	USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw	0.1214632	0.15216957	0.314076253	0.300962786	0.097268858	0.014059333	243397.7338
1 Attached	USA_CA_Santa.Maria.Public.AP.723940_TMY3.epw	0.068251506	0.081894166	0.34836231	0.392022802	0.100368902	0.009100315	14574.50661
1 Attached	USA_CO_Alamosa.Muni.AP.724620_TMY3.epw	0.093761315	0.081764195	0.219955817	0.287461231	0.313285861	0.003771581	2791.022247
1 Attached	USA_CO_Boulder-Broomfield-Jefferson.County.AP.724699_TMY3.epw	0.074028773	0.068487336	0.263903205	0.357172614	0.220284051	0.01612402	92137.88334
1 Attached	USA_CO_Colorado.Springs-Peterson.Field.724660_TMY3.epw	0.014790075	0.025323052	0.197532166	0.433988558	0.292797121	0.035569028	30890.01566
1 Attached	USA_CO_Eagle.County.Rgnl.AP.724675_TMY3.epw	0.022221646	0.012560103	0.159801876	0.514171059	0.2870351	0.004210216	8877.941266
1 Attached	USA_CO_Grand.Junction-Walker.Field.724760_TMY3.epw	0.015505073	0.045152051	0.182817511	0.387989954	0.358326639	0.010208772	3958.846434
