Dependency=Geometry Building Type	Dependency=Vintage	Dependency=Geometry House Size	Option=1	Option=2	Option=3	Option=4+	Count	Weight	
Mobile Home	<1950	0-1499	1	0	0	0	3	20739.18705	
Mobile Home	<1950	1500-2499	1	0	0	0	0	0	
Mobile Home	<1950	2500-3499	1	0	0	0	0	0	
Mobile Home	<1950	3500+	1	0	0	0	0	0	
Mobile Home	1950s	0-1499	1	0	0	0	12	146802.9162	
Mobile Home	1950s	1500-2499	1	0	0	0	0	0	
Mobile Home	1950s	2500-3499	1	0	0	0	0	0	
Mobile Home	1950s	3500+	1	0	0	0	0	0	
Mobile Home	1960s	0-1499	1	0	0	0	33	332831.0494	
Mobile Home	1960s	1500-2499	1	0	0	0	2	23883.72212	
Mobile Home	1960s	2500-3499	1	0	0	0	0	0	
Mobile Home	1960s	3500+	1	0	0	0	0	0	
Mobile Home	1970s	0-1499	1	0	0	0	143	1669181.4	
Mobile Home	1970s	1500-2499	1	0	0	0	9	100574.8414	
Mobile Home	1970s	2500-3499	1	0	0	0	0	0	
Mobile Home	1970s	3500+	1	0	0	0	0	0	
Mobile Home	1980s	0-1499	1	0	0	0	122	1680231.102	
Mobile Home	1980s	1500-2499	1	0	0	0	8	86169.83963	
Mobile Home	1980s	2500-3499	1	0	0	0	0	0	
Mobile Home	1980s	3500+	1	0	0	0	0	0	
Mobile Home	1990s	0-1499	1	0	0	0	110	1522099.407	
Mobile Home	1990s	1500-2499	1	0	0	0	30	429277.3834	
Mobile Home	1990s	2500-3499	1	0	0	0	2	12732.06207	
Mobile Home	1990s	3500+	1	0	0	0	0	0	
Mobile Home	2000s	0-1499	1	0	0	0	50	659522.0438	
Mobile Home	2000s	1500-2499	1	0	0	0	17	256916.3144	
Mobile Home	2000s	2500-3499	1	0	0	0	0	0	
Mobile Home	2000s	3500+	1	0	0	0	0	0	
Multi-Family with 2 - 4 Units	<1950	0-1499	1	0	0	0	249	2524345.215	
Multi-Family with 2 - 4 Units	<1950	1500-2499	1	0	0	0	26	248308.1933	
Multi-Family with 2 - 4 Units	<1950	2500-3499	1	0	0	0	11	109019.0241	
Multi-Family with 2 - 4 Units	<1950	3500+	1	0	0	0	2	11834.51582	
Multi-Family with 2 - 4 Units	1950s	0-1499	1	0	0	0	105	1039648.154	
Multi-Family with 2 - 4 Units	1950s	1500-2499	1	0	0	0	10	125931.7282	
Multi-Family with 2 - 4 Units	1950s	2500-3499	1	0	0	0	1	37321.43949	
Multi-Family with 2 - 4 Units	1950s	3500+	1	0	0	0	0	0	
Multi-Family with 2 - 4 Units	1960s	0-1499	1	0	0	0	101	1067688.883	
Multi-Family with 2 - 4 Units	1960s	1500-2499	1	0	0	0	8	86587.88427	
Multi-Family with 2 - 4 Units	1960s	2500-3499	1	0	0	0	0	0	
Multi-Family with 2 - 4 Units	1960s	3500+	1	0	0	0	0	0	
Multi-Family with 2 - 4 Units	1970s	0-1499	1	0	0	0	162	1450731.379	
Multi-Family with 2 - 4 Units	1970s	1500-2499	1	0	0	0	9	78781.61249	
Multi-Family with 2 - 4 Units	1970s	2500-3499	1	0	0	0	1	8878.279956	
Multi-Family with 2 - 4 Units	1970s	3500+	1	0	0	0	0	0	
Multi-Family with 2 - 4 Units	1980s	0-1499	1	0	0	0	111	1053118.999	
Multi-Family with 2 - 4 Units	1980s	1500-2499	1	0	0	0	5	32756.53365	
Multi-Family with 2 - 4 Units	1980s	2500-3499	1	0	0	0	0	0	
Multi-Family with 2 - 4 Units	1980s	3500+	1	0	0	0	0	0	
Multi-Family with 2 - 4 Units	1990s	0-1499	1	0	0	0	72	737677.3671	
Multi-Family with 2 - 4 Units	1990s	1500-2499	1	0	0	0	5	23890.91836	
Multi-Family with 2 - 4 Units	1990s	2500-3499	1	0	0	0	2	7862.508814	
Multi-Family with 2 - 4 Units	1990s	3500+	1	0	0	0	0	0	
Multi-Family with 2 - 4 Units	2000s	0-1499	1	0	0	0	38	315474.7047	
Multi-Family with 2 - 4 Units	2000s	1500-2499	1	0	0	0	6	42915.97827	
Multi-Family with 2 - 4 Units	2000s	2500-3499	1	0	0	0	2	10243.56429	
Multi-Family with 2 - 4 Units	2000s	3500+	1	0	0	0	0	0	
Multi-Family with 5+ Units	<1950	0-1499	0.056837539	0.131453598	0.257633978	0.554074884	265	2600040.639	
Multi-Family with 5+ Units	<1950	1500-2499	0	0.097609919	0	0.902390081	10	107485.8211	
Multi-Family with 5+ Units	<1950	2500-3499	0	0	1	0	1	16295.24531	
Multi-Family with 5+ Units	<1950	3500+	0.056747671	0.131397782	0.257250233	0.554604314	0	0	
Multi-Family with 5+ Units	1950s	0-1499	0.078190953	0.421931866	0.242792865	0.257084316	129	1239925.215	
Multi-Family with 5+ Units	1950s	1500-2499	0	0.248936688	0	0.751063312	4	39639.49325	
Multi-Family with 5+ Units	1950s	2500-3499	0.07811352	0.421760546	0.242552424	0.25757351	0	0	
Multi-Family with 5+ Units	1950s	3500+	0.07811352	0.421760546	0.242552424	0.25757351	0	0	
Multi-Family with 5+ Units	1960s	0-1499	0.072110473	0.399272363	0.281764698	0.246852466	248	2502644.297	
Multi-Family with 5+ Units	1960s	1500-2499	0	0.355434171	0.257454219	0.387111609	5	62775.37635	
Multi-Family with 5+ Units	1960s	2500-3499	0.072074024	0.399250204	0.28175241	0.246923362	0	0	
Multi-Family with 5+ Units	1960s	3500+	0.072074024	0.399250204	0.28175241	0.246923362	0	0	
Multi-Family with 5+ Units	1970s	0-1499	0.087490435	0.439946543	0.325689236	0.146873787	411	4033394.14	
Multi-Family with 5+ Units	1970s	1500-2499	0.17702416	0.094015988	0.623892868	0.105066984	9	70442.13479	
Multi-Family with 5+ Units	1970s	2500-3499	0	0	0	1	1	8775.313793	
Multi-Family with 5+ Units	1970s	3500+	0.0875242	0.439811969	0.325801513	0.146862319	0	0	1
Multi-Family with 5+ Units	1980s	0-1499	0.07502149	0.435988738	0.338660128	0.150329643	359	3374715.815	
Multi-Family with 5+ Units	1980s	1500-2499	0.061208153	0.656821867	0.281969981	0	10	119692.8171	
Multi-Family with 5+ Units	1980s	2500-3499	0.075007856	0.436206696	0.338604176	0.150181271	0	0	
Multi-Family with 5+ Units	1980s	3500+	0.075007856	0.436206696	0.338604176	0.150181271	0	0	
Multi-Family with 5+ Units	1990s	0-1499	0.076049521	0.440810871	0.381279072	0.101860536	226	2426663.079	
Multi-Family with 5+ Units	1990s	1500-2499	0	0.615433931	0.384566069	0	7	64224.84262	
Multi-Family with 5+ Units	1990s	2500-3499	0	0	1	0	1	8884.939148	
Multi-Family with 5+ Units	1990s	3500+	0.075986	0.440946764	0.38129178	0.101775456	0	0	
Multi-Family with 5+ Units	2000s	0-1499	0.068273181	0.43336722	0.264889285	0.233470314	215	2194465.242	
Multi-Family with 5+ Units	2000s	1500-2499	0	0.195386808	0.340637991	0.463975201	21	231142.4711	
Multi-Family with 5+ Units	2000s	2500-3499	0	1	0	0	1	8491.418082	
Multi-Family with 5+ Units	2000s	3500+	0.067576734	0.430953942	0.265655921	0.235813403	0	0	
Single-Family Attached	<1950	0-1499	1	0	0	0	99	894675.9703	
Single-Family Attached	<1950	1500-2499	1	0	0	0	41	374120.4615	
Single-Family Attached	<1950	2500-3499	1	0	0	0	9	70260.052	
