Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Foundation Type	Dependency=Geometry Building Type	Option=Uninsulated	Option=Wall R-5	Option=Wall R-10	Option=Wall R-15	Option=None
CR02	<1950	Heated Basement	Single Family Detached	1	0	0	0	0
CR05	<1950	Heated Basement	Single Family Detached	1	0	0	0	0
CR03	<1950	Heated Basement	Single Family Detached	1	0	0	0	0
CR04	<1950	Heated Basement	Single Family Detached	1	0	0	0	0
CR06	<1950	Heated Basement	Single Family Detached	1	0	0	0	0
CR07	<1950	Heated Basement	Single Family Detached	1	0	0	0	0
CR08	<1950	Heated Basement	Single Family Detached	1	0	0	0	0
CR09	<1950	Heated Basement	Single Family Detached	1	0	0	0	0
CR10	<1950	Heated Basement	Single Family Detached	1	0	0	0	0
CR11	<1950	Heated Basement	Single Family Detached	1	0	0	0	0
CR02	1950s	Heated Basement	Single Family Detached	1	0	0	0	0
CR05	1950s	Heated Basement	Single Family Detached	1	0	0	0	0
CR03	1950s	Heated Basement	Single Family Detached	1	0	0	0	0
CR04	1950s	Heated Basement	Single Family Detached	1	0	0	0	0
CR06	1950s	Heated Basement	Single Family Detached	1	0	0	0	0
CR07	1950s	Heated Basement	Single Family Detached	1	0	0	0	0
CR08	1950s	Heated Basement	Single Family Detached	1	0	0	0	0
CR09	1950s	Heated Basement	Single Family Detached	1	0	0	0	0
CR10	1950s	Heated Basement	Single Family Detached	1	0	0	0	0
CR11	1950s	Heated Basement	Single Family Detached	1	0	0	0	0
CR02	1960s	Heated Basement	Single Family Detached	1	0	0	0	0
CR05	1960s	Heated Basement	Single Family Detached	1	0	0	0	0
CR03	1960s	Heated Basement	Single Family Detached	1	0	0	0	0
CR04	1960s	Heated Basement	Single Family Detached	1	0	0	0	0
CR06	1960s	Heated Basement	Single Family Detached	1	0	0	0	0
CR07	1960s	Heated Basement	Single Family Detached	1	0	0	0	0
CR08	1960s	Heated Basement	Single Family Detached	1	0	0	0	0
CR09	1960s	Heated Basement	Single Family Detached	1	0	0	0	0
CR10	1960s	Heated Basement	Single Family Detached	1	0	0	0	0
