Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Dependency=Location Region	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=Other Fuel	Option=Propane	source_count	source_weight	sampling_probability
Mobile Home	Electricity	CR02	1	0	0	0	0	69	189530	0.000217429
Multi-Family with 2 - 4 Units	Electricity	CR02	1	0	0	0	0	64	233174	0.001123
Multi-Family with 5+ Units	Electricity	CR02	1	0	0	0	0	64	233174	0.00447766
Single-Family Attached	Electricity	CR02	1	0	0	0	0	11	57761.7	0.000542261
Single-Family Detached	Electricity	CR02	1	0	0	0	0	69	189530	0.00429908
Mobile Home	Electricity	CR03	1	0	0	0	0	21	52162.8	4.72E-05
Multi-Family with 2 - 4 Units	Electricity	CR03	1	0	0	0	0	49	150852	0.00128622
Multi-Family with 5+ Units	Electricity	CR03	1	0	0	0	0	49	150852	0.0036698
Single-Family Attached	Electricity	CR03	1	0	0	0	0	8	25838.7	0.000423068
Single-Family Detached	Electricity	CR03	1	0	0	0	0	21	52162.8	0.00118529
Mobile Home	Electricity	CR04	1	0	0	0	0	79	636584	0.00128374
Multi-Family with 2 - 4 Units	Electricity	CR04	1	0	0	0	0	58	570179	0.00273038
Multi-Family with 5+ Units	Electricity	CR04	1	0	0	0	0	58	570179	0.00954716
Single-Family Attached	Electricity	CR04	1	0	0	0	0	5	73561.1	0.00107231
Single-Family Detached	Electricity	CR04	1	0	0	0	0	79	636584	0.0111122
Mobile Home	Electricity	CR05	1	0	0	0	0	32	212048	0.000491927
Multi-Family with 2 - 4 Units	Electricity	CR05	1	0	0	0	0	20	73616.6	0.0008075
Multi-Family with 5+ Units	Electricity	CR05	1	0	0	0	0	20	73616.6	0.00263646
Single-Family Attached	Electricity	CR05	1	0	0	0	0	5	24392.1	0.0005431
Single-Family Detached	Electricity	CR05	1	0	0	0	0	32	212048	0.00374466
Mobile Home	Electricity	CR06	1	0	0	0	0	113	584276	0.00189559
Multi-Family with 2 - 4 Units	Electricity	CR06	1	0	0	0	0	80	453600	0.001741
Multi-Family with 5+ Units	Electricity	CR06	1	0	0	0	0	80	453600	0.00592746
Single-Family Attached	Electricity	CR06	1	0	0	0	0	11	79878.5	0.00077669
Single-Family Detached	Electricity	CR06	1	0	0	0	0	113	584276	0.00873714
Mobile Home	Electricity	CR07	1	0	0	0	0	53	362265	0.000357537
Multi-Family with 2 - 4 Units	Electricity	CR07	1	0	0	0	0	66	466851	0.00288346
Multi-Family with 5+ Units	Electricity	CR07	1	0	0	0	0	66	466851	0.00889743
Single-Family Attached	Electricity	CR07	1	0	0	0	0	27	305985	0.00224225
Single-Family Detached	Electricity	CR07	1	0	0	0	0	53	362265	0.00624137
Mobile Home	Electricity	CR08	1	0	0	0	0	506	2.18E+06	0.00569275
Multi-Family with 2 - 4 Units	Electricity	CR08	1	0	0	0	0	204	844284	0.00430629
Multi-Family with 5+ Units	Electricity	CR08	1	0	0	0	0	204	844284	0.0138017
Single-Family Attached	Electricity	CR08	1	0	0	0	0	70	545550	0.00443013
Single-Family Detached	Electricity	CR08	1	0	0	0	0	506	2.18E+06	0.0316437
Mobile Home	Electricity	CR09	1	0	0	0	0	1365	6.59E+06	0.024541
Multi-Family with 2 - 4 Units	Electricity	CR09	1	0	0	0	0	509	2.43E+06	0.0129552
Multi-Family with 5+ Units	Electricity	CR09	1	0	0	0	0	509	2.43E+06	0.0458278
Single-Family Attached	Electricity	CR09	1	0	0	0	0	100	695995	0.00770825
Single-Family Detached	Electricity	CR09	1	0	0	0	0	1365	6.59E+06	0.107648
Mobile Home	Electricity	CR10	1	0	0	0	0	104	529787	0.00163928
Multi-Family with 2 - 4 Units	Electricity	CR10	1	0	0	0	0	43	217661	0.00132726
Multi-Family with 5+ Units	Electricity	CR10	1	0	0	0	0	43	217661	0.00465148
Single-Family Attached	Electricity	CR10	1	0	0	0	0	10	87684.9	0.000911774
Single-Family Detached	Electricity	CR10	1	0	0	0	0	104	529787	0.00937249
Mobile Home	Electricity	CR11	1	0	0	0	0	162	574903	0.000907878
Multi-Family with 2 - 4 Units	Electricity	CR11	1	0	0	0	0	158	641346	0.00266878
Multi-Family with 5+ Units	Electricity	CR11	1	0	0	0	0	158	641346	0.0114669
Single-Family Attached	Electricity	CR11	1	0	0	0	0	29	165003	0.00199802
Single-Family Detached	Electricity	CR11	1	0	0	0	0	162	574903	0.0107861
Mobile Home	Fuel Oil	CR02	1	0	0	0	0	96	53932.1	2.70E-05
Multi-Family with 2 - 4 Units	Fuel Oil	CR02	1	0	0	0	0	5	2314.08	2.04E-05
Multi-Family with 5+ Units	Fuel Oil	CR02	1	0	0	0	0	5	2314.08	2.44E-05
Single-Family Attached	Fuel Oil	CR02	1	0	0	0	0	7	7224.74	7.47E-06
Single-Family Detached	Fuel Oil	CR02	1	0	0	0	0	96	53932.1	0.000849347
Mobile Home	Fuel Oil	CR03	1	0	0	0	0	413	982252	0.000741656
Multi-Family with 2 - 4 Units	Fuel Oil	CR03	1	0	0	0	0	65	205504	0.00173278
Multi-Family with 5+ Units	Fuel Oil	CR03	1	0	0	0	0	65	205504	0.000819355
Single-Family Attached	Fuel Oil	CR03	1	0	0	0	0	15	37763.8	0.000344758
Single-Family Detached	Fuel Oil	CR03	1	0	0	0	0	413	982252	0.0138202
Mobile Home	Fuel Oil	CR04	1	0	0	0	0	96	53932.1	8.71E-05
Multi-Family with 2 - 4 Units	Fuel Oil	CR04	1	0	0	0	0	5	2314.08	1.25E-05
Multi-Family with 5+ Units	Fuel Oil	CR04	1	0	0	0	0	5	2314.08	2.90E-05
Single-Family Attached	Fuel Oil	CR04	1	0	0	0	0	7	7224.74	7.89E-06
Single-Family Detached	Fuel Oil	CR04	1	0	0	0	0	96	53932.1	0.0012583
Mobile Home	Fuel Oil	CR05	1	0	0	0	0	96	53932.1	1.14E-05
Multi-Family with 2 - 4 Units	Fuel Oil	CR05	1	0	0	0	0	5	2314.08	4.11E-06
Multi-Family with 5+ Units	Fuel Oil	CR05	1	0	0	0	0	5	2314.08	1.18E-05
Single-Family Attached	Fuel Oil	CR05	1	0	0	0	0	7	7224.74	1.64E-06
Single-Family Detached	Fuel Oil	CR05	1	0	0	0	0	96	53932.1	0.000122099
Mobile Home	Fuel Oil	CR06	1	0	0	0	0	96	53932.1	1.80E-05
Multi-Family with 2 - 4 Units	Fuel Oil	CR06	1	0	0	0	0	5	2314.08	7.96E-06
Multi-Family with 5+ Units	Fuel Oil	CR06	1	0	0	0	0	5	2314.08	1.39E-05
Single-Family Attached	Fuel Oil	CR06	1	0	0	0	0	7	7224.74	9.41E-06
Single-Family Detached	Fuel Oil	CR06	1	0	0	0	0	96	53932.1	0.000573114
Mobile Home	Fuel Oil	CR07	1	0	0	0	0	256	943419	0.00108188
Multi-Family with 2 - 4 Units	Fuel Oil	CR07	1	0	0	0	0	140	675355	0.00145691
Multi-Family with 5+ Units	Fuel Oil	CR07	1	0	0	0	0	140	675355	0.00436743
Single-Family Attached	Fuel Oil	CR07	1	0	0	0	0	35	302228	0.00108636
Single-Family Detached	Fuel Oil	CR07	1	0	0	0	0	256	943419	0.013915
Mobile Home	Fuel Oil	CR08	1	0	0	0	0	96	53932.1	0.000314568
Multi-Family with 2 - 4 Units	Fuel Oil	CR08	1	0	0	0	0	5	2314.08	5.16E-05
Multi-Family with 5+ Units	Fuel Oil	CR08	1	0	0	0	0	5	2314.08	7.89E-05
Single-Family Attached	Fuel Oil	CR08	1	0	0	0	0	7	7224.74	0.000164998
Single-Family Detached	Fuel Oil	CR08	1	0	0	0	0	96	53932.1	0.00305566
Mobile Home	Fuel Oil	CR09	1	0	0	0	0	96	53932.1	0.000313561
