Location,Vintage,"Clear, Double, Metal, Air","Clear, Single, Metal","Clear, Single, Non-metal","Low-E, Triple, Non-metal, Air, L-Gain","Clear, Double, Non-metal, Air","Clear, Double, Thermal-Break, Air","Low-E, Double, Non-metal, Air, M-Gain",
H1C1 OR,pre-1950,0,0.04545,0.04545,0.04545,0.36364,0.13636,0.36364,
H1C1 OR,1950s,0.07143,0,0,0,0.71429,0.14286,0.07143,
H1C1 OR,1960s,0.08,0.12,0.04,0,0.28,0.08,0.4,
H1C1 OR,1970s,0.19231,0.03846,0,0,0.34615,0.19231,0.23077,
H1C1 OR,1980s,0.45455,0,0,0,0.27273,0,0.27273,
H1C1 OR,1990s,0,0,0,0,0.52,0,0.48,
H1C1 OR,2000s,0,0,0,0,0.29412,0,0.70588,
H1C1 OR,2010s,0,0,0,0,0.0,0,1.0,
H1C1 WA,pre-1950,0.08,0.03,0.23,0,0.42,0.08,0.16,
H1C1 WA,1950s,0.2,0.05714,0.05714,0,0.48571,0.02857,0.17143,
H1C1 WA,1960s,0.14035,0.07018,0.03509,0.01754,0.35088,0.08772,0.29825,
H1C1 WA,1970s,0.27119,0.01695,0,0.01695,0.42373,0.05085,0.22034,
H1C1 WA,1980s,0.32,0,0,0,0.5,0,0.18,
H1C1 WA,1990s,0.04762,0,0.04762,0,0.45238,0,0.45238,
H1C1 WA,2000s,0.04167,0,0,0,0.41667,0,0.54167,
H1C1 WA,2010s,0,0,0,0,0.0,0,1.0,
H1C2,pre-1950,0,0,0.09524,0,0.30952,0.35714,0.2381,
H1C2,1950s,0,0,0.11111,0,0.44444,0,0.44444,
H1C2,1960s,0,0.03704,0,0.07407,0.33333,0,0.55556,
H1C2,1970s,0.27778,0.05556,0,0,0.05556,0.11111,0.5,
H1C2,1980s,0.17647,0,0,0,0.47059,0,0.35294,
H1C2,1990s,0,0,0,0,0.63636,0,0.36364,
H1C2,2000s,0,0,0,0,0.33333,0,0.66667,
H1C2,2010s,0,0,0,0,0,0,0,
H1C3,pre-1950,0.08333,0.08333,0.08333,0,0.33333,0.33333,0.08333,
H1C3,1950s,0,0,0,0,0.2,0.2,0.6,
H1C3,1960s,0.14286,0,0,0,0.57143,0,0.28571,
H1C3,1970s,0.33333,0,0,0,0.27778,0.11111,0.27778,
H1C3,1980s,0.14286,0,0,0,0.71429,0,0.14286,
H1C3,1990s,0,0,0,0,0.42857,0,0.57143,
H1C3,2000s,0,0,0,0,0.76,0,0.24,
H1C3,2010s,0,0,0,0,0,0,0,
H2,pre-1950,0.09677,0,0.09677,0,0.25806,0.41935,0.12903,
H2,1950s,0.09524,0,0.04762,0,0.47619,0.14286,0.2381,
H2,1960s,0.18182,0,0,0,0.72727,0,0.09091,
H2,1970s,0.21429,0,0.03571,0,0.39286,0,0.35714,
H2,1980s,0.33333,0.11111,0,0,0.33333,0,0.22222,
H2,1990s,0,0,0,0.05714,0.6,0.02857,0.31429,
H2,2000s,0,0,0,0.04167,0.625,0,0.33333,
H2,2010s,0,0,0,0,0.0,0,1.0,
H3,pre-1950,0.05556,0.05556,0.05556,0.05556,0.27778,0.16667,0.33333,
H3,1950s,0.125,0,0,0,0.5,0.125,0.25,
H3,1960s,0.1,0,0,0,0.6,0.1,0.2,
H3,1970s,0,0,0,0.07143,0.35714,0.07143,0.5,
H3,1980s,0,0,0,0,0.44444,0.11111,0.44444,
H3,1990s,0,0,0,0,0.33333,0,0.66667,
H3,2000s,0,0,0,0,0.44444,0,0.55556,
H3,2010s,0,0,0,0,1.0,0,0,
