Location,Vintage,"Clear, Double, Metal, Air","Clear, Single, Metal","Clear, Single, Non-metal","Low-E, Triple, Non-metal, Air, L-Gain","Clear, Double, Non-metal, Air","Clear, Double, Thermal-Break, Air","Low-E, Double, Non-metal, Air, M-Gain",
H1C1 OR,pre-1950,0.00893,0.01786,0.05357,0.03571,0.375,0.14286,0.36607,
H1C1 OR,1950s,0.04348,0,0.01449,0,0.68116,0.17391,0.08696,
H1C1 OR,1960s,0.09449,0.12598,0.01575,0,0.29134,0.07874,0.3937,
H1C1 OR,1970s,0.17969,0.05469,0,0,0.33594,0.17969,0.25,
H1C1 OR,1980s,0.42105,0,0,0,0.26316,0.05263,0.26316,
H1C1 OR,1990s,0.0,0,0,0,0.51587,0,0.48413,
H1C1 OR,2000s,0.0,0,0,0,0.27059,0,0.72941,
H1C1 OR,2010s,0.0,0,0,0,0,0,1.0,
H1C1 WA,pre-1950,0.08249,0.02414,0.2334,0,0.41851,0.08249,0.15895,
H1C1 WA,1950s,0.21023,0.06818,0.05114,0,0.48864,0.02841,0.15341,
H1C1 WA,1960s,0.14134,0.07774,0.03887,0.01413,0.33922,0.09187,0.29682,
H1C1 WA,1970s,0.26263,0.0202,0,0.01347,0.42761,0.05051,0.22559,
H1C1 WA,1980s,0.32,0.004,0,0.008,0.492,0,0.176,
H1C1 WA,1990s,0.03828,0,0.03349,0,0.45933,0.00957,0.45933,
H1C1 WA,2000s,0.04149,0,0,0,0.41494,0,0.54357,
H1C1 WA,2010s,0.0,0,0,0,0,0,1.0,
H1C2,pre-1950,0.0,0,0.08531,0,0.32227,0.36493,0.22749,
H1C2,1950s,0.0,0,0.11628,0,0.39535,0,0.48837,
H1C2,1960s,0.00741,0.02222,0.01481,0.06667,0.33333,0.00741,0.54815,
H1C2,1970s,0.24719,0.07865,0,0,0.05618,0.10112,0.51685,
H1C2,1980s,0.15294,0,0,0,0.47059,0.03529,0.34118,
H1C2,1990s,0.0,0,0,0,0.58491,0,0.41509,
H1C2,2000s,0.0,0,0,0,0.27273,0,0.72727,
H1C2,2010s,0,0,0,0,0,0,0,
H1C3,pre-1950,0.10169,0.0678,0.08475,0,0.32203,0.30508,0.11864,
H1C3,1950s,0.01923,0,0,0,0.15385,0.21154,0.61538,
H1C3,1960s,0.09091,0.0303,0,0,0.54545,0,0.33333,
H1C3,1970s,0.32222,0.01111,0,0,0.26667,0.08889,0.31111,
H1C3,1980s,0.10811,0,0,0,0.67568,0,0.21622,
H1C3,1990s,0.0,0,0,0,0.42254,0,0.57746,
H1C3,2000s,0.0,0,0,0,0.75806,0,0.24194,
H1C3,2010s,0,0,0,0,0,0,0,
H2,pre-1950,0.08442,0.01299,0.0974,0,0.25325,0.40909,0.14286,
H2,1950s,0.06542,0.00935,0.03738,0,0.49533,0.14953,0.24299,
H2,1960s,0.2,0.01818,0.01818,0,0.67273,0.01818,0.07273,
H2,1970s,0.22302,0,0.01439,0,0.38849,0.00719,0.36691,
H2,1980s,0.27907,0.06977,0,0,0.34884,0.04651,0.25581,
H2,1990s,0.0,0,0,0.07429,0.6,0.01714,0.30857,
H2,2000s,0.0,0,0,0.04098,0.62295,0,0.33607,
H2,2010s,0.0,0,0,0,0.22222,0,0.77778,
H3,pre-1950,0.06593,0.03297,0.05495,0.04396,0.27473,0.18681,0.34066,
H3,1950s,0.15385,0,0.05128,0,0.46154,0.07692,0.25641,
H3,1960s,0.05769,0,0.01923,0,0.59615,0.09615,0.23077,
H3,1970s,0.02941,0,0,0.04412,0.38235,0.05882,0.48529,
H3,1980s,0.0,0,0,0,0.44186,0.06977,0.48837,
H3,1990s,0.0,0,0,0,0.38298,0,0.61702,
H3,2000s,0.0,0,0,0,0.4375,0,0.5625,
H3,2010s,0.0,0,0,0,0.875,0,0.125,
