,,,,
Category Name,Daytime Occupancy,Option Name,Value,Source
Refrigerator Schedule,Yes,Standard,1,Engineering judgment
Cooking Range Schedule,Yes,Standard,1,Engineering judgment
Clothes Dryer Schedule,Yes,Standard,1,Engineering judgment
Extra Refrigerator Schedule,Yes,Standard,1,Engineering judgment
Freezer Schedule,Yes,Standard,1,Engineering judgment
Pool Heater Schedule,Yes,Standard,1,Engineering judgment
Pool Pump Schedule,Yes,Standard,1,Engineering judgment
Hot Tub/Spa Heater Schedule,Yes,Standard,1,Engineering judgment
Hot Tub/Spa Pump Schedule,Yes,Standard,1,Engineering judgment
Well Pump Schedule,Yes,Standard,1,Engineering judgment
Gas Fireplace Schedule,Yes,Standard,1,Engineering judgment
Gas Grill Schedule,Yes,Standard,1,Engineering judgment
Gas Lighting Schedule,Yes,Standard,1,Engineering judgment
Plug Loads Schedule,Yes,Standard,1,Engineering judgment
Refrigerator Schedule,No,Standard,1,Engineering judgment
Cooking Range Schedule,No,Standard,1,Engineering judgment
Clothes Dryer Schedule,No,Standard,1,Engineering judgment
Extra Refrigerator Schedule,No,Standard,1,Engineering judgment
Freezer Schedule,No,Standard,1,Engineering judgment
Pool Heater Schedule,No,Standard,1,Engineering judgment
Pool Pump Schedule,No,Standard,1,Engineering judgment
Hot Tub/Spa Heater Schedule,No,Standard,1,Engineering judgment
Hot Tub/Spa Pump Schedule,No,Standard,1,Engineering judgment
Well Pump Schedule,No,Standard,1,Engineering judgment
Gas Fireplace Schedule,No,Standard,1,Engineering judgment
Gas Grill Schedule,No,Standard,1,Engineering judgment
Gas Lighting Schedule,No,Standard,1,Engineering judgment
Plug Loads Schedule,No,Standard,1,Engineering judgment
Refrigerator Schedule,Average,Standard,1,Engineering judgment
Cooking Range Schedule,Average,Standard,1,Engineering judgment
Clothes Dryer Schedule,Average,Standard,1,Engineering judgment
Extra Refrigerator Schedule,Average,Standard,1,Engineering judgment
Freezer Schedule,Average,Standard,1,Engineering judgment
Pool Heater Schedule,Average,Standard,1,Engineering judgment
Pool Pump Schedule,Average,Standard,1,Engineering judgment
Hot Tub/Spa Heater Schedule,Average,Standard,1,Engineering judgment
Hot Tub/Spa Pump Schedule,Average,Standard,1,Engineering judgment
Well Pump Schedule,Average,Standard,1,Engineering judgment
Gas Fireplace Schedule,Average,Standard,1,Engineering judgment
Gas Grill Schedule,Average,Standard,1,Engineering judgment
Gas Lighting Schedule,Average,Standard,1,Engineering judgment
Plug Loads Schedule,Average,Standard,1,Engineering judgment
,,,,
,,,,
,,,,
,,,,
,,,,
