Building,Usage Level,Orientation,Eaves,Door Area,Overhangs,Interior Shading,Doors,Hot Water Fixtures,Solar Hot Water,Dehumidifier,Refrigeration Schedule,Lighting Interior Use,Lighting Other Use,Holiday Lighting,Plug Load Diversity,Electric Vehicle,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Pool Schedule,Misc Well Pump,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,PV,ASHRAE IECC Climate Zone 2004,County,AHS Region,State,Location Region,Census Division,Census Division RECS,Census Region,ISO RTO Region,Building America Climate Zone,PUMA,Geometry Building Type ACS,Vintage,Vintage ACS,Geometry Building Type RECS,Heating Fuel,Geometry Building Number Units HL,Geometry Foundation Type,Geometry Wall Type,Geometry Floor Area,Geometry Floor Area Bin,Geometry Stories,Geometry Building Number Units MF,Geometry Building Number Units SFA,Geometry Garage,Bedrooms,Corridor,Geometry Building Has Rear Units MF,Occupants,Vacancy Status,Window Areas,Neighbors,Insulation Unfinished Attic,Insulation Finished Roof,Radiant Barrier,Roof Material Unfinished Attic,Roof Material Finished Roof,Insulation Slab,Insulation Crawlspace,Insulation Unfinished Basement,Insulation Finished Basement,Insulation Pier Beam,Insulation Interzonal Floor,Insulation Wall,Windows,Water Heater In Unit,Water Heater Fuel,Water Heater Efficiency,Hot Water Distribution,HVAC Heating Type,HVAC Cooling Type,HVAC Has Shared System,HVAC Shared Efficiencies,HVAC Heating Efficiency,HVAC Heating Type And Fuel,HVAC Cooling Efficiency,Heating Setpoint,Cooling Setpoint,Heating Setpoint Has Offset,Cooling Setpoint Has Offset,Heating Setpoint Offset Magnitude,Cooling Setpoint Offset Magnitude,Cooling Setpoint Offset Period,Heating Setpoint Offset Period,Ceiling Fan,Refrigerator,Cooking Range,Dishwasher,Clothes Washer Presence,Clothes Washer,Clothes Dryer,Lighting,Plug Loads,Misc Extra Refrigerator,Misc Freezer,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,HVAC Has Ducts,Ducts,Infiltration
1,High,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour4,Hour19,None,5A,"MI, Wayne County","CBSA Detroit-Warren-Dearborn, MI",MI,CR04,East North Central,East North Central,Midwest,MISO,Cold,"MI, 03208",20 to 49 Unit,1960s,1960-79,Multi-Family with 5+ Units,Electricity,20 to 49 Units low,Slab,Masonry,500-749,0-1499,2,20,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F12 B12 L12 R12,27,None,R-49,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"CMU, 6-in Hollow, Uninsulated",1 Pane,No,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,72F,70F,No,No,0F,0F,None,None,None,EF 17.6,"Electric, 120% Usage",None,None,None,None,100% Incandescent,89%,None,None,None,None,None,None,No,None,20 ACH50
2,Medium,Northwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour11,Hour6,None,3A,"GA, Muscogee County",Non-CBSA South Atlantic,GA,CR09,South Atlantic,South Atlantic,South,None,Mixed-Humid,"GA, 01700",5 to 9 Unit,2000s,2000-09,Multi-Family with 5+ Units,Electricity,5 to 9 Units low,Slab,Masonry,1000-1499,0-1499,3,6,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F9 B9 L9 R9,27,None,R-30,None,None,"Asphalt Shingles, Medium",2ft R10 Exterior,None,None,None,None,R-13,"CMU, 6-in Hollow, R-15",1 Pane,Yes,Electricity,Electric Standard,"Uninsulated, HomeRun, PEX",Ducted Heat Pump,Heat Pump,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,70F,75F,No,No,0F,0F,None,None,None,EF 15.9,"Electric, 100% Usage",None,None,None,None,100% Incandescent,106%,None,None,None,None,None,None,Yes,"20% Leakage, R-8",10 ACH50
3,High,Northwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour20,Hour16,None,2A,"TX, Harris County","CBSA Houston-The Woodlands-Sugar Land, TX",TX,CR09,West South Central,West South Central,South,ERCOT,Hot-Humid,"TX, 04613",50 or more Unit,2000s,2000-09,Multi-Family with 5+ Units,Electricity,50 or more Units high,Slab,Masonry,750-999,0-1499,3,54,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F30 B30 L30 R30,27,None,R-19,None,None,"Asphalt Shingles, Medium",2ft R5 Exterior,None,None,None,None,R-13,"CMU, 6-in Hollow, R-11",2+ Pane,Yes,Electricity,Electric Standard,"Uninsulated, HomeRun, PEX",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,70F,75F,Yes,Yes,6F,5F,Day Setup +1h,Night +5h,None,EF 17.6,"Electric, 120% Usage","318 Rated kWh, 120% Usage",Yes,"EnergyStar, 120% Usage","Electric, 120% Usage",100% CFL,104%,None,None,None,None,None,None,Yes,"10% Leakage, R-8",10 ACH50
4,Low,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour7,Hour18,None,4C,"OR, Lane County",Non-CBSA Pacific,OR,CR06,Pacific,Pacific,West,None,Marine,"OR, 00703",50 or more Unit,1960s,1960-79,Multi-Family with 5+ Units,Electricity,50 or more Units low,Crawl,Masonry,500-749,0-1499,2,54,None,None,3,Double-Loaded Interior,No,2,Occupied,F9 B9 L9 R9,12,None,R-13,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"CMU, 6-in Hollow, Uninsulated",1 Pane,No,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,None,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,65F,67F,Yes,Yes,3F,2F,Night Setback -2h,Night -3h,Standard Efficiency,EF 17.6,"Electric, 80% Usage",None,Yes,"EnergyStar, 80% Usage","Electric, 80% Usage",100% CFL,93%,None,None,None,None,None,None,No,None,20 ACH50
5,High,Southwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour3,Hour17,None,3A,"TX, Collin County","CBSA Dallas-Fort Worth-Arlington, TX",TX,CR09,West South Central,West South Central,South,ERCOT,Hot-Humid,"TX, 01905",5 to 9 Unit,2000s,2000-09,Multi-Family with 5+ Units,Electricity,5 to 9 Units low,Crawl,WoodStud,750-999,0-1499,3,9,None,None,2,Double-Loaded Interior,No,1,Occupied,F18 B18 L18 R18,7,None,R-30,None,None,"Asphalt Shingles, Medium",None,"Ceiling R-19, Vented",None,None,None,R-13,"Wood Stud, R-11",1 Pane,Yes,Electricity,Electric Standard,"Uninsulated, HomeRun, PEX",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,75F,78F,Yes,No,12F,0F,None,Day and Night -1h,None,EF 17.6,"Electric, 120% Usage",None,Yes,"EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,104%,None,None,None,None,None,None,Yes,"20% Leakage, R-6",15 ACH50
6,High,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour0,Hour15,None,5A,"IL, Winnebago County",Non-CBSA East North Central,IL,CR04,East North Central,East North Central,Midwest,PJM,Cold,"IL, 02801",2 Unit,<1940,<1940,Multi-Family with 2 - 4 Units,Natural Gas,<5,Unheated Basement,WoodStud,0-499,0-1499,1,2,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F18 B18 L18 R18,4,None,R-13,None,None,Composition Shingles,None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,No,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,Heating Only,"Boiler Baseboards Heating Only, Natural Gas",Shared Heating,Natural Gas Shared Heating,"Room AC, EER 10.7",70F,67F,No,No,0F,0F,None,None,Standard Efficiency,EF 17.6,"Gas, 120% Usage",None,Yes,"EnergyStar, 120% Usage","Electric, 120% Usage",100% CFL,96%,None,None,None,None,None,None,No,None,25 ACH50
7,Medium,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour4,Hour16,None,6B,"WY, Laramie County",Non-CBSA Mountain,WY,CR05,Mountain,Mountain North,West,None,Cold,"WY, 00300",3 or 4 Unit,1980s,1980-99,Multi-Family with 2 - 4 Units,Electricity,<5,Slab,WoodStud,1000-1499,0-1499,1,4,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F18 B18 L18 R18,27,None,R-30,None,None,Wood Shingles,Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, R-11",1 Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,None,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,72F,67F,Yes,No,6F,0F,None,Night -4h,None,EF 17.6,"Electric, 100% Usage",None,None,None,None,100% CFL,96%,None,None,None,None,None,None,No,None,15 ACH50
8,Low,Northeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour20,Hour11,None,2B,"AZ, Maricopa County","CBSA Phoenix-Mesa-Scottsdale, AZ",AZ,CR10,Mountain,Mountain South,West,None,Hot-Dry,"AZ, 00111",50 or more Unit,1990s,1980-99,Multi-Family with 5+ Units,Electricity,50 or more Units low,Slab,Masonry,500-749,0-1499,3,54,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F30 B30 L30 R30,None,None,R-13,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"CMU, 6-in Hollow, R-19",2+ Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,70F,68F,No,No,0F,0F,None,None,None,EF 17.6,"Gas, 80% Usage","318 Rated kWh, 80% Usage",Yes,"Standard, 80% Usage","Electric, 80% Usage",100% CFL,106%,None,None,None,None,None,None,Yes,"20% Leakage, R-4",15 ACH50
9,Low,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour10,Hour12,None,3B,"CA, San Diego County",Non-CBSA Pacific,CA,CR11,Pacific,Pacific,West,CAISO,Hot-Dry,"CA, 07316",50 or more Unit,2000s,2000-09,Multi-Family with 5+ Units,Electricity,50 or more Units high,Slab,Masonry,1000-1499,0-1499,3,54,None,None,3,Double-Loaded Interior,Yes,2,Occupied,F30 B30 L30 R30,12,None,Uninsulated,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-19,"CMU, 6-in Hollow, R-11",1 Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, HomeRun, PEX",Ducted Heat Pump,Heat Pump,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,60F,76F,Yes,No,12F,0F,None,Night +4h,Standard Efficiency,EF 17.6,"Gas, 80% Usage",None,None,None,None,100% Incandescent,93%,None,None,None,None,None,None,Yes,"30% Leakage, R-8",15 ACH50
10,Low,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour19,Hour17,None,6B,"MT, Flathead County",Non-CBSA Mountain,MT,CR05,Mountain,Mountain North,West,None,Cold,"MT, 00100",3 or 4 Unit,1980s,1980-99,Multi-Family with 2 - 4 Units,Electricity,<5,Unheated Basement,Masonry,500-749,0-1499,1,4,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F12 B12 L12 R12,12,None,R-19,None,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"CMU, 6-in Hollow, R-11",1 Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,70F,72F,No,Yes,0F,5F,Day Setup,None,Standard Efficiency,EF 17.6,"Electric, 80% Usage","318 Rated kWh, 80% Usage",Yes,"EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,96%,None,None,None,None,None,None,No,None,20 ACH50
