Building,Usage Level,Corridor,Eaves,Door Area,Overhangs,Interior Shading,Doors,Hot Water Fixtures,Solar Hot Water,Ceiling Fan,Dehumidifier,Refrigeration Schedule,Lighting,Lighting Interior Use,Lighting Other Use,Holiday Lighting,Plug Loads,Electric Vehicle,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Pool Schedule,Misc Well Pump,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,PV,ASHRAE IECC Climate Zone 2004,County,Location,AHS Region,State,Location Region,Census Division,Census Region,ISO RTO Region,Building America Climate Zone,PUMA,Geometry Building Type ACS,Vintage,Vintage ACS,Geometry Building Type RECS,Heating Fuel,Geometry Building Number Units HL,Geometry Foundation Type,Geometry Wall Type,Geometry Floor Area,Geometry Floor Area Bin,Geometry Stories,Geometry Building Level MF,Geometry Building Number Units MF,Geometry Building Has Rear Units MF,Geometry Building Horizontal Location MF,Geometry Building Number Units SFA,Geometry Building Horizontal Location SFA,Geometry Garage,Bedrooms,Occupants,Vacancy Status,Orientation,Window Areas,Neighbors,Insulation Unfinished Attic,Insulation Finished Roof,Radiant Barrier,Roof Material Unfinished Attic,Roof Material Finished Roof,Insulation Slab,Insulation Crawlspace,Insulation Unfinished Basement,Insulation Finished Basement,Insulation Pier Beam,Insulation Interzonal Floor,Insulation Wall,Windows,Water Heater,Hot Water Distribution,HVAC System Is Shared,HVAC System Shared Electricity,HVAC System Shared Natural Gas,HVAC System Shared Propane,HVAC System Shared Fuel Oil,HVAC System Shared Other Fuel,HVAC System Shared None,HVAC System Is Heat Pump,HVAC System Heat Pump,HVAC System Heating Electricity,HVAC System Heating Natural Gas,HVAC System Heating Propane,HVAC System Heating Fuel Oil,HVAC System Heating Other Fuel,HVAC System Heating None,HVAC System Cooling,HVAC System Cooling Type,Heating Setpoint,Cooling Setpoint,Heating Setpoint Has Offset,Cooling Setpoint Has Offset,Heating Setpoint Offset Magnitude,Cooling Setpoint Offset Magnitude,Cooling Setpoint Offset Period,Heating Setpoint Offset Period,Refrigerator,Cooking Range,Dishwasher,Clothes Washer Presence,Clothes Washer,Clothes Dryer,Misc Extra Refrigerator,Misc Freezer,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,Ducts,Infiltration,Geometry Perimeter Footprint Ratio
1,Medium,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,Standard Efficiency,None,National Average,100% Incandescent,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour4,Hour19,None,4A,"PA, Philadelphia County",PA_Philadelphia.Intl.AP.724080,"CBSA Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PA,CR07,Middle Atlantic,Northeast,PJM,Mixed-Humid,"PA, 03204",Single-Family Attached,<1940,<1940,Single-Family Attached,Natural Gas,<5,Heated Basement,WoodStud,2500-2999,2500-3999,2,None,None,No,None,12,None,None,3,4,Occupied,Southwest,F12 B12 L12 R12,12,"Ceiling R-38, Vented",None,No,"Asphalt Shingles, Medium",None,None,None,None,Uninsulated,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"AC, SEER 10",Central,67F,76F,Yes,No,6F,0F,None,Night -4h,EF 17.6,"Electric, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Gas, 100% Usage",EF 15.9,None,None,None,None,None,In Finished Space,50 ACH50,0.13
2,Medium,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,Standard Efficiency,None,National Average,100% LED,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour17,Hour16,None,4A,"VA, Fredericksburg city",VA_Sterling-Washington.Dulles.Intl.AP.724030,"CBSA Washington-Arlington-Alexandria, DC-VA-MD-WV",VA,CR08,South Atlantic,South,PJM,Mixed-Humid,"VA, 51115",Single-Family Attached,1990s,1980-99,Single-Family Attached,Electricity,<5,Crawl,WoodStud,2000-2499,1500-2499,3,None,None,No,None,6,None,2 Car,4,2,Occupied,West,F30 B30 L30 R30,4,"Ceiling R-30, Vented",None,No,"Asphalt Shingles, Medium",None,None,"Wall R-10, Unvented",None,None,None,Uninsulated,"Wood Stud, R-11",1 Pane,Electric Standard,"Uninsulated, TrunkBranch, Copper",Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,70F,72F,No,No,0F,0F,None,None,EF 15.9,"Electric, 100% Usage","318 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",None,None,None,None,None,None,"10% Leakage, Uninsulated",40 ACH50,0.13
3,Low,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,Standard Efficiency,None,National Average,100% Incandescent,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour22,Hour8,None,4A,"MD, Baltimore County",MD_Baltimore-Washington.Intl.AP.724060,Non-CBSA South Atlantic,MD,CR08,South Atlantic,South,PJM,Mixed-Humid,"MD, 00505",Single-Family Attached,1980s,1980-99,Single-Family Attached,Electricity,<5,Heated Basement,WoodStud,1000-1499,0-1499,2,None,None,No,None,50,None,None,3,3,Occupied,South,F12 B12 L12 R12,7,"Ceiling R-19, Vented",None,No,"Asphalt Shingles, Medium",None,None,None,None,Wall R-10,None,R-19,"Wood Stud, R-11",1 Pane,Electric Standard,"Uninsulated, TrunkBranch, Copper",Neither Shared,None,None,None,None,None,None,Yes,"ASHP, SEER 13, 7.7 HSPF",None,None,None,None,None,None,None,Central,65F,60F,Yes,Yes,12F,5F,Night Setup -1h,Night -5h,EF 17.6,"Electric, 80% Usage",None,Yes,"Standard, 80% Usage","Electric, 80% Usage",None,None,None,None,None,None,In Finished Space,40 ACH50,0.13
4,Low,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,Standard Efficiency,None,National Average,100% Incandescent,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour23,Hour8,None,5A,"PA, Lancaster County",PA_Allentown-Lehigh.Valley.Intl.AP.725170,Non-CBSA Middle Atlantic,PA,CR07,Middle Atlantic,Northeast,PJM,Cold,"PA, 03503",Single-Family Attached,<1940,<1940,Single-Family Attached,Fuel Oil,<5,Unheated Basement,WoodStud,1000-1499,0-1499,1,None,None,No,None,5,None,None,3,1,Occupied,Northwest,F12 B12 L12 R12,12,"Ceiling R-7, Vented",None,No,"Asphalt Shingles, Medium",None,None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Oil Standard,"Uninsulated, TrunkBranch, Copper",Neither Shared,None,None,None,None,None,None,No,None,None,None,None,"Oil Furnace, 80% AFUE",None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,70F,75F,No,No,0F,0F,None,None,EF 17.6,"Electric, 80% Usage","290 Rated kWh, 80% Usage",Yes,"EnergyStar, 80% Usage","Electric, 80% Usage",None,None,None,None,None,None,"20% Leakage, Uninsulated",40 ACH50,0.13
5,Medium,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,Standard Efficiency,None,National Average,100% CFL,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour8,Hour10,None,5B,"CO, Jefferson County",CO_Boulder-Broomfield-Jefferson.County.AP.724699,Non-CBSA Mountain,CO,CR05,Mountain,West,None,Cold,"CO, 00819",Single-Family Attached,1980s,1980-99,Single-Family Attached,Natural Gas,<5,Crawl,WoodStud,750-999,0-1499,2,None,None,No,None,8,None,None,2,1,Occupied,North,F9 B9 L9 R9,7,"Ceiling R-19, Vented",None,No,"Asphalt Shingles, Medium",None,None,"Wall R-10, Unvented",None,None,None,R-19,"Wood Stud, R-11",1 Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Furnace, 92.5% AFUE",None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,68F,68F,Yes,No,6F,0F,None,Night -4h,EF 17.6,"Electric, 100% Usage","318 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",None,None,None,None,None,None,"10% Leakage, Uninsulated",15 ACH50,0.13
6,Medium,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,None,National Average,100% CFL,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,Gas Lighting,National Average,None,"Year-Round, 3 days/wk",None,Hour21,Hour8,None,4A,"PA, Philadelphia County",PA_Philadelphia.Intl.AP.724080,"CBSA Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PA,CR07,Middle Atlantic,Northeast,PJM,Mixed-Humid,"PA, 03202",Single-Family Attached,1950s,1940-59,Single-Family Attached,Natural Gas,<5,Unheated Basement,Masonry,1500-1999,1500-2499,2,None,None,No,None,5,None,None,5,5,Occupied,South,F15 B15 L15 R15,12,"Ceiling R-30, Vented",None,No,"Asphalt Shingles, Medium",None,None,None,Uninsulated,None,None,Uninsulated,"CMU, 6-in Hollow, Uninsulated",1 Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Furnace, 76% AFUE",None,None,None,None,"FIXME Room AC, EER 8.5, 20% Conditioned",Room,70F,78F,Yes,Yes,3F,2F,Day and Night Setup +3h,Night -4h,EF 17.6,"Electric, 100% Usage",None,Yes,"Standard, 100% Usage","Gas, 100% Usage",None,None,None,None,None,None,"20% Leakage, Uninsulated",25 ACH50,0.13
7,Medium,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,Standard Efficiency,None,National Average,100% Incandescent,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour5,Hour17,None,5A,"PA, Cumberland County",PA_Harrisburg-Capital.City.AP.725118,Non-CBSA Middle Atlantic,PA,CR07,Middle Atlantic,Northeast,PJM,Cold,"PA, 02302",Single-Family Attached,2000s,2000-09,Single-Family Attached,Natural Gas,<5,Unheated Basement,WoodStud,2500-2999,2500-3999,1,None,None,No,None,8,None,2 Car,4,4,Occupied,West,F6 B6 L6 R6,27,"Ceiling R-30, Vented",None,No,"Asphalt Shingles, Medium",None,None,None,Ceiling R-19,None,None,R-19,"Wood Stud, R-19",1 Pane,Gas Standard,"Uninsulated, HomeRun, PEX",Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Furnace, 92.5% AFUE",None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,70F,67F,Yes,Yes,12F,2F,Day Setup -2h,Night,EF 17.6,"Gas, 100% Usage",None,Yes,"Standard, 100% Usage","Electric, 100% Usage",None,None,None,None,None,None,"30% Leakage, R-6",6 ACH50,0.13
8,Medium,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,Standard Efficiency,None,National Average,100% CFL,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour4,Hour18,None,4A,"NY, Richmond County",NJ_Newark.Intl.AP.725020,"CBSA New York-Newark-Jersey City, NY-NJ-PA",NY,CR07,Middle Atlantic,Northeast,NYISO,Mixed-Humid,"NY, 03903",Single-Family Attached,1990s,1980-99,Single-Family Attached,Natural Gas,<5,Crawl,Masonry,750-999,0-1499,2,None,None,No,None,5,None,None,1,1,Occupied,Southwest,F15 B15 L15 R15,7,"Ceiling R-30, Vented",None,No,"Asphalt Shingles, Medium",None,None,"Ceiling R-19, Vented",None,None,None,R-19,"CMU, 6-in Hollow, R-19",1 Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Furnace, 92.5% AFUE",None,None,None,None,"AC, SEER 13",Central,70F,72F,Yes,No,3F,0F,None,Day and Night +5h,EF 15.9,"Electric, 100% Usage","290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Gas, 100% Usage",None,None,None,None,None,None,"20% Leakage, Uninsulated",15 ACH50,0.13
9,High,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,None,National Average,100% CFL,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour23,Hour18,None,3B,"CA, San Diego County",CA_San.Diego-Lindbergh.Field.722900,Non-CBSA Pacific,CA,CR11,Pacific,West,CAISO,Hot-Dry,"CA, 07301",Single-Family Attached,1970s,1960-79,Single-Family Attached,Natural Gas,<5,Slab,WoodStud,750-999,0-1499,1,None,None,No,None,6,None,None,3,2,Occupied,East,F12 B12 L12 R12,27,"Ceiling R-38, Vented",None,No,"Asphalt Shingles, Medium",None,Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, R-7",1 Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Wall/Floor Furnace, 60% AFUE",None,None,None,None,"AC, SEER 13",Central,70F,78F,No,Yes,0F,5F,Day Setup +2h,None,EF 17.6,"Gas, 120% Usage",None,Yes,"EnergyStar, 120% Usage","Electric, 120% Usage",None,None,None,None,None,None,"10% Leakage, R-4",15 ACH50,0.13
10,Medium,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,Standard Efficiency,None,National Average,100% CFL,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour5,Hour17,None,4A,"DC, District of Columbia",VA_Sterling-Washington.Dulles.Intl.AP.724030,"CBSA Washington-Arlington-Alexandria, DC-VA-MD-WV",DC,CR08,South Atlantic,South,PJM,Mixed-Humid,"DC, 00103",Single-Family Attached,<1940,<1940,Single-Family Attached,Natural Gas,<5,Heated Basement,Masonry,1000-1499,0-1499,2,None,None,No,None,16,None,None,3,3,Occupied,East,F18 B18 L18 R18,27,"Ceiling R-13, Vented",None,No,"Asphalt Shingles, Medium",None,None,None,None,Uninsulated,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",2+ Pane,Electric Standard,"Uninsulated, TrunkBranch, Copper",Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Furnace, 92.5% AFUE",None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,68F,70F,No,No,0F,0F,None,None,EF 17.6,"Electric, 100% Usage","318 Rated kWh, 100% Usage",Yes,"Standard, 100% Usage","Electric, 100% Usage",None,None,None,None,None,None,In Finished Space,40 ACH50,0.13
