Building,Usage Level,Corridor,Eaves,Door Area,Overhangs,Interior Shading,Doors,Hot Water Fixtures,Solar Hot Water,Ceiling Fan,Dehumidifier,Refrigeration Schedule,Lighting,Lighting Interior Use,Lighting Other Use,Holiday Lighting,Plug Loads,Electric Vehicle,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Pool Schedule,Misc Well Pump,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,PV,ASHRAE IECC Climate Zone 2004,County,Location,AHS Region,State,Location Region,Census Division,Census Region,ISO RTO Region,Building America Climate Zone,PUMA,Geometry Building Type ACS,Vintage,Vintage ACS,Geometry Building Type RECS,Heating Fuel,Geometry Building Number Units HL,Geometry Foundation Type,Geometry Wall Type,Geometry Floor Area,Geometry Floor Area Bin,Geometry Stories,Geometry Building Level MF,Geometry Building Number Units MF,Geometry Building Has Rear Units MF,Geometry Building Horizontal Location MF,Geometry Building Number Units SFA,Geometry Building Horizontal Location SFA,Geometry Garage,Bedrooms,Occupants,Vacancy Status,Orientation,Window Areas,Neighbors,Insulation Unfinished Attic,Insulation Finished Roof,Radiant Barrier,Roof Material Unfinished Attic,Roof Material Finished Roof,Insulation Slab,Insulation Crawlspace,Insulation Unfinished Basement,Insulation Finished Basement,Insulation Pier Beam,Insulation Interzonal Floor,Insulation Wall,Windows,Water Heater,Hot Water Distribution,HVAC System Is Shared,HVAC System Shared Electricity,HVAC System Shared Natural Gas,HVAC System Shared Propane,HVAC System Shared Fuel Oil,HVAC System Shared Other Fuel,HVAC System Shared None,HVAC System Is Heat Pump,HVAC System Heat Pump,HVAC System Heating Electricity,HVAC System Heating Natural Gas,HVAC System Heating Propane,HVAC System Heating Fuel Oil,HVAC System Heating Other Fuel,HVAC System Heating None,HVAC System Cooling,HVAC System Cooling Type,Heating Setpoint,Cooling Setpoint,Heating Setpoint Has Offset,Cooling Setpoint Has Offset,Heating Setpoint Offset Magnitude,Cooling Setpoint Offset Magnitude,Cooling Setpoint Offset Period,Heating Setpoint Offset Period,Refrigerator,Cooking Range,Dishwasher,Clothes Washer Presence,Clothes Washer,Clothes Dryer,Misc Extra Refrigerator,Misc Freezer,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,Ducts,Infiltration,Geometry Perimeter Footprint Ratio
1,Low,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,Standard Efficiency,None,National Average,100% Incandescent,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour22,Hour17,None,4A,"MO, St. Louis city",MO_St.Louis-Lambert.Intl.AP.724340,Non-CBSA West North Central,MO,CR08,West North Central,Midwest,MISO,Mixed-Humid,"MO, 01901",50 or more Unit,<1940,<1940,Multi-Family with 5+ Units,Electricity,50 or more Units high,Unheated Basement,Masonry,0-499,0-1499,1,None,54,No,None,None,None,None,1,1,Occupied,North,F30 B30 L30 R30,27,None,R-30,None,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",1 Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Neither Shared,None,None,None,None,None,None,Yes,"ASHP, SEER 13, 7.7 HSPF",None,None,None,None,None,None,None,Central,65F,68F,Yes,Yes,3F,2F,Day Setup -5h,Day and Night -5h,EF 17.6,"Electric, 80% Usage",None,None,None,None,None,None,None,None,None,None,"30% Leakage, Uninsulated",40 ACH50,0.13
2,Medium,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,Standard Efficiency,None,National Average,100% LED,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour22,Hour18,None,4A,"NY, Bronx County",NY_New.York-J.F.Kennedy.Intl.AP.744860,"CBSA New York-Newark-Jersey City, NY-NJ-PA",NY,CR07,Middle Atlantic,Northeast,NYISO,Mixed-Humid,"NY, 03709",50 or more Unit,<1940,<1940,Multi-Family with 5+ Units,Natural Gas,50 or more Units high,Unheated Basement,Masonry,500-749,0-1499,3,None,54,No,None,None,None,None,1,1,Occupied,Northwest,F30 B30 L30 R30,4,None,R-30,None,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",1 Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Only Heating Shared,None,None,None,None,None,None,No,None,None,"Gas Boiler, 80% AFUE",None,None,None,None,None,None,68F,68F,No,Yes,0F,5F,Day and Night Setup -5h,None,EF 17.6,"Gas, 100% Usage",None,None,None,None,None,None,None,None,None,None,"10% Leakage, Uninsulated",20 ACH50,0.13
3,Medium,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,Standard Efficiency,None,National Average,100% CFL,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour0,Hour17,None,5A,"MA, Suffolk County",MA_Boston-Logan.Intl.AP.725090,"CBSA Boston-Cambridge-Newton, MA-NH",MA,CR03,New England,Northeast,NEISO,Cold,"MA, 03303",3 or 4 Unit,<1940,<1940,Multi-Family with 2 - 4 Units,Natural Gas,<5,Unheated Basement,WoodStud,750-999,0-1499,1,None,4,No,None,None,None,None,1,6,Occupied,Southeast,F6 B6 L6 R6,12,None,R-30,None,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"FIXME Room AC, EER 8.5, 20% Conditioned",Room,70F,70F,Yes,Yes,3F,9F,Day Setup +1h,Day and Night,EF 17.6,"Electric, 100% Usage",None,Yes,"Standard, 100% Usage","Electric, 100% Usage",None,None,None,None,None,None,"30% Leakage, Uninsulated",30 ACH50,0.13
4,Medium,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,Standard Efficiency,None,National Average,100% CFL,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour4,Hour17,None,5A,"IL, Cook County",IL_Chicago-OHare.Intl.AP.725300,"CBSA Chicago-Naperville-Elgin, IL-IN-WI",IL,CR04,East North Central,Midwest,PJM,Cold,"IL, 03529",5 to 9 Unit,<1940,<1940,Multi-Family with 5+ Units,Natural Gas,5 to 9 Units low,Unheated Basement,Masonry,0-499,0-1499,3,None,9,No,None,None,None,None,1,1,Occupied,West,F12 B12 L12 R12,27,None,R-13,None,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",1 Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Boiler, 80% AFUE",None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,68F,67F,Yes,No,6F,0F,None,Night -5h,EF 17.6,"Gas, 100% Usage",None,Yes,"Standard, 100% Usage","Gas, 100% Usage",None,None,None,None,None,None,"10% Leakage, Uninsulated",25 ACH50,0.13
5,Medium,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,Standard Efficiency,None,National Average,100% CFL,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour17,Hour8,None,5A,"IL, Cook County",IL_Chicago-OHare.Intl.AP.725300,"CBSA Chicago-Naperville-Elgin, IL-IN-WI",IL,CR04,East North Central,Midwest,PJM,Cold,"IL, 03521",2 Unit,<1940,<1940,Multi-Family with 2 - 4 Units,Natural Gas,<5,Unheated Basement,WoodStud,1500-1999,1500-2499,1,None,2,No,None,None,None,None,2,2,Occupied,Northwest,F12 B12 L12 R12,27,None,R-13,None,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated",2+ Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Furnace, 92.5% AFUE",None,None,None,None,None,None,72F,68F,Yes,No,3F,0F,None,Night -3h,EF 17.6,"Electric, 100% Usage","318 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Gas, 100% Usage",None,None,None,None,None,None,"20% Leakage, Uninsulated",20 ACH50,0.13
6,Medium,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,None,National Average,100% Incandescent,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour11,Hour19,None,4A,"NY, New York County",NJ_Newark.Intl.AP.725020,"CBSA New York-Newark-Jersey City, NY-NJ-PA",NY,CR07,Middle Atlantic,Northeast,NYISO,Mixed-Humid,"NY, 03804",50 or more Unit,1950s,1940-59,Multi-Family with 5+ Units,Natural Gas,50 or more Units high,Unheated Basement,Masonry,0-499,0-1499,2,None,54,No,None,None,None,None,1,2,Occupied,East,F30 B30 L30 R30,12,None,R-30,None,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"CMU, 6-in Hollow, Uninsulated",1 Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Only Heating Shared,None,None,None,None,None,None,No,None,None,"Gas Boiler, 80% AFUE",None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,65F,78F,Yes,Yes,3F,5F,Day and Night Setup -1h,Night +1h,EF 15.9,"Gas, 100% Usage","318 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Gas, 100% Usage",None,None,None,None,None,None,"10% Leakage, Uninsulated",50 ACH50,0.13
7,Medium,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,None,National Average,100% CFL,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour9,Hour8,None,4A,"NY, Queens County",NY_New.York-J.F.Kennedy.Intl.AP.744860,"CBSA New York-Newark-Jersey City, NY-NJ-PA",NY,CR07,Middle Atlantic,Northeast,NYISO,Mixed-Humid,"NY, 04106",50 or more Unit,1950s,1940-59,Multi-Family with 5+ Units,Natural Gas,50 or more Units high,Unheated Basement,Masonry,500-749,0-1499,2,None,54,No,None,None,None,None,1,1,Occupied,Northeast,F30 B30 L30 R30,12,None,Uninsulated,None,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"CMU, 6-in Hollow, Uninsulated",1 Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Only Heating Shared,None,None,None,None,None,None,No,None,None,"Gas Boiler, 80% AFUE",None,None,None,None,"AC, SEER 10",Central,68F,75F,Yes,Yes,6F,5F,Night Setback +4h,Night +4h,EF 17.6,"Gas, 100% Usage",None,None,None,None,None,None,None,None,None,None,"30% Leakage, Uninsulated",50 ACH50,0.13
8,Medium,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,None,National Average,100% Incandescent,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour3,Hour15,None,3C,"CA, San Francisco County",CA_San.Francisco.Intl.AP.724940,"CBSA San Francisco-Oakland-Hayward, CA",CA,CR11,Pacific,West,None,Marine,"CA, 07503",50 or more Unit,<1940,<1940,Multi-Family with 5+ Units,Electricity,50 or more Units low,Slab,Masonry,0-499,0-1499,3,None,54,No,None,None,None,None,1,1,Occupied,East,F15 B15 L15 R15,12,None,R-19,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",1 Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,"FIXME Room AC, EER 9.8, 20% Conditioned",Room,65F,67F,Yes,No,12F,0F,None,Night -4h,EF 17.6,"Gas, 100% Usage",None,None,None,None,None,None,None,None,None,None,"20% Leakage, R-4",20 ACH50,0.13
9,Medium,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,Standard Efficiency,None,National Average,100% Incandescent,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour10,Hour17,None,5A,"IL, Cook County",IL_Chicago-OHare.Intl.AP.725300,"CBSA Chicago-Naperville-Elgin, IL-IN-WI",IL,CR04,East North Central,Midwest,PJM,Cold,"IL, 03526",2 Unit,<1940,<1940,Multi-Family with 2 - 4 Units,Natural Gas,<5,Unheated Basement,Masonry,1000-1499,0-1499,1,None,2,No,None,None,None,None,2,2,Occupied,Southwest,F9 B9 L9 R9,12,None,Uninsulated,None,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",1 Pane,Electric Standard,"Uninsulated, TrunkBranch, Copper",Both Shared,None,None,None,None,None,None,No,None,None,"Gas Boiler, 80% AFUE",None,None,None,None,"AC, SEER 10",Central,70F,67F,Yes,Yes,3F,2F,Day Setup +4h,Night,EF 17.6,"Gas, 100% Usage",None,None,None,None,None,"EF 12, National Average",None,None,None,None,"20% Leakage, Uninsulated",25 ACH50,0.13
10,Medium,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,Standard Efficiency,None,National Average,100% Incandescent,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour4,Hour12,None,4A,"NY, Queens County",NY_New.York-J.F.Kennedy.Intl.AP.744860,"CBSA New York-Newark-Jersey City, NY-NJ-PA",NY,CR07,Middle Atlantic,Northeast,NYISO,Mixed-Humid,"NY, 04110",3 or 4 Unit,<1940,<1940,Multi-Family with 2 - 4 Units,Natural Gas,<5,Slab,Masonry,750-999,0-1499,1,None,3,No,None,None,None,None,2,4,Occupied,East,F18 B18 L18 R18,4,None,R-38,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",1 Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"AC, SEER 10",Central,68F,72F,Yes,No,6F,0F,None,Night +3h,EF 17.6,"Electric, 100% Usage",None,None,None,None,None,None,None,None,None,None,"20% Leakage, R-4",20 ACH50,0.13
