Building,Usage Level,Corridor,Eaves,Door Area,Overhangs,Interior Shading,Doors,Hot Water Fixtures,Solar Hot Water,Ceiling Fan,Dehumidifier,Refrigeration Schedule,Lighting,Lighting Interior Use,Lighting Other Use,Holiday Lighting,Plug Loads,Electric Vehicle,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Pool Schedule,Misc Well Pump,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,PV,ASHRAE IECC Climate Zone 2004,County,Location,AHS Region,State,Location Region,Census Division,Census Region,ISO RTO Region,Building America Climate Zone,PUMA,Geometry Building Type ACS,Vintage,Vintage ACS,Geometry Building Type RECS,Heating Fuel,Geometry Building Number Units HL,Geometry Foundation Type,Geometry Wall Type,Geometry Floor Area,Geometry Floor Area Bin,Geometry Stories,Geometry Building Level MF,Geometry Building Number Units MF,Geometry Building Has Rear Units MF,Geometry Building Horizontal Location MF,Geometry Building Number Units SFA,Geometry Building Horizontal Location SFA,Geometry Garage,Bedrooms,Occupants,Vacancy Status,Orientation,Window Areas,Neighbors,Insulation Unfinished Attic,Insulation Finished Roof,Radiant Barrier,Roof Material Unfinished Attic,Roof Material Finished Roof,Insulation Slab,Insulation Crawlspace,Insulation Unfinished Basement,Insulation Finished Basement,Insulation Pier Beam,Insulation Interzonal Floor,Insulation Wall,Windows,Water Heater,Hot Water Distribution,HVAC System Is Shared,HVAC System Shared Electricity,HVAC System Shared Natural Gas,HVAC System Shared Propane,HVAC System Shared Fuel Oil,HVAC System Shared Other Fuel,HVAC System Shared None,HVAC System Is Heat Pump,HVAC System Heat Pump,HVAC System Heating Electricity,HVAC System Heating Natural Gas,HVAC System Heating Propane,HVAC System Heating Fuel Oil,HVAC System Heating Other Fuel,HVAC System Heating None,HVAC System Cooling,HVAC System Cooling Type,Heating Setpoint,Cooling Setpoint,Heating Setpoint Has Offset,Cooling Setpoint Has Offset,Heating Setpoint Offset Magnitude,Cooling Setpoint Offset Magnitude,Cooling Setpoint Offset Period,Heating Setpoint Offset Period,Refrigerator,Cooking Range,Dishwasher,Clothes Washer Presence,Clothes Washer,Clothes Dryer,Misc Extra Refrigerator,Misc Freezer,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,Ducts,Infiltration,Geometry Perimeter Footprint Ratio
1,Medium,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,None,National Average,100% CFL,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour7,Hour14,None,4A,"NJ, Atlantic County",NJ_Atlantic.City.Intl.AP.724070,Non-CBSA Middle Atlantic,NJ,CR07,Middle Atlantic,Northeast,PJM,Mixed-Humid,"NJ, 00102",Single-Family Detached,1970s,1960-79,Single-Family Detached,Natural Gas,<5,Crawl,Masonry,2500-2999,2500-3999,1,None,None,No,None,None,None,2 Car,4,3,Occupied,East,F12 B12 L12 R12,Left/Right at 15ft,"Ceiling R-30, Vented",None,No,"Asphalt Shingles, Medium",None,None,"Uninsulated, Vented",None,None,None,Uninsulated,"CMU, 6-in Hollow, R-7",1 Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Furnace, 76% AFUE",None,None,None,None,"AC, SEER 10",Central,72F,70F,No,No,0F,0F,None,None,EF 15.9,"Gas, 100% Usage",None,Yes,"Standard, 100% Usage","Electric, 100% Usage",None,None,None,Has Pool,None,1.0 HP Pump,"20% Leakage, Uninsulated",20 ACH50,0.13
2,High,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,Standard Efficiency,None,National Average,100% CFL,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour5,Hour19,None,3B,"CA, Los Angeles County",CA_Los.Angeles.Intl.AP.722950,"CBSA Los Angeles-Long Beach-Anaheim, CA",CA,CR11,Pacific,West,None,Hot-Dry,"CA, 03703",Single-Family Detached,1980s,1980-99,Single-Family Detached,Natural Gas,<5,Unheated Basement,Masonry,1000-1499,0-1499,1,None,None,No,None,None,None,None,3,1,Occupied,West,F9 B9 L9 R9,Left/Right at 15ft,"Ceiling R-19, Vented",None,No,"Asphalt Shingles, Medium",None,None,None,Ceiling R-19,None,None,R-13,"CMU, 6-in Hollow, R-11",2+ Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"AC, SEER 13",Central,70F,70F,Yes,No,12F,0F,None,Day and Night -4h,EF 17.6,"Gas, 120% Usage",None,Yes,"Standard, 120% Usage","Gas, 120% Usage",None,"EF 12, National Average",None,None,None,None,"30% Leakage, Uninsulated",15 ACH50,0.13
3,Medium,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,Standard Efficiency,None,National Average,100% Incandescent,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour16,Hour15,None,2A,"TX, Harris County",TX_Houston-Bush.Intercontinental.AP.722430,"CBSA Houston-The Woodlands-Sugar Land, TX",TX,CR09,West South Central,South,ERCOT,Hot-Humid,"TX, 04623",Single-Family Detached,2000s,2000-09,Single-Family Detached,Natural Gas,<5,Slab,Masonry,1000-1499,0-1499,1,None,None,No,None,None,None,2 Car,3,1,Occupied,South,F9 B9 L9 R9,Left/Right at 15ft,"Ceiling R-38, Vented",None,No,"Asphalt Shingles, Medium",None,"2ft R10 Perimeter, R10 Gap",None,None,None,None,R-13,"CMU, 6-in Hollow, R-19",1 Pane,Gas Standard,"Uninsulated, HomeRun, PEX",Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"AC, SEER 10",Central,78F,70F,No,No,0F,0F,None,None,EF 17.6,"Gas, 100% Usage","290 Rated kWh, 100% Usage",Yes,"Standard, 100% Usage","Electric, 100% Usage",None,None,None,None,None,None,"10% Leakage, R-8",15 ACH50,0.13
4,Low,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,Standard Efficiency,None,National Average,100% CFL,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour3,Hour20,None,4A,"TN, Knox County",TN_Knoxville-McGhee.Tyson.AP.723260,Non-CBSA East South Central,TN,CR08,East South Central,South,None,Mixed-Humid,"TN, 01604",Single-Family Detached,2000s,2000-09,Single-Family Detached,Natural Gas,<5,Heated Basement,WoodStud,3000-3999,2500-3999,2,None,None,No,None,None,None,2 Car,3,3,Occupied,North,F18 B18 L18 R18,Left/Right at 15ft,"Ceiling R-30, Vented",None,No,"Asphalt Shingles, Medium",None,None,None,None,Wall R-15,None,R-19,"Wood Stud, R-11",2+ Pane,Electric Standard,"Uninsulated, HomeRun, PEX",Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Furnace, 92.5% AFUE",None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,72F,72F,Yes,No,6F,0F,None,Day and Night +4h,EF 17.6,"Gas, 80% Usage","318 Rated kWh, 80% Usage",Yes,"Standard, 80% Usage","Electric, 80% Usage",None,"EF 12, National Average",None,None,None,None,In Finished Space,10 ACH50,0.13
5,Medium,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,None,National Average,100% CFL,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour3,Hour3,None,4A,"NJ, Burlington County",PA_Philadelphia.Intl.AP.724080,"CBSA Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NJ,CR07,Middle Atlantic,Northeast,PJM,Mixed-Humid,"NJ, 02001",Single-Family Detached,1950s,1940-59,Single-Family Detached,Natural Gas,<5,Unheated Basement,WoodStud,2000-2499,1500-2499,1,None,None,No,None,None,None,2 Car,4,3,Occupied,Northwest,F9 B9 L9 R9,Left/Right at 15ft,"Ceiling R-19, Vented",None,No,"Asphalt Shingles, Medium",None,None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Furnace, 92.5% AFUE",None,None,None,None,"AC, SEER 8",Central,62F,75F,No,No,0F,0F,None,None,EF 17.6,"Electric, 100% Usage",None,Yes,"Standard, 100% Usage","Gas, 100% Usage",None,None,None,Has Pool,None,1.0 HP Pump,"20% Leakage, Uninsulated",10 ACH50,0.13
6,Low,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,Standard Efficiency,None,National Average,100% CFL,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour18,Hour20,None,4C,"OR, Yamhill County",OR_Salem-McNary.Field.726940,Non-CBSA Pacific,OR,CR06,Pacific,West,None,Marine,"OR, 01200",Single-Family Detached,2000s,2000-09,Single-Family Detached,Natural Gas,<5,Crawl,WoodStud,1500-1999,1500-2499,2,None,None,No,None,None,None,2 Car,3,2,Occupied,Southwest,F9 B9 L9 R9,Left/Right at 15ft,"Ceiling R-49, Vented",None,No,"Asphalt Shingles, Medium",None,None,"Ceiling R-19, Vented",None,None,None,R-30,"Wood Stud, R-19",2+ Pane,Gas Standard,"Uninsulated, HomeRun, PEX",Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,None,None,70F,67F,Yes,No,6F,0F,None,Night,EF 17.6,"Electric, 80% Usage","318 Rated kWh, 80% Usage",Yes,"EnergyStar, 80% Usage","Gas, 80% Usage",None,"EF 12, National Average",None,None,None,None,"10% Leakage, R-6",15 ACH50,0.13
7,High,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,Standard Efficiency,None,National Average,100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour18,Hour7,None,1A,"FL, Miami-Dade County",FL_Miami.Intl.AP.722020,"CBSA Miami-Fort Lauderdale-West Palm Beach, FL",FL,CR09,South Atlantic,South,None,Hot-Humid,"FL, 08607",Single-Family Detached,1950s,1940-59,Single-Family Detached,Electricity,<5,Slab,Masonry,2500-2999,2500-3999,2,None,None,No,None,None,None,None,4,2,Occupied,North,F18 B18 L18 R18,Left/Right at 15ft,"Ceiling R-30, Vented",None,No,"Asphalt Shingles, Medium",None,Uninsulated,None,None,None,None,Uninsulated,"CMU, 6-in Hollow, Uninsulated",1 Pane,Electric Standard,"Uninsulated, TrunkBranch, Copper",Neither Shared,None,None,None,None,None,None,Yes,"ASHP, SEER 13, 7.7 HSPF",None,None,None,None,None,None,None,Central,75F,76F,Yes,Yes,3F,2F,Night Setback -3h,Night -1h,EF 17.6,"Electric, 120% Usage",None,Yes,"EnergyStar, 120% Usage","Electric, 120% Usage",EF 15.9,None,None,None,None,None,"20% Leakage, R-4",20 ACH50,0.13
8,Low,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,Standard Efficiency,None,National Average,100% CFL,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour9,Hour17,None,5A,"PA, Lancaster County",PA_Allentown-Lehigh.Valley.Intl.AP.725170,Non-CBSA Middle Atlantic,PA,CR07,Middle Atlantic,Northeast,PJM,Cold,"PA, 03503",Single-Family Detached,1970s,1960-79,Single-Family Detached,Electricity,<5,Unheated Basement,WoodStud,1000-1499,0-1499,1,None,None,No,None,None,None,None,3,4,Occupied,South,F12 B12 L12 R12,Left/Right at 15ft,"Ceiling R-7, Vented",None,No,"Asphalt Shingles, Medium",None,None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, R-7",1 Pane,Electric Standard,"Uninsulated, TrunkBranch, Copper",Neither Shared,None,None,None,None,None,None,Yes,"ASHP, SEER 10, 6.2 HSPF",None,None,None,None,None,None,None,Central,70F,78F,Yes,Yes,3F,5F,Night Setback +4h,Night -4h,EF 17.6,"Electric, 80% Usage","290 Rated kWh, 80% Usage",Yes,"EnergyStar, 80% Usage","Electric, 80% Usage",None,"EF 12, National Average",None,None,None,None,"10% Leakage, Uninsulated",15 ACH50,0.13
9,Low,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,Standard Efficiency,None,National Average,100% Incandescent,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour3,Hour17,None,4A,"NC, Orange County",NC_Raleigh-Durham.Intl.AP.723060,Non-CBSA South Atlantic,NC,CR09,South Atlantic,South,None,Mixed-Humid,"NC, 01400",Single-Family Detached,1990s,1980-99,Single-Family Detached,Natural Gas,<5,Slab,Masonry,2000-2499,1500-2499,2,None,None,No,None,None,None,None,4,2,Occupied,Southwest,F12 B12 L12 R12,Left/Right at 15ft,"Ceiling R-30, Vented",None,No,"Asphalt Shingles, Medium",None,Uninsulated,None,None,None,None,R-19,"CMU, 6-in Hollow, R-15",No Windows,Gas Standard,"Uninsulated, TrunkBranch, Copper",Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Furnace, 76% AFUE",None,None,None,None,"AC, SEER 10",Central,67F,70F,No,No,0F,0F,None,None,EF 17.6,"Gas, 80% Usage","290 Rated kWh, 80% Usage",Yes,"EnergyStar, 80% Usage","Electric, 80% Usage",EF 17.6,None,None,None,None,None,"30% Leakage, R-4",20 ACH50,0.13
10,Low,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,Standard Efficiency,None,National Average,100% Incandescent,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour17,Hour13,None,4A,"MD, Prince George's County",MD_Baltimore-Washington.Intl.AP.724060,"CBSA Washington-Arlington-Alexandria, DC-VA-MD-WV",MD,CR08,South Atlantic,South,PJM,Mixed-Humid,"MD, 01107",Single-Family Detached,1950s,1940-59,Single-Family Detached,Natural Gas,<5,Heated Basement,WoodStud,1500-1999,1500-2499,2,None,None,No,None,None,None,None,2,2,Occupied,North,F30 B30 L30 R30,Left/Right at 15ft,"Ceiling R-19, Vented",None,No,"Asphalt Shingles, Medium",None,None,None,None,Uninsulated,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Furnace, 60% AFUE",None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,68F,72F,No,No,0F,0F,None,None,EF 17.6,"Electric, 80% Usage",None,Yes,"EnergyStar, 80% Usage","Electric, 80% Usage",None,"EF 12, National Average",None,None,None,None,In Finished Space,30 ACH50,0.13
