Back to Contents,Data 1: Residential Propane Weekly Heating Oil and Propane Prices (October - March),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sourcekey,W_EPLLPA_PRS_NUS_DPG,W_EPLLPA_PRS_R10_DPG,W_EPLLPA_PRS_R1X_DPG,W_EPLLPA_PRS_SCT_DPG,W_EPLLPA_PRS_SME_DPG,W_EPLLPA_PRS_SMA_DPG,W_EPLLPA_PRS_SNH_DPG,W_EPLLPA_PRS_SRI_DPG,W_EPLLPA_PRS_SVT_DPG,W_EPLLPA_PRS_R1Y_DPG,W_EPLLPA_PRS_SDE_DPG,W_EPLLPA_PRS_SMD_DPG,W_EPLLPA_PRS_SNJ_DPG,W_EPLLPA_PRS_SNY_DPG,W_EPLLPA_PRS_SPA_DPG,W_EPLLPA_PRS_R1Z_DPG,W_EPLLPA_PRS_SFL_DPG,W_EPLLPA_PRS_SGA_DPG,W_EPLLPA_PRS_SNC_DPG,W_EPLLPA_PRS_SVA_DPG,W_EPLLPA_PRS_R20_DPG,W_EPLLPA_PRS_SIL_DPG,W_EPLLPA_PRS_SIN_DPG,W_EPLLPA_PRS_SIA_DPG,W_EPLLPA_PRS_SKS_DPG,W_EPLLPA_PRS_SKY_DPG,W_EPLLPA_PRS_SMI_DPG,W_EPLLPA_PRS_SMN_DPG,W_EPLLPA_PRS_SMO_DPG,W_EPLLPA_PRS_SNE_DPG,W_EPLLPA_PRS_SND_DPG,W_EPLLPA_PRS_SOH_DPG,W_EPLLPA_PRS_SOK_DPG,W_EPLLPA_PRS_SSD_DPG,W_EPLLPA_PRS_STN_DPG,W_EPLLPA_PRS_SWI_DPG,W_EPLLPA_PRS_R30_DPG,W_EPLLPA_PRS_SAL_DPG,W_EPLLPA_PRS_SAR_DPG,W_EPLLPA_PRS_SMS_DPG,W_EPLLPA_PRS_STX_DPG,W_EPLLPA_PRS_R40_DPG,W_EPLLPA_PRS_SCO_DPG,W_EPLLPA_PRS_SID_DPG,W_EPLLPA_PRS_SMT_DPG,W_EPLLPA_PRS_SUT_DPG
Date,Weekly U.S. Propane Residential Price  (Dollars per Gallon),Weekly East Coast (PADD 1) Propane Residential Price  (Dollars per Gallon),Weekly New England (PADD 1A) Propane Residential Price  (Dollars per Gallon),Weekly Connecticut Propane Residential Price  (Dollars per Gallon),Weekly Maine Propane Residential Price  (Dollars per Gallon),Weekly Massachusetts Propane Residential Price  (Dollars per Gallon),Weekly New Hampshire Propane Residential Price  (Dollars per Gallon),Weekly Rhode Island Propane Residential Price  (Dollars per Gallon),Weekly Vermont Propane Residential Price  (Dollars per Gallon),Weekly Central Atlantic (PADD 1B) Propane Residential Price  (Dollars per Gallon),Weekly Delaware Propane Residential Price  (Dollars per Gallon),Weekly Maryland Propane Residential Price  (Dollars per Gallon),Weekly New Jersey Propane Residential Price  (Dollars per Gallon),Weekly New York Propane Residential Price  (Dollars per Gallon),Weekly Pennsylvania Propane Residential Price  (Dollars per Gallon),Weekly Lower Atlantic (PADD 1C) Propane Residential Price  (Dollars per Gallon),Weekly Florida Propane Residential Price (Dollars per Gallon),Weekly Georgia Propane Residential Price (Dollars per Gallon),Weekly North Carolina Propane Residential Price  (Dollars per Gallon),Weekly Virginia Propane Residential Price  (Dollars per Gallon),Weekly Midwest (PADD 2) Propane Residential Price  (Dollars per Gallon),Weekly Illinois Propane Residential Price  (Dollars per Gallon),Weekly Indiana Propane Residential Price  (Dollars per Gallon),Weekly Iowa Propane Residential Price  (Dollars per Gallon),Weekly Kansas Propane Residential Price  (Dollars per Gallon),Weekly Kentucky Propane Residential Price  (Dollars per Gallon),Weekly Michigan Propane Residential Price  (Dollars per Gallon),Weekly Minnesota Propane Residential Price  (Dollars per Gallon),Weekly Missouri Propane Residential Price  (Dollars per Gallon),Weekly Nebraska Propane Residential Price  (Dollars per Gallon),Weekly North Dakota Propane Residential Price  (Dollars per Gallon),Weekly Ohio Propane Residential Price  (Dollars per Gallon),Weekly Oklahoma Propane Residential Price  (Dollars per Gallon),Weekly South Dakota Propane Residential Price  (Dollars per Gallon),Weekly Tennessee Propane Residential Price (Dollars per Gallon),Weekly Wisconsin Propane Residential Price  (Dollars per Gallon),Weekly Weekly Gulf Coast (PADD 3) Propane Residential Price (Dollars per Gallon),Weekly Alabama Propane Residential Price (Dollars per Gallon),Weekly Arkansas Propane Residential Price (Dollars per Gallon),Weekly Mississippi Propane Residential Price (Dollars per Gallon),Weekly Texas Propane Residential Price (Dollars per Gallon),Weekly Weekly Rocky Mountain (PADD 4) Propane Residential Price (Dollars per Gallon),Weekly Colorado Propane Residential Price (Dollars per Gallon),Weekly Idaho Propane Residential Price (Dollars per Gallon),Weekly Montana Propane Residential Price (Dollars per Gallon),Weekly Utah Propane Residential Price (Dollars per Gallon)
"Oct 01, 1990",1.042,1.263,1.229,1.292,1.199,1.248,1.235,1.32,1.172,1.342,1.234,1.28,1.356,1.443,1.199,1.226,,,1.227,1.224,0.925,0.938,0.928,0.795,0.801,,0.985,0.992,0.901,0.751,0.772,1.135,,0.743,,0.977,,,,,,,,,,
"Oct 15, 1990",1.083,1.296,1.272,1.299,1.216,1.304,1.281,1.348,1.263,1.377,1.32,1.352,1.377,1.448,1.259,1.247,,,1.258,1.22,0.971,0.967,0.995,0.838,0.857,,1.046,1.019,0.958,0.808,0.822,1.194,,0.775,,1.016,,,,,,,,,,
"Nov 05, 1990",1.06,1.292,1.305,1.348,1.274,1.328,1.325,1.399,1.25,1.367,1.298,1.355,1.377,1.433,1.248,1.212,,,1.204,1.229,0.938,0.924,0.994,0.773,0.809,,1.029,0.968,0.924,0.757,0.795,1.184,,0.768,,1.004,,,,,,,,,,
"Nov 19, 1990",1.046,1.283,1.275,1.308,1.237,1.332,1.233,1.41,1.265,1.361,1.297,1.356,1.378,1.425,1.234,1.222,,,1.204,1.265,0.921,0.916,0.995,0.766,0.795,,1.035,0.936,0.888,0.749,0.789,1.183,,0.759,,0.972,,,,,,,,,,
"Dec 03, 1990",1.038,1.283,1.291,1.302,1.282,1.333,1.246,1.385,1.287,1.36,1.291,1.334,1.378,1.433,1.235,1.206,,,1.186,1.25,0.908,0.883,0.992,0.728,0.753,,1.028,0.944,0.875,0.72,0.785,1.161,,0.752,,0.983,,,,,,,,,,
"Dec 17, 1990",1.001,1.273,1.29,1.281,1.281,1.317,1.283,1.477,1.28,1.364,1.272,1.361,1.354,1.437,1.24,1.172,,,1.148,1.226,0.857,0.822,0.958,0.681,0.67,,1.014,0.871,0.835,0.666,0.728,1.136,,0.717,,0.911,,,,,,,,,,
"Jan 07, 1991",1.001,1.275,1.307,1.275,1.383,1.306,1.268,1.415,1.284,1.356,1.273,1.357,1.349,1.423,1.234,1.169,,,1.157,1.195,0.856,0.835,0.967,0.646,0.676,,1,0.865,0.824,0.669,0.758,1.166,,0.715,,0.919,,,,,,,,,,
"Jan 21, 1991",1.003,1.272,1.293,1.259,1.336,1.296,1.264,1.453,1.297,1.359,1.27,1.358,1.369,1.431,1.22,1.173,,,1.158,1.207,0.86,0.838,0.958,0.67,0.679,,1.003,0.889,0.814,0.661,0.77,1.189,,0.706,,0.906,,,,,,,,,,
"Feb 04, 1991",0.957,1.246,1.267,1.228,1.315,1.275,1.233,1.388,1.267,1.335,1.265,1.35,1.332,1.401,1.201,1.144,,,1.121,1.196,0.805,0.772,0.932,0.583,0.616,,0.951,0.822,0.765,0.603,0.714,1.156,,0.647,,0.862,,,,,,,,,,
