Back to Contents,Data 1: Residential Heating Oil Weekly Heating Oil and Propane Prices (October - March),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sourcekey,W_EPD2F_PRS_NUS_DPG,W_EPD2F_PRS_R10_DPG,W_EPD2F_PRS_R1X_DPG,W_EPD2F_PRS_SCT_DPG,W_EPD2F_PRS_SME_DPG,W_EPD2F_PRS_SMA_DPG,W_EPD2F_PRS_SNH_DPG,W_EPD2F_PRS_SRI_DPG,W_EPD2F_PRS_SVT_DPG,W_EPD2F_PRS_R1Y_DPG,W_EPD2F_PRS_SDE_DPG,W_EPD2F_PRS_SDC_DPG,W_EPD2F_PRS_SMD_DPG,W_EPD2F_PRS_SNJ_DPG,W_EPD2F_PRS_SNY_DPG,W_EPD2F_PRS_SPA_DPG,W_EPD2F_PRS_R1Z_DPG,W_EPD2F_PRS_SNC_DPG,W_EPD2F_PRS_SVA_DPG,W_EPD2F_PRS_R20_DPG,W_EPD2F_PRS_SIL_DPG,W_EPD2F_PRS_SIN_DPG,W_EPD2F_PRS_SIA_DPG,W_EPD2F_PRS_SKY_DPG,W_EPD2F_PRS_SMI_DPG,W_EPD2F_PRS_SMN_DPG,W_EPD2F_PRS_SNE_DPG,W_EPD2F_PRS_SOH_DPG,W_EPD2F_PRS_SWI_DPG
Date,Weekly U.S. Weekly No. 2 Heating Oil Residential Price  (Dollars per Gallon),Weekly East Coast (PADD 1) No. 2 Heating Oil Residential Price  (Dollars per Gallon),Weekly New England (PADD 1A) No. 2 Heating Oil Residential Price  (Dollars per Gallon),Weekly Connecticut No. 2 Heating Oil Residential Price  (Dollars per Gallon),Weekly Maine No. 2 Heating Oil Residential Price  (Dollars per Gallon),Weekly Massachusetts No. 2 Heating Oil Residential Price  (Dollars per Gallon),Weekly New Hampshire No. 2 Heating Oil Residential Price  (Dollars per Gallon),Weekly Rhode Island No. 2 Heating Oil Residential Price  (Dollars per Gallon),Weekly Vermont No. 2 Heating Oil Residential Price  (Dollars per Gallon),Weekly Central Atlantic (PADD 1B) No. 2 Heating Oil Residential Price  (Dollars per Gallon),Weekly Delaware No. 2 Heating Oil Residential Price  (Dollars per Gallon),Weekly District of Columbia No. 2 Heating Oil Residential Price  (Dollars per Gallon),Weekly Maryland No. 2 Heating Oil Residential Price  (Dollars per Gallon),Weekly New Jersey No. 2 Heating Oil Residential Price  (Dollars per Gallon),Weekly New York No. 2 Heating Oil Residential Price  (Dollars per Gallon),Weekly Pennsylvania No. 2 Heating Oil Residential Price  (Dollars per Gallon),Weekly Lower Atlantic (PADD 1C) No. 2 Heating Oil Residential Price  (Dollars per Gallon),Weekly North Carolina No. 2 Heating Oil Residential Price  (Dollars per Gallon),Weekly Virginia No. 2 Heating Oil Residential Price  (Dollars per Gallon),Weekly PADD 2 No. 2 Heating Oil Residential Price  (Dollars per Gallon),Weekly Illinois No. 2 Heating Oil Residential Price  (Dollars per Gallon),Weekly Indiana No. 2 Heating Oil Residential Price  (Dollars per Gallon),Weekly Iowa No. 2 Heating Oil Residential Price  (Dollars per Gallon),Weekly Kentucky No. 2 Heating Oil Residential Price  (Dollars per Gallon),Weekly Michigan No. 2 Heating Oil Residential Price  (Dollars per Gallon),Weekly Minnesota No. 2 Heating Oil Residential Price  (Dollars per Gallon),Weekly Nebraska No. 2 Heating Oil Residential Price  (Dollars per Gallon),Weekly Ohio No. 2 Heating Oil Residential Price  (Dollars per Gallon),Weekly Wisconsin No. 2 Heating Oil Residential Price  (Dollars per Gallon)
"Oct 01, 1990",1.279,1.296,1.306,1.285,1.277,1.334,1.292,1.313,1.255,1.295,1.23,1.231,1.269,1.317,1.342,1.214,1.265,1.257,1.275,1.198,1.205,1.23,1.163,,1.251,1.169,,1.223,1.157
"Oct 15, 1990",1.332,1.348,1.346,1.347,1.314,1.362,1.324,1.34,1.327,1.351,1.303,1.35,1.319,1.377,1.4,1.266,1.325,1.307,1.346,1.259,1.265,1.295,1.192,,1.296,1.243,,1.29,1.22
"Nov 05, 1990",1.304,1.319,1.283,1.355,1.186,1.264,1.274,1.301,1.311,1.339,1.264,1.356,1.309,1.36,1.392,1.251,1.296,1.279,1.316,1.232,1.208,1.23,1.186,,1.278,1.245,,1.248,1.201
"Nov 19, 1990",1.289,1.303,1.257,1.327,1.126,1.243,1.246,1.295,1.305,1.329,1.242,1.351,1.294,1.341,1.385,1.241,1.273,1.26,1.287,1.219,1.189,1.23,1.172,,1.261,1.242,,1.207,1.198
"Dec 03, 1990",1.285,1.303,1.268,1.331,1.161,1.254,1.26,1.306,1.286,1.324,1.246,1.361,1.3,1.346,1.366,1.252,1.266,1.243,1.291,1.197,1.169,1.202,1.132,,1.224,1.225,,1.202,1.177
"Dec 17, 1990",1.239,1.266,1.214,1.28,1.069,1.212,1.166,1.249,1.26,1.297,1.187,1.324,1.257,1.288,1.366,1.203,1.214,1.201,1.227,1.113,1.077,1.102,1.07,,1.152,1.128,,1.132,1.095
"Jan 07, 1991",1.205,1.232,1.182,1.254,1.086,1.16,1.148,1.232,1.224,1.262,1.169,1.288,1.232,1.272,1.32,1.174,1.183,1.178,1.189,1.073,1.033,1.072,0.968,,1.106,1.089,,1.076,1.076
"Jan 21, 1991",1.226,1.254,1.211,1.266,1.119,1.208,1.176,1.236,1.21,1.282,1.186,1.282,1.244,1.296,1.339,1.196,1.181,1.184,1.178,1.096,1.053,1.112,1.001,,1.13,1.118,,1.084,1.093
"Feb 04, 1991",1.18,1.212,1.173,1.24,1.056,1.166,1.124,1.212,1.198,1.239,1.149,1.254,1.188,1.25,1.294,1.159,1.131,1.122,1.141,1.03,0.99,1.026,0.934,,1.079,1.036,,1.022,1.035
"Feb 18, 1991",1.145,1.181,1.149,1.216,1.043,1.137,1.1,1.208,1.168,1.206,1.128,1.22,1.164,1.229,1.265,1.111,1.093,1.094,1.092,0.976,0.925,0.981,0.876,,1.023,0.98,,0.97,0.985
"Mar 04, 1991",1.097,1.135,1.092,1.155,0.975,1.089,1.017,1.148,1.125,1.166,1.075,1.182,1.12,1.176,1.237,1.06,1.039,1.042,1.035,0.92,0.88,0.916,0.82,,0.97,0.909,,0.918,0.934
"Mar 18, 1991",1.054,1.088,1.05,1.105,0.93,1.047,0.976,1.113,1.097,1.117,1.02,1.154,1.072,1.122,1.186,1.016,0.997,1.005,0.989,0.893,0.852,0.895,0.789,,0.93,0.891,,0.896,0.908
"Oct 07, 1991",0.955,0.969,0.946,0.965,0.858,0.965,0.905,0.971,0.933,0.986,0.932,1.049,0.981,0.997,1.044,0.887,0.914,0.917,0.912,0.881,,0.894,0.813,,0.893,0.885,,0.858,0.891
"Oct 21, 1991",0.987,1.001,0.982,1.007,0.892,0.992,0.952,1.015,0.981,1.019,0.986,1.059,1.018,1.041,1.081,0.906,0.93,0.936,0.923,0.907,,0.93,,,0.906,0.916,,0.905,0.891
"Nov 04, 1991",1.007,1.023,1,1.023,0.928,1.008,0.977,1.022,0.993,1.041,1.006,1.077,1.025,1.065,1.099,0.94,0.956,0.964,0.947,0.926,,0.941,0.869,,0.936,0.929,,0.937,0.913
"Nov 18, 1991",1.027,1.043,1.018,1.037,0.964,1.025,0.987,1.038,1.01,1.061,1.024,1.1,1.043,1.083,1.122,0.956,0.981,0.988,0.973,0.942,,0.945,,,0.965,0.945,,0.941,0.924
"Dec 02, 1991",1.021,1.038,1.006,1.033,0.915,1.014,0.985,1.039,1.002,1.061,1.015,1.1,1.045,1.079,1.118,0.964,0.973,0.982,0.964,0.929,,0.933,0.846,,0.958,0.937,,0.925,0.92
"Dec 16, 1991",1.007,1.025,0.987,1.019,0.893,0.994,0.98,1.01,0.98,1.052,1.011,1.103,1.03,1.067,1.11,0.956,0.95,0.957,0.941,0.906,,0.887,,,0.932,0.913,,0.891,0.902
"Jan 06, 1992",0.98,1.002,0.958,0.987,0.875,0.958,0.965,0.985,0.969,1.032,0.982,1.092,1.012,1.04,1.091,0.938,0.922,0.925,0.918,0.866,,0.858,0.738,,0.9,0.874,,0.85,0.876
"Jan 20, 1992",0.973,0.995,0.952,0.976,0.865,0.955,0.961,0.985,0.958,1.025,0.969,1.086,1.016,1.026,1.088,0.926,0.918,0.926,0.91,0.852,,0.84,,,0.881,0.85,,0.834,0.853
"Feb 03, 1992",0.972,0.997,0.953,0.987,0.866,0.951,0.948,0.987,0.963,1.027,0.965,1.087,1.011,1.041,1.088,0.927,0.921,0.928,0.913,0.839,,0.838,0.718,,0.866,0.841,,0.836,0.847
"Feb 17, 1992",0.976,0.998,0.957,0.985,0.867,0.964,0.938,0.983,0.962,1.027,0.961,1.087,1.015,1.044,1.086,0.926,0.922,0.929,0.915,0.854,,0.846,,,0.875,0.846,,0.858,0.848
"Mar 02, 1992",0.968,0.992,0.949,0.984,0.847,0.954,0.93,0.975,0.959,1.021,0.957,1.08,1.005,1.039,1.081,0.918,0.921,0.93,0.912,0.844,,0.84,0.73,,0.876,0.84,,0.85,0.848
"Mar 16, 1992",0.963,0.983,0.936,0.971,0.831,0.942,0.903,0.976,0.954,1.014,0.946,1.08,1.002,1.027,1.076,0.91,0.916,0.928,0.902,0.853,,0.839,,,0.877,0.845,,0.85,0.85
"Oct 05, 1992",0.964,0.978,0.956,0.975,0.868,0.975,0.903,0.979,0.946,0.994,0.961,1.034,0.991,1.033,1.033,0.902,0.921,0.945,0.894,0.891,,0.893,0.816,,0.912,0.911,,0.879,0.886
"Oct 19, 1992",0.98,0.993,0.97,0.983,0.898,0.989,0.921,1.003,0.954,1.011,0.974,1.065,1.005,1.039,1.058,0.92,0.94,0.954,0.924,0.905,,0.914,,,0.918,0.918,,0.891,0.89
"Nov 02, 1992",0.984,0.999,0.968,0.99,0.864,0.988,0.928,0.999,0.96,1.019,0.981,1.083,1.013,1.045,1.069,0.925,0.948,0.953,0.942,0.901,,0.909,0.829,,0.923,0.922,,0.888,0.889
"Nov 16, 1992",0.983,0.997,0.963,0.99,0.851,0.981,0.929,0.995,0.959,1.019,0.958,1.062,1.011,1.046,1.071,0.922,0.943,0.944,0.941,0.899,,0.897,,,0.918,0.918,,0.878,0.885
"Dec 07, 1992",0.973,0.991,0.956,0.989,0.826,0.973,0.927,0.986,0.954,1.013,0.95,1.057,1.001,1.021,1.07,0.922,0.94,0.941,0.938,0.879,,0.883,0.769,,0.912,0.9,,0.862,0.874
"Dec 21, 1992",0.974,0.991,0.957,0.988,0.84,0.973,0.926,0.986,0.952,1.013,0.948,1.062,1.001,1.019,1.071,0.922,0.935,0.937,0.934,0.874,,0.872,,,0.9,0.876,,0.849,0.87
"Jan 04, 1993",0.974,0.994,0.961,0.992,0.845,0.978,0.929,0.987,0.947,1.016,0.949,1.062,1.005,1.022,1.073,0.926,0.936,0.937,0.936,0.868,,0.875,0.761,,0.898,0.876,,0.853,0.87
