Location,Vintage,"Clear, Double, Metal, Air","Clear, Single, Metal","Clear, Single, Non-metal","Low-E, Triple, Non-metal, Air, L-Gain","Clear, Double, Non-metal, Air","Clear, Double, Thermal-Break, Air","Low-E, Double, Non-metal, Air, M-Gain",
H1C1 OR,pre-1950,0,0,0.09091,0,0.36364,0.18182,0.36364,
H1C1 OR,1950s,0,0,0,0,0.71429,0.14286,0.14286,
H1C1 OR,1960s,0.07692,0.15385,0,0,0.30769,0.07692,0.38462,
H1C1 OR,1970s,0.15385,0.07692,0,0,0.30769,0.23077,0.23077,
H1C1 OR,1980s,0.5,0,0,0,0.16667,0,0.33333,
H1C1 OR,1990s,0,0,0,0,0.53846,0,0.46154,
H1C1 OR,2000s,0,0,0,0,0.25,0,0.75,
H1C1 OR,2010s,0,0,0,0,0.0,0,1.0,
H1C1 WA,pre-1950,0.08,0.02,0.24,0,0.42,0.08,0.16,
H1C1 WA,1950s,0.22222,0.05556,0.05556,0,0.5,0,0.16667,
H1C1 WA,1960s,0.14286,0.07143,0.03571,0,0.35714,0.10714,0.28571,
H1C1 WA,1970s,0.26667,0.03333,0,0,0.43333,0.03333,0.23333,
H1C1 WA,1980s,0.32,0,0,0,0.48,0,0.2,
H1C1 WA,1990s,0.04762,0,0.04762,0,0.42857,0,0.47619,
H1C1 WA,2000s,0.04167,0,0,0,0.41667,0,0.54167,
H1C1 WA,2010s,0,0,0,0,0,0,0,
H1C2,pre-1950,0,0,0.09524,0,0.33333,0.33333,0.2381,
H1C2,1950s,0,0,0,0,0.5,0,0.5,
H1C2,1960s,0,0,0,0.07143,0.35714,0,0.57143,
H1C2,1970s,0.22222,0.11111,0,0,0.0,0.11111,0.55556,
H1C2,1980s,0.22222,0,0,0,0.44444,0,0.33333,
H1C2,1990s,0,0,0,0,0.6,0,0.4,
H1C2,2000s,0,0,0,0,0.33333,0,0.66667,
H1C2,2010s,0,0,0,0,0,0,0,
H1C3,pre-1950,0.16667,0,0,0,0.33333,0.33333,0.16667,
H1C3,1950s,0,0,0,0,0.2,0.2,0.6,
H1C3,1960s,0,0,0,0,0.66667,0,0.33333,
H1C3,1970s,0.33333,0,0,0,0.22222,0.11111,0.33333,
H1C3,1980s,0,0,0,0,0.75,0,0.25,
H1C3,1990s,0,0,0,0,0.42857,0,0.57143,
H1C3,2000s,0,0,0,0,0.75,0,0.25,
H1C3,2010s,0,0,0,0,0,0,0,
H2,pre-1950,0.06667,0,0.13333,0,0.26667,0.4,0.13333,
H2,1950s,0.09091,0,0,0,0.45455,0.18182,0.27273,
H2,1960s,0.16667,0,0,0,0.66667,0,0.16667,
H2,1970s,0.21429,0,0,0,0.42857,0,0.35714,
H2,1980s,0.25,0,0,0,0.5,0,0.25,
H2,1990s,0,0,0,0.05882,0.58824,0.05882,0.29412,
H2,2000s,0,0,0,0,0.66667,0,0.33333,
H2,2010s,0,0,0,0,0.0,0,1.0,
H3,pre-1950,0.11111,0,0,0,0.33333,0.22222,0.33333,
H3,1950s,0.25,0,0,0,0.5,0,0.25,
H3,1960s,0,0,0,0,0.6,0.2,0.2,
H3,1970s,0,0,0,0,0.42857,0.14286,0.42857,
H3,1980s,0,0,0,0,0.5,0,0.5,
H3,1990s,0,0,0,0,0.4,0,0.6,
H3,2000s,0,0,0,0,0.4,0,0.6,
H3,2010s,0,0,0,0,1.0,0,0,
