Level,Parameter,Option,Saturation
0,ASHRAE IECC Climate Zone 2004,1A,0.0179403
0,ASHRAE IECC Climate Zone 2004,2A,0.115935
0,ASHRAE IECC Climate Zone 2004,2B,0.0197434
0,ASHRAE IECC Climate Zone 2004,3A,0.13305
0,ASHRAE IECC Climate Zone 2004,3B,0.0929124
0,ASHRAE IECC Climate Zone 2004,3C,0.0234445
0,ASHRAE IECC Climate Zone 2004,4A,0.215302
0,ASHRAE IECC Climate Zone 2004,4B,0.0077307
0,ASHRAE IECC Climate Zone 2004,4C,0.0288003
0,ASHRAE IECC Climate Zone 2004,5A,0.225367
0,ASHRAE IECC Climate Zone 2004,5B,0.037893
0,ASHRAE IECC Climate Zone 2004,6A,0.0613171
0,ASHRAE IECC Climate Zone 2004,6B,0.0092306
0,ASHRAE IECC Climate Zone 2004,7A,0.00789633
0,ASHRAE IECC Climate Zone 2004,7AK,0.00178684
0,ASHRAE IECC Climate Zone 2004,7B,0.00113165
0,ASHRAE IECC Climate Zone 2004,8AK,0.000519458
0,Bathroom Spot Vent Hour,Hour0,0.061
0,Bathroom Spot Vent Hour,Hour1,0.061
0,Bathroom Spot Vent Hour,Hour2,0.061
0,Bathroom Spot Vent Hour,Hour3,0.061
0,Bathroom Spot Vent Hour,Hour4,0.061
0,Bathroom Spot Vent Hour,Hour5,0.061
0,Bathroom Spot Vent Hour,Hour6,0.061
0,Bathroom Spot Vent Hour,Hour7,0.053
0,Bathroom Spot Vent Hour,Hour8,0.025
0,Bathroom Spot Vent Hour,Hour9,0.015
0,Bathroom Spot Vent Hour,Hour10,0.015
0,Bathroom Spot Vent Hour,Hour11,0.015
0,Bathroom Spot Vent Hour,Hour12,0.015
0,Bathroom Spot Vent Hour,Hour13,0.015
0,Bathroom Spot Vent Hour,Hour14,0.015
0,Bathroom Spot Vent Hour,Hour15,0.015
0,Bathroom Spot Vent Hour,Hour16,0.018
0,Bathroom Spot Vent Hour,Hour17,0.033
0,Bathroom Spot Vent Hour,Hour18,0.054
0,Bathroom Spot Vent Hour,Hour19,0.054
0,Bathroom Spot Vent Hour,Hour20,0.054
0,Bathroom Spot Vent Hour,Hour21,0.061
0,Bathroom Spot Vent Hour,Hour22,0.061
0,Bathroom Spot Vent Hour,Hour23,0.061
0,Dehumidifier,None,1
0,Door Area,20 ft^2,1
0,Doors,Fiberglass,1
0,Eaves,2 ft,1
0,Electric Vehicle,None,1
0,Electric Vehicle,"EV, 5000 miles, 0.3 kWh/mi",0
0,Electric Vehicle,"EV, 4000 miles, 0.3 kWh/mi",0
0,HVAC System Is Faulted,No,1
0,HVAC System Is Faulted,Yes,0
0,HVAC System Is Scaled,No,1
0,HVAC System Is Scaled,Yes,0
0,Holiday Lighting,No Exterior Use,1
0,Hot Water Distribution,Uninsulated,1
0,Interior Shading,"Summer = 0.7, Winter = 0.85",1
0,Lighting Interior Use,100% Usage,1
0,Lighting Other Use,100% Usage,1
0,Mechanical Ventilation,None,1
0,Misc Gas Fireplace,Gas Fireplace,0.032
0,Misc Gas Fireplace,None,0.968
0,Misc Gas Grill,Gas Grill,0.029
0,Misc Gas Grill,None,0.971
0,Misc Gas Lighting,Gas Lighting,0.012
0,Misc Gas Lighting,None,0.988
0,Misc Well Pump,Typical Efficiency,0.127
0,Misc Well Pump,None,0.873
0,Natural Ventilation,"Cooling Season, 7 days/wk",1
0,Orientation,East,0.165906
0,Orientation,West,0.165906
0,Orientation,Northeast,0.072205
0,Orientation,Southwest,0.072205
0,Orientation,North,0.18484
0,Orientation,South,0.18484
0,Orientation,Northwest,0.077049
0,Orientation,Southeast,0.077049
0,Overhangs,None,1
0,Range Spot Vent Hour,Hour0,0.007
0,Range Spot Vent Hour,Hour1,0.007
0,Range Spot Vent Hour,Hour2,0.004
0,Range Spot Vent Hour,Hour3,0.004
0,Range Spot Vent Hour,Hour4,0.007
0,Range Spot Vent Hour,Hour5,0.011
0,Range Spot Vent Hour,Hour6,0.025
0,Range Spot Vent Hour,Hour7,0.042
0,Range Spot Vent Hour,Hour8,0.046
0,Range Spot Vent Hour,Hour9,0.048
0,Range Spot Vent Hour,Hour10,0.042
0,Range Spot Vent Hour,Hour11,0.05
0,Range Spot Vent Hour,Hour12,0.057
0,Range Spot Vent Hour,Hour13,0.046
0,Range Spot Vent Hour,Hour14,0.057
0,Range Spot Vent Hour,Hour15,0.044
0,Range Spot Vent Hour,Hour16,0.092
0,Range Spot Vent Hour,Hour17,0.15
0,Range Spot Vent Hour,Hour18,0.117
0,Range Spot Vent Hour,Hour19,0.06
0,Range Spot Vent Hour,Hour20,0.035
0,Range Spot Vent Hour,Hour21,0.025
0,Range Spot Vent Hour,Hour22,0.016
0,Range Spot Vent Hour,Hour23,0.011
0,Solar Hot Water,None,1
0,Usage Level,Low,0.25
0,Usage Level,Medium,0.5
0,Usage Level,High,0.25
0,Usage Level,Average,0
1,County and PUMA,"G0100010, G01002100",0.000169438
1,County and PUMA,"G0100030, G01002600",0.000802499
1,County and PUMA,"G0100050, G01002400",8.80385e-05
1,County and PUMA,"G0100070, G01001700",6.69277e-05
1,County and PUMA,"G0100090, G01000800",0.000177912
1,County and PUMA,"G0100110, G01002400",3.32848e-05
1,County and PUMA,"G0100130, G01002300",7.39546e-05
1,County and PUMA,"G0100150, G01001100",0.000397791
1,County and PUMA,"G0100170, G01001800",0.000126105
1,County and PUMA,"G0100190, G01001000",0.000121293
1,County and PUMA,"G0100210, G01001800",0.000143673
1,County and PUMA,"G0100230, G01002200",5.40151e-05
1,County and PUMA,"G0100250, G01002200",9.39092e-05
1,County and PUMA,"G0100270, G01001000",5.03151e-05
1,County and PUMA,"G0100290, G01001000",4.98974e-05
1,County and PUMA,"G0100310, G01002300",0.000170542
1,County and PUMA,"G0100330, G01000100",0.000195114
1,County and PUMA,"G0100350, G01002200",5.26276e-05
1,County and PUMA,"G0100370, G01001800",4.81369e-05
1,County and PUMA,"G0100390, G01002300",0.000140114
1,County and PUMA,"G0100410, G01002300",4.9972e-05
1,County and PUMA,"G0100430, G01000700",0.000277124
1,County and PUMA,"G0100450, G01002500",0.00017037
1,County and PUMA,"G0100470, G01001700",0.000150997
1,County and PUMA,"G0100490, G01000400",0.000231756
1,County and PUMA,"G0100510, G01002100",0.000248569
1,County and PUMA,"G0100530, G01002200",0.000122494
1,County and PUMA,"G0100550, G01000900",0.000354361
1,County and PUMA,"G0100570, G01001400",6.27503e-05
1,County and PUMA,"G0100590, G01000100",0.000104808
1,County and PUMA,"G0100610, G01002500",9.43119e-05
1,County and PUMA,"G0100630, G01001700",3.72682e-05
1,County and PUMA,"G0100650, G01001700",5.71034e-05
1,County and PUMA,"G0100670, G01002500",6.67635e-05
1,County and PUMA,"G0100690, G01002500",0.000346015
1,County and PUMA,"G0100710, G01000400",0.000184797
1,County and PUMA,"G0100730, G01001301",0.000382179
1,County and PUMA,"G0100730, G01001302",0.000408623
1,County and PUMA,"G0100730, G01001303",0.00056514
1,County and PUMA,"G0100730, G01001304",0.000561008
1,County and PUMA,"G0100730, G01001305",0.000360187
1,County and PUMA,"G0100750, G01001400",5.46566e-05
1,County and PUMA,"G0100770, G01000100",0.000330559
1,County and PUMA,"G0100790, G01000600",0.000113245
1,County and PUMA,"G0100810, G01001900",0.000490104
1,County and PUMA,"G0100830, G01000200",0.000264928
1,County and PUMA,"G0100850, G01002100",3.79023e-05
1,County and PUMA,"G0100870, G01002400",7.62522e-05
1,County and PUMA,"G0100890, G01000200",0.000288866
1,County and PUMA,"G0100890, G01000301",0.000411032
1,County and PUMA,"G0100890, G01000302",0.000368789
1,County and PUMA,"G0100890, G01000500",8.53902e-05
1,County and PUMA,"G0100910, G01001700",7.61478e-05
1,County and PUMA,"G0100930, G01000100",2.54373e-05
1,County and PUMA,"G0100930, G01001400",8.4234e-05
1,County and PUMA,"G0100950, G01000500",0.000301011
1,County and PUMA,"G0100970, G01002701",0.000380351
1,County and PUMA,"G0100970, G01002702",0.000379747
1,County and PUMA,"G0100970, G01002703",0.000594659
1,County and PUMA,"G0100990, G01002200",8.41072e-05
1,County and PUMA,"G0101010, G01002000",0.000665577
1,County and PUMA,"G0101010, G01002100",0.000107068
1,County and PUMA,"G0101030, G01000600",0.000384341
1,County and PUMA,"G0101050, G01001700",3.5008e-05
1,County and PUMA,"G0101070, G01001500",7.0486e-05
1,County and PUMA,"G0101090, G01002400",0.00011737
1,County and PUMA,"G0101110, G01001000",8.90455e-05
1,County and PUMA,"G0101130, G01002400",0.000199314
1,County and PUMA,"G0101150, G01000800",0.000267382
1,County and PUMA,"G0101170, G01001200",0.000623789
1,County and PUMA,"G0101190, G01001700",5.04793e-05
1,County and PUMA,"G0101210, G01001000",0.000277476
1,County and PUMA,"G0101230, G01001800",0.000164544
1,County and PUMA,"G0101250, G01001500",0.000248592
1,County and PUMA,"G0101250, G01001600",0.00040728
1,County and PUMA,"G0101270, G01001400",0.000229069
1,County and PUMA,"G0101290, G01002200",6.24668e-05
1,County and PUMA,"G0101310, G01002200",4.19156e-05
1,County and PUMA,"G0101330, G01000700",9.99887e-05
1,County and PUMA,"G0200130, G02000400",7.49692e-06
1,County and PUMA,"G0200160, G02000400",1.46059e-05
1,County and PUMA,"G0200200, G02000101",0.000377859
1,County and PUMA,"G0200200, G02000102",0.000475841
1,County and PUMA,"G0200500, G02000400",4.46533e-05
1,County and PUMA,"G0200600, G02000400",6.78079e-06
1,County and PUMA,"G0200680, G02000300",1.27634e-05
1,County and PUMA,"G0200700, G02000400",1.82313e-05
1,County and PUMA,"G0200900, G02000300",0.000310842
1,County and PUMA,"G0201000, G02000300",1.2107e-05
1,County and PUMA,"G0201050, G02000400",1.2286e-05
1,County and PUMA,"G0201100, G02000300",9.89369e-05
1,County and PUMA,"G0201220, G02000200",0.000229398
1,County and PUMA,"G0201300, G02000300",4.66524e-05
1,County and PUMA,"G0201500, G02000400",3.97e-05
1,County and PUMA,"G0201580, G02000400",1.67841e-05
1,County and PUMA,"G0201640, G02000400",1.08239e-05
1,County and PUMA,"G0201700, G02000200",0.000308955
1,County and PUMA,"G0201800, G02000400",3.02338e-05
1,County and PUMA,"G0201850, G02000400",1.9022e-05
1,County and PUMA,"G0201880, G02000400",2.03051e-05
1,County and PUMA,"G0201950, G02000400",1.31588e-05
1,County and PUMA,"G0201980, G02000400",2.50568e-05
1,County and PUMA,"G0202200, G02000400",3.06739e-05
1,County and PUMA,"G0202300, G02000300",4.7667e-06
1,County and PUMA,"G0202400, G02000300",2.91e-05
1,County and PUMA,"G0202610, G02000300",4.55558e-05
1,County and PUMA,"G0202750, G02000400",1.05031e-05
1,County and PUMA,"G0202820, G02000400",2.91671e-06
1,County and PUMA,"G0202900, G02000400",3.0286e-05
1,County and PUMA,"G0400010, G04000300",0.000244116
1,County and PUMA,"G0400030, G04000900",0.000450568
1,County and PUMA,"G0400050, G04000400",0.000480661
1,County and PUMA,"G0400070, G04000800",0.000247197
1,County and PUMA,"G0400090, G04000800",9.89739e-05
1,County and PUMA,"G0400110, G04000800",3.30014e-05
1,County and PUMA,"G0400120, G04000600",0.000121099
1,County and PUMA,"G0400130, G04000100",0.000330289
1,County and PUMA,"G0400130, G04000101",0.000545522
1,County and PUMA,"G0400130, G04000102",0.0004281
1,County and PUMA,"G0400130, G04000103",0.000340822
1,County and PUMA,"G0400130, G04000104",0.000401663
1,County and PUMA,"G0400130, G04000105",0.000356054
1,County and PUMA,"G0400130, G04000106",0.000330319
1,County and PUMA,"G0400130, G04000107",0.000331991
1,County and PUMA,"G0400130, G04000108",0.000323657
1,County and PUMA,"G0400130, G04000109",0.000355815
1,County and PUMA,"G0400130, G04000110",0.000529506
1,County and PUMA,"G0400130, G04000111",0.000448285
1,County and PUMA,"G0400130, G04000112",0.000429115
1,County and PUMA,"G0400130, G04000113",0.000354019
1,County and PUMA,"G0400130, G04000114",0.000371213
