Parameter,Number of options,Number of dependencies,Created by,Description,Source,Assumption
AHS Region,24.0,1.0,sources\spatial\tsv_maker.py,The American Housing Survey region that the sample is located.,"Spatial definitions are from the U.S. Census Bureau as of July 1, 2015.; Unit counts are from the American Community Survey 5-yr 2016.; Core Based Statistical Area (CBSA) data based on the Feb 2013 CBSA delineation file.",
AIANNH Area,2.0,1.0,sources\spatial\tsv_maker.py,American Indian/Alaska Native/Native Hawaiian Area that the sample is located.,"2010 Census Tract to American Indian Area (AIA) Relationship File provides percent housing unit in tract that belongs to AIA.Spatial definitions are from the U.S. Census Bureau as of July 1, 2015.; Unit counts are from the American Community Survey 5-yr 2016.","(2010) Tract is mapped to (2015) County and PUMA by adjusting for known geographic changes (e.g., renaming of Shannon County to Oglala Lakota County, SD) However, Tract=G3600530940103 (Oneida city, Madison County, NY) could not be mapped to County and PUMA and was removed. The tract contains only 11 units for AIA."
ASHRAE IECC Climate Zone 2004,17.0,0.0,sources\spatial\tsv_maker.py,Climate zone according to ASHRAE 169 in 2004 and IECC in 2012 that the sample is located.,"Spatial definitions are from the U.S. Census Bureau as of July 1, 2015.; Unit counts are from the American Community Survey 5-yr 2016.; Climate zone data are from ASHRAE 169 2006, IECC 2012, and M.C. Baechler 2015.",
ASHRAE IECC Climate Zone 2004 - 2A Split,18.0,1.0,sources\spatial\tsv_maker.py,"Climate zone according to ASHRAE 169 in 2004 and IECC in 2012 that the sample is located. Climate zone where climate zone 2A is split between counties in TX, LA and FL, GA, AL, and MS","Spatial definitions are from the U.S. Census Bureau as of July 1, 2015.; Unit counts are from the American Community Survey 5-yr 2016.; Climate zone data are from ASHRAE 169 2006, IECC 2012, and M.C. Baechler 2015.",This characteristic is used to better represent HVAC types in the 2A climate zone.
Area Median Income,8.0,3.0,sources\pums\pums2019_5yrs\tsv_maker.py,Area median income of the household occupying the dwelling unit.,"% Area Median Income is calculated using annual household income in 2019USD (continuous, not binned) from 2019-5yrs PUMS data and 2019 Income Limits from HUD. These limits adjust for household size AND local housing costs (AKA Fair Market Rents). Income Limits reported at county subdivisions are consolidated to County using a crosswalk generated from Missouri Census Data Center's geocorr (2014), which has 2010 ACS housing unit count. For the 478 counties available in PUMS (60%), the county-level Income Limits are used. For all others (40%), PUMA-level Income Limits are used, which are converted from county-level using the spatial_tract_lookup file containing 2010 ACS housing unit count.",
Bathroom Spot Vent Hour,24.0,0.0,manually created,Bathroom spot ventilation daily start hour,Same as occupancy schedule from Wilson et al. 'Building America House Simulation Protocols' 2014,
Battery,5.0,1.0,manually created,"The presence, size, location, and efficiency of an onsite battery (not modeled in project_national).",n/a,
Bedrooms,5.0,2.0,sources\ahs\ahs2017_2019\tsv_maker.py,The number of bedrooms in the dwelling unit.,2017 and 2019 American Housing Survey (AHS) microdata.; Building type categorization based on U.S. EIA 2009 Residential Energy Consumption Survey (RECS).,More than 5 bedrooms are labeled as 5 bedrooms and 0 bedrooms are labeled as 1 bedroom; Limit 0-499 sqft dwelling units to only 1 or 2 bedrooms. The geometry measure has a limit of (ffa-120)/70 >= bedrooms.
Building America Climate Zone,8.0,1.0,sources\spatial\tsv_maker.py,The Building America Climate Zone that the sample is located.,"Unit counts are from the American Community Survey 5-yr 2016.; Spatial definitions are from U.S. Census 2010.; Climate zone data are from ASHRAE 169 2006, IECC 2012, and M.C. Baechler 2015.",
CEC Climate Zone,17.0,1.0,sources\spatial\tsv_maker.py,The California Energy Commission Climate Zone that the sample is located.,"Spatial definitions are from the U.S. Census Bureau as of July 1, 2015.; Zip code definitions are from the end of Q2 2020; The climate zone to zip codes in California is from the California Energy Commission Website.","CEC Climate zones are defined by Zip Codes.; The dependency selected is County and PUMA as zip codes are not modeled in ResStock.; The mapping between Census Tracts and Zip Codes are approximate and some discrepancies may exist.; If the sample is outside California, the option is set to None."
Ceiling Fan,3.0,1.0,manually created,Presence and energy usage of ceiling fans at medium speed,"Wilson et al. 'Building America House Simulation Protocols' 2014, national average used as saturation",If the unit is vacant there is no ceiling fan energy
Census Division,9.0,1.0,sources\spatial\tsv_maker.py,The U.S. Census Division that the sample is located.,"Spatial definitions are from the U.S. Census Bureau as of July 1, 2015.; Unit counts are from the American Community Survey 5-yr 2016.",
Census Division RECS,10.0,1.0,sources\spatial\tsv_maker.py,"Census Division as used in RECS 2015 that the sample is located. RECS 2015 splits the Mountain Census Division into north (CO, ID, MT, UT, WY) and south (AZ, NM, NV).","Spatial definitions are from the U.S. Census Bureau as of July 1, 2015.; Unit counts are from the American Community Survey 5-yr 2016.; U.S. EIA 2015 Residential Energy Consumption Survey (RECS) codebook.",
Census Region,4.0,1.0,sources\spatial\tsv_maker.py,The U.S. Census Region that the sample is located.,"Spatial definitions are from the U.S. Census Bureau as of July 1, 2015.; Unit counts are from the American Community Survey 5-yr 2016.",
City,1106.0,1.0,sources\spatial\tsv_maker.py,The City that the sample is located.,"Spatial definitions are from the U.S. Census Bureau as of July 1, 2015.; Cities are defined by Census blocks by their Census Place in the 2010 Census.; Unit counts are from the American Community Survey 5-yr 2016.","2020 Deccenial Redistricting data was used to map tract level unit counts to census blocks.; 1,099 cities are tagged in ResStock, but there are over 29,000 Places in the Census data.; The threshold for including a Census Place in the City.tsv is 15,000 dwelling units.; The value 'In another census Place' designates the fraction of dwelling units in a Census Place with fewer total dwelling units than the threshold.; The value 'Not in a census Place' designates the fraction of dwelling units not in a Census Place according to the 2010 Census."
Clothes Dryer,5.0,6.0,sources\recs\recs2020\tsv_maker.py,"The presence, rated efficiency, and fuel type of the clothes dryer in a dwelling unit.",U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.,"Clothes dryer option is None if clothes washer not presentDue to low sample count, the tsv is constructed by downscaling a dwelling unit sub-tsv with a household sub-tsv. The sub-tsvs have the following dependencies:; Dwelling unit sub-tsv :deps=['Geometry Building Type RECS', 'State', 'Heating Fuel', 'Clothes Washer Presence'] with the following fallback coarsening order; [1] State coarsened to Census Division RECS without AK, HI; [2] Heating Fuel coarsened to Other Fuel, Wood and Propane combined; [3] Heating Fuel coarsened to Fuel Oil, Other Fuel, Wood and Propane combined; [4] Geometry Building Type RECS coarsened to SF/MF/MH; [5] Geometry Building Type RECS coarsened to SF and MH/MF; [6] State coarsened to Census Division RECS; [7] State coarsened to Census Region; [8] State coarsened to National; Household sub-tsv : deps=['Geometry Building Type RECS', 'Tenure', 'Federal Poverty Level'] with the following fallback coarsening order; [1] State coarsened to Census Division RECS without AK, HI; [2] Geometry Building Type RECS coarsened to SF/MF/MH; [3] Geometry Building Type RECS coarsened to SF and MH/MF; [4] Federal Poverty Level coarsened every 100 percent; [5] Federal Poverty Level coarsened every 200 percent; [6] State coarsened to Census Division RECS; [7] State coarsened to Census Region; [8] State coarsened to National; In combining the dwelling unit sub-tsv and household sub-tsv, the conditional relationships are ignored across (['Heating Fuel','Clothers Washer Presence'], ['Tenure', 'Federal Poverty Level'])."
Clothes Dryer Usage Level,3.0,1.0,sources\other\tsv_maker.py,Clothes dryer energy usage level multiplier.,n/a,Engineering judgement
Clothes Washer,4.0,5.0,sources\recs\recs2020\tsv_maker.py,Presence and rated efficiency of the clothes washer.,U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.,"The 2020 recs survey does not contain EnergyStar rating of clothes washers.Energystar efficiency distributions with [Geometry Building Type,Federal Poverty Level, Tenure] as dependencies are imported from RECS 2009Due to low sample count, the tsv is constructed by downscaling a dwelling unit sub-tsv with a household sub-tsv. The sub-tsvs have the following dependencies:; Dwelling unit sub-tsv : deps=['Geometry Building Type RECS', 'State','Clothes Washer Presence', 'Vintage'] with the following fallback coarsening order; [1] Geometry Building Type RECS coarsened to SF/MF/MH; [2] Geometry Building Type RECS coarsened to SF and MH/MF; [3] Vintage coarsened to every 20 years before 2000 and every 10 years subsequently; [4] Vintage homes built before 1960 coarsened to pre1960; [5] Vintage homes built after 2000 coarsened to 2000-20; Household sub-tsv : deps=['Geometry Building Type RECS', 'State' 'Tenure', 'Federal Poverty Level'] with the following fallback coarsening order; [1] Geometry Building Type RECS coarsened to SF/MF/MH; [2] Geometry Building Type RECS coarsened to SF and MH/MF; [3] Federal Poverty Level coarsened every 100 percent; [4] Federal Poverty Level coarsened every 200 percent; In combining the dwelling unit sub-tsv and household sub-tsv, the conditional relationships are ignored across (['Clothes Washer Presence', 'Vintage'], ['Tenure', 'Federal Poverty Level'])."
Clothes Washer Presence,3.0,5.0,sources\recs\recs2020\tsv_maker.py,The presence of a clothes washer in the dwelling unit.,U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.,"Due to low sample count, the tsv is constructed by downscaling a dwelling unit sub-tsv with a household sub-tsv. The sub-tsvs have the following dependencies:; Dwelling unit sub-tsv : deps=['Geometry Building Type RECS', 'State', 'Heating Fuel', 'Vintage'] with the following fallback coarsening order; [1] State coarsened to Census Division RECS with AK/HI separate; [2] Geometry Building Type RECS coarsened to SF/MF/MH; [3] Geometry Building Type RECS coarsened to SF and MH/MF; [4] Vintage coarsened to every 20 years before 2000 and every 10 years subsequently; [5] Vintage homes built before 1960 coarsened to pre1960; [6] Vintage homes built after 2000 coarsened to 2000-20; [7] Census Division RECS with AK/HI separate coarsened to Census Division RECS; [8] Census Division RECS to Census Region; [9] Census Region to National; Household sub-tsv : deps=['Geometry Building Type RECS', 'State' 'Tenure', 'Federal Poverty Level'] with the following fallback coarsening order; [1] State coarsened to Census Division RECS with AK/HI separate; [2] Geometry Building Type RECS coarsened to SF/MF/MH; [3] Geometry Building Type RECS coarsened to SF and MH/MF; [4] Federal Poverty Level coarsened every 100 percent; [5] Federal Poverty Level coarsened every 200 percent; [6] Census Division RECS with AK/HI separate coarsened to Census Division RECS; [7] Census Division RECS to Census Region; [8] Census Region to National; In combining the dwelling unit sub-tsv and household sub-tsv, the conditional relationships are ignored across (['Geometry Building Type RECS', 'Vintage'], ['Tenure', 'Federal Poverty Level'])."
Clothes Washer Usage Level,3.0,1.0,sources\other\tsv_maker.py,Clothes washer energy usage level multiplier.,n/a,Engineering judgement
Cooking Range,6.0,6.0,sources\recs\recs2020\tsv_maker.py,Presence and fuel type of the cooking range.,U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.,"For Dual Fuel Range the distribution is split equally between Electric and Natural GasDue to low sample count, the tsv is constructed by downscaling a dwelling unit sub-tsv with a household sub-tsv. The sub-tsvs have the following dependencies:; Dwelling unit sub-tsv : deps=['Geometry Building Type RECS', 'State', 'Heating Fuel', 'Vintage'] with the following fallback coarsening order; [1] State coarsened to Census Division RECS with AK/HI separate; [2] Heating Fuel coarsened to Other Fuel, Wood and Propane combined; [3] Heating Fuel coarsened to Fuel Oil, Other Fuel, Wood and Propane combined; [4] Geometry Building Type RECS coarsened to SF/MF/MH; [5] Geometry Building Type RECS coarsened to SF and MH/MF; [6] Vintage coarsened to every 20 years before 2000 and every 10 years subsequently; [7] Vintage homes built before 1960 coarsened to pre1960; [8] Vintage homes built after 2000 coarsened to 2000-20; [9] Census Division RECS with AK/HI separate coarsened to Census Division RECS; [10] Census Division RECS to Census Region; [11] Census Region to National; Household sub-tsv : deps=['Geometry Building Type RECS', 'State' 'Tenure', 'Federal Poverty Level'] with the following fallback coarsening order; [1] State coarsened to Census Division RECS with AK/HI separate; [2] Geometry Building Type RECS coarsened to SF/MF/MH; [3] Geometry Building Type RECS coarsened to SF and MH/MF; [4] Federal Poverty Level coarsened every 100 percent; [5] Federal Poverty Level coarsened every 200 percent; [6] Census Division RECS with AK/HI separate coarsened to Census Division RECS; [7] Census Division RECS to Census Region; [8] Census Region to National; In combining the dwelling unit sub-tsv and household sub-tsv, the conditional relationships are ignored across (['Heating Fuel', 'Vintage'], ['Tenure', 'Federal Poverty Level'])."
Cooking Range Usage Level,3.0,1.0,sources\other\tsv_maker.py,Cooling range energy usage level multiplier.,n/a,Engineering judgement
