siteid,ducts_it,DB_BothSides_FlowExponent_Calculated,DB_OneSide_FlowExponent_Calculated,DB_OneSide_WhichSide,DB_BothSides_C,DB_OneSide_C,Sup_Q50_Calc,Ret_Q50_Calc,Sup_Q25_Calc,Ret_Q25_Calc,TrueFlow_Static_ReturnPressure,TrueFlow_Static_SupplyPressure,TrueFlow_Static_TotalPressure_Calculated,TrueFlow_CorrectionFactor_Calculated,TrueFlow_CorrectedFlow_Calculated,TrueFlow_Notes,slf_halfplen,rlf_halfplen,DB_FanType,DB_MajorityReturnLocation,DB_MajoritySupplyLocation,DB_RemainderReturnLocation,DB_RemainderSupplyLocation,DB_SqFt,DB_WholeHouse,SummarySketchSqFt_Calculated,DuctSurfaceReturnBranch,DuctSurfaceReturnPlenum,DuctSurfaceSupplyBranch,DuctSurfaceSupplyPlenum,DuctSurfaceReturnSqft,DuctSurfaceSupplySqft,DuctSurfaceTotalSqft,DB_Notes,DB_BothSides_Testfailed,DB_OneSide_Testfailed,TF_Testfailed
10016,1,0.53,0.74,Return,57.03,5.0,372.06,93.53,265.28,55.67,96.0,51.0,147.0,0.98,956.0,,0.05,0.09,PSC,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",Inside heated space,,1,1700.0,46.47,51.16,129.44,61.39,97.64,190.84,288.48,,0,0,0
10062,1,0.74,,Supply,,,,,,,125.0,115.0,240.0,0.9,904.0,,,,PSC,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",Inside heated space,,1,2782.0,,10.99,101.6,116.18,,217.79,,Client reports leaking duct work leading to upstairs.  Could not zero out ducts above +20.,0,1,0
10083,1,0.67,0.54,Supply,24.98,17.97,152.17,199.25,104.22,115.75,55.2,39.3,94.0,0.97,736.0,,0.12,0.14,ECM,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",Inside heated space,Inside heated space,,1,1916.0,90.23,17.9,313.32,21.13,108.13,334.46,442.6,,0,0,0
10178,1,0.63,0.67,Return,11.58,2.06,112.76,28.5,72.8,17.89,68.0,49.0,117.0,0.91,836.0,,0.02,0.02,PSC,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",,1,1014.0,83.55,49.43,194.16,29.65,132.98,223.82,356.8,,0,0,0
10211,1,,,,,,,,,,,,,,,"return static in plenum before filter, could not do btw filter and fan. NO access to filter or any return grill . consulted with Bruce and concluded that no TF test could be performed",,,PSC,,,,,,1,959.0,,,,,,,,"duct blaster location at resricted su;ppy register , could not pressurize ducts at all, a crawl inspection revealed 2 maybe 3 complete disconects ",0,0,1
10244,1,0.48,0.74,Return,123.54,40.03,97.5,737.19,155.03,439.96,93.0,110.0,203.0,1.02,733.0,,,,PSC,Inside heated space,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",Between floors / in ouside wall,,1,1200.0,,,,,,,,,0,0,0
10245,1,,,,,,,,,,27.0,35.0,62.0,1.39,1215.0,,,,ECM,Between floors / in ouside wall,Between floors / in ouside wall,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",,1,2500.0,,31.4,262.56,188.41,,450.97,,Homeowner indicated that one supply register has never been connected.  He speculated that it had been disconnected by accident during a construction project and then patched over without fixing it.  Was not able to pressurize the duct system a,0,0,0
10292,1,,,Supply,,,,,,,80.0,42.0,122.0,1.03,1008.0,,,,PSC,Inside heated space,Inside heated space,Inside heated space,Inside heated space,,1,2254.0,,,,,,,,All ducts w/in conditioned space.  One register discovered untaped at the end of the test.,1,1,0
10306,1,0.57,0.67,Supply,120.04,46.59,648.21,492.47,406.56,358.87,89.2,14.7,104.0,0.99,1038.0,,0.17,0.57,ECM,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",Inside heated space,Inside heated space,,1,3020.0,235.51,27.63,628.04,313.32,263.15,941.37,1204.52,Furnace in crawl space.,0,0,0
10352,1,,,Supply,,,,,,,,,,,,,,,,Inside heated space,"Unheated buffer space (Attic, Garage, Crawl)",Between floors / in ouside wall,Between floors / in ouside wall,1992.0,1,1968.0,10.44,78.5,104.44,104.7,88.95,209.14,298.09,"Ductwork was in very poor condition. Many flex runs were laying on the ground and one was completely disconnected. THis is also the reason there is no duct blaster readings on the hvac tests. system had duct board, ",0,0,1
10398,1,0.57,0.64,Return,148.37,65.02,597.29,819.83,426.83,523.24,148.0,47.0,195.0,1.03,1437.0,,0.34,0.73,PSC,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",Inside heated space,Between floors / in ouside wall,,1,2670.0,62.66,79.26,312.63,79.26,141.93,391.89,533.83,,0,0,0
10408,1,,,,,,,,,,110.0,41.0,151.0,0.96,780.0,,,,PSC,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",1983.0,1,1983.0,0.0,80.65,168.82,156.31,80.65,325.13,405.78,Could not seal off entire duct system.  Test failed,0,0,0
10486,1,,,,,,,,,,0.0,0.0,0.0,,,Air handler would not turn on.  Homeowner mentioned that they were out of oil and would fill it up when it started to get cold.,,,PSC,Inside heated space,Inside heated space,Inside heated space,Inside heated space,,1,1200.0,,,,,,,,"There was a large hole in the duct system; approximately 10"" in diameter.  Impossible to pressurize.",0,0,0
10516,1,0.68,0.62,Return,16.32,7.43,147.12,85.92,89.81,55.69,180.0,75.0,255.0,0.97,516.0,,0.13,0.24,PSC,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",,1,1080.0,64.72,36.18,129.44,72.36,100.9,201.8,302.7,,0,0,0
