"","Estimate","Std. Error","t value","Pr(>|t|)"
"size3500+",364.0301,9.6497,37.7243,0
"size2500-3499",235.9091,7.7769,30.3346,0
"size1500-2499",104.0203,5.8968,17.64,0
"heatingfuelFuel Oil",138.4804,11.6895,11.8466,0
"vintage1990s",108.9662,9.4045,11.5865,0
"heatingfuelNatural Gas",65.8782,6.052,10.8853,0
"actypeRoom",-80.2256,7.3933,-10.8511,0
"vintage1980s",104.1443,9.7188,10.7158,0
"vintage2000s",77.6502,8.963,8.6634,0
"actypeNone",-41.681,8.8649,-4.7018,0
"smsaOakland, CA",323.5904,74.0509,4.3698,0
"vintage1970s",32.9649,8.3766,3.9353,1e-04
"smsaWashington-Arlington-Alexandria, DC-VA-MD-WV",287.324,73.7879,3.8939,1e-04
"smsaAnaheim-Santa Ana (Orange County), CA",269.7738,74.4416,3.624,3e-04
"smsaNorthern NJ, NJ",248.616,71.769,3.4641,5e-04
"smsaBoston, MA",256.2061,74.6612,3.4316,6e-04
"smsaNassau-Suffolk, NY",259.7127,75.8829,3.4225,6e-04
"smsaLansing-East Lansing, MI",424.4682,126.5566,3.354,8e-04
"smsaSeattle-Tacoma-Bellevue, WA",250.7822,74.8974,3.3483,8e-04
"smsaSalem-Gloucester, MA",388.7238,120.2867,3.2316,0.0012
"(Intercept)",197.8753,68.3042,2.897,0.0038
"smsaMinneapolis-Saint Paul, MN",212.1167,73.8732,2.8714,0.0041
"heatingfuelPropane",32.5808,11.3513,2.8702,0.0041
"smsaBaltimore, MD",223.8752,78.6065,2.848,0.0044
"smsaDenver, CO",240.4398,86.3069,2.7859,0.0053
"smsaAppleton-Oshkosh-Neenah, WI",297.7951,113.3705,2.6267,0.0086
"smsaAlbany-Schenectady-Troy, NY",261.0571,100.9116,2.587,0.0097
"smsaBoulder-Longmont, CO",302.4541,119.9636,2.5212,0.0117
"smsaSaint Louis, MO-IL",192.8461,76.9569,2.5059,0.0122
"smsaNew York, NY",184.936,74.7629,2.4736,0.0134
"smsaLancaster, PA",333.368,135.4683,2.4609,0.0139
"smsaHonolulu, HI",278.8092,115.822,2.4072,0.0161
"smsaOxnard-Ventura, CA",209.4328,87.2195,2.4012,0.0163
"smsaFort Worth-Arlington, TX",168.6668,76.7553,2.1975,0.028
"smsaNewark, NJ",204.0022,94.162,2.1665,0.0303
"smsaPhiladelphia, PA-NJ",155.3481,72.0019,2.1576,0.031
"smsaNew York City, NY",168.2094,78.5702,2.1409,0.0323
"smsaCharleston, SC",213.8011,101.2572,2.1115,0.0347
"smsaBergen-Passaic, NJ",207.2149,101.0567,2.0505,0.0403
"smsaMonmouth-Ocean, NJ",229.7662,117.5409,1.9548,0.0506
"smsaLos Angeles-Long Beach, CA",127.0549,70.0764,1.8131,0.0698
"smsaPhoenix, AZ",126.9349,72.6363,1.7475,0.0806
"smsaIndianapolis, IN",137.4765,80.668,1.7042,0.0883
"smsaMiddlesex-Somerset-Hunterdon, NJ",191.9692,112.8108,1.7017,0.0888
"smsaChicago, IL",127.8379,75.5359,1.6924,0.0906
"smsaSacramento, CA",127.4,77.4614,1.6447,0.1
"smsaOrlando, FL",130.6333,80.9304,1.6141,0.1065
"heatingfuelNone",-120.8553,76.5667,-1.5784,0.1145
"smsaColumbia, SC",138.3605,89.9333,1.5385,0.1239
"smsaMadison, WI",182.4611,120.6698,1.5121,0.1305
"smsaHouston, TX",107.7919,72.1783,1.4934,0.1353
"smsaChicago-Naperville-Joliet, IL + Lake County-Kenosha County, IL-WI",104.6414,71.6319,1.4608,0.1441
"smsaPittsburgh, PA",107.2707,75.4843,1.4211,0.1553
"smsaTampa-St. Petersburg-Clearwater, FL",106.2701,75.4764,1.408,0.1591
"smsaNashville, TN",124.312,88.6397,1.4024,0.1608
"smsaDuluth, MN-WI",187.5257,136.4471,1.3743,0.1693
"smsaEugene-Springfield, OR",139.8265,104.382,1.3396,0.1804
"smsaLexington-Fayette, KY",128.5492,96.4654,1.3326,0.1827
"smsaAllentown-Bethlehem-Easton, PA",146.11,111.426,1.3113,0.1898
"smsaOmaha, NE-IA",107.5785,85.703,1.2552,0.2094
"smsaModesto, CA",128.159,105.1031,1.2194,0.2227
"smsaFort Lauderdale-Hollywood, FL",96.9834,80.2447,1.2086,0.2268
"smsaBridgeport-Milford, CT",104.6579,90.9075,1.1513,0.2496
