Schedule Name,Affected By Vacancy,Affected By Power Outage
occupants,Yes,No
lighting_interior,Yes,Yes
lighting_exterior,Yes,Yes
lighting_garage,Yes,Yes
lighting_exterior_holiday,Yes,Yes
cooking_range,Yes,Yes
refrigerator,No,Yes
extra_refrigerator,No,Yes
freezer,No,Yes
dishwasher,Yes,Yes
clothes_washer,Yes,Yes
clothes_dryer,Yes,Yes
ceiling_fan,Yes,Yes
plug_loads_other,Yes,Yes
plug_loads_tv,Yes,Yes
plug_loads_vehicle,Yes,Yes
plug_loads_well_pump,Yes,Yes
fuel_loads_grill,Yes,Yes
fuel_loads_lighting,Yes,Yes
fuel_loads_fireplace,Yes,Yes
pool_pump,No,Yes
pool_heater,No,Yes
hot_tub_pump,No,Yes
hot_tub_heater,No,Yes
hot_water_fixtures,Yes,Yes
hvac,No,Yes
water_heater,No,Yes
dehumidifier,No,Yes
house_fan,No,Yes
kitchen_fan,Yes,Yes
bath_fan,Yes,Yes
whole_house_fan,No,Yes
