WMO,STATION,COUNTY NAME,STATE,STATE NAME,BA ZONE,IECC ZONE
690150,TWENTYNINE PALMS,San Bernardino,CA,California,Hot-Dry,3B
690190,ABILENE DYESS AFB,Taylor,TX,Texas,Hot-Dry,3B
690230,WHIDBEY ISLAND NAS,Island,WA,Washington,Cold,4C
699604,YUMA MCAS,Yuma,AZ,Arizona,Hot-Dry,2B
700197,SELAWIK,Northwest Arctic,AK,Alaska,Subarctic,8
700260,BARROW W POST-W ROGERS ARPT,North Slope,AK,Alaska,Subarctic,8
700637,DEADHORSE,North Slope,AK,Alaska,Subarctic,8
701043,POINT HOPE (AWOS),North Slope,AK,Alaska,Subarctic,8
701195,SHISHMAREF (AWOS),Nome,AK,Alaska,Subarctic,8
701330,KOTZEBUE RALPH WEIN MEMORIAL,Northwest Arctic,AK,Alaska,Subarctic,8
701625,ANAKTUVUK PASS,North Slope,AK,Alaska,Subarctic,8
701718,AMBLER,Northwest Arctic,AK,Alaska,Subarctic,8
701740,BETTLES FIELD,Yukon-Koyukuk,AK,Alaska,Subarctic,8
701780,TANANA RALPH M CALHOUN MEM AP,Yukon-Koyukuk,AK,Alaska,Subarctic,8
701940,FORT YUKON,Fairbanks North Star,AK,Alaska,Subarctic,8
702000,NOME MUNICIPAL ARPT,Nome,AK,Alaska,Subarctic,8
702005,SAINT MARY`S (AWOS),Wade Hampton,AK,Alaska,Subarctic,8
702035,SAVOONGA,Nome,AK,Alaska,Subarctic,8
702040,GAMBELL,Nome,AK,Alaska,Subarctic,8
702070,UNALAKLEET FIELD,Nome,AK,Alaska,Subarctic,8
702075,ANVIK,Yukon-Koyukuk,AK,Alaska,Subarctic,8
702084,EMMONAK,Wade Hampton,AK,Alaska,Subarctic,8
702185,MEKORYUK,Bethel,AK,Alaska,Subarctic,8
702186,HOOPER BAY,Wade Hampton,AK,Alaska,Subarctic,8
702190,BETHEL AIRPORT,Bethel,AK,Alaska,Subarctic,8
702225,HUSLIA,Yukon-Koyukuk,AK,Alaska,Subarctic,8
702310,MCGRATH ARPT,Yukon-Koyukuk,AK,Alaska,Subarctic,8
702320,ANIAK AIRPORT,Bethel,AK,Alaska,Subarctic,8
702460,MINCHUMINA,Yukon-Koyukuk,AK,Alaska,Subarctic,8
702495,HAYES RIVER,Matanuska-Susitna,AK,Alaska,Very Cold,7
702510,TALKEETNA STATE ARPT,Matanuska-Susitna,AK,Alaska,Very Cold,7
702590,KENAI MUNICIPAL AP,Kenai Peninsula,AK,Alaska,Very Cold,7
702595,SOLDOTNA,Kenai Peninsula,AK,Alaska,Very Cold,7
702600,NENANA MUNICIPAL AP,Yukon-Koyukuk,AK,Alaska,Subarctic,8
702606,CHULITNA,Matanuska-Susitna,AK,Alaska,Very Cold,7
702607,HOONAH,Skagway-Hoonah-Angoon,AK,Alaska,Very Cold,7
702610,FAIRBANKS INTL ARPT,Fairbanks North Star,AK,Alaska,Subarctic,8
702647,HEALY RIVER AIRPORT,Denali,AK,Alaska,Very Cold,7
702650,FAIRBANKS/EIELSON A,Fairbanks North Star,AK,Alaska,Subarctic,8
702670,BIG DELTA ALLEN AAF,Southeast Fairbanks,AK,Alaska,Subarctic,8
702710,GULKANA INTERMEDIATE FIELD,Valdez-Cordova,AK,Alaska,Very Cold,7
702720,ANCHORAGE/ELMENDORF,Anchorage,AK,Alaska,Very Cold,7
702725,LAKE HOOD SEAPLANE,Anchorage,AK,Alaska,Very Cold,7
702730,ANCHORAGE INTL AP,Anchorage,AK,Alaska,Very Cold,7
702735,ANCHORAGE MERRILL FIELD,Anchorage,AK,Alaska,Very Cold,7
702740,PALMER MUNICIPAL,Matanuska-Susitna,AK,Alaska,Very Cold,7
702746,BIRCHWOOD,Anchorage,AK,Alaska,Very Cold,7
702750,VALDEZ WSO,Valdez-Cordova,AK,Alaska,Very Cold,7
702756,VALDEZ PIONEER FIEL,Valdez-Cordova,AK,Alaska,Very Cold,7
702757,WHITTIER,Valdez-Cordova,AK,Alaska,Very Cold,7
702770,SEWARD,Kenai Peninsula,AK,Alaska,Very Cold,7
702910,NORTHWAY AIRPORT,Southeast Fairbanks,AK,Alaska,Subarctic,8
702960,CORDOVA,Valdez-Cordova,AK,Alaska,Very Cold,7
702986,BIG RIVER LAKE,Kenai Peninsula,AK,Alaska,Very Cold,7
703080,ST PAUL ISLAND ARPT,Aleutians West,AK,Alaska,Very Cold,7
703160,COLD BAY ARPT,Aleutians East,AK,Alaska,Very Cold,7
703165,SAND POINT,Aleutians East,AK,Alaska,Very Cold,7
703210,DILLINGHAM MUNI,Dillingham,AK,Alaska,Subarctic,8
703260,KING SALMON ARPT,Bristol Bay,AK,Alaska,Very Cold,7
703330,PORT HEIDEN,Lake and Peninsula,AK,Alaska,Very Cold,7
703400,ILIAMNA ARPT,Lake and Peninsula,AK,Alaska,Very Cold,7
703407,SLEETMUTE,Bethel,AK,Alaska,Subarctic,8
703410,HOMER ARPT,Kenai Peninsula,AK,Alaska,Very Cold,7
703430,MIDDLETON ISL. AMOS,Valdez-Cordova,AK,Alaska,Very Cold,7
703500,KODIAK AIRPORT,Kodiak Island,AK,Alaska,Very Cold,7
703606,TOGIAC VILLAGE AWOS,Dillingham,AK,Alaska,Subarctic,8
703610,YAKUTAT STATE ARPT,Yakutat,AK,Alaska,Very Cold,7
