year,performance_id,category_id,type_id,region_id,fuel_primary_id,metric_id,units_id,value
1970,shipment_weighted,cooling,packaged_dx,,electric,eer,btu/wh,9
1971,shipment_weighted,cooling,packaged_dx,,electric,eer,btu/wh,9
1972,shipment_weighted,cooling,packaged_dx,,electric,eer,btu/wh,9
1973,shipment_weighted,cooling,packaged_dx,,electric,eer,btu/wh,9
1974,shipment_weighted,cooling,packaged_dx,,electric,eer,btu/wh,9
1975,shipment_weighted,cooling,packaged_dx,,electric,eer,btu/wh,9
1976,shipment_weighted,cooling,packaged_dx,,electric,eer,btu/wh,9
1977,shipment_weighted,cooling,packaged_dx,,electric,eer,btu/wh,9
1978,shipment_weighted,cooling,packaged_dx,,electric,eer,btu/wh,9
1979,shipment_weighted,cooling,packaged_dx,,electric,eer,btu/wh,9
1980,shipment_weighted,cooling,packaged_dx,,electric,eer,btu/wh,9
1981,shipment_weighted,cooling,packaged_dx,,electric,eer,btu/wh,9
1982,shipment_weighted,cooling,packaged_dx,,electric,eer,btu/wh,9
1983,shipment_weighted,cooling,packaged_dx,,electric,eer,btu/wh,9
1984,shipment_weighted,cooling,packaged_dx,,electric,eer,btu/wh,9
1985,shipment_weighted,cooling,packaged_dx,,electric,eer,btu/wh,9
1986,shipment_weighted,cooling,packaged_dx,,electric,eer,btu/wh,9
1987,shipment_weighted,cooling,packaged_dx,,electric,eer,btu/wh,9
1988,shipment_weighted,cooling,packaged_dx,,electric,eer,btu/wh,9
1989,shipment_weighted,cooling,packaged_dx,,electric,eer,btu/wh,9
1990,shipment_weighted,cooling,packaged_dx,,electric,eer,btu/wh,9
1991,shipment_weighted,cooling,packaged_dx,,electric,eer,btu/wh,9
1992,shipment_weighted,cooling,packaged_dx,,electric,eer,btu/wh,9
1993,shipment_weighted,cooling,packaged_dx,,electric,eer,btu/wh,9.05
1994,shipment_weighted,cooling,packaged_dx,,electric,eer,btu/wh,9
1995,shipment_weighted,cooling,packaged_dx,,electric,eer,btu/wh,9.03
1996,shipment_weighted,cooling,packaged_dx,,electric,eer,btu/wh,9.08
1997,shipment_weighted,cooling,packaged_dx,,electric,eer,btu/wh,9.09
