Region,Country,Station,Latitude,Longitude,"Ts,avg","Ts,amplitude,1","Ts,amplitude,2",PL1,PL2,
1,BEN,COTONOU,6.35,2.38,28.0,-1.5,0.7,56,32,
1,BEN,PARAKOU,9.35,2.62,27.6,-2.2,1.0,69,21,
1,BFA,BOBO-DIOULASSO,11.17,-4.32,27.8,-1.7,1.8,99,24,
1,BFA,DORI,14.03,-0.03,30.9,4.2,3.0,-11,17,
1,BFA,OUAGADOUGOU,12.35,-1.52,30.2,2.4,2.6,-32,23,
1,BWA,FRANCISTOWN,-21.22,27.50,24.0,-4.6,1.8,1,6,
1,BWA,MAUN,-19.98,23.42,26.2,-4.6,2.2,-5,4,
1,BWA,SERETSE-KHAMA-INTER,-24.55,25.92,22.9,-6.0,1.4,4,3,
1,CIV,ABIDJAN,5.25,-3.93,27.8,-1.8,0.7,64,30,
1,DZA,ANNABA,36.83,7.82,19.8,7.7,0.8,31,-33,
1,DZA,BATNA,35.75,6.32,17.9,10.8,-1.5,23,53,
1,DZA,BECHAR,31.50,-2.25,22.9,11.5,0.8,21,-23,
1,DZA,BEJAIA-AP,36.72,5.07,19.9,8.3,1.1,31,-22,
1,DZA,BISKRA,34.80,5.73,24.0,11.3,-1.1,22,48,
1,DZA,BORDJ-BOU-ARRERIDJ,36.07,4.77,17.7,11.0,1.8,24,-35,
1,DZA,CHLEF,36.22,1.33,21.3,10.2,0.0,25,1,
1,DZA,CONSTANTINE,36.28,6.62,18.3,10.6,-0.9,23,47,
1,DZA,DAR-EL-BEIDA,36.68,3.22,19.9,8.0,1.1,28,-33,
1,DZA,DJANET,24.27,9.47,25.4,9.7,2.1,14,17,
1,DZA,EL-BAYADH,33.67,1.00,17.5,12.0,-1.2,23,43,
1,DZA,EL-GOLEA,30.57,2.87,24.0,12.3,1.2,20,-16,
1,DZA,EL-OUED,33.50,6.78,24.0,11.5,1.0,21,-26,
1,DZA,GHARDAIA,32.40,3.80,23.6,11.7,1.0,21,-25,
1,DZA,HASSI-MESSAOUD,31.67,6.15,25.0,12.1,1.0,20,-13,
1,DZA,ILLIZI,26.50,8.42,26.5,10.4,1.6,18,5,
1,DZA,IN-AMENAS,28.05,9.63,24.3,10.9,1.3,18,-6,
1,DZA,IN-SALAH,27.23,2.50,27.5,11.2,1.4,19,-24,
1,DZA,JIJEL-ACHOUAT,36.80,5.88,20.6,8.4,1.0,29,-26,
1,DZA,MASCARA-MATEMORE,35.60,0.30,19.6,10.1,-1.6,24,49,
1,DZA,MECHERIA,33.58,-0.28,18.7,11.1,1.5,21,-33,
1,DZA,ORAN-SENIA,35.63,-0.60,20.0,7.8,1.4,27,-36,
1,DZA,SETIF,36.18,5.25,16.8,10.8,-1.5,23,36,
1,DZA,SKIKDA,36.88,6.90,20.9,7.5,0.7,34,-29,
1,DZA,TAMANRASSET,22.80,5.43,23.9,8.4,1.2,15,12,
1,DZA,TEBESSA,35.42,8.12,18.9,10.9,0.8,22,-32,
1,DZA,TIARET,35.35,1.47,17.2,10.9,-1.0,25,44,
1,DZA,TLEMCEN-ZENATA,35.02,-1.47,20.6,8.3,1.2,26,-33,
1,DZA,TOUGGOURT,33.12,6.13,23.9,11.6,1.2,20,-27,
1,EGY,ALEXANDRIA-NOUZHA,31.20,29.95,22.2,7.0,0.7,31,-4,
1,EGY,ASSWAN,23.97,32.78,27.6,9.0,1.7,19,10,
1,EGY,ASYUT,27.05,31.02,24.3,9.2,1.1,19,7,
1,EGY,BAHARIA,28.33,28.90,24.4,8.7,1.1,16,5,
1,EGY,BALTIM,31.55,31.10,22.7,6.8,0.9,33,6,
1,EGY,CAIRO-AP,30.13,31.40,24.0,7.7,0.7,21,9,
1,EGY,DAKHLA,25.48,29.00,26.0,9.8,1.3,17,10,
1,EGY,EL-ARISH,31.08,33.82,22.2,6.9,0.8,28,10,
1,EGY,EL-TOR,28.23,33.62,24.5,6.9,0.6,24,12,
1,EGY,HURGUADA,27.15,33.72,25.9,7.8,0.7,26,10,
1,EGY,ISMAILIA,30.60,32.25,23.6,8.0,0.8,26,5,
1,EGY,KHARGA,25.45,30.53,27.0,9.7,1.3,18,19,
1,EGY,KOSSEIR,26.13,34.15,26.0,6.5,0.5,27,6,
1,EGY,LUXOR,25.67,32.70,27.0,9.5,1.4,18,11,
1,EGY,MERSA-MATRUH,31.33,27.22,21.8,7.2,0.6,34,-10,
1,EGY,MINYA,28.08,30.73,24.1,9.0,0.8,21,2,
1,EGY,PORT-SAID-EL-GAMIL,31.28,32.23,23.0,6.9,0.5,35,5,
1,EGY,SIWA,29.20,25.32,24.8,9.6,1.1,20,2,
1,ESH,DAKHLA,23.72,-15.93,22.1,2.4,0.0,37,14,
1,ESP,FUERTEVENTURA-AP,28.45,-13.87,22.9,4.1,1.2,40,-10,
1,ESP,LA-PALMA-AP,28.62,-17.75,22.3,3.7,0.6,41,-24,
1,ESP,LANZAROTE-AP,28.95,-13.60,22.1,3.5,1.1,43,-12,
1,ESP,LAS-PALMAS-DE-GRAN,27.93,-15.38,22.3,3.4,0.6,41,-15,
