TMY3,wsf,Weather Station,Latitude,Longitude,State,
722230,0.42,Mobile Regional AP,30.68,-88.25,Alabama,
722235,0.42,Mobile Downtown AP,30.63,-88.07,Alabama,
722260,0.39,Montgomery Dannelly Field,32.3,-86.40,Alabama,
722265,0.4,Maxwell AFB,32.38,-86.35,Alabama,
722267,0.34,Troy Af,31.87,-86.02,Alabama,
722268,0.41,Dothan Municipal AP,31.23,-85.43,Alabama,
722269,0.36,Cairns Field Fort Rucker,31.27,-85.72,Alabama,
722280,0.41,Birmingham Municipal AP,33.57,-86.75,Alabama,
722284,0.35,Auburn-Opelika Apt,32.62,-85.43,Alabama,
722285,0.38,Gadsen Muni (AWOS),33.97,-86.08,Alabama,
722286,0.39,Tuscaloosa Municipal AP,33.22,-87.62,Alabama,
722287,0.37,Anniston Metropolitan AP,33.58,-85.85,Alabama,
723230,0.45,Huntsville Intl/Jones Field,34.65,-86.78,Alabama,
723235,0.39,Muscle Shoals Regional AP,34.75,-87.60,Alabama,
700197,0.88,Selawik,66.6,-160.00,Alaska,
700260,1.14,Barrow W Post-W Rogers Arpt [NSA - ARM],71.32,-156.62,Alaska,
700637,1.05,Deadhorse,70.2,-148.48,Alaska,
701043,1.11,Point Hope (AWOS),68.35,-166.80,Alaska,
701195,1.01,Shishmaref (AWOS),66.27,-166.05,Alaska,
701330,0.98,Kotzebue Ralph Wein Memorial,66.88,-162.60,Alaska,
701625,0.93,Anaktuvuk Pass,68.13,-151.73,Alaska,
701718,0.78,Ambler,67.1,-157.85,Alaska,
701740,0.76,Bettles Field,66.92,-151.52,Alaska,
701780,0.75,Tanana Ralph M Calhoun Mem AP,65.17,-152.10,Alaska,
701940,0.74,Fort Yukon,66.57,-145.27,Alaska,
702000,0.88,Nome Municipal Arpt,64.52,-165.45,Alaska,
702005,0.89,Saint Mary's (AWOS),62.07,-163.30,Alaska,
702035,0.98,Savoonga,63.68,-170.50,Alaska,
702040,1.14,Gambell,63.78,-171.75,Alaska,
702070,0.91,Unalakleet Field,63.88,-160.80,Alaska,
702075,0.71,Anvik,62.65,-160.18,Alaska,
702084,0.83,Emmonak,62.78,-164.50,Alaska,
702185,0.99,Mekoryuk,60.37,-166.27,Alaska,
702186,1,Hooper Bay,61.52,-166.15,Alaska,
702190,0.89,Bethel Airport,60.78,-161.83,Alaska,
702225,0.76,Huslia,65.7,-156.38,Alaska,
702310,0.73,McGrath Arpt,62.95,-155.60,Alaska,
702320,0.73,Aniak Airport,61.58,-159.53,Alaska,
