Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Combined	Option=None	"Option=ASHP, SEER 10, 6.2 HSPF"	"Option=ASHP, SEER 13, 7.7 HSPF"	"Option=ASHP, SEER 15, 8.5 HSPF"					
CR02	1950s	Electricity	Yes	0	0.183846691	0.700315907	0.115837402					
CR02	1960s	Electricity	Yes	0	0.289154207	0.643875181	0.066970612					
CR02	1970s	Electricity	Yes	0	0.281641383	0.659303216	0.059055402					
CR02	1980s	Electricity	Yes	1	0	0	0					
CR02	1990s	Electricity	Yes	1	0	0	0					
CR02	2000s	Electricity	Yes	0	0.179836912	0.742669008	0.077494079					
CR02	<1950	Electricity	Yes	0	0.179836912	0.742669008	0.077494079					
CR05	1950s	Electricity	Yes	0	0.183846691	0.700315907	0.115837402					
CR05	1960s	Electricity	Yes	1	0	0	0					
CR05	1970s	Electricity	Yes	1	0	0	0					
CR05	1980s	Electricity	Yes	1	0	0	0					
CR05	1990s	Electricity	Yes	1	0	0	0					
CR05	2000s	Electricity	Yes	1	0	0	0					
CR05	<1950	Electricity	Yes	1	0	0	0					
CR03	1950s	Electricity	Yes	1	0	0	0					
CR03	1960s	Electricity	Yes	1	0	0	0					
CR03	1970s	Electricity	Yes	1	0	0	0					
CR03	1980s	Electricity	Yes	1	0	0	0					
CR03	1990s	Electricity	Yes	1	0	0	0					
CR03	2000s	Electricity	Yes	1	0	0	0					
CR03	<1950	Electricity	Yes	1	0	0	0					
CR04	1950s	Electricity	Yes	0	0.183846691	0.700315907	0.115837402					
CR04	1960s	Electricity	Yes	0	0.289154207	0.643875181	0.066970612					
CR04	1970s	Electricity	Yes	0	0.281641383	0.659303216	0.059055402					
CR04	1980s	Electricity	Yes	0	0.326648662	0.6055324	0.067818938					
CR04	1990s	Electricity	Yes	0	0.220813292	0.695436681	0.083750027					
CR04	2000s	Electricity	Yes	0	0.179836912	0.742669008	0.077494079					
CR04	<1950	Electricity	Yes	0	0.179836912	0.742669008	0.077494079					
CR06	1950s	Electricity	Yes	0	0.183846691	0.700315907	0.115837402					
