Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=HVAC Has Zonal Electric Heating	Option=No	Option=Yes	source_count	source_weight	sampling_probability
1A	Mobile Home	No	0	1	1090	509841	0.00029943
1A	Multi-Family with 2 - 4 Units	No	0	1	362	337201	0.000789624
1A	Multi-Family with 5+ Units	No	0	1	362	846887	0.00552367
1A	Single-Family Attached	No	0	1	362	272636	0.00114503
1A	Single-Family Detached	No	0	1	1090	4.25E+06	0.00509001
1A	Mobile Home	Yes	0	1	77	176548	3.08E-05
1A	Multi-Family with 2 - 4 Units	Yes	0	1	28	38566.3	7.72E-05
1A	Multi-Family with 5+ Units	Yes	0	1	28	61281.5	0.000364624
1A	Single-Family Attached	Yes	0	1	28	10660	0.000102633
1A	Single-Family Detached	Yes	0	1	77	184800	0.000649513
2A	Mobile Home	No	0	1	1090	509841	0.010526
2A	Multi-Family with 2 - 4 Units	No	0	1	362	337201	0.00656258
2A	Multi-Family with 5+ Units	No	0	1	362	846887	0.0210518
2A	Single-Family Attached	No	0	1	362	272636	0.00429657
2A	Single-Family Detached	No	0	1	1090	4.25E+06	0.0662182
2A	Mobile Home	Yes	0	1	77	176548	0.000897168
2A	Multi-Family with 2 - 4 Units	Yes	0	1	28	38566.3	0.0004994
2A	Multi-Family with 5+ Units	Yes	0	1	28	61281.5	0.00125877
2A	Single-Family Attached	Yes	0	1	28	10660	0.00031277
2A	Single-Family Detached	Yes	0	1	77	184800	0.00504177
2B	Mobile Home	No	0	1	138	188143	0.00164815
2B	Multi-Family with 2 - 4 Units	No	0	1	47	24333.9	0.000887124
2B	Multi-Family with 5+ Units	No	0	1	47	348321	0.00317751
2B	Single-Family Attached	No	0	1	47	78119.3	0.000916469
2B	Single-Family Detached	No	0	1	138	1.26E+06	0.0115948
2B	Mobile Home	Yes	0	1	12	55958.7	0.000119992
2B	Multi-Family with 2 - 4 Units	Yes	0	1	12	22013.3	0.000105086
2B	Multi-Family with 5+ Units	Yes	0	1	12	0	0.000241742
2B	Single-Family Attached	Yes	0	1	12	0	8.65E-05
2B	Single-Family Detached	Yes	0	1	12	53832.7	0.00109044
3A	Mobile Home	No	0	1	901	751216	0.0138656
3A	Multi-Family with 2 - 4 Units	No	0	1	277	671877	0.00637089
3A	Multi-Family with 5+ Units	No	0	1	277	1.90E+06	0.0187545
3A	Single-Family Attached	No	0	1	277	353321	0.00353032
3A	Single-Family Detached	No	0	1	901	9.52E+06	0.0848805
3A	Mobile Home	Yes	0	1	31	47260.9	0.000667957
3A	Multi-Family with 2 - 4 Units	Yes	0	1	22	52076.4	0.000407304
3A	Multi-Family with 5+ Units	Yes	0	1	22	152162	0.000811721
3A	Single-Family Attached	Yes	0	1	22	22461.1	0.000159189
3A	Single-Family Detached	Yes	0	1	31	322379	0.00444
3B	Mobile Home	No	0	1	881	176850	0.00407964
3B	Multi-Family with 2 - 4 Units	No	0	1	333	333965	0.00638571
3B	Multi-Family with 5+ Units	No	0	1	333	750514	0.0194141
3B	Single-Family Attached	No	0	1	333	236283	0.00517913
3B	Single-Family Detached	No	0	1	881	3.37E+06	0.0516904
3B	Mobile Home	Yes	0	1	49	64540.1	0.000348939
3B	Multi-Family with 2 - 4 Units	Yes	0	1	57	96344.9	0.000555505
3B	Multi-Family with 5+ Units	Yes	0	1	57	114127	0.00176443
3B	Single-Family Attached	Yes	0	1	57	17572.7	0.00046051
3B	Single-Family Detached	Yes	0	1	49	132384	0.00361964
3C	Mobile Home	No	0	1	181	38960.8	0.000608276
3C	Multi-Family with 2 - 4 Units	No	0	1	119	141240	0.00201212
3C	Multi-Family with 5+ Units	No	0	1	119	527367	0.00503351
3C	Single-Family Attached	No	0	1	119	297287	0.00189155
3C	Single-Family Detached	No	0	1	181	1.42E+06	0.0113972
3C	Mobile Home	Yes	0	1	40	0	7.49E-05
3C	Multi-Family with 2 - 4 Units	Yes	0	1	32	31883.7	0.000274002
3C	Multi-Family with 5+ Units	Yes	0	1	32	218453	0.000878602
3C	Single-Family Attached	Yes	0	1	32	17919	0.000262784
3C	Single-Family Detached	Yes	0	1	40	57155.5	0.00115935
4A	Mobile Home	No	0	1	1716	1.85E+06	0.010612
4A	Multi-Family with 2 - 4 Units	No	0	1	836	1.66E+06	0.0184257
4A	Multi-Family with 5+ Units	No	0	1	836	4.32E+06	0.0435213
4A	Single-Family Attached	No	0	1	836	2.01E+06	0.0186272
4A	Single-Family Detached	No	0	1	1716	1.41E+07	0.110687
4A	Mobile Home	Yes	0	1	84	161166	0.00106295
4A	Multi-Family with 2 - 4 Units	Yes	0	1	67	300571	0.00114566
4A	Multi-Family with 5+ Units	Yes	0	1	67	373251	0.00237602
4A	Single-Family Attached	Yes	0	1	67	153118	0.00118914
4A	Single-Family Detached	Yes	0	1	84	721452	0.00901224
4B	Mobile Home	No	0	1	881	176850	0.000875541
4B	Multi-Family with 2 - 4 Units	No	0	1	333	333965	0.00039657
4B	Multi-Family with 5+ Units	No	0	1	333	750514	0.000681822
4B	Single-Family Attached	No	0	1	333	236283	0.00022337
4B	Single-Family Detached	No	0	1	881	3.37E+06	0.0050943
4B	Mobile Home	Yes	0	1	49	64540.1	6.34E-05
4B	Multi-Family with 2 - 4 Units	Yes	0	1	57	96344.9	3.42E-05
