Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Building Type RECS	Dependency=Geometry Foundation Type	Option=None	Option=Uninsulated	Option=Ceiling R-13	Option=Ceiling R-19	Option=Ceiling R-30	sampling_probability
CR02	<1940	Mobile Home	Ambient	0	1	0	0	0	2.82742e-05
CR03	<1940	Mobile Home	Ambient	0	1	0	0	0	1.81389e-05
CR04	<1940	Mobile Home	Ambient	0	1	0	0	0	5.6e-05
CR05	<1940	Mobile Home	Ambient	0	1	0	0	0	2.14737e-05
CR06	<1940	Mobile Home	Ambient	0	1	0	0	0	1.58432e-05
CR07	<1940	Mobile Home	Ambient	0	1	0	0	0	3.66569e-05
CR08	<1940	Mobile Home	Ambient	0	1	0	0	0	5.32573e-05
CR09	<1940	Mobile Home	Ambient	0	1	0	0	0	0.000106545
CR10	<1940	Mobile Home	Ambient	0	1	0	0	0	1.73152e-05
CR11	<1940	Mobile Home	Ambient	0	1	0	0	0	3.40067e-05
CR02	1940s	Mobile Home	Ambient	0	1	0	0	0	6.23042e-06
CR03	1940s	Mobile Home	Ambient	0	1	0	0	0	1.04789e-05
CR04	1940s	Mobile Home	Ambient	0	1	0	0	0	2.59075e-05
CR05	1940s	Mobile Home	Ambient	0	1	0	0	0	9.07852e-06
CR06	1940s	Mobile Home	Ambient	0	1	0	0	0	8.19534e-06
CR07	1940s	Mobile Home	Ambient	0	1	0	0	0	1.83722e-05
CR08	1940s	Mobile Home	Ambient	0	1	0	0	0	3.6153e-05
CR09	1940s	Mobile Home	Ambient	0	1	0	0	0	9.76895e-05
CR10	1940s	Mobile Home	Ambient	0	1	0	0	0	8.22911e-06
CR11	1940s	Mobile Home	Ambient	0	1	0	0	0	3.95546e-05
CR02	1950s	Mobile Home	Ambient	0	1	0	0	0	2.59765e-05
CR03	1950s	Mobile Home	Ambient	0	1	0	0	0	2.98122e-05
CR04	1950s	Mobile Home	Ambient	0	1	0	0	0	8.35266e-05
CR05	1950s	Mobile Home	Ambient	0	1	0	0	0	2.84855e-05
CR06	1950s	Mobile Home	Ambient	0	1	0	0	0	3.25273e-05
CR07	1950s	Mobile Home	Ambient	0	1	0	0	0	6.66636e-05
CR08	1950s	Mobile Home	Ambient	0	1	0	0	0	9.12229e-05
CR09	1950s	Mobile Home	Ambient	0	1	0	0	0	0.000326587
CR10	1950s	Mobile Home	Ambient	0	1	0	0	0	5.75131e-05
CR11	1950s	Mobile Home	Ambient	0	1	0	0	0	0.000145803
CR02	1960s	Mobile Home	Ambient	0	1	0	0	0	0.000128783
CR03	1960s	Mobile Home	Ambient	0	1	0	0	0	9.9449e-05
CR04	1960s	Mobile Home	Ambient	0	1	0	0	0	0.000382922
CR05	1960s	Mobile Home	Ambient	0	1	0	0	0	0.000140249
CR06	1960s	Mobile Home	Ambient	0	1	0	0	0	0.000171543
CR07	1960s	Mobile Home	Ambient	0	1	0	0	0	0.000278513
CR08	1960s	Mobile Home	Ambient	0	1	0	0	0	0.000433443
CR09	1960s	Mobile Home	Ambient	0	1	0	0	0	0.0012569
CR10	1960s	Mobile Home	Ambient	0	1	0	0	0	0.000253864
CR11	1960s	Mobile Home	Ambient	0	1	0	0	0	0.000468207
CR02	1970s	Mobile Home	Ambient	0	1	0	0	0	0.000539244
CR03	1970s	Mobile Home	Ambient	0	1	0	0	0	0.000280239
CR04	1970s	Mobile Home	Ambient	0	1	0	0	0	0.0011763
CR05	1970s	Mobile Home	Ambient	0	1	0	0	0	0.000683717
CR06	1970s	Mobile Home	Ambient	0	1	0	0	0	0.000736827
CR07	1970s	Mobile Home	Ambient	0	1	0	0	0	0.000816211
CR08	1970s	Mobile Home	Ambient	0	1	0	0	0	0.00152799
CR09	1970s	Mobile Home	Ambient	0	1	0	0	0	0.00466506
CR10	1970s	Mobile Home	Ambient	0	1	0	0	0	0.000924973
CR11	1970s	Mobile Home	Ambient	0	1	0	0	0	0.00141379
CR02	1980s	Mobile Home	Ambient	0	0.62	0.14	0.24	0	0.000399574
CR03	1980s	Mobile Home	Ambient	0	0.41	0.26	0.33	0	0.000316941
CR04	1980s	Mobile Home	Ambient	0	0.56	0.2	0.24	0	0.00113956
CR05	1980s	Mobile Home	Ambient	0	0.77	0.06	0.17	0	0.000407177
CR06	1980s	Mobile Home	Ambient	0	0.23	0.17	0.6	0	0.000549699
CR07	1980s	Mobile Home	Ambient	0	0.47	0.2	0.33	0	0.000794984
CR08	1980s	Mobile Home	Ambient	0	0.41	0.12	0.47	0	0.00170336
CR09	1980s	Mobile Home	Ambient	0	0.57	0.2	0.23	0	0.0069546
CR10	1980s	Mobile Home	Ambient	0	0.41	0.51	0.08	0	0.00097291
CR11	1980s	Mobile Home	Ambient	0	0.23	0.17	0.6	0	0.000760016
CR02	1990s	Mobile Home	Ambient	0	0.23	0.17	0.6	0	0.000577468
CR03	1990s	Mobile Home	Ambient	0	0.77	0.06	0.17	0	0.000215623
CR04	1990s	Mobile Home	Ambient	0	0.41	0.26	0.33	0	0.00150371
CR05	1990s	Mobile Home	Ambient	0	0.62	0.14	0.24	0	0.000449335
CR06	1990s	Mobile Home	Ambient	0	0.56	0.2	0.24	0	0.000667407
CR07	1990s	Mobile Home	Ambient	0	0.23	0.17	0.6	0	0.000753127
CR08	1990s	Mobile Home	Ambient	0	0.47	0.2	0.33	0	0.00272132
CR09	1990s	Mobile Home	Ambient	0	0.41	0.12	0.47	0	0.00944522
CR10	1990s	Mobile Home	Ambient	0	0.57	0.2	0.23	0	0.00103837
CR11	1990s	Mobile Home	Ambient	0	0.41	0.51	0.08	0	0.000469651
CR02	2000s	Mobile Home	Ambient	0	0	0	0	1	0.000284104
