Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Cooling Setpoint Has Offset	Dependency=Geometry Building Type RECS	Option=0F	Option=2F	Option=5F	Option=9F	source_count	source_weight	sampling_probability
1A	No	Mobile Home	1	0	0	0	483	298512	0.00017974
1A	Yes	Mobile Home	0	0	1	0	423	82844.6	0.00015052
1A	No	Multi-Family with 2 - 4 Units	1	0	0	0	165	146819	0.000491505
1A	Yes	Multi-Family with 2 - 4 Units	0	0	1	0	131	111393	0.000375359
1A	No	Multi-Family with 5+ Units	1	0	0	0	165	384215	0.00333861
1A	Yes	Multi-Family with 5+ Units	0	0	1	0	131	278155	0.00254968
1A	No	Single-Family Attached	1	0	0	0	165	117709	0.000707417
1A	Yes	Single-Family Attached	0	0	1	0	131	105893	0.000540249
1A	No	Single-Family Detached	1	0	0	0	483	1.80E+06	0.00312367
1A	Yes	Single-Family Detached	0	0	1	0	423	1.67E+06	0.00261586
2A	No	Mobile Home	1	0	0	0	483	298512	0.00621695
2A	Yes	Mobile Home	0	0	1	0	423	82844.6	0.00520627
2A	No	Multi-Family with 2 - 4 Units	1	0	0	0	165	146819	0.00400408
2A	Yes	Multi-Family with 2 - 4 Units	0	0	1	0	131	111393	0.00305789
2A	No	Multi-Family with 5+ Units	1	0	0	0	165	384215	0.0126499
2A	Yes	Multi-Family with 5+ Units	0	0	1	0	131	278155	0.00966064
2A	No	Single-Family Attached	1	0	0	0	165	117709	0.00261346
2A	Yes	Single-Family Attached	0	0	1	0	131	105893	0.00199588
2A	No	Single-Family Detached	1	0	0	0	483	1.80E+06	0.0387824
2A	Yes	Single-Family Detached	0	0	1	0	423	1.67E+06	0.0324776
2B	No	Mobile Home	1	0	0	0	56	71381.1	0.000826879
2B	Yes	Mobile Home	0	0	1	0	61	85866.3	0.000941263
2B	No	Multi-Family with 2 - 4 Units	1	0	0	0	24	0	0.00059925
2B	Yes	Multi-Family with 2 - 4 Units	0	0	1	0	17	16996.2	0.00039296
2B	No	Multi-Family with 5+ Units	1	0	0	0	24	226500	0.00206507
2B	Yes	Multi-Family with 5+ Units	0	0	1	0	17	100753	0.00135418
2B	No	Single-Family Attached	1	0	0	0	24	8440.97	0.00060575
2B	Yes	Single-Family Attached	0	0	1	0	17	36313.3	0.000397222
2B	No	Single-Family Detached	1	0	0	0	56	505428	0.0059323
2B	Yes	Single-Family Detached	0	0	1	0	61	570736	0.00675293
3A	No	Mobile Home	1	0	0	0	442	415644	0.00925921
3A	Yes	Mobile Home	0	0	1	0	270	109242	0.00527439
3A	No	Multi-Family with 2 - 4 Units	1	0	0	0	113	257541	0.00408676
3A	Yes	Multi-Family with 2 - 4 Units	0	0	1	0	86	164361	0.00269144
3A	No	Multi-Family with 5+ Units	1	0	0	0	113	735383	0.011797
3A	Yes	Multi-Family with 5+ Units	0	0	1	0	86	556194	0.00776922
3A	No	Single-Family Attached	1	0	0	0	113	225017	0.00222451
3A	Yes	Single-Family Attached	0	0	1	0	86	81549.5	0.00146501
3A	No	Single-Family Detached	1	0	0	0	442	4.61E+06	0.0569052
3A	Yes	Single-Family Detached	0	0	1	0	270	2.75E+06	0.0324153
3B	No	Mobile Home	1	0	0	0	172	20898.6	0.0020175
3B	Yes	Mobile Home	0	0	1	0	199	59210.6	0.00241108
3B	No	Multi-Family with 2 - 4 Units	1	0	0	0	50	53990.2	0.00317168
3B	Yes	Multi-Family with 2 - 4 Units	0	0	1	0	60	38085.9	0.00376953
3B	No	Multi-Family with 5+ Units	1	0	0	0	50	109830	0.00967722
3B	Yes	Multi-Family with 5+ Units	0	0	1	0	60	176695	0.0115013
3B	No	Single-Family Attached	1	0	0	0	50	48755.1	0.00257695
3B	Yes	Single-Family Attached	0	0	1	0	60	37864	0.00306269
3B	No	Single-Family Detached	1	0	0	0	172	681792	0.0251972
3B	Yes	Single-Family Detached	0	0	1	0	199	780565	0.0301128
3C	No	Mobile Home	1	0	0	0	7	0	0.000109877
3C	Yes	Mobile Home	0	0	1	0	11	0	0.000573311
3C	No	Multi-Family with 2 - 4 Units	1	0	0	0	7	0	0.000979467
3C	Yes	Multi-Family with 2 - 4 Units	0	0	1	0	11	0	0.00130666
3C	No	Multi-Family with 5+ Units	1	0	0	0	7	32624.3	0.00253299
3C	Yes	Multi-Family with 5+ Units	0	0	1	0	11	0	0.00337913
3C	No	Single-Family Attached	1	0	0	0	7	13103.2	0.000923003
3C	Yes	Single-Family Attached	0	0	1	0	11	0	0.00123133
3C	No	Single-Family Detached	1	0	0	0	7	15707.3	0.00201947
3C	Yes	Single-Family Detached	0	0	1	0	11	81957.1	0.0105371
4A	No	Mobile Home	1	0	0	0	729	815456	0.00720814
4A	Yes	Mobile Home	0	0	1	0	452	207275	0.00446678
4A	No	Multi-Family with 2 - 4 Units	1	0	0	0	194	265547	0.010968
4A	Yes	Multi-Family with 2 - 4 Units	0	0	1	0	132	162138	0.00860341
4A	No	Multi-Family with 5+ Units	1	0	0	0	194	893848	0.0257212
4A	Yes	Multi-Family with 5+ Units	0	0	1	0	132	714417	0.020176
4A	No	Single-Family Attached	1	0	0	0	194	483659	0.0111053
4A	Yes	Single-Family Attached	0	0	1	0	132	412273	0.0087111
4A	No	Single-Family Detached	1	0	0	0	729	5.66E+06	0.0739027
4A	Yes	Single-Family Detached	0	0	1	0	452	3.81E+06	0.0457964
4B	No	Mobile Home	1	0	0	0	172	20898.6	0.00042773
4B	Yes	Mobile Home	0	0	1	0	199	59210.6	0.000511174
4B	No	Multi-Family with 2 - 4 Units	1	0	0	0	50	53990.2	0.000196848
4B	Yes	Multi-Family with 2 - 4 Units	0	0	1	0	60	38085.9	0.000233953
4B	No	Multi-Family with 5+ Units	1	0	0	0	50	109830	0.000341375
4B	Yes	Multi-Family with 5+ Units	0	0	1	0	60	176695	0.000405723
4B	No	Single-Family Attached	1	0	0	0	50	48755.1	0.000108911
4B	Yes	Single-Family Attached	0	0	1	0	60	37864	0.00012944
4B	No	Single-Family Detached	1	0	0	0	172	681792	0.0024711
4B	Yes	Single-Family Detached	0	0	1	0	199	780565	0.00295317
4C	No	Mobile Home	1	0	0	0	10	8640.83	0.000723909
4C	Yes	Mobile Home	0	0	1	0	15	22135.7	0.00104177
4C	No	Multi-Family with 2 - 4 Units	1	0	0	0	10	0	0.000754142
4C	Yes	Multi-Family with 2 - 4 Units	0	0	1	0	15	0	0.00108528
4C	No	Multi-Family with 5+ Units	1	0	0	0	10	0	0.00243127
4C	Yes	Multi-Family with 5+ Units	0	0	1	0	15	0	0.00349883
4C	No	Single-Family Attached	1	0	0	0	10	0	0.000524155
4C	Yes	Single-Family Attached	0	0	1	0	15	0	0.000754309
4C	No	Single-Family Detached	1	0	0	0	10	96734.6	0.00744872
4C	Yes	Single-Family Detached	0	0	1	0	15	129509	0.0107194
5A	No	Mobile Home	1	0	0	0	325	200335	0.00483897
5A	Yes	Mobile Home	0	0	1	0	186	39814.4	0.0025181
5A	No	Multi-Family with 2 - 4 Units	1	0	0	0	95	290153	0.0172463
5A	Yes	Multi-Family with 2 - 4 Units	0	0	1	0	52	85154.3	0.00757717
5A	No	Multi-Family with 5+ Units	1	0	0	0	95	617831	0.0251081
5A	Yes	Multi-Family with 5+ Units	0	0	1	0	52	363187	0.0110312
5A	No	Single-Family Attached	1	0	0	0	95	380052	0.00919871
5A	Yes	Single-Family Attached	0	0	1	0	52	117558	0.00404145
5A	No	Single-Family Detached	1	0	0	0	325	3.81E+06	0.0955204
5A	Yes	Single-Family Detached	0	0	1	0	186	2.05E+06	0.0497067
5B	No	Mobile Home	1	0	0	0	45	8640.83	0.001234
5B	Yes	Mobile Home	0	0	1	0	63	54117.5	0.00157005
5B	No	Multi-Family with 2 - 4 Units	1	0	0	0	14	0	0.00143672
5B	Yes	Multi-Family with 2 - 4 Units	0	0	1	0	13	4674.75	0.000744291
5B	No	Multi-Family with 5+ Units	1	0	0	0	14	92811.9	0.00399604
5B	Yes	Multi-Family with 5+ Units	0	0	1	0	13	38117.3	0.00207014
5B	No	Single-Family Attached	1	0	0	0	14	43538	0.00132925
5B	Yes	Single-Family Attached	0	0	1	0	13	27843.7	0.000688615
5B	No	Single-Family Detached	1	0	0	0	45	412882	0.0110295
5B	Yes	Single-Family Detached	0	0	1	0	63	482196	0.0140331
6A	No	Mobile Home	1	0	0	0	123	19857.1	0.00224946
6A	Yes	Mobile Home	0	0	1	0	69	4462.58	0.00112443
6A	No	Multi-Family with 2 - 4 Units	1	0	0	0	18	17322.8	0.00372524
6A	Yes	Multi-Family with 2 - 4 Units	0	0	1	0	78	0	0.00137992
6A	No	Multi-Family with 5+ Units	1	0	0	0	18	24916	0.00634173
6A	Yes	Multi-Family with 5+ Units	0	0	1	0	78	2756.3	0.00234914
6A	No	Single-Family Attached	1	0	0	0	18	25724.6	0.00203872
6A	Yes	Single-Family Attached	0	0	1	0	78	22419.1	0.000755195
6A	No	Single-Family Detached	1	0	0	0	123	422358	0.0278289
6A	Yes	Single-Family Detached	0	0	1	0	69	216587	0.0139108
6B	No	Mobile Home	1	0	0	0	123	19857.1	0.000674335
6B	Yes	Mobile Home	0	0	1	0	69	4462.58	0.000337079
6B	No	Multi-Family with 2 - 4 Units	1	0	0	0	18	17322.8	0.000470201
6B	Yes	Multi-Family with 2 - 4 Units	0	0	1	0	78	0	0.000174175
