Dependency=County	Dependency=Geometry Building Type RECS	Dependency=Vacancy Status	Option=No	Option=Yes	source_count	source_weight	sampling_probability
AL, Autauga County	Mobile Home	Occupied	1	0	0	67	2.64023e-05
AL, Autauga County	Mobile Home	Vacant	1	0	0	67	4.8799e-06
AL, Autauga County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	67	3.97087e-06
AL, Autauga County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	67	4.13539e-07
AL, Autauga County	Multi-Family with 5+ Units	Occupied	1	0	0	67	6.75094e-06
AL, Autauga County	Multi-Family with 5+ Units	Vacant	1	0	0	67	1.14356e-06
AL, Autauga County	Single-Family Attached	Occupied	1	0	0	67	1.58973e-06
AL, Autauga County	Single-Family Attached	Vacant	1	0	0	67	1.84429e-07
AL, Autauga County	Single-Family Detached	Occupied	0.999951	4.93542e-05	109.04	2.20933e+06	0.000111448
AL, Autauga County	Single-Family Detached	Vacant	1	0	0	67	1.37221e-05
AL, Baldwin County	Mobile Home	Occupied	1	0	0	67	7.18943e-05
AL, Baldwin County	Mobile Home	Vacant	1	0	0	67	2.60635e-05
AL, Baldwin County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	67	2.14719e-05
AL, Baldwin County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	67	9.29975e-06
AL, Baldwin County	Multi-Family with 5+ Units	Occupied	1	0	0	67	2.71997e-05
AL, Baldwin County	Multi-Family with 5+ Units	Vacant	1	0	0	67	5.51021e-05
AL, Baldwin County	Single-Family Attached	Occupied	1	0	0	67	7.52655e-06
AL, Baldwin County	Single-Family Attached	Vacant	1	0	0	67	3.63229e-06
AL, Baldwin County	Single-Family Detached	Occupied	0.999951	4.93542e-05	109.04	2.20933e+06	0.000481279
AL, Baldwin County	Single-Family Detached	Vacant	1	0	0	67	0.000104083
AL, Barbour County	Mobile Home	Occupied	1	0	0	67	1.56502e-05
AL, Barbour County	Mobile Home	Vacant	1	0	0	67	3.83244e-06
AL, Barbour County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	67	5.53226e-06
AL, Barbour County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	67	1.77492e-06
AL, Barbour County	Multi-Family with 5+ Units	Occupied	1	0	0	67	5.98187e-06
AL, Barbour County	Multi-Family with 5+ Units	Vacant	1	0	0	67	1.36986e-06
AL, Barbour County	Single-Family Attached	Occupied	1	0	0	67	8.65471e-07
AL, Barbour County	Single-Family Attached	Vacant	1	0	0	67	0
AL, Barbour County	Single-Family Detached	Occupied	0.999951	4.93542e-05	109.04	2.20933e+06	4.35932e-05
AL, Barbour County	Single-Family Detached	Vacant	1	0	0	67	9.99288e-06
AL, Bibb County	Mobile Home	Occupied	1	0	0	67	1.2393e-05
AL, Bibb County	Mobile Home	Vacant	1	0	0	67	5.03846e-06
AL, Bibb County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	67	4.22335e-06
AL, Bibb County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	67	8.20166e-07
AL, Bibb County	Multi-Family with 5+ Units	Occupied	1	0	0	67	3.08011e-06
AL, Bibb County	Multi-Family with 5+ Units	Vacant	1	0	0	67	7.87795e-07
AL, Bibb County	Single-Family Attached	Occupied	1	0	0	67	3.77405e-07
AL, Bibb County	Single-Family Attached	Vacant	1	0	0	67	1.1744e-07
AL, Bibb County	Single-Family Detached	Occupied	0.999951	4.93542e-05	109.04	2.20933e+06	3.13201e-05
AL, Bibb County	Single-Family Detached	Vacant	1	0	0	67	9.19156e-06
AL, Blount County	Mobile Home	Occupied	1	0	0	67	3.51944e-05
AL, Blount County	Mobile Home	Vacant	1	0	0	67	7.85005e-06
AL, Blount County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	67	4.99866e-06
AL, Blount County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	67	2.60277e-07
AL, Blount County	Multi-Family with 5+ Units	Occupied	1	0	0	67	5.62562e-06
