Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Option=No	Option=Yes
CR02	1950s	Electricity	0.9	0.1
CR02	1960s	Electricity	0.82	0.18
CR02	1970s	Electricity	0.65	0.35
CR02	1980s	Electricity	1	0
CR02	1990s	Electricity	1	0
CR02	2000s	Electricity	0.43	0.57
CR02	<1950	Electricity	0.77	0.23
CR05	1950s	Electricity	0	1
CR05	1960s	Electricity	1	0
CR05	1970s	Electricity	1	0
CR05	1980s	Electricity	1	0
CR05	1990s	Electricity	1	0
CR05	2000s	Electricity	1	0
CR05	<1950	Electricity	1	0
CR03	1950s	Electricity	1	0
CR03	1960s	Electricity	1	0
CR03	1970s	Electricity	1	0
CR03	1980s	Electricity	1	0
CR03	1990s	Electricity	1	0
CR03	2000s	Electricity	1	0
CR03	<1950	Electricity	1	0
CR04	1950s	Electricity	0.8	0.2
CR04	1960s	Electricity	0.93	0.07
CR04	1970s	Electricity	0.82	0.18
CR04	1980s	Electricity	0.7	0.3
CR04	1990s	Electricity	0.84	0.16
CR04	2000s	Electricity	0.29	0.71
CR04	<1950	Electricity	0.73	0.27
CR06	1950s	Electricity	0.91	0.09
CR06	1960s	Electricity	0.67	0.33
CR06	1970s	Electricity	0.55	0.45
CR06	1980s	Electricity	0.74	0.26
CR06	1990s	Electricity	0.47	0.53
CR06	2000s	Electricity	0.65	0.35
CR06	<1950	Electricity	0.91	0.09
CR07	1950s	Electricity	1	0
CR07	1960s	Electricity	0.89	0.11
CR07	1970s	Electricity	0.71	0.29
CR07	1980s	Electricity	0.58	0.42
CR07	1990s	Electricity	0.87	0.13
CR07	2000s	Electricity	0.09	0.91
CR07	<1950	Electricity	0.66	0.34
CR08	1950s	Electricity	0.61	0.39
CR08	1960s	Electricity	0.44	0.56
CR08	1970s	Electricity	0.53	0.47
CR08	1980s	Electricity	0.27	0.73
CR08	1990s	Electricity	0.41	0.59
CR08	2000s	Electricity	0.53	0.47
CR08	<1950	Electricity	0.66	0.34
CR09	1950s	Electricity	0.74	0.26
CR09	1960s	Electricity	0.68	0.32
CR09	1970s	Electricity	0.61	0.39
CR09	1980s	Electricity	0.69	0.31
CR09	1990s	Electricity	0.61	0.39
CR09	2000s	Electricity	0.7	0.3
CR09	<1950	Electricity	0.64	0.36
CR10	1950s	Electricity	1	0
CR10	1960s	Electricity	0.68	0.32
CR10	1970s	Electricity	0.39	0.61
CR10	1980s	Electricity	0.54	0.46
CR10	1990s	Electricity	0.35	0.65
CR10	2000s	Electricity	0.42	0.58
CR10	<1950	Electricity	0	1
CR11	1950s	Electricity	0.9	0.1
CR11	1960s	Electricity	0.95	0.05
CR11	1970s	Electricity	0.93	0.07
CR11	1980s	Electricity	0.89	0.11
CR11	1990s	Electricity	0.96	0.04
CR11	2000s	Electricity	0.94	0.06
CR11	<1950	Electricity	0.94	0.06
CR02	1950s	Fuel Oil	1	0
CR02	1960s	Fuel Oil	1	0
CR02	1970s	Fuel Oil	1	0
CR02	1980s	Fuel Oil	1	0
CR02	1990s	Fuel Oil	1	0
CR02	2000s	Fuel Oil	1	0
CR02	<1950	Fuel Oil	1	0
CR05	1950s	Fuel Oil	1	0
CR05	1960s	Fuel Oil	1	0
CR05	1970s	Fuel Oil	1	0
CR05	1980s	Fuel Oil	1	0
CR05	1990s	Fuel Oil	1	0
CR05	2000s	Fuel Oil	1	0
CR05	<1950	Fuel Oil	1	0
CR03	1950s	Fuel Oil	1	0
CR03	1960s	Fuel Oil	1	0
CR03	1970s	Fuel Oil	1	0
CR03	1980s	Fuel Oil	1	0
CR03	1990s	Fuel Oil	1	0
CR03	2000s	Fuel Oil	1	0
CR03	<1950	Fuel Oil	1	0
CR04	1950s	Fuel Oil	1	0
CR04	1960s	Fuel Oil	1	0
CR04	1970s	Fuel Oil	1	0
CR04	1980s	Fuel Oil	1	0
CR04	1990s	Fuel Oil	1	0
CR04	2000s	Fuel Oil	1	0
CR04	<1950	Fuel Oil	1	0
CR06	1950s	Fuel Oil	1	0
CR06	1960s	Fuel Oil	1	0
CR06	1970s	Fuel Oil	1	0
CR06	1980s	Fuel Oil	1	0
CR06	1990s	Fuel Oil	1	0
CR06	2000s	Fuel Oil	1	0
CR06	<1950	Fuel Oil	1	0
CR07	1950s	Fuel Oil	1	0
CR07	1960s	Fuel Oil	1	0
CR07	1970s	Fuel Oil	1	0
CR07	1980s	Fuel Oil	1	0
CR07	1990s	Fuel Oil	1	0
CR07	2000s	Fuel Oil	1	0
CR07	<1950	Fuel Oil	1	0
CR08	1950s	Fuel Oil	1	0
CR08	1960s	Fuel Oil	1	0
CR08	1970s	Fuel Oil	1	0
CR08	1980s	Fuel Oil	1	0
CR08	1990s	Fuel Oil	1	0
CR08	2000s	Fuel Oil	1	0
CR08	<1950	Fuel Oil	1	0
CR09	1950s	Fuel Oil	1	0
CR09	1960s	Fuel Oil	1	0
CR09	1970s	Fuel Oil	1	0
CR09	1980s	Fuel Oil	1	0
CR09	1990s	Fuel Oil	1	0
CR09	2000s	Fuel Oil	1	0
CR09	<1950	Fuel Oil	1	0
CR10	1950s	Fuel Oil	1	0
CR10	1960s	Fuel Oil	1	0
CR10	1970s	Fuel Oil	1	0
CR10	1980s	Fuel Oil	1	0
CR10	1990s	Fuel Oil	1	0
CR10	2000s	Fuel Oil	1	0
CR10	<1950	Fuel Oil	1	0
CR11	1950s	Fuel Oil	1	0
CR11	1960s	Fuel Oil	1	0
CR11	1970s	Fuel Oil	1	0
CR11	1980s	Fuel Oil	1	0
CR11	1990s	Fuel Oil	1	0
CR11	2000s	Fuel Oil	1	0
CR11	<1950	Fuel Oil	1	0
CR02	1950s	Natural Gas	1	0
CR02	1960s	Natural Gas	1	0
CR02	1970s	Natural Gas	1	0
CR02	1980s	Natural Gas	1	0
CR02	1990s	Natural Gas	1	0
CR02	2000s	Natural Gas	1	0
CR02	<1950	Natural Gas	1	0
CR05	1950s	Natural Gas	1	0
CR05	1960s	Natural Gas	1	0
CR05	1970s	Natural Gas	1	0
CR05	1980s	Natural Gas	1	0
CR05	1990s	Natural Gas	1	0
CR05	2000s	Natural Gas	1	0
CR05	<1950	Natural Gas	1	0
CR03	1950s	Natural Gas	1	0
CR03	1960s	Natural Gas	1	0
CR03	1970s	Natural Gas	1	0
CR03	1980s	Natural Gas	1	0
CR03	1990s	Natural Gas	1	0
CR03	2000s	Natural Gas	1	0
CR03	<1950	Natural Gas	1	0
CR04	1950s	Natural Gas	1	0
CR04	1960s	Natural Gas	1	0
CR04	1970s	Natural Gas	1	0
CR04	1980s	Natural Gas	1	0
CR04	1990s	Natural Gas	1	0
CR04	2000s	Natural Gas	1	0
CR04	<1950	Natural Gas	1	0
CR06	1950s	Natural Gas	1	0
CR06	1960s	Natural Gas	1	0
CR06	1970s	Natural Gas	1	0
CR06	1980s	Natural Gas	1	0
CR06	1990s	Natural Gas	1	0
CR06	2000s	Natural Gas	1	0
CR06	<1950	Natural Gas	1	0
CR07	1950s	Natural Gas	1	0
CR07	1960s	Natural Gas	1	0
CR07	1970s	Natural Gas	1	0
CR07	1980s	Natural Gas	1	0
CR07	1990s	Natural Gas	1	0
CR07	2000s	Natural Gas	1	0
CR07	<1950	Natural Gas	1	0
CR08	1950s	Natural Gas	1	0
CR08	1960s	Natural Gas	1	0
CR08	1970s	Natural Gas	1	0
CR08	1980s	Natural Gas	1	0
CR08	1990s	Natural Gas	1	0
CR08	2000s	Natural Gas	1	0
CR08	<1950	Natural Gas	1	0
CR09	1950s	Natural Gas	1	0
CR09	1960s	Natural Gas	1	0
CR09	1970s	Natural Gas	1	0
CR09	1980s	Natural Gas	1	0
CR09	1990s	Natural Gas	1	0
CR09	2000s	Natural Gas	1	0
CR09	<1950	Natural Gas	1	0
CR10	1950s	Natural Gas	1	0
CR10	1960s	Natural Gas	1	0
CR10	1970s	Natural Gas	1	0
CR10	1980s	Natural Gas	1	0
CR10	1990s	Natural Gas	1	0
CR10	2000s	Natural Gas	1	0
CR10	<1950	Natural Gas	1	0
CR11	1950s	Natural Gas	1	0
CR11	1960s	Natural Gas	1	0
CR11	1970s	Natural Gas	1	0
CR11	1980s	Natural Gas	1	0
CR11	1990s	Natural Gas	1	0
CR11	2000s	Natural Gas	1	0
CR11	<1950	Natural Gas	1	0
CR02	1950s	None	1	0
CR02	1960s	None	1	0
CR02	1970s	None	1	0
CR02	1980s	None	1	0
CR02	1990s	None	1	0
CR02	2000s	None	1	0
CR02	<1950	None	1	0
CR05	1950s	None	1	0
CR05	1960s	None	1	0
CR05	1970s	None	1	0
CR05	1980s	None	1	0
CR05	1990s	None	1	0
CR05	2000s	None	1	0
CR05	<1950	None	1	0
CR03	1950s	None	1	0
CR03	1960s	None	1	0
CR03	1970s	None	1	0
CR03	1980s	None	1	0
CR03	1990s	None	1	0
CR03	2000s	None	1	0
CR03	<1950	None	1	0
CR04	1950s	None	1	0
CR04	1960s	None	1	0
CR04	1970s	None	1	0
CR04	1980s	None	1	0
CR04	1990s	None	1	0
CR04	2000s	None	1	0
CR04	<1950	None	1	0
CR06	1950s	None	1	0
CR06	1960s	None	1	0
CR06	1970s	None	1	0
CR06	1980s	None	1	0
CR06	1990s	None	1	0
CR06	2000s	None	1	0
CR06	<1950	None	1	0
CR07	1950s	None	1	0
CR07	1960s	None	1	0
CR07	1970s	None	1	0
CR07	1980s	None	1	0
CR07	1990s	None	1	0
CR07	2000s	None	1	0
CR07	<1950	None	1	0
CR08	1950s	None	1	0
CR08	1960s	None	1	0
CR08	1970s	None	1	0
CR08	1980s	None	1	0
CR08	1990s	None	1	0
CR08	2000s	None	1	0
CR08	<1950	None	1	0
CR09	1950s	None	1	0
CR09	1960s	None	1	0
CR09	1970s	None	1	0
CR09	1980s	None	1	0
CR09	1990s	None	1	0
CR09	2000s	None	1	0
CR09	<1950	None	1	0
CR10	1950s	None	1	0
CR10	1960s	None	1	0
CR10	1970s	None	1	0
CR10	1980s	None	1	0
CR10	1990s	None	1	0
CR10	2000s	None	1	0
CR10	<1950	None	1	0
CR11	1950s	None	1	0
CR11	1960s	None	1	0
CR11	1970s	None	1	0
CR11	1980s	None	1	0
CR11	1990s	None	1	0
CR11	2000s	None	1	0
CR11	<1950	None	1	0
CR02	1950s	Other Fuel	1	0
CR02	1960s	Other Fuel	1	0
CR02	1970s	Other Fuel	1	0
CR02	1980s	Other Fuel	1	0
CR02	1990s	Other Fuel	1	0
CR02	2000s	Other Fuel	1	0
CR02	<1950	Other Fuel	1	0
CR05	1950s	Other Fuel	1	0
CR05	1960s	Other Fuel	1	0
CR05	1970s	Other Fuel	1	0
CR05	1980s	Other Fuel	1	0
CR05	1990s	Other Fuel	1	0
CR05	2000s	Other Fuel	1	0
