Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Combined	Option=None	Option=Electric Boiler	Option=Electric Furnace	Option=Electric Baseboard
CR02	1950s	Electricity	No	0	0.124783958	0.727610361	0.147605681
CR02	1960s	Electricity	No	0	0.122373027	0.651625165	0.226001808
CR02	1970s	Electricity	No	0	0	0.388900593	0.611099407
CR02	1980s	Electricity	No	0	0	0.642557245	0.357442755
CR02	1990s	Electricity	No	0	0	0.593281178	0.406718822
CR02	2000s	Electricity	No	0	0	0.776063353	0.223936647
CR02	<1950	Electricity	No	0	0.054187049	0.71870745	0.227105501
CR05	1950s	Electricity	No	1	0	0	0
CR05	1960s	Electricity	No	0	1	0	0
CR05	1970s	Electricity	No	0	0	0.780697449	0.219302551
CR05	1980s	Electricity	No	0	0	0.346015602	0.653984398
CR05	1990s	Electricity	No	0	0	0.340377437	0.659622563
CR05	2000s	Electricity	No	0	0	1	0
CR05	<1950	Electricity	No	0	0	0	1
CR03	1950s	Electricity	No	0	0	0.635356721	0.364643279
CR03	1960s	Electricity	No	0	0	0	1
CR03	1970s	Electricity	No	0	0	0	1
CR03	1980s	Electricity	No	0	0	0	1
CR03	1990s	Electricity	No	0	0.336895468	0.340645241	0.322459291
CR03	2000s	Electricity	No	0	0	1	0
CR03	<1950	Electricity	No	0	0.323557696	0.347489642	0.328952662
CR04	1950s	Electricity	No	0	0	0.354045941	0.645954059
CR04	1960s	Electricity	No	0	0	0.390741172	0.609258828
CR04	1970s	Electricity	No	0	0	0.37424767	0.62575233
CR04	1980s	Electricity	No	0	0	0.929369309	0.070630691
CR04	1990s	Electricity	No	0	0	0.804123115	0.195876885
CR04	2000s	Electricity	No	0	0	1	0
CR04	<1950	Electricity	No	0	0	0.443414557	0.556585443
CR06	1950s	Electricity	No	0	0	0.08831889	0.91168111
CR06	1960s	Electricity	No	0	0	0	1
CR06	1970s	Electricity	No	0	0	0.819027999	0.180972001
CR06	1980s	Electricity	No	0	0	0.48528877	0.51471123
CR06	1990s	Electricity	No	0	0	0.734006609	0.265993391
CR06	2000s	Electricity	No	0	0	0.78084267	0.21915733
CR06	<1950	Electricity	No	0	0	0.231832392	0.768167608
CR07	1950s	Electricity	No	0	0.132571717	0.366105563	0.50132272
CR07	1960s	Electricity	No	0	0	0	1
CR07	1970s	Electricity	No	0	0	0	1
CR07	1980s	Electricity	No	0	0	0	1
CR07	1990s	Electricity	No	0	0	0	1
CR07	2000s	Electricity	No	0	0	0.933096689	0.066903311
CR07	<1950	Electricity	No	0	0	0	1
CR08	1950s	Electricity	No	0	0	0.563948408	0.436051592
CR08	1960s	Electricity	No	0	0.069532632	0.613957313	0.316510056
CR08	1970s	Electricity	No	0	0	0.694745389	0.305254611
CR08	1980s	Electricity	No	0	0	0.707139521	0.292860479
CR08	1990s	Electricity	No	0	0	0.80795313	0.19204687
CR08	2000s	Electricity	No	0	0	0.959850585	0.040149415
CR08	<1950	Electricity	No	0	0	0.341835509	0.658164491
