Dependency=Location Weather	Dependency=Vintage	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=None	Option=Other Fuel	Option=Propane
AL_Birmingham.Muni.AP.722280	<1950	0.28	0	0.43	0	0.06	0.23
AL_Birmingham.Muni.AP.722280	1950s	0.22	0	0.66	0	0.1	0.03
AL_Birmingham.Muni.AP.722280	1960s	0.31	0	0.53	0	0.08	0.09
AL_Birmingham.Muni.AP.722280	1970s	0.54	0	0.23	0	0.04	0.18
AL_Birmingham.Muni.AP.722280	1980s	0.5	0	0.26	0	0.1	0.14
AL_Birmingham.Muni.AP.722280	1990s	0.63	0	0.22	0	0.03	0.12
AL_Birmingham.Muni.AP.722280	2000s	0.55	0	0.29	0	0.05	0.11
AL_Huntsville.Intl.AP-Jones.Field.723230	<1950	0.28	0	0.43	0	0.06	0.23
AL_Huntsville.Intl.AP-Jones.Field.723230	1950s	0.22	0	0.66	0	0.1	0.03
AL_Huntsville.Intl.AP-Jones.Field.723230	1960s	0.31	0	0.53	0	0.08	0.09
AL_Huntsville.Intl.AP-Jones.Field.723230	1970s	0.54	0	0.23	0	0.04	0.18
AL_Huntsville.Intl.AP-Jones.Field.723230	1980s	0.5	0	0.26	0	0.1	0.14
AL_Huntsville.Intl.AP-Jones.Field.723230	1990s	0.63	0	0.22	0	0.03	0.12
AL_Huntsville.Intl.AP-Jones.Field.723230	2000s	0.55	0	0.29	0	0.05	0.11
AL_Mobile-Rgnl.AP.722230	<1950	0.28	0	0.43	0	0.06	0.23
AL_Mobile-Rgnl.AP.722230	1950s	0.22	0	0.66	0	0.1	0.03
AL_Mobile-Rgnl.AP.722230	1960s	0.31	0	0.53	0	0.08	0.09
AL_Mobile-Rgnl.AP.722230	1970s	0.54	0	0.23	0	0.04	0.18
AL_Mobile-Rgnl.AP.722230	1980s	0.5	0	0.26	0	0.1	0.14
AL_Mobile-Rgnl.AP.722230	1990s	0.63	0	0.22	0	0.03	0.12
AL_Mobile-Rgnl.AP.722230	2000s	0.55	0	0.29	0	0.05	0.11
AL_Montgomery-Dannelly.Field.722260	<1950	0.28	0	0.43	0	0.06	0.23
AL_Montgomery-Dannelly.Field.722260	1950s	0.22	0	0.66	0	0.1	0.03
AL_Montgomery-Dannelly.Field.722260	1960s	0.31	0	0.53	0	0.08	0.09
AL_Montgomery-Dannelly.Field.722260	1970s	0.54	0	0.23	0	0.04	0.18
AL_Montgomery-Dannelly.Field.722260	1980s	0.5	0	0.26	0	0.1	0.14
AL_Montgomery-Dannelly.Field.722260	1990s	0.63	0	0.22	0	0.03	0.12
AL_Montgomery-Dannelly.Field.722260	2000s	0.55	0	0.29	0	0.05	0.11
AR_Fort.Smith.Rgnl.AP.723440	<1950	0.2	0	0.68	0	0	0.12
AR_Fort.Smith.Rgnl.AP.723440	1950s	0.3	0	0.7	0	0	0
AR_Fort.Smith.Rgnl.AP.723440	1960s	0.13	0	0.71	0.03	0	0.13
AR_Fort.Smith.Rgnl.AP.723440	1970s	0.35	0	0.55	0	0	0.1
AR_Fort.Smith.Rgnl.AP.723440	1980s	0.37	0	0.33	0	0.06	0.24
AR_Fort.Smith.Rgnl.AP.723440	1990s	0.63	0	0.31	0	0.06	0
AR_Fort.Smith.Rgnl.AP.723440	2000s	0.66	0	0.14	0	0.14	0.07
AR_Little.Rock-Adams.Field.723403	<1950	0.2	0	0.68	0	0	0.12
AR_Little.Rock-Adams.Field.723403	1950s	0.3	0	0.7	0	0	0
AR_Little.Rock-Adams.Field.723403	1960s	0.13	0	0.71	0.03	0	0.13
AR_Little.Rock-Adams.Field.723403	1970s	0.35	0	0.55	0	0	0.1
AR_Little.Rock-Adams.Field.723403	1980s	0.37	0	0.33	0	0.06	0.24
AR_Little.Rock-Adams.Field.723403	1990s	0.63	0	0.31	0	0.06	0
AR_Little.Rock-Adams.Field.723403	2000s	0.66	0	0.14	0	0.14	0.07
AZ_Flagstaff-Pulliam.AP.723755	<1950	0.64	0	0.36	0	0	0
AZ_Flagstaff-Pulliam.AP.723755	1950s	0	0	1	0	0	0
AZ_Flagstaff-Pulliam.AP.723755	1960s	0.63	0	0.23	0.14	0	0
AZ_Flagstaff-Pulliam.AP.723755	1970s	0.41	0	0.52	0	0	0.07
AZ_Flagstaff-Pulliam.AP.723755	1980s	0.7	0	0.23	0	0.07	0
AZ_Flagstaff-Pulliam.AP.723755	1990s	0.46	0	0.44	0.05	0	0.04
AZ_Flagstaff-Pulliam.AP.723755	2000s	0.33	0	0.67	0	0	0
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	<1950	0.64	0	0.36	0	0	0
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	1950s	0	0	1	0	0	0
