Dependency=Vintage	Dependency=Geometry House Size	Option=1 Car	Option=2 Car	Option=3 Car	Option=None	Count	Weight
<1950	0-1499	0.1164626505	0.0322989831553	0.0	0.851238366345	593	5642881.19652
<1950	1500-2499	0.0757267292439	0.0962732592865	0.00488221505446	0.823117796415	450	4207616.55967
<1950	2500-3499	0.0865429067103	0.0910146670389	0.00586818917745	0.816574237073	193	1767455.92658
<1950	3500+	0.138099566588	0.268283114023	0.0374321657038	0.556185153685	109	1013195.5589
1950s	0-1499	0.180179692973	0.134641812144	0.0	0.685178494883	520	4704980.71899
1950s	1500-2499	0.230158290699	0.182913642499	0.00665871194548	0.580269354856	434	4078571.52665
1950s	2500-3499	0.222037994648	0.254086688543	0.0246509800383	0.49922433677	109	1046418.08394
1950s	3500+	0.185978776614	0.44741322796	0.100933562203	0.265674433223	57	510967.971536
1960s	0-1499	0.20669281662	0.207217545072	0.0	0.586089638308	399	3677143.824
1960s	1500-2499	0.199143697427	0.357972541972	0.00391671926536	0.438967041336	353	3212853.73228
1960s	2500-3499	0.178482912826	0.502641566221	0.0170928373836	0.30178268357	119	1104859.16371
1960s	3500+	0.0665206287453	0.661949539888	0.105823147622	0.165706683745	76	696651.587576
1970s	0-1499	0.158246029053	0.300386422718	0.0	0.541367548229	389	3453731.72908
1970s	1500-2499	0.109832447933	0.502165494294	0.028268843838	0.359733213934	463	4007564.16903
1970s	2500-3499	0.0858198904404	0.653938899417	0.0363595268405	0.223881683302	188	1583212.84808
1970s	3500+	0.0453163656317	0.663740177145	0.135690496294	0.15525296093	96	745789.220492
1980s	0-1499	0.132012751865	0.336760126832	0.0	0.531227121303	298	2859601.63218
1980s	1500-2499	0.122063575957	0.567117480017	0.0257407657572	0.285078178269	416	3870139.65139
1980s	2500-3499	0.118214761459	0.661861719114	0.0820224660959	0.137901053331	182	1620047.60238
1980s	3500+	0.0395432779553	0.672500139507	0.181011858396	0.106944724142	101	869421.62693
1990s	0-1499	0.0959243798256	0.313199640465	0.0	0.590875979709	246	2447476.30038
1990s	1500-2499	0.0491361593196	0.618715259278	0.0938821540725	0.23826642733	408	3900135.87119
1990s	2500-3499	0.049507105264	0.668065136442	0.150516059417	0.131911698877	236	2137182.2478
1990s	3500+	0.0164542758168	0.60499967315	0.328130924039	0.0504151269945	212	1872290.29433
2000s	0-1499	0.0675339879945	0.529983845903	0.0	0.402482166102	226	2268849.8469
2000s	1500-2499	0.0500198778183	0.670162901301	0.0899094034384	0.189907817442	423	3910028.52417
2000s	2500-3499	0.035942257118	0.657652113179	0.207084497227	0.0993211324763	243	2229392.98066
2000s	3500+	0.0216221220102	0.495822377977	0.433295737207	0.0492597628054	264	2397242.79826
