Dependency=Location Region	Dependency=Vintage	"Option=Clear, Single, Metal"	"Option=Clear, Single, Non-metal"	"Option=Clear, Double, Metal, Air"	"Option=Clear, Double, Non-metal, Air"	"Option=Low-E, Double, Non-metal, Air, L-Gain"	"Option=Low-E, Triple, Non-metal, Air, L-Gain"
CR01	<1950	0	1	0	0	0	0
CR01	1950s	0.5	0	0	0.26	0.24	0
CR01	1960s	0.41	0	0.41	0.1	0.09	0
CR01	1970s	0	0	0.69	0.16	0.15	0
CR01	1980s	0.42	0	0.36	0.09	0.12	0
CR01	1990s	0	0	0	0.65	0.35	0
CR01	2000s	0	0	0	0.4	0.6	0
CR02	<1950	0	0.38	0	0.31	0.31	0
CR02	1950s	0.31	0	0	0.34	0.35	0
CR02	1960s	0.39	0	0.21	0.2	0.19	0
CR02	1970s	0.25	0	0.24	0.23	0.21	0.07
CR02	1980s	0.12	0	0.26	0.27	0.27	0.08
CR02	1990s	0.07	0	0	0.52	0.28	0.12
CR02	2000s	0.04	0	0	0.37	0.59	0
CR05	<1950	0	0.39	0	0.32	0.29	0
CR05	1950s	0.27	0	0	0.38	0.35	0
CR05	1960s	0.22	0	0.26	0.27	0.25	0
CR05	1970s	0.19	0	0.26	0.27	0.28	0
CR05	1980s	0.11	0	0.27	0.31	0.31	0
CR05	1990s	0.18	0	0	0.51	0.32	0
CR05	2000s	0.03	0	0	0.39	0.58	0
CR03	<1950	0	0.33	0	0.35	0.32	0
CR03	1950s	0.22	0	0	0.4	0.38	0
CR03	1960s	0.3	0	0.2	0.26	0.24	0
CR03	1970s	0.24	0	0.21	0.27	0.28	0
CR03	1980s	0.2	0	0.19	0.27	0.27	0.07
CR03	1990s	0.1	0	0	0.58	0.31	0
CR03	2000s	0.07	0	0	0.36	0.58	0
CR04	<1950	0	0.42	0	0.3	0.28	0
CR04	1950s	0.27	0	0	0.38	0.35	0
CR04	1960s	0.2	0	0.28	0.25	0.26	0
CR04	1970s	0.19	0	0.29	0.27	0.25	0
CR04	1980s	0.27	0	0.23	0.23	0.27	0
CR04	1990s	0.11	0	0	0.55	0.34	0
CR04	2000s	0.11	0	0	0.34	0.55	0
CR06	<1950	0	0.6	0	0.21	0.19	0
CR06	1950s	0.27	0	0	0.38	0.35	0
CR06	1960s	0.18	0	0.37	0.22	0.23	0
CR06	1970s	0.19	0	0.37	0.23	0.21	0
CR06	1980s	0.09	0	0.37	0.25	0.28	0
CR06	1990s	0.07	0	0	0.61	0.33	0
CR06	2000s	0.02	0	0	0.38	0.6	0
CR07	<1950	0	0.41	0	0.3	0.3	0
CR07	1950s	0.26	0	0	0.37	0.37	0
CR07	1960s	0.28	0	0.22	0.24	0.26	0
CR07	1970s	0.33	0	0.22	0.23	0.22	0
CR07	1980s	0.24	0	0.22	0.26	0.27	0
CR07	1990s	0.06	0	0	0.6	0.34	0
CR07	2000s	0.07	0	0	0.36	0.58	0
CR08	<1950	0	0.57	0	0.22	0.21	0
CR08	1950s	0.44	0	0	0.27	0.29	0
CR08	1960s	0.47	0	0.26	0.13	0.15	0
CR08	1970s	0.34	0	0.33	0.16	0.17	0
CR08	1980s	0.23	0	0.34	0.19	0.24	0
CR08	1990s	0.09	0	0	0.57	0.34	0
CR08	2000s	0.11	0	0	0.34	0.55	0
CR09	<1950	0	0.69	0	0.16	0.15	0
CR09	1950s	0.72	0	0	0.15	0.14	0
CR09	1960s	0.7	0	0.21	0.05	0.05	0
CR09	1970s	0.6	0	0.28	0.06	0.06	0
CR09	1980s	0.48	0	0.32	0.08	0.12	0
CR09	1990s	0.43	0	0	0.36	0.2	0
CR09	2000s	0.25	0	0	0.29	0.45	0
CR10	<1950	0	0.62	0	0.2	0.18	0
CR10	1950s	0.65	0	0	0.18	0.17	0
CR10	1960s	0.8	0	0.13	0.04	0.03	0
CR10	1970s	0.56	0	0.28	0.08	0.08	0
CR10	1980s	0.51	0	0.29	0.09	0.12	0
CR10	1990s	0.23	0	0	0.47	0.3	0
CR10	2000s	0.15	0	0	0.33	0.51	0
CR11	<1950	0	0.5	0	0.26	0.24	0
CR11	1950s	0.47	0	0	0.28	0.25	0
CR11	1960s	0.48	0	0.24	0.14	0.14	0
CR11	1970s	0.43	0	0.27	0.16	0.14	0
CR11	1980s	0.46	0	0.23	0.15	0.17	0
CR11	1990s	0.14	0	0	0.56	0.3	0
CR11	2000s	0.14	0	0	0.35	0.52	0
CR12	<1950	0	1	0	0	0	0
CR12	1950s	1	0	0	0	0	0
CR12	1960s	1	0	0	0	0	0
CR12	1970s	1	0	0	0	0	0
CR12	1980s	1	0	0	0	0	0
CR12	1990s	0.81	0	0	0.12	0.07	0
CR12	2000s	0	0	0	0.4	0.6	0
