Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Combined	Option=None	"Option=Gas Boiler, 80% AFUE"	"Option=Gas Boiler, 76% AFUE"	"Option=Gas Boiler, 72% AFUE"	"Option=Gas Furnace, 96% AFUE"	"Option=Gas Furnace, 92.5% AFUE"	"Option=Gas Furnace, 80% AFUE"	"Option=Gas Furnace, 76% AFUE"	"Option=Gas Furnace, 60% AFUE"	"Option=Gas Wall/Floor Furnace, 68% AFUE"	"Option=Gas Wall/Floor Furnace, 60% AFUE"
CR02	1950s	Natural Gas	No	0	0.075321398	0.014934192	0.02042929	0	0.200571165	0.405170266	0.201897949	0.048592446	0.017623737	0.015459557
CR02	1960s	Natural Gas	No	0	0.105262775	0.025002684	0.038113151	0	0.208427759	0.402050519	0.179822293	0.041320819	0	0
CR02	1970s	Natural Gas	No	0	0.031971859	0.005274597	0.006207865	0	0.217710644	0.420052122	0.252254993	0.06652792	0	0
CR02	1980s	Natural Gas	No	0	0.007155063	0.002613741	0.004706557	0	0.198070142	0.355429449	0.329873024	0.102152023	0	0
CR02	1990s	Natural Gas	No	0	0	0	0	0.102113216	0.422094636	0.474580346	0.001211803	0	0	0
CR02	2000s	Natural Gas	No	0	0	0	0	0.129646014	0.599839264	0.269890344	0.000624378	0	0	0
CR02	<1950	Natural Gas	No	0	0.134061268	0.010869833	0	0	0.29044752	0.558988483	0	0	0.003943028	0.001689869
CR05	1950s	Natural Gas	No	0	0.051753186	0.010261255	0.014036925	0	0.205161845	0.414443817	0.206518996	0.049704632	0.025633562	0.022485783
CR05	1960s	Natural Gas	No	0	0.084030474	0.019959453	0.030425439	0	0.216939905	0.418470179	0.187166198	0.043008352	0	0
CR05	1970s	Natural Gas	No	0	0.052241703	0.008618639	0.010143591	0	0.19576103	0.377702414	0.226822612	0.059820567	0.042989759	0.025899685
CR05	1980s	Natural Gas	No	0	0.019946583	0.007286478	0.013120741	0	0.190855962	0.342483874	0.317858275	0.098431407	0.00595066	0.004066019
CR05	1990s	Natural Gas	No	0	0.139093402	0.011277843	0	0.001241555	0.048962444	0.705281597	0.021141806	0	0.051100947	0.021900406
CR05	2000s	Natural Gas	No	0	0.1304077	0.010573597	0	0.027673262	0.190083728	0.629409064	0.011852649	0	0	0
CR05	<1950	Natural Gas	No	0	0.055615769	0.004509387	0	0	0.268248282	0.516264351	0	0	0.108753548	0.046608663
CR03	1950s	Natural Gas	No	0	0.238651403	0.047318107	0.064728999	0	0.15209801	0.307250501	0.153104142	0.036848838	0	0
CR03	1960s	Natural Gas	No	0	0.202941798	0.048204027	0.073480406	0	0.153063307	0.295254252	0.132056282	0.030344812	0.03745862	0.027196497
CR03	1970s	Natural Gas	No	0	0.440072103	0.072601434	0.085447277	0	0.091468059	0.176478979	0.10598138	0.027950768	0	0
CR03	1980s	Natural Gas	No	0	0.166315381	0.060754934	0.10940125	0	0.11764015	0.211100842	0.19592207	0.060671332	0.046453136	0.031740905
CR03	1990s	Natural Gas	No	0	0.393357507	0.031893852	0	0.044872441	0.168052947	0.251302296	0.009506541	0	0.070710091	0.030304325
CR03	2000s	Natural Gas	No	0	0.137968042	0.011186598	0	0.063971472	0.378197938	0.272489269	0.00779059	0	0.089877264	0.038518827
CR03	<1950	Natural Gas	No	0	0.402292177	0.032618285	0	0	0.172830924	0.332626342	0	0	0.04174259	0.017889681
CR04	1950s	Natural Gas	No	0	0.024316436	0.004821291	0.006595304	0	0.225878254	0.456292668	0.227372444	0.054723603	0	0
CR04	1960s	Natural Gas	No	0	0.058096026	0.013799338	0.021035191	0	0.227337168	0.438526168	0.196136499	0.045069611	0	0
CR04	1970s	Natural Gas	No	0	0.012038789	0.001986114	0.00233753	0	0.217028065	0.41873515	0.251464108	0.066319338	0.018777926	0.011312982
CR04	1980s	Natural Gas	No	0	0	0	0	0	0.1959532	0.351630676	0.326347394	0.101060239	0.014856923	0.010151568
CR04	1990s	Natural Gas	No	0	0	0	0	0.012720999	0.211965483	0.764397254	0.010916263	0	0	0
CR04	2000s	Natural Gas	No	0	0	0	0	0.043508591	0.503882739	0.446166238	0.006442433	0	0	0
CR04	<1950	Natural Gas	No	0	0.113705768	0.009219387	0	0	0.297404375	0.572377484	0	0	0.005105091	0.002187896
CR06	1950s	Natural Gas	No	0	0.088363752	0.017520138	0.023966744	0	0.184638326	0.372984619	0.185859713	0.044732392	0.043647069	0.038287247
