Building,Usage Level,Orientation,Eaves,Door Area,Overhangs,Interior Shading,Doors,Hot Water Fixtures,Solar Hot Water,Dehumidifier,Refrigeration Schedule,Lighting Interior Use,Lighting Other Use,Holiday Lighting,Plug Load Diversity,Electric Vehicle,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Pool Schedule,Misc Well Pump,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,PV,ASHRAE IECC Climate Zone 2004,County,AHS Region,State,Location Region,Census Division,Census Division RECS,Census Region,ISO RTO Region,Building America Climate Zone,PUMA,Geometry Building Type ACS,Vintage,Vintage ACS,Geometry Building Type RECS,Heating Fuel,Geometry Building Number Units HL,Geometry Foundation Type,Geometry Wall Type,Geometry Floor Area,Geometry Floor Area Bin,Geometry Stories,Geometry Building Level MF,Geometry Building Number Units MF,Geometry Building Number Units SFA,Geometry Building Horizontal Location SFA,Geometry Garage,Bedrooms,Corridor,Geometry Building Has Rear Units MF,Geometry Building Horizontal Location MF,Occupants,Vacancy Status,Window Areas,Neighbors,Insulation Unfinished Attic,Insulation Finished Roof,Radiant Barrier,Roof Material Unfinished Attic,Roof Material Finished Roof,Insulation Slab,Insulation Crawlspace,Insulation Unfinished Basement,Insulation Finished Basement,Insulation Pier Beam,Insulation Interzonal Floor,Insulation Wall,Windows,Water Heater In Unit,Water Heater Fuel,Water Heater Efficiency,Hot Water Distribution,HVAC Heating Type,HVAC Cooling Type,HVAC Has Shared System,HVAC Shared Efficiencies,HVAC Heating Efficiency,HVAC Heating Type And Fuel,HVAC Cooling Efficiency,Heating Setpoint,Cooling Setpoint,Heating Setpoint Has Offset,Cooling Setpoint Has Offset,Heating Setpoint Offset Magnitude,Cooling Setpoint Offset Magnitude,Cooling Setpoint Offset Period,Heating Setpoint Offset Period,Ceiling Fan,Refrigerator,Cooking Range,Dishwasher,Clothes Washer Presence,Clothes Washer,Clothes Dryer,Lighting,Plug Loads,Misc Extra Refrigerator,Misc Freezer,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,HVAC Has Ducts,Ducts,Infiltration,CEC Climate Zone
1,Medium,Southeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour21,Hour20,None,5A,"IL, Cook County","CBSA Chicago-Naperville-Elgin, IL-IN-WI",IL,CR04,East North Central,East North Central,Midwest,PJM,Cold,"IL, 03525",50 or more Unit,<1940,<1940,Multi-Family with 5+ Units,Natural Gas,50 or more Units high,Unheated Basement,Masonry,750-999,0-1499,3,Middle,54,None,None,None,2,Double-Loaded Interior,Yes,Left,1,Occupied,F30 B30 L30 R30,27,None,R-13,None,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",2+ Pane,No,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,Heating Only,"Boiler Baseboards Heating Only, Natural Gas",Shared Heating,Natural Gas Shared Heating,"Room AC, EER 10.7",70F,70F,No,No,0F,0F,None,None,Standard Efficiency,EF 17.6,"Gas, 100% Usage",None,None,None,None,100% Incandescent,89%,None,None,None,None,None,None,No,None,20 ACH50,None
2,Medium,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour19,Hour17,None,2A,"TX, Harris County","CBSA Houston-The Woodlands-Sugar Land, TX",TX,CR09,West South Central,West South Central,South,ERCOT,Hot-Humid,"TX, 04603",Single-Family Detached,2000s,2000-09,Single-Family Detached,Natural Gas,<5,Slab,WoodStud,2000-2499,1500-2499,1,None,None,None,None,2 Car,3,Not Applicable,No,None,1,Occupied,F9 B9 L9 R9,Left/Right at 15ft,"Ceiling R-19, Vented",None,No,"Asphalt Shingles, Medium",None,Uninsulated,None,None,None,None,R-13,"Wood Stud, R-11",2+ Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, HomeRun, PEX",Ducted Heating,Central AC,None,None,"Fuel Furnace, 92.5% AFUE",Natural Gas Fuel Furnace,"AC, SEER 15",70F,72F,No,Yes,0F,2F,Night Setback,None,Standard Efficiency,EF 17.6,"Electric, 100% Usage","290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Gas, 100% Usage",100% CFL,113%,None,"EF 12, National Average",None,None,None,None,Yes,"10% Leakage, R-8",15 ACH50,None
3,High,Southwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour1,Hour6,None,3A,"TX, Dallas County","CBSA Dallas-Fort Worth-Arlington, TX",TX,CR09,West South Central,West South Central,South,ERCOT,Hot-Humid,"TX, 02313",Single-Family Detached,1960s,1960-79,Single-Family Detached,Natural Gas,<5,Crawl,WoodStud,1500-1999,1500-2499,2,None,None,None,None,None,3,Not Applicable,No,None,2,Occupied,F12 B12 L12 R12,Left/Right at 15ft,"Ceiling R-13, Vented",None,No,Composition Shingles,None,None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",Natural Gas Fuel Furnace,"AC, SEER 10",70F,70F,No,Yes,0F,2F,Night Setback,None,None,EF 15.9,"Gas, 120% Usage",None,Yes,"Standard, 120% Usage","Electric, 120% Usage",100% LED,113%,None,None,None,Has Pool,None,1.0 HP Pump,Yes,"30% Leakage, Uninsulated",15 ACH50,None
4,Low,Southeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour0,Hour16,None,4A,"NY, Queens County","CBSA New York-Newark-Jersey City, NY-NJ-PA",NY,CR07,Middle Atlantic,Middle Atlantic,Northeast,NYISO,Mixed-Humid,"NY, 04103",50 or more Unit,1950s,1940-59,Multi-Family with 5+ Units,Natural Gas,50 or more Units high,Crawl,Masonry,500-749,0-1499,3,Top,54,None,None,None,1,Double-Loaded Interior,Yes,Middle,1,Occupied,F30 B30 L30 R30,12,None,R-19,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"CMU, 6-in Hollow, Uninsulated",1 Pane,No,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,None,None,"Fuel Furnace, 92.5% AFUE",Natural Gas Fuel Furnace,"AC, SEER 10",70F,72F,Yes,No,3F,0F,None,Night,Standard Efficiency,EF 17.6,"Electric, 80% Usage",None,None,None,None,100% LED,89%,None,None,None,None,None,None,Yes,"20% Leakage, Uninsulated",40 ACH50,None
5,Medium,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour8,Hour19,None,2B,"AZ, Maricopa County","CBSA Phoenix-Mesa-Scottsdale, AZ",AZ,CR10,Mountain,Mountain South,West,None,Hot-Dry,"AZ, 00101",Single-Family Detached,1990s,1980-99,Single-Family Detached,Electricity,<5,Slab,Masonry,1500-1999,1500-2499,1,None,None,None,None,2 Car,3,Not Applicable,No,None,2,Occupied,F30 B30 L30 R30,Left/Right at 15ft,"Ceiling R-30, Vented",None,No,"Tile, Clay or Ceramic",None,Uninsulated,None,None,None,None,Uninsulated,"CMU, 6-in Hollow, R-11",2+ Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heat Pump,Heat Pump,None,None,"ASHP, SEER 13, 7.7 HSPF",Electricity ASHP,Heat Pump,70F,72F,No,Yes,0F,2F,Night Setback,None,Standard Efficiency,EF 10.5,"Electric, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% CFL,84%,None,None,None,None,None,None,Yes,"20% Leakage, R-4",15 ACH50,None
6,High,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour6,Hour18,None,3A,"TX, Tarrant County","CBSA Dallas-Fort Worth-Arlington, TX",TX,CR09,West South Central,West South Central,South,ERCOT,Hot-Humid,"TX, 02514",Single-Family Detached,2000s,2000-09,Single-Family Detached,Electricity,<5,Slab,WoodStud,1500-1999,1500-2499,2,None,None,None,None,2 Car,3,Not Applicable,No,None,1,Occupied,F9 B9 L9 R9,Left/Right at 15ft,"Ceiling R-30, Vented",None,No,Composition Shingles,None,Uninsulated,None,None,None,None,R-13,"Wood Stud, R-11",2+ Pane,Yes,Electricity,Electric Standard,"Uninsulated, HomeRun, PEX",Ducted Heating,Central AC,None,None,"Electric Furnace, 100% AFUE",Electricity Electric Furnace,"AC, SEER 13",72F,72F,Yes,No,3F,0F,None,Night,Standard Efficiency,EF 17.6,"Electric, 120% Usage","290 Rated kWh, 120% Usage",Yes,"Standard, 120% Usage","Electric, 120% Usage",100% Incandescent,113%,None,None,None,None,None,None,Yes,"30% Leakage, R-8",15 ACH50,None
7,Medium,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour4,Hour14,None,6A,"WI, Milwaukee County",Non-CBSA East North Central,WI,CR02,East North Central,East North Central,Midwest,MISO,Cold,"WI, 40701",Single-Family Detached,1950s,1940-59,Single-Family Detached,Natural Gas,<5,Heated Basement,WoodStud,1000-1499,0-1499,1,None,None,None,None,None,2,Not Applicable,No,None,1,Occupied,F12 B12 L12 R12,Left/Right at 15ft,"Ceiling R-49, Vented",None,No,"Asphalt Shingles, Medium",None,None,None,None,Uninsulated,None,Uninsulated,"Wood Stud, R-11",2+ Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",Natural Gas Fuel Furnace,"AC, SEER 13",68F,70F,Yes,No,3F,0F,None,Night,None,EF 15.9,"Electric, 100% Usage","290 Rated kWh, 100% Usage",Yes,"Standard, 100% Usage","Electric, 100% Usage",100% CFL,85%,None,"EF 12, National Average",None,None,None,None,Yes,In Finished Space,15 ACH50,None
8,Low,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour2,Hour14,None,2A,"TX, Bexar County",Non-CBSA West South Central,TX,CR09,West South Central,West South Central,South,ERCOT,Hot-Humid,"TX, 05911",Single-Family Detached,2000s,2000-09,Single-Family Detached,Electricity,<5,Slab,Masonry,1500-1999,1500-2499,1,None,None,None,None,None,2,Not Applicable,No,None,1,Occupied,F15 B15 L15 R15,Left/Right at 15ft,"Ceiling R-30, Vented",None,No,Composition Shingles,None,Uninsulated,None,None,None,None,R-13,"CMU, 6-in Hollow, R-11",1 Pane,Yes,Electricity,Electric Standard,"Uninsulated, HomeRun, PEX",Ducted Heating,Central AC,None,None,"Electric Furnace, 100% AFUE",Electricity Electric Furnace,"AC, SEER 13",68F,76F,Yes,No,3F,0F,None,Night,None,EF 15.9,"Electric, 80% Usage",None,Yes,"EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,113%,None,None,None,None,None,None,Yes,"20% Leakage, R-8",10 ACH50,None
9,High,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour4,Hour17,None,4A,"NY, Kings County","CBSA New York-Newark-Jersey City, NY-NJ-PA",NY,CR07,Middle Atlantic,Middle Atlantic,Northeast,NYISO,Mixed-Humid,"NY, 04009",2 Unit,<1940,<1940,Multi-Family with 2 - 4 Units,Natural Gas,<5,Unheated Basement,Masonry,1000-1499,0-1499,1,Bottom,2,None,None,None,2,Double-Loaded Interior,Yes,Left,1,Occupied,F18 B18 L18 R18,27,None,R-30,None,None,Composition Shingles,None,None,Uninsulated,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",1 Pane,No,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Room AC,None,None,"Fuel Furnace, 76% AFUE",Natural Gas Fuel Furnace,"Room AC, EER 9.8",70F,70F,Yes,No,3F,0F,None,Night,Standard Efficiency,EF 17.6,"Gas, 120% Usage",None,None,None,None,100% Incandescent,119%,None,None,None,None,None,None,Yes,"20% Leakage, Uninsulated",25 ACH50,None
10,Low,Northeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour6,Hour13,None,5A,"PA, Allegheny County",Non-CBSA Middle Atlantic,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Cold,"PA, 01701",Single-Family Detached,<1940,<1940,Single-Family Detached,Natural Gas,<5,Unheated Basement,WoodStud,1000-1499,0-1499,1,None,None,None,None,None,3,Not Applicable,No,None,1,Occupied,F18 B18 L18 R18,Left/Right at 15ft,"Ceiling R-19, Vented",None,No,Composition Shingles,None,None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,None,None,None,"Fuel Furnace, 92.5% AFUE",Natural Gas Fuel Furnace,None,68F,72F,Yes,No,3F,0F,None,Night +2h,Standard Efficiency,EF 17.6,"Gas, 80% Usage",None,Yes,"EnergyStar, 80% Usage","Electric, 80% Usage",100% LED,101%,EF 10.5,None,None,None,None,None,Yes,"30% Leakage, Uninsulated",25 ACH50,None
