Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Foundation Type	Dependency=Geometry Building Type RECS	Option=Uninsulated	Option=Wall R-5	Option=Wall R-10	Option=Wall R-15	Option=None
CR02	2030s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2030s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2030s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2030s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2030s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2030s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2030s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2030s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2030s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2030s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2030s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2030s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2030s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2030s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2030s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2030s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2030s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2030s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2030s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2030s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2030s	Crawl	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2030s	Crawl	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2030s	Crawl	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2030s	Crawl	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2030s	Crawl	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2030s	Crawl	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2030s	Crawl	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2030s	Crawl	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2030s	Crawl	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2030s	Crawl	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2030s	Crawl	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2030s	Crawl	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2030s	Crawl	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2030s	Crawl	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2030s	Crawl	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2030s	Crawl	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2030s	Crawl	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2030s	Crawl	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2030s	Crawl	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2030s	Crawl	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2030s	Crawl	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2030s	Crawl	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2030s	Crawl	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2030s	Crawl	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
