Dependency=Census Division RECS	Dependency=Geometry Building Type RECS	Dependency=Vintage ACS	Option=Asphalt Shingles, Medium	Option=Composition Shingles	Option=Metal, Dark	Option=Slate	Option=Tile, Clay or Ceramic	Option=Tile, Concrete	Option=Wood Shingles	source_count	source_weight	sampling_probability
East North Central	Mobile Home	1940-59	0.372819	0.507697	0.0674609	0.0133534	0.00918279	0.00172896	0.027758	546	10137.6	0.000121446
East North Central	Multi-Family with 2 - 4 Units	1940-59	0.289654	0.395107	0.0086971	0.0595466	0.0997093	0.131799	0.0154874	41	290832	0.00204183
East North Central	Multi-Family with 5+ Units	1940-59	1	0	0	0	0	0	0	41	282805	0.0022676
East North Central	Single-Family Attached	1940-59	0.280678	0.382863	0.121174	0.100094	0	0	0.115191	22	66150.7	0.000719485
East North Central	Single-Family Detached	1940-59	0.381963	0.519441	0.0494399	0.00581504	0.0150285	0.00097089	0.0273418	522	2.89873e+06	0.0245073
East North Central	Mobile Home	1960-79	0.231094	0.28468	0.430195	0.00144872	0.00454871	0.00201466	0.0460182	16	146938	0.00176622
East North Central	Multi-Family with 2 - 4 Units	1960-79	0.303894	0.414532	0.0501261	0.135862	0	0	0.0955863	22	337480	0.00303415
East North Central	Multi-Family with 5+ Units	1960-79	1	0	0	0	0	0	0	78	972394	0.00820021
East North Central	Single-Family Attached	1960-79	0.32085	0.437661	0.0330456	0	0.0804617	0.0283805	0.0996011	50	210301	0.00149217
East North Central	Single-Family Detached	1960-79	0.383488	0.522182	0.0529662	0.00288031	0.0144834	6.06756e-05	0.0239393	388	3.11507e+06	0.0253041
East North Central	Mobile Home	1980-99	0.256703	0.344199	0.396561	0.000282716	0.000887679	0.00039316	0.000973461	25	275302	0.0029646
East North Central	Multi-Family with 2 - 4 Units	1980-99	0.267935	0.365481	0.0555889	0.0562667	0.0787338	0	0.175994	19	312752	0.00231845
East North Central	Multi-Family with 5+ Units	1980-99	1	0	0	0	0	0	0	56	705562	0.00664367
East North Central	Single-Family Attached	1980-99	0.407735	0.556178	0	0	0.0142335	0	0.0218536	67	338529	0.00243566
East North Central	Single-Family Detached	1980-99	0.399438	0.544859	0.0401504	0	0.00436858	0	0.0111839	272	2.60294e+06	0.0192107
East North Central	Mobile Home	2000-09	0.299685	0.408791	0.187429	0	0	0	0.104095	20	77887.6	0.000758733
East North Central	Multi-Family with 2 - 4 Units	2000-09	0.230699	0.289418	0.0082277	0.4621	0.00376286	0.0016666	0.00412649	12	114214	0.000752185
East North Central	Multi-Family with 5+ Units	2000-09	1	0	0	0	0	0	0	37	408042	0.00269784
East North Central	Single-Family Attached	2000-09	0.423	0.577	0	0	0	0	0	48	184708	0.00157967
East North Central	Single-Family Detached	2000-09	0.389433	0.531213	0.0527165	0	0.0127144	0	0.0139226	161	1.16344e+06	0.0104485
East North Central	Mobile Home	2010s	0.260153	0.354865	0.254783	0	0	0	0.130199	11	88611.7	0.000243675
East North Central	Multi-Family with 2 - 4 Units	2010s	0.230699	0.289418	0.0082277	0.4621	0.00376286	0.0016666	0.00412649	12	50758.3	0.000290029
East North Central	Multi-Family with 5+ Units	2010s	1	0	0	0	0	0	0	26	236132	0.00133077
East North Central	Single-Family Attached	2010s	0.402002	0.548358	0	0	0	0	0.0496395	14	56120.7	0.000269808
East North Central	Single-Family Detached	2010s	0.357362	0.487465	0.0543767	0.0286749	0.0438156	0	0.0283056	75	481768	0.00261652
East North Central	Mobile Home	<1940	0.372819	0.507697	0.0674609	0.0133534	0.00918279	0.00172896	0.027758	546	26197.8	6.281e-05
East North Central	Multi-Family with 2 - 4 Units	<1940	0.323514	0.441295	0.0172158	0.117871	0.0334261	0.0360202	0.030657	33	379684	0.00466916
East North Central	Multi-Family with 5+ Units	<1940	1	0	0	0	0	0	0	29	332329	0.00293484
East North Central	Single-Family Attached	<1940	0.342449	0.467123	0.0823829	0.108045	0	0	0	12	49945.7	0.000733328
East North Central	Single-Family Detached	<1940	0.363931	0.496426	0.089077	0.0184451	0.00251425	0.00278464	0.026822	315	2.33115e+06	0.0203756
East South Central	Mobile Home	1940-59	0.305095	0.41617	0.239554	0.00825861	0.00527789	0	0.0256448	221	27493.8	7.83262e-05
East South Central	Multi-Family with 2 - 4 Units	1940-59	0.739451	0.165185	0.0953639	0	0	0	0	13	19731	0.000457924
East South Central	Multi-Family with 5+ Units	1940-59	1	0	0	0	0	0	0	13	36308.8	0.000460658
East South Central	Single-Family Attached	1940-59	0.312174	0.425826	0.221458	0.00854547	0.00546121	0	0.0265356	215	4639.98	0.000111484
East South Central	Single-Family Detached	1940-59	0.327211	0.446338	0.202117	0.00288729	0.00249983	0	0.0189467	211	720004	0.00689866
East South Central	Mobile Home	1960-79	0.0443656	0.0605177	0.895117	0	0	0	0	26	151856	0.00123272
East South Central	Multi-Family with 2 - 4 Units	1960-79	0.327894	0.44727	0.224836	0	0	0	0	19	128286	0.00117283
East South Central	Multi-Family with 5+ Units	1960-79	1	0	0	0	0	0	0	26	208133	0.00199906
East South Central	Single-Family Attached	1960-79	0.359221	0.490001	0.0869837	0	0	0.0637947	0	19	39788.8	0.000268832
East South Central	Single-Family Detached	1960-79	0.315688	0.429601	0.189733	4.82904e-05	0.0204747	0.00314224	0.0413131	245	1.40579e+06	0.0122705
East South Central	Mobile Home	1980-99	0.1164	0.158777	0.670791	0.0214323	0	0	0.0326001	61	375023	0.00420873
East South Central	Multi-Family with 2 - 4 Units	1980-99	0.314114	0.428473	0.172969	0.0844442	0	0	0	19	131448	0.00117186
East South Central	Multi-Family with 5+ Units	1980-99	1	0	0	0	0	0	0	32	299856	0.00255289
East South Central	Single-Family Attached	1980-99	0.318868	0.434956	0.077279	0.0259122	0	0	0.142985	35	81759.5	0.000491244
East South Central	Single-Family Detached	1980-99	0.315205	0.42996	0.203214	0	0.0165459	0	0.0350759	247	1.43863e+06	0.0111707
East South Central	Mobile Home	2000-09	0.23045	0.314349	0.366714	0.0648845	0	0	0.023602	30	133689	0.00144789
East South Central	Multi-Family with 2 - 4 Units	2000-09	0.303098	0.413446	0	0.17614	0.107315	0	0	11	68078.1	0.000414304
East South Central	Multi-Family with 5+ Units	2000-09	1	0	0	0	0	0	0	19	119460	0.00119157
East South Central	Single-Family Attached	2000-09	0.423	0.577	0	0	0	0	0	15	27328	0.000338802
East South Central	Single-Family Detached	2000-09	0.367271	0.500982	0.0939933	0.00667504	0.00530532	0	0.0257735	176	744750	0.00643669
East South Central	Mobile Home	2010s	0.262368	0.317002	0.225271	0.0850326	0.00608813	0.097562	0.00667646	12	68886	0.000435203
East South Central	Multi-Family with 2 - 4 Units	2010s	0.323246	0.440928	0	0.10594	0.0645452	0.0653409	0	18	45111.2	0.000221115
East South Central	Multi-Family with 5+ Units	2010s	1	0	0	0	0	0	0	21	159504	0.000757696
East South Central	Single-Family Attached	2010s	0.361683	0.493359	0.0593219	0	0	0	0.0856366	15	29245.3	0.000131011
East South Central	Single-Family Detached	2010s	0.367901	0.501841	0.0726359	0.0273043	0	0	0.0303186	74	412667	0.00219135
East South Central	Mobile Home	<1940	0.305095	0.41617	0.239554	0.00825861	0.00527789	0	0.0256448	221	13537.2	2.11256e-05
East South Central	Multi-Family with 2 - 4 Units	<1940	0.739451	0.165185	0.0953639	0	0	0	0	13	14281.3	0.00028584
East South Central	Multi-Family with 5+ Units	<1940	1	0	0	0	0	0	0	13	18798.8	0.000265633
East South Central	Single-Family Attached	<1940	0.312174	0.425826	0.221458	0.00854547	0.00546121	0	0.0265356	215	5204.46	5.58603e-05
East South Central	Single-Family Detached	<1940	0.290838	0.396722	0.257136	0.0119005	0.0103035	0	0.0331001	133	451430	0.00339169
Middle Atlantic	Mobile Home	1940-59	0.336435	0.453289	0.0857897	0.035211	0.0239674	0.00676601	0.0585418	605	26264.4	8.45032e-05
Middle Atlantic	Multi-Family with 2 - 4 Units	1940-59	0.225013	0.298712	0.0724081	0.0470059	0.0683731	0.0844808	0.204007	84	509853	0.00390087
Middle Atlantic	Multi-Family with 5+ Units	1940-59	1	0	0	0	0	0	0	144	799521	0.00565564
Middle Atlantic	Single-Family Attached	1940-59	0.295738	0.384089	0.0485432	0.0330389	0.109965	0.00127401	0.127353	80	280006	0.00254961
Middle Atlantic	Single-Family Detached	1940-59	0.357444	0.486611	0.0750054	0.0277579	0.00606562	0.00659363	0.0405223	522	2.22448e+06	0.0163895
Middle Atlantic	Mobile Home	1960-79	0.205942	0.253496	0.307899	0.00130051	0.00408336	0.00180855	0.22547	12	102740	0.00108787
Middle Atlantic	Multi-Family with 2 - 4 Units	1960-79	0.215864	0.288318	0.073141	0.0240973	0.13672	0.000404654	0.261455	44	515735	0.00358188
Middle Atlantic	Multi-Family with 5+ Units	1960-79	1	0	0	0	0	0	0	99	1.02595e+06	0.00834542
Middle Atlantic	Single-Family Attached	1960-79	0.268256	0.352816	0.0326734	0.0596987	0.147505	0.0247546	0.114297	44	295907	0.00192666
Middle Atlantic	Single-Family Detached	1960-79	0.374209	0.509387	0.0540086	0.00714065	0.00309066	6.98444e-05	0.0520945	284	1.86187e+06	0.0152289
Middle Atlantic	Mobile Home	1980-99	0.224023	0.305582	0.249306	0.107955	0.0373714	0	0.0757625	23	174791	0.00153842
Middle Atlantic	Multi-Family with 2 - 4 Units	1980-99	0.164979	0.225042	0.134144	0.07499	0.0878079	0.0591859	0.253852	32	361456	0.00205647
Middle Atlantic	Multi-Family with 5+ Units	1980-99	1	0	0	0	0	0	0	65	626181	0.00469394
Middle Atlantic	Single-Family Attached	1980-99	0.259505	0.349044	0.0863852	0.102661	0.0836679	0.000325668	0.118411	61	358360	0.00284097
Middle Atlantic	Single-Family Detached	1980-99	0.37046	0.505332	0.0665369	0.0055686	0	0	0.0521028	194	1.22357e+06	0.0108964
Middle Atlantic	Mobile Home	2000-09	0.339321	0.46156	0.0658492	0.0196112	0.0359789	8.54898e-05	0.0775942	193	41583.3	0.000433614
Middle Atlantic	Multi-Family with 2 - 4 Units	2000-09	0.192357	0.250706	0.170977	0.0513301	0.0957725	0.00077041	0.238087	19	95548.9	0.000875751
Middle Atlantic	Multi-Family with 5+ Units	2000-09	1	0	0	0	0	0	0	32	299015	0.00230528
Middle Atlantic	Single-Family Attached	2000-09	0.318224	0.434078	0.0579785	0.0387903	0.109944	0	0.0409858	33	193156	0.0012013
Middle Atlantic	Single-Family Detached	2000-09	0.335104	0.457104	0.0718116	0.0128326	0.0138267	0	0.109322	79	499508	0.00477896
Middle Atlantic	Mobile Home	2010s	0.339321	0.46156	0.0658492	0.0196112	0.0359789	8.54898e-05	0.0775942	193	11881	0.000146755
Middle Atlantic	Multi-Family with 2 - 4 Units	2010s	0.210625	0.261123	0.233303	0.115053	0.0638816	0.00172682	0.114288	10	76966.6	0.000305792
Middle Atlantic	Multi-Family with 5+ Units	2010s	1	0	0	0	0	0	0	42	294058	0.00152202
Middle Atlantic	Single-Family Attached	2010s	0.328208	0.431804	0.0928047	0.0338964	0.00236679	0.00104827	0.109872	21	87264.7	0.000426519
Middle Atlantic	Single-Family Detached	2010s	0.363579	0.495946	0.064625	0.0174278	0.0428891	0	0.0155334	52	236639	0.00134801
Middle Atlantic	Mobile Home	<1940	0.336435	0.453289	0.0857897	0.035211	0.0239674	0.00676601	0.0585418	605	0	3.64273e-05
Middle Atlantic	Multi-Family with 2 - 4 Units	<1940	0.215424	0.289311	0.102149	0.0500982	0.150243	0.0178066	0.174968	61	591537	0.00753209
Middle Atlantic	Multi-Family with 5+ Units	<1940	1	0	0	0	0	0	0	105	948861	0.0084805
Middle Atlantic	Single-Family Attached	<1940	0.27595	0.344598	0.0799507	0.054415	0.130037	0.0020983	0.112951	65	439345	0.00441253
Middle Atlantic	Single-Family Detached	<1940	0.336474	0.455956	0.098751	0.0404649	0.00755146	0.00901949	0.0517835	303	1.84146e+06	0.0149922
Mountain North	Mobile Home	1940-59	0.349599	0.46174	0.122328	0.00651115	0.0103807	0.00099829	0.0484427	181	2295.3	3.73287e-05
Mountain North	Multi-Family with 2 - 4 Units	1940-59	0.735024	0.246455	0.0185209	0	0	0	0	15	13696.9	0.000250244
Mountain North	Multi-Family with 5+ Units	1940-59	1	0	0	0	0	0	0	15	26385.6	0.000274526
Mountain North	Single-Family Attached	1940-59	0.350716	0.463215	0.119525	0.00653194	0.0104138	0.00100148	0.0485974	180	19206	0.000107744
Mountain North	Single-Family Detached	1940-59	0.35501	0.457806	0.111234	0.00407882	0.0142405	0.00174444	0.0558863	173	412685	0.00318696
Mountain North	Mobile Home	1960-79	0.120669	0.1646	0.714731	0	0	0	0	31	93293.9	0.000818806
Mountain North	Multi-Family with 2 - 4 Units	1960-79	0.298369	0.406994	0.170599	0	0	0	0.124038	16	118593	0.0006611
Mountain North	Multi-Family with 5+ Units	1960-79	1	0	0	0	0	0	0	34	229516	0.00168863
Mountain North	Single-Family Attached	1960-79	0.314658	0.425065	0.182562	0.000196789	0.000617881	0.000273664	0.0766275	20	51019.3	0.000419489
Mountain North	Single-Family Detached	1960-79	0.353581	0.478358	0.109559	0.000187323	0.00888033	0.000260501	0.0491734	202	634475	0.00556808
Mountain North	Mobile Home	1980-99	0.240078	0.320519	0.339212	0.000330243	0.0010369	0.000459252	0.0983648	35	101826	0.000851148
Mountain North	Multi-Family with 2 - 4 Units	1980-99	0.857745	0.0850677	0.0514482	0	0	0	0.00573871	40	54911.2	0.000648305
Mountain North	Multi-Family with 5+ Units	1980-99	1	0	0	0	0	0	0	32	213448	0.00190213
Mountain North	Single-Family Attached	1980-99	0.348387	0.475223	0.00860957	0	0.0496012	0	0.118178	27	77730.7	0.000724426
Mountain North	Single-Family Detached	1980-99	0.368015	0.499265	0.0581596	0.00547386	0.0179483	0.0213084	0.0298295	230	899874	0.00634855
Mountain North	Mobile Home	2000-09	0.371712	0.486916	0.132808	0.000954353	0.0029965	0.00132717	0.00328607	10	29197	0.000237144
