Dependency=Electric Vehicle Ownership	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=Tenure	Option=Level 1 charger	Option=Level 2 charger	Option=None	Option=Void	source_count	source_weight	sampling_probability
No	0-100%	Mobile Home	Not Available	0	0	0	1	346	2.20901e+06	0
No	0-100%	Mobile Home	Owner	0	0	1	0	241	1.49238e+06	0.0061145
No	0-100%	Mobile Home	Renter	0	0	1	0	105	716623	0.00417581
No	100-150%	Mobile Home	Not Available	0	0	0	1	287	1.3023e+06	0
No	100-150%	Mobile Home	Owner	0	0	1	0	226	1.05405e+06	0.00518649
No	100-150%	Mobile Home	Renter	0	0	1	0	61	248246	0.00255112
No	150-200%	Mobile Home	Not Available	0	0	0	1	201	870935	0
No	150-200%	Mobile Home	Owner	0	0	1	0	157	702694	0.0045048
No	150-200%	Mobile Home	Renter	0	0	1	0	44	168242	0.00191156
No	200-300%	Mobile Home	Not Available	0	0	0	1	269	1.14611e+06	0
No	200-300%	Mobile Home	Owner	0	0	1	0	229	954401	0.00748842
No	200-300%	Mobile Home	Renter	0	0	1	0	40	191711	0.00261914
No	300-400%	Mobile Home	Not Available	0	0	0	1	130	592755	0
No	300-400%	Mobile Home	Owner	0	0	1	0	115	538172	0.00489681
No	300-400%	Mobile Home	Renter	0	0	1	0	15	54582.4	0.00137293
No	400%+	Mobile Home	Not Available	0	0	0	1	146	668823	0
No	400%+	Mobile Home	Owner	0	0	1	0	132	606934	0.00687502
No	400%+	Mobile Home	Renter	0	0	1	0	14	61888.7	0.00143014
No	Not Available	Mobile Home	Not Available	0	0	1	0	967	6.78993e+06	0.0131485
No	Not Available	Mobile Home	Owner	0	0	0	1	760	5.34864e+06	0
No	Not Available	Mobile Home	Renter	0	0	0	1	207	1.44129e+06	0
No	0-100%	Multi-Family with 2 - 4 Units	Not Available	0	0	0	1	321	2.86152e+06	0
No	0-100%	Multi-Family with 2 - 4 Units	Owner	0	0	1	0	15	156347	0.000848619
No	0-100%	Multi-Family with 2 - 4 Units	Renter	0	0	1	0	306	2.70518e+06	0.0129143
No	100-150%	Multi-Family with 2 - 4 Units	Not Available	0	0	0	1	195	1.03184e+06	0
