Dependency=Geometry Building Type RECS	Dependency=Geometry Stories	Option=Mobile Home	Option=Multifamily with 2-4 Units	Option=Multifamily with 5+ units, 1-3 stories	Option=Multifamily with 5+ units, 4-7 stories	Option=Multifamily with 5+ units, 8+ stories	Option=Single-Family Attached	Option=Single-Family Detached	source_count	source_weight	sampling_probability
Multi-Family with 2 - 4 Units	20	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000120
Multi-Family with 2 - 4 Units	21	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000562
Multi-Family with 5+ Units	1	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	149.000000	1385423.125000	0.092118
Multi-Family with 5+ Units	2	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	736.000000	7321609.000000	0.059826
Multi-Family with 5+ Units	3	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	589.000000	5842107.500000	0.013111
Multi-Family with 5+ Units	4	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	123.000000	1324878.125000	0.003006
Multi-Family with 5+ Units	5	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	74.000000	723449.437500	0.001409
Multi-Family with 5+ Units	6	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	62.000000	577566.312500	0.001204
Multi-Family with 5+ Units	7	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	17.000000	151776.328125	0.000256
Multi-Family with 5+ Units	8	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	13.000000	141790.000000	0.000291
Multi-Family with 5+ Units	9	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	10.000000	122227.789062	0.000227
Multi-Family with 5+ Units	10	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	12.000000	106310.078125	0.000270
Multi-Family with 5+ Units	11	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	8.000000	86678.687500	0.000146
Multi-Family with 5+ Units	12	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	13.000000	149907.968750	0.000302
Multi-Family with 5+ Units	13	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	8.000000	66141.671875	0.000150
Multi-Family with 5+ Units	14	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	10.000000	95842.593750	0.000278
Multi-Family with 5+ Units	15	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	10.000000	96912.976562	0.000202
Multi-Family with 5+ Units	20	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	15.000000	120772.289062	0.000266
Multi-Family with 5+ Units	21	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	51.000000	572629.812500	0.001245
Single-Family Attached	1	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	382.000000	2779135.250000	0.030863
Single-Family Attached	2	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	456.000000	3509502.000000	0.020044
Single-Family Attached	3	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	49.000000	409689.093750	0.004393
Single-Family Attached	4	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.001007
Single-Family Attached	5	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000472
Single-Family Attached	6	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000403
Single-Family Attached	7	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000086
Single-Family Attached	8	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000098
Single-Family Attached	9	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000076
Single-Family Attached	10	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000091
Single-Family Attached	11	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000049
Single-Family Attached	12	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000101
Single-Family Attached	13	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000050
Single-Family Attached	14	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000093
Single-Family Attached	15	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000068
Single-Family Attached	20	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000089
Single-Family Attached	21	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000417
Single-Family Detached	1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	4704.000000	43097176.000000	0.332082
Single-Family Detached	2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	2906.000000	27093778.000000	0.215671
Single-Family Detached	3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	133.000000	1141419.250000	0.047265
Single-Family Detached	4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.010835
Single-Family Detached	5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.005078
Single-Family Detached	6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.004340
Single-Family Detached	7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000924
Single-Family Detached	8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.001050
Single-Family Detached	9	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000820
Single-Family Detached	10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000974
Single-Family Detached	11	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000525
Single-Family Detached	12	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.001088
Single-Family Detached	13	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000542
Single-Family Detached	14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.001001
Single-Family Detached	15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000727
Single-Family Detached	20	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000959
Single-Family Detached	21	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.004486
# Created by: sources\recs\2009\tsv_maker.py
# Source: Calculated directly from other distributions
