Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=Tenure	Dependency=Vintage ACS	Option=Double, Clear, Metal, Air	Option=Double, Clear, Metal, Air, Exterior Clear Storm	Option=Double, Clear, Non-metal, Air	Option=Double, Clear, Non-metal, Air, Exterior Clear Storm	Option=Double, Low-E, Non-metal, Air, M-Gain	Option=Single, Clear, Metal	Option=Single, Clear, Metal, Exterior Clear Storm	Option=Single, Clear, Non-metal	Option=Single, Clear, Non-metal, Exterior Clear Storm	Option=Triple, Low-E, Non-metal, Air, L-Gain	Option=Void	source_count	source_weight	sampling_probability
1A	0-100%	Mobile Home	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	108	0	0
1A	0-100%	Mobile Home	Owner	1940-59	0.103839	0.00477922	0.0664103	0.00611308	0.0664103	0.243083	0.0111879	0.463004	0.0213098	0.0138627	0	70	0	2.10759e-06
1A	0-100%	Mobile Home	Renter	1940-59	0.117003	0.00538507	0.0506571	0.004663	0.0506571	0.186017	0.00856146	0.551666	0.0253905	0	0	38	0	2.06558e-06
1A	100-150%	Mobile Home	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	108	0	0
1A	100-150%	Mobile Home	Owner	1940-59	0.103839	0.00477922	0.0664103	0.00611308	0.0664103	0.243083	0.0111879	0.463004	0.0213098	0.0138627	0	70	0	1.43066e-06
1A	100-150%	Mobile Home	Renter	1940-59	0.117003	0.00538507	0.0506571	0.004663	0.0506571	0.186017	0.00856146	0.551666	0.0253905	0	0	38	0	9.85761e-07
1A	150-200%	Mobile Home	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	108	0	0
1A	150-200%	Mobile Home	Owner	1940-59	0.103839	0.00477922	0.0664103	0.00611308	0.0664103	0.243083	0.0111879	0.463004	0.0213098	0.0138627	0	70	0	1.07806e-06
1A	150-200%	Mobile Home	Renter	1940-59	0.117003	0.00538507	0.0506571	0.004663	0.0506571	0.186017	0.00856146	0.551666	0.0253905	0	0	38	0	6.98958e-07
1A	200-300%	Mobile Home	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	94	0	0
1A	200-300%	Mobile Home	Owner	1940-59	0.191933	0.00883373	0.106777	0.00982888	0.106777	0.281364	0.0129498	0.269149	0.0123876	0	0	82	0	1.47774e-06
1A	200-300%	Mobile Home	Renter	1940-59	0	0	0.155331	0.0142983	0.155331	0.332534	0.0153049	0.312804	0.0143968	0	0	12	0	9.36112e-07
1A	300-400%	Mobile Home	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	94	0	0
1A	300-400%	Mobile Home	Owner	1940-59	0.191933	0.00883373	0.106777	0.00982888	0.106777	0.281364	0.0129498	0.269149	0.0123876	0	0	82	0	8.3283e-07
1A	300-400%	Mobile Home	Renter	1940-59	0	0	0.155331	0.0142983	0.155331	0.332534	0.0153049	0.312804	0.0143968	0	0	12	0	5.03765e-07
1A	400%+	Mobile Home	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	89	0	0
1A	400%+	Mobile Home	Owner	1940-59	0.242332	0.0111534	0.117812	0.0108446	0.117812	0.196146	0.00902762	0.210051	0.00966763	0.0751538	0	79	0	1.28589e-06
1A	400%+	Mobile Home	Renter	1940-59	0.160939	0.00740722	0.202809	0.0186686	0.202809	0.0513711	0.00236436	0.338072	0.0155598	0	0	10	0	5.84011e-07
1A	Not Available	Mobile Home	Not Available	1940-59	0.164773	0.00758369	0.0970226	0.00893095	0.0970226	0.230509	0.0106092	0.343098	0.0157911	0.02466	0	217	0	2.9231e-06
