Dependency=Cooling Unavailable Days	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Option=1 day	Option=1 month	Option=1 week	Option=2 weeks	Option=3 days	Option=3 months	Option=Never	Option=Year round	source_count	source_weight	sampling_probability
1 day	0-100%	Mobile Home	0.41118	0	0.0733747	0	0.0733747	0	0.416919	0.0251518	19	37807.2	0.000159578
1 month	0-100%	Mobile Home	0.0988761	0.478905	0.0115653	0.0752685	0.0408943	0.0802219	0.214269	0	18	53982.2	0.00025235
1 week	0-100%	Mobile Home	0.0369442	0.000392513	0.0905708	0.0302909	0.0706067	0	0.771195	0	14	54395.6	0.000258639
2 weeks	0-100%	Mobile Home	0.0539354	0.133794	0.164741	0.0179958	0.167074	0	0.46246	0	11	55322.2	0.000261738
3 days	0-100%	Mobile Home	0.26094	0.000105517	0.121061	0.0163115	0.268893	0	0.299424	0.0332651	15	67449	0.000301491
3 months	0-100%	Mobile Home	0.0185219	0.168528	0.0054055	0.106078	0	0.145999	0.52724	0.0282268	14	38303.3	0.000170623
Never	0-100%	Mobile Home	0.00394404	0.00231108	0.0255875	0.00599427	0.0281068	0.0192179	0.914149	0.00068904	295	1.90142e+06	0.00889936
Year round	0-100%	Mobile Home	0.0247579	0.0163479	0.0283529	0.0153458	0.0351002	0.0200659	0.854735	0.0052945	838	5245.48	2.18168e-05
1 day	100-150%	Mobile Home	0.367435	0	0.127346	0	0.127346	0	0.377873	0	10	48470.2	0.000284005
1 month	100-150%	Mobile Home	0	0.151453	0.00164887	0.324376	0.000141684	0	0.52238	0	12	21773.4	0.000152856
1 week	100-150%	Mobile Home	0	0.00055973	0.28688	0.00839595	0.189968	0	0.514196	0	15	39506.4	0.000212732
2 weeks	100-150%	Mobile Home	0	0.129681	0.147246	0.312613	0.0352173	0	0.375244	0	15	32442.9	0.000219225
3 days	100-150%	Mobile Home	0	0.00024246	0.219027	0.0036369	0.241947	0	0.535147	0	11	43006	0.000264979
3 months	100-150%	Mobile Home	0	0.012765	0	0.0459397	0	0.200758	0.642872	0.0976658	10	34259.2	0.000189674
Never	100-150%	Mobile Home	0.0139827	0.00429215	0.000793825	0.00609969	0.0223322	0.0270157	0.914237	0.0112471	248	1.08803e+06	0.0064117
Year round	100-150%	Mobile Home	0.0247579	0.0163479	0.0283529	0.0153458	0.0351002	0.0200659	0.854735	0.0052945	838	3452.4	1.69875e-05
1 day	150-200%	Mobile Home	0.367435	0	0.127346	0	0.127346	0	0.377873	0	10	2928.79	3.32103e-05
1 month	150-200%	Mobile Home	0	0.256118	0.0375017	0.386989	0	0	0.319392	0	10	27127.1	0.000229122
1 week	150-200%	Mobile Home	0	0.00055973	0.28688	0.00839595	0.189968	0	0.514196	0	15	16380.7	0.000141537
2 weeks	150-200%	Mobile Home	0	0.129681	0.147246	0.312613	0.0352173	0	0.375244	0	15	15176.2	0.00010777
3 days	150-200%	Mobile Home	0	0.000183441	0.184714	0.00275162	0.202055	0	0.610295	0	16	13836.3	9.24387e-05
3 months	150-200%	Mobile Home	0	0.125337	0	0.038795	0	0.169535	0.583857	0.0824764	13	6309.39	4.04482e-05
Never	150-200%	Mobile Home	0.026351	0.00124174	0.0138834	0.00370232	0.0162475	0.00237849	0.936195	0	180	790501	0.00578305
Year round	150-200%	Mobile Home	0.0247579	0.0163479	0.0283529	0.0153458	0.0351002	0.0200659	0.854735	0.0052945	838	0	0
1 day	200-300%	Mobile Home	0.00959869	2.88657e-06	0.00652989	0.0124934	0.0203493	0.00321545	0.947569	0.000241294	400	0	0
1 month	200-300%	Mobile Home	0	0.000117996	0.0163929	0.469595	0	0.000924706	0.512353	0.000616471	12	22951.6	0.000194395
1 week	200-300%	Mobile Home	0	0	0.202744	0	7.76672e-05	0.0150035	0.772173	0.0100023	16	12072.7	9.46389e-05
2 weeks	200-300%	Mobile Home	0	0	0.202744	0	7.76672e-05	0.0150035	0.772173	0.0100023	16	5251.42	4.11663e-05
3 days	200-300%	Mobile Home	0.00959869	2.88657e-06	0.00652989	0.0124934	0.0203493	0.00321545	0.947569	0.000241294	400	10024.5	0.000131172
3 months	200-300%	Mobile Home	0	7.74556e-05	0.0215215	0.335156	0	0.000607001	0.642233	0.000404667	18	17225.3	0.000184027
Never	200-300%	Mobile Home	0.0114024	0	0.00159831	4.77268e-06	0.0254679	0.00459613	0.95693	0	253	1.08139e+06	0.00948688
Year round	200-300%	Mobile Home	0.00959869	2.88657e-06	0.00652989	0.0124934	0.0203493	0.00321545	0.947569	0.000241294	400	122.547	9.60655e-07
1 day	300-400%	Mobile Home	0.00959869	2.88657e-06	0.00652989	0.0124934	0.0203493	0.00321545	0.947569	0.000241294	400	0	0
1 month	300-400%	Mobile Home	0	0.000117996	0.0163929	0.469595	0	0.000924706	0.512353	0.000616471	12	19658.4	0.000179117
1 week	300-400%	Mobile Home	0	0	0.202744	0	7.76672e-05	0.0150035	0.772173	0.0100023	16	14535.6	0.000132441
2 weeks	300-400%	Mobile Home	0	0	0.202744	0	7.76672e-05	0.0150035	0.772173	0.0100023	16	7532.87	6.86356e-05
3 days	300-400%	Mobile Home	0.00959869	2.88657e-06	0.00652989	0.0124934	0.0203493	0.00321545	0.947569	0.000241294	400	9940.81	9.33358e-05
3 months	300-400%	Mobile Home	0	7.74556e-05	0.0215215	0.335156	0	0.000607001	0.642233	0.000404667	18	5076.88	4.6258e-05
Never	300-400%	Mobile Home	0.00825566	0	0.000490476	0	0.0148607	0	0.976393	0	119	531568	0.00572121
Year round	300-400%	Mobile Home	0.00959869	2.88657e-06	0.00652989	0.0124934	0.0203493	0.00321545	0.947569	0.000241294	400	4441.61	4.04697e-05
1 day	400%+	Mobile Home	0.00162639	0.0128729	0.0139934	0.00712731	0.0230462	0.0153032	0.924157	0.00187386	150	0	0
1 month	400%+	Mobile Home	0.00162639	0.0128729	0.0139934	0.00712731	0.0230462	0.0153032	0.924157	0.00187386	150	5129.29	5.66997e-05
1 week	400%+	Mobile Home	0.00162639	0.0128729	0.0139934	0.00712731	0.0230462	0.0153032	0.924157	0.00187386	150	4273.29	4.72375e-05
2 weeks	400%+	Mobile Home	0.00162639	0.0128729	0.0139934	0.00712731	0.0230462	0.0153032	0.924157	0.00187386	150	16182.8	0.000178886
3 days	400%+	Mobile Home	0.00162639	0.0128729	0.0139934	0.00712731	0.0230462	0.0153032	0.924157	0.00187386	150	9387.68	0.000137094
3 months	400%+	Mobile Home	0.00162639	0.0128729	0.0139934	0.00712731	0.0230462	0.0153032	0.924157	0.00187386	150	1827.04	2.01963e-05
Never	400%+	Mobile Home	0.00172403	0	0.0148334	0.00755518	0.0142796	0.0162219	0.9434	0.00198635	139	654297	0.00795364
Year round	400%+	Mobile Home	0.00162639	0.0128729	0.0139934	0.00712731	0.0230462	0.0153032	0.924157	0.00187386	150	2479.27	2.74061e-05
1 day	Not Available	Mobile Home	0.41118	0	0.0733747	0	0.0733747	0	0.416919	0.0251518	14	89206.2	0.000171669
1 month	Not Available	Mobile Home	0.0354367	0.239691	0.0157748	0.276409	0.0146768	0.0290127	0.388824	0.000174396	39	150622	0.000289857
1 week	Not Available	Mobile Home	0.0142359	0.0184436	0.205053	0.0149961	0.102431	0	0.64484	0	29	141164	0.000271657
2 weeks	Not Available	Mobile Home	0.0226204	0.151275	0.122248	0.120401	0.0827907	0.00448058	0.493197	0.00298705	27	131908	0.000253845
3 days	Not Available	Mobile Home	0.114551	0.000114187	0.121489	0.00817866	0.236026	0	0.505038	0.0146032	29	153644	0.000295674
3 months	Not Available	Mobile Home	0.0068878	0.112037	0.00879168	0.0716815	0	0.121067	0.636554	0.0429814	25	103001	0.000198216
Never	Not Available	Mobile Home	0.0101518	0.00166125	0.0119371	0.00428453	0.0223852	0.0137914	0.933334	0.00245519	865	6.04721e+06	0.0116373
Year round	Not Available	Mobile Home	0.0185453	0.0118284	0.021332	0.0137843	0.0301162	0.0152868	0.885448	0.00365906	974	15741.3	3.02927e-05
1 day	0-100%	Multi-Family with 2 - 4 Units	0.236494	0.0768778	0.0104188	0	0.206054	0.045701	0.424454	0	11	43665.9	0.000208496
1 month	0-100%	Multi-Family with 2 - 4 Units	0	0.0140145	0.0951297	0.00191951	0	0	0.888936	0	10	63348.1	0.000302475
1 week	0-100%	Multi-Family with 2 - 4 Units	0.189402	0	0.127119	0	0.186172	0	0.497306	0	12	71963.9	0.000343614
2 weeks	0-100%	Multi-Family with 2 - 4 Units	0.0321557	0.0772523	0	0	0.126845	0.0154505	0.748296	0	14	47838.5	0.00022842
3 days	0-100%	Multi-Family with 2 - 4 Units	0.189979	0	0.0587357	0	0.316237	0	0.435048	0	13	73242.4	0.000349718
3 months	0-100%	Multi-Family with 2 - 4 Units	0	0.0177771	0.0402233	0.00243485	0	0	0.719481	0.220084	10	49940.2	0.000238455
Never	0-100%	Multi-Family with 2 - 4 Units	0.00576988	0.0025385	0.00882238	0.00343885	0.0152012	0.00100448	0.963225	0	284	2.49027e+06	0.0120001
Year round	0-100%	Multi-Family with 2 - 4 Units	0.0197974	0.00348769	0.00846532	0.00498599	0.020234	0.00255135	0.937383	0.00309511	1942	30059.6	0.000143528
1 day	100-150%	Multi-Family with 2 - 4 Units	0.236494	0.0768778	0.0104188	0	0.206054	0.045701	0.424454	0	11	0	0
1 month	100-150%	Multi-Family with 2 - 4 Units	0	0.0145973	0.0614011	0.0364121	0	0.000641372	0.886948	0	15	27473.8	0.000232841
1 week	100-150%	Multi-Family with 2 - 4 Units	0	0	0.421503	0	0.310172	0	0.268326	0	10	13865.6	0.000117511
2 weeks	100-150%	Multi-Family with 2 - 4 Units	0.0321557	0.0772523	0	0	0.126845	0.0154505	0.748296	0	14	12262.2	0.000103922
3 days	100-150%	Multi-Family with 2 - 4 Units	0.138849	0	0.0701447	0	0.312777	0	0.47823	0	18	5931.92	5.02731e-05
3 months	100-150%	Multi-Family with 2 - 4 Units	0	0.0176647	0.0317409	0.0564691	0	0	0.720453	0.173672	16	8809.57	7.46612e-05
Never	100-150%	Multi-Family with 2 - 4 Units	0.0189846	0	0.000555808	0	0.0147108	0.0120804	0.951919	0.00174892	181	963117	0.0078783
Year round	100-150%	Multi-Family with 2 - 4 Units	0.0197974	0.00348769	0.00846532	0.00498599	0.020234	0.00255135	0.937383	0.00309511	1942	376.854	3.19384e-06
1 day	150-200%	Multi-Family with 2 - 4 Units	0.236494	0.0768778	0.0104188	0	0.206054	0.045701	0.424454	0	11	15631	0.000104342
1 month	150-200%	Multi-Family with 2 - 4 Units	0	0.0145973	0.0614011	0.0364121	0	0.000641372	0.886948	0	15	7324.37	4.88927e-05
1 week	150-200%	Multi-Family with 2 - 4 Units	0	0	0.421503	0	0.310172	0	0.268326	0	10	2864.36	1.91206e-05
2 weeks	150-200%	Multi-Family with 2 - 4 Units	0.0321557	0.0772523	0	0	0.126845	0.0154505	0.748296	0	14	1012.27	6.75729e-06
3 days	150-200%	Multi-Family with 2 - 4 Units	0.138849	0	0.0701447	0	0.312777	0	0.47823	0	18	21039.4	0.000140446
3 months	150-200%	Multi-Family with 2 - 4 Units	0	0.0176647	0.0317409	0.0564691	0	0	0.720453	0.173672	16	4536.4	3.0282e-05
Never	150-200%	Multi-Family with 2 - 4 Units	0.00689561	0.00730648	0.00494692	0.00303981	0.0114985	0.00564546	0.947001	0.0136663	163	984324	0.00683011
Year round	150-200%	Multi-Family with 2 - 4 Units	0.0197974	0.00348769	0.00846532	0.00498599	0.020234	0.00255135	0.937383	0.00309511	1942	119.211	7.95776e-07
1 day	200-300%	Multi-Family with 2 - 4 Units	0.0246585	0	0	0	0.0246585	0	0.950683	0	11	2119.31	1.66576e-05
1 month	200-300%	Multi-Family with 2 - 4 Units	0	0.0119216	0.0217162	0.0805179	0	0.0546988	0.824448	0.00669781	13	12338.1	9.69762e-05
1 week	200-300%	Multi-Family with 2 - 4 Units	0	0.029138	1.59452e-05	0.0640307	4.78357e-05	0.133065	0.757409	0.0162936	12	2.80181	2.20219e-08
2 weeks	200-300%	Multi-Family with 2 - 4 Units	0	0.029138	1.59452e-05	0.0640307	4.78357e-05	0.133065	0.757409	0.0162936	12	4076.76	3.2043e-05
3 days	200-300%	Multi-Family with 2 - 4 Units	7.35597e-05	0	4.22335e-05	0	0.00020026	0	0.999684	0	17	2947.7	2.31686e-05
3 months	200-300%	Multi-Family with 2 - 4 Units	0	0.00760686	0.0277131	0.0860179	0	0.219998	0.637839	0.0208255	21	12005	9.62355e-05
Never	200-300%	Multi-Family with 2 - 4 Units	0.0059684	0.00420664	0.0101234	0.00222214	0.0101224	4.32144e-06	0.967353	0	258	1.44994e+06	0.011471
Year round	200-300%	Multi-Family with 2 - 4 Units	0.00302372	0.00114295	0.00306263	0.0025049	0.00272721	0.00366271	0.983441	0.000434971	1397	2521.27	2.07301e-05
1 day	300-400%	Multi-Family with 2 - 4 Units	0.0246585	0	0	0	0.0246585	0	0.950683	0	11	12119.7	9.77403e-05
1 month	300-400%	Multi-Family with 2 - 4 Units	0	0.0119216	0.0217162	0.0805179	0	0.0546988	0.824448	0.00669781	13	9023.6	7.27711e-05
1 week	300-400%	Multi-Family with 2 - 4 Units	0	0.029138	1.59452e-05	0.0640307	4.78357e-05	0.133065	0.757409	0.0162936	12	3598.45	2.90199e-05
2 weeks	300-400%	Multi-Family with 2 - 4 Units	0	0.029138	1.59452e-05	0.0640307	4.78357e-05	0.133065	0.757409	0.0162936	12	2698.84	2.17649e-05
3 days	300-400%	Multi-Family with 2 - 4 Units	7.35597e-05	0	4.22335e-05	0	0.00020026	0	0.999684	0	17	6816.26	5.49701e-05
3 months	300-400%	Multi-Family with 2 - 4 Units	0	0.00760686	0.0277131	0.0860179	0	0.219998	0.637839	0.0208255	21	6636.02	5.35166e-05
Never	300-400%	Multi-Family with 2 - 4 Units	0.0154404	0.000401995	0.000674397	0.000669991	0.00615642	0	0.976657	0	166	915288	0.00788764
Year round	300-400%	Multi-Family with 2 - 4 Units	0.00302372	0.00114295	0.00306263	0.0025049	0.00272721	0.00366271	0.983441	0.000434971	1397	0	0
1 day	400%+	Multi-Family with 2 - 4 Units	0.00119518	0.00269884	0.00202581	0.000885062	0.00358519	0.00192843	0.987168	0.000513318	1311	2111.08	1.74152e-05
1 month	400%+	Multi-Family with 2 - 4 Units	0.00119518	0.00269884	0.00202581	0.000885062	0.00358519	0.00192843	0.987168	0.000513318	1311	0	0
1 week	400%+	Multi-Family with 2 - 4 Units	0.00119518	0.00269884	0.00202581	0.000885062	0.00358519	0.00192843	0.987168	0.000513318	1311	3232.77	2.66684e-05
2 weeks	400%+	Multi-Family with 2 - 4 Units	0.00119518	0.00269884	0.00202581	0.000885062	0.00358519	0.00192843	0.987168	0.000513318	1311	2424.58	2.00014e-05
3 days	400%+	Multi-Family with 2 - 4 Units	0.00119518	0.00269884	0.00202581	0.000885062	0.00358519	0.00192843	0.987168	0.000513318	1311	2111.08	1.74152e-05
3 months	400%+	Multi-Family with 2 - 4 Units	0.00119518	0.00269884	0.00202581	0.000885062	0.00358519	0.00192843	0.987168	0.000513318	1311	0	0
Never	400%+	Multi-Family with 2 - 4 Units	0.00174221	0.00258901	0.00400839	0.00452314	0.00605793	0	0.981079	0	268	1.95077e+06	0.0186145
