Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Foundation Type	Dependency=Geometry Building Type RECS	Option=Uninsulated, Vented	Option=Wall R-5, Unvented	Option=Wall R-10, Unvented	Option=Ceiling R-13, Vented	Option=Ceiling R-19, Vented	Option=None	sampling_probability
CR02	<1940	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001067
CR05	<1940	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000712
CR03	<1940	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000969
CR04	<1940	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002671
CR06	<1940	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000700
CR07	<1940	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002598
CR08	<1940	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002562
CR09	<1940	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005836
CR10	<1940	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000751
CR11	<1940	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002084
CR02	1950s	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000901
CR05	1950s	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000601
CR03	1950s	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000818
CR04	1950s	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002255
CR06	1950s	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000591
CR07	1950s	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002193
CR08	1950s	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002162
CR09	1950s	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004926
CR10	1950s	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000634
CR11	1950s	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001759
CR02	1960s	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000911
CR05	1960s	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000608
CR03	1960s	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000828
CR04	1960s	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002282
CR06	1960s	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000598
CR07	1960s	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002219
