Dependency=Census Division	Dependency=Geometry Building Type RECS	Dependency=Income RECS2020	Dependency=PUMA Metro Status	Dependency=Tenure	Dependency=Vintage ACS	Option=0-499	Option=500-749	Option=750-999	Option=1000-1499	Option=1500-1999	Option=2000-2499	Option=2500-2999	Option=3000-3999	Option=4000+	source_count	source_weight	sampling_probability
East North Central	Mobile Home	100000-149999	In metro area, not/partially in principal city	Owner	1940-59	0	0.138797	0.147063	0.339195	0.0998369	0.263131	0	0	0.0119778	0.73512	43.6966	3.84059e-06
East North Central	Mobile Home	100000-149999	In metro area, not/partially in principal city	Owner	1960-79	0	0.219179	0.374506	0.286238	0.105336	0	0	0	0.0147408	5.38341	2343.39	1.78457e-05
East North Central	Mobile Home	100000-149999	In metro area, not/partially in principal city	Owner	1980-99	0	0.0262262	0.16588	0.382141	0.233307	0.183279	0	0	0.0091675	63.8064	25899.2	5.21651e-05
East North Central	Mobile Home	100000-149999	In metro area, not/partially in principal city	Owner	2000-09	0	0	0.112329	0.267365	0.334854	0.278475	0	0	0.00697719	1.86755	761.161	2.08068e-05
East North Central	Mobile Home	100000-149999	In metro area, not/partially in principal city	Owner	2010s	0	0.0134775	0.0376277	0.169939	0.212055	0.192654	0.369453	0	0.00479478	2.71324	93.6065	1.31591e-05
East North Central	Mobile Home	100000-149999	In metro area, not/partially in principal city	Owner	<1940	0	0	0.00933166	0.048735	0.118629	0.0100152	0.811867	0	0.00142216	2.62264e-21	3.63227e-39	3.42322e-06
East North Central	Mobile Home	100000-149999	In metro area, not/partially in principal city	Renter	1940-59	0.693953	0.148269	0.0447101	0.0785429	0.030794	0	0	0	0.00373082	0.0838103	5.44683	7.53212e-07
East North Central	Mobile Home	100000-149999	In metro area, not/partially in principal city	Renter	1960-79	0	0.51874	0.252257	0.146848	0.0719832	0	0	0	0.0101725	0.613757	292.107	4.84962e-06
East North Central	Mobile Home	100000-149999	In metro area, not/partially in principal city	Renter	1980-99	0.123973	0.10152	0.182745	0.320649	0.260766	0	0	0	0.0103473	7.27449	3228.37	9.36896e-06
East North Central	Mobile Home	100000-149999	In metro area, not/partially in principal city	Renter	2000-09	0	0	0.169466	0.307221	0.512529	0	0	0	0.0107844	0.212918	94.8796	4.7138e-06
East North Central	Mobile Home	100000-149999	In metro area, not/partially in principal city	Renter	2010s	0.438518	0.0327061	0.0259874	0.0893926	0.148584	0	0.261418	0	0.0033927	0.309333	11.6682	1.70081e-06
East North Central	Mobile Home	100000-149999	In metro area, not/partially in principal city	Renter	<1940	0	0	0.00933128	0.0371174	0.120349	0	0.831745	0	0.00145698	2.99004e-22	4.52767e-40	4.41473e-07
East North Central	Mobile Home	100000-149999	In metro area, principal city	Owner	1940-59	0	0.533973	0.0464643	0.344243	0	0.0753195	0	0	0	1.46696	15.6337	3.25975e-07
East North Central	Mobile Home	100000-149999	In metro area, principal city	Owner	1960-79	0	0.0580966	0.16253	0.59324	0.101519	0	0.0846154	0	0	14.5213	1162.11	2.27703e-06
East North Central	Mobile Home	100000-149999	In metro area, principal city	Owner	1980-99	0	0.0424245	0.0730205	0.427225	0.364688	0.0926424	0	0	0	63.7064	4648.41	5.94223e-07
East North Central	Mobile Home	100000-149999	In metro area, principal city	Owner	2000-09	0	0.0979373	0.0710535	0.427035	0.300902	0.103072	0	0	0	13.7338	1039.48	6.1867e-07
East North Central	Mobile Home	100000-149999	In metro area, principal city	Owner	2010s	0	0.0327596	0.0213981	0.45964	0.258423	0.170311	0.0574682	0	0	2.27476	15.5356	1.46126e-07
