Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=HVAC Has Zonal Electric Heating	Option=No	Option=Yes	source_count	source_weight	sampling_probability
1A	Mobile Home	No	0.884742	0.115258	269	16405.8	0.000309636
1A	Multi-Family with 2 - 4 Units	No	0.892181	0.107819	23	151857	0.0010193
1A	Multi-Family with 5+ Units	No	0.889664	0.110336	98	804378	0.00656479
1A	Single-Family Attached	No	0.842326	0.157674	45	173615	0.00146802
1A	Single-Family Detached	No	0.890721	0.109279	223	915387	0.0072584
1A	Mobile Home	Yes	0.699614	0.300386	10	0	2.80003e-05
1A	Multi-Family with 2 - 4 Units	Yes	0.699614	0.300386	10	0	9.08509e-05
1A	Multi-Family with 5+ Units	Yes	0.699614	0.300386	10	43333.8	0.000526875
1A	Single-Family Attached	Yes	0.699614	0.300386	10	1275.11	0.000138299
1A	Single-Family Detached	Yes	0.699614	0.300386	10	43702.4	0.000536115
2A	Mobile Home	No	0.676925	0.323075	87	998985	0.00991794
2A	Multi-Family with 2 - 4 Units	No	0.75584	0.24416	62	671341	0.00641871
2A	Multi-Family with 5+ Units	No	0.727356	0.272644	147	2.14666e+06	0.0201421
2A	Single-Family Attached	No	0.661685	0.338315	87	530352	0.00421105
2A	Single-Family Detached	No	0.633571	0.366429	940	8.71165e+06	0.0660951
2A	Mobile Home	Yes	0.508206	0.491794	21	217389	0.00143379
2A	Multi-Family with 2 - 4 Units	Yes	0.708409	0.291591	12	117340	0.000599066
2A	Multi-Family with 5+ Units	Yes	0.652317	0.347683	23	331341	0.00202878
2A	Single-Family Attached	Yes	0.562514	0.437486	101	42406.2	0.000369439
2A	Single-Family Detached	Yes	0.567932	0.432068	74	693807	0.00471891
2B	Mobile Home	No	0.740633	0.259367	27	186594	0.00161817
2B	Multi-Family with 2 - 4 Units	No	0.768881	0.231119	14	131609	0.000866238
2B	Multi-Family with 5+ Units	No	0.621113	0.378887	39	330828	0.00293373
2B	Single-Family Attached	No	0.694617	0.305383	38	101351	0.00093926
2B	Single-Family Detached	No	0.627815	0.372185	298	1.56149e+06	0.0120134
2B	Mobile Home	Yes	0.676049	0.323951	17	40511	0.0001389
2B	Multi-Family with 2 - 4 Units	Yes	0.638031	0.361969	10	21950.8	0.000119759
2B	Multi-Family with 5+ Units	Yes	0.638031	0.361969	10	63652.8	0.000464109
2B	Single-Family Attached	Yes	0.676049	0.323951	17	5129.69	5.74307e-05
2B	Single-Family Detached	Yes	0.703619	0.296381	10	65119	0.000592438
3A	Mobile Home	No	0.706257	0.293743	170	1.33424e+06	0.0126949
3A	Multi-Family with 2 - 4 Units	No	0.72116	0.27884	83	648447	0.00623502
3A	Multi-Family with 5+ Units	No	0.590094	0.409906	160	1.85152e+06	0.0178693
3A	Single-Family Attached	No	0.58667	0.41333	138	636811	0.00345882
3A	Single-Family Detached	No	0.602516	0.397484	1456	1.02139e+07	0.0843937
3A	Mobile Home	Yes	0.623488	0.376512	24	177334	0.00174777
3A	Multi-Family with 2 - 4 Units	Yes	0.64269	0.35731	12	105695	0.000500743
3A	Multi-Family with 5+ Units	Yes	0.567431	0.432569	34	394552	0.00157441
3A	Single-Family Attached	Yes	0.951481	0.0485189	11	46013.1	0.000207593
3A	Single-Family Detached	Yes	0.536495	0.463505	72	539689	0.00436771
3B	Mobile Home	No	0.608391	0.391609	46	471906	0.00409052
3B	Multi-Family with 2 - 4 Units	No	0.694437	0.305563	53	743232	0.00625435
3B	Multi-Family with 5+ Units	No	0.706715	0.293285	149	2.09893e+06	0.0186664
3B	Single-Family Attached	No	0.601966	0.398034	109	689267	0.00515353
3B	Single-Family Detached	No	0.48403	0.51597	678	6.46932e+06	0.0526557
3B	Mobile Home	Yes	0.526055	0.473945	57	64835.4	0.000310323
3B	Multi-Family with 2 - 4 Units	Yes	0.403611	0.596389	11	170035	0.000643392
3B	Multi-Family with 5+ Units	Yes	0.271133	0.728867	41	589018	0.00237946
3B	Single-Family Attached	Yes	0.510135	0.489865	12	93949.3	0.000450789
3B	Single-Family Detached	Yes	0.514377	0.485623	39	418701	0.00230789
3C	Mobile Home	No	0.325176	0.674824	211	43820.3	0.000635031
3C	Multi-Family with 2 - 4 Units	No	0.760275	0.239725	18	263210	0.00205064
3C	Multi-Family with 5+ Units	No	0.47375	0.52625	32	449880	0.00513218
3C	Single-Family Attached	No	0.399391	0.600609	39	258263	0.001989
3C	Single-Family Detached	No	0.311638	0.688362	167	1.6869e+06	0.0120052
3C	Mobile Home	Yes	0.577053	0.422947	28	9875.95	4.3877e-05
3C	Multi-Family with 2 - 4 Units	Yes	0.62744	0.37256	19	13032.8	0.000221159
3C	Multi-Family with 5+ Units	Yes	0.607715	0.392285	18	246161	0.000742884
3C	Single-Family Attached	Yes	0.577053	0.422947	28	10844.8	0.000151833
3C	Single-Family Detached	Yes	0.577053	0.422947	28	72456.1	0.000472659
4A	Mobile Home	No	0.68031	0.31969	178	1.21367e+06	0.0104037
4A	Multi-Family with 2 - 4 Units	No	0.632881	0.367119	222	1.99281e+06	0.0185102
4A	Multi-Family with 5+ Units	No	0.662765	0.337235	572	4.83706e+06	0.0425775
4A	Single-Family Attached	No	0.594293	0.405707	477	2.14616e+06	0.0187515
4A	Single-Family Detached	No	0.562734	0.437266	2364	1.41663e+07	0.115159
4A	Mobile Home	Yes	0.574766	0.425234	25	161646	0.00119804
4A	Multi-Family with 2 - 4 Units	Yes	0.695008	0.304992	29	268385	0.000938648
4A	Multi-Family with 5+ Units	Yes	0.589055	0.410945	117	991740	0.00303229
4A	Single-Family Attached	Yes	0.608745	0.391255	29	145840	0.000940716
4A	Single-Family Detached	Yes	0.656512	0.343488	82	495900	0.00379041
4B	Mobile Home	No	0.555711	0.444289	13	91422	0.000891487
4B	Multi-Family with 2 - 4 Units	No	0.454614	0.545386	14	51713.1	0.000398997
4B	Multi-Family with 5+ Units	No	0.454614	0.545386	14	41081.2	0.000680708
4B	Single-Family Attached	No	0.479305	0.520695	127	14907	0.000227673
4B	Single-Family Detached	No	0.472589	0.527411	109	647290	0.00521836
4B	Mobile Home	Yes	1	0	2	5318.1	4.15365e-05
4B	Multi-Family with 2 - 4 Units	Yes	1	0	2	15535.4	2.91063e-05
4B	Multi-Family with 5+ Units	Yes	1	0	2	0	6.17102e-05
4B	Single-Family Attached	Yes	1	0	2	0	9.18462e-06
4B	Single-Family Detached	Yes	1	0	2	0	0.000171934
4C	Mobile Home	No	0.319126	0.680874	32	191211	0.00138373
4C	Multi-Family with 2 - 4 Units	No	0.553485	0.446515	45	30405.7	0.00140424
4C	Multi-Family with 5+ Units	No	0.530443	0.469557	41	332497	0.00435497
4C	Single-Family Attached	No	0.620656	0.379344	23	83912.3	0.00109779
4C	Single-Family Detached	No	0.313135	0.686865	379	2.11345e+06	0.0164903
4C	Mobile Home	Yes	0.403903	0.596097	14	103559	0.000370893
4C	Multi-Family with 2 - 4 Units	Yes	0.60684	0.39316	18	169623	0.000423659
4C	Multi-Family with 5+ Units	Yes	0.488643	0.511357	66	539540	0.00153798
4C	Single-Family Attached	Yes	0.390122	0.609878	11	45341.3	0.000172666
4C	Single-Family Detached	Yes	0.411729	0.588271	45	266232	0.00156403
5A	Mobile Home	No	0.687268	0.312732	98	718713	0.00706566
5A	Multi-Family with 2 - 4 Units	No	0.582444	0.417556	230	2.38941e+06	0.0232797
5A	Multi-Family with 5+ Units	No	0.616579	0.383421	354	3.31787e+06	0.0318295
5A	Single-Family Attached	No	0.559274	0.440726	374	1.61149e+06	0.0125169
5A	Single-Family Detached	No	0.537055	0.462945	2670	1.75327e+07	0.141045
5A	Mobile Home	Yes	0.688424	0.311576	116	41374.4	0.000245336
5A	Multi-Family with 2 - 4 Units	Yes	0.671919	0.328081	39	477403	0.0013883
5A	Multi-Family with 5+ Units	Yes	0.613599	0.386401	133	1.19705e+06	0.00408345
5A	Single-Family Attached	Yes	0.748267	0.251733	22	91855.9	0.000640325
5A	Single-Family Detached	Yes	0.681937	0.318063	89	549899	0.00327215
5B	Mobile Home	No	0.506734	0.493266	57	254989	0.00256393
5B	Multi-Family with 2 - 4 Units	No	0.59324	0.40676	20	180856	0.00191586
5B	Multi-Family with 5+ Units	No	0.606817	0.393183	75	585266	0.00529649
5B	Single-Family Attached	No	0.535725	0.464275	70	259067	0.0018825
5B	Single-Family Detached	No	0.385985	0.614015	687	3.25449e+06	0.0237962
5B	Mobile Home	Yes	0.520443	0.479557	39	37317.4	0.000222553
5B	Multi-Family with 2 - 4 Units	Yes	0.462787	0.537213	39	38803.1	0.000251495
5B	Multi-Family with 5+ Units	Yes	0.439032	0.560968	32	266696	0.000731708
5B	Single-Family Attached	Yes	0.520443	0.479557	39	14607	0.000122727
5B	Single-Family Detached	Yes	0.46577	0.53423	27	124257	0.00110953
6A	Mobile Home	No	0.645536	0.354464	83	320803	0.00331166
6A	Multi-Family with 2 - 4 Units	No	0.565633	0.434367	73	395932	0.00477219
6A	Multi-Family with 5+ Units	No	0.657293	0.342707	133	851862	0.00776112
6A	Single-Family Attached	No	0.650717	0.349283	120	318178	0.00269726
6A	Single-Family Detached	No	0.519756	0.480244	1141	4.9574e+06	0.040793
6A	Mobile Home	Yes	0.66016	0.33984	46	0	4.10982e-05
6A	Multi-Family with 2 - 4 Units	Yes	0.697211	0.302789	18	130391	0.000301
6A	Multi-Family with 5+ Units	Yes	0.610247	0.389753	40	251674	0.000875317
6A	Single-Family Attached	Yes	0.66016	0.33984	46	14098.8	7.91546e-05
6A	Single-Family Detached	Yes	0.645742	0.354258	37	158806	0.000685274
6B	Mobile Home	No	0.499509	0.500491	40	85003.9	0.000954822
6B	Multi-Family with 2 - 4 Units	No	0.598809	0.401191	10	47760.3	0.000559095
6B	Multi-Family with 5+ Units	No	0.706232	0.293768	18	69714.4	0.00078209
6B	Single-Family Attached	No	0.485102	0.514898	27	45680.4	0.000349635
6B	Single-Family Detached	No	0.459715	0.540285	304	612482	0.00599531
6B	Mobile Home	Yes	0.467985	0.532015	32	2420.04	5.02561e-05
6B	Multi-Family with 2 - 4 Units	Yes	0.628033	0.371967	18	19688.1	8.12453e-05
6B	Multi-Family with 5+ Units	Yes	0.77819	0.22181	13	38098.4	0.000128786
6B	Single-Family Attached	Yes	0.467985	0.532015	32	10264.1	2.41967e-05
6B	Single-Family Detached	Yes	0.462127	0.537873	23	47717	0.000305156
7A	Mobile Home	No	0.749519	0.250481	13	31642.3	0.000562882
7A	Multi-Family with 2 - 4 Units	No	0.710986	0.289014	42	38091.6	0.000320406
7A	Multi-Family with 5+ Units	No	0.682078	0.317922	33	88533.2	0.000845598
7A	Single-Family Attached	No	0.399322	0.600678	26	27585.1	0.000198396
7A	Single-Family Detached	No	0.555283	0.444717	180	542120	0.0056297
7A	Mobile Home	Yes	0.65168	0.34832	18	0	6.81239e-06
7A	Multi-Family with 2 - 4 Units	Yes	0.70421	0.29579	29	22353	2.9202e-05
7A	Multi-Family with 5+ Units	Yes	0.718799	0.281201	24	44706.1	0.000125706
7A	Single-Family Attached	Yes	0.65168	0.34832	18	2470.83	9.70921e-06
7A	Single-Family Detached	Yes	0.623086	0.376914	14	30098.4	0.000167921
7AK	Mobile Home	No	0.713464	0.286536	11	10561.5	8.36547e-05
7AK	Multi-Family with 2 - 4 Units	No	0.76333	0.23667	16	17034.2	0.000213756
7AK	Multi-Family with 5+ Units	No	0.685386	0.314614	17	18364.5	0.00019039
7AK	Single-Family Attached	No	0.379186	0.620814	37	20071.2	0.000135046
7AK	Single-Family Detached	No	0.501983	0.498017	152	119766	0.0011054
7AK	Mobile Home	Yes	0.893881	0.106119	24	0	1.28384e-06
7AK	Multi-Family with 2 - 4 Units	Yes	0.886588	0.113412	16	6543.41	1.46652e-05
7AK	Multi-Family with 5+ Units	Yes	0.907589	0.0924108	10	11673.7	2.43946e-05
7AK	Single-Family Attached	Yes	0.893881	0.106119	24	2142.76	4.93462e-06
7AK	Single-Family Detached	Yes	0.893881	0.106119	24	3630.09	1.33176e-05
7B	Mobile Home	No	0.92318	0.0768199	5	0	8.74558e-05
7B	Multi-Family with 2 - 4 Units	No	0.92318	0.0768199	5	9139.16	5.70843e-05
