Dependency=ASHRAE IECC Climate Zone 2004	Dependency=HVAC Has Zonal Electric Heating	Dependency=Geometry Building Type RECS	Option=Yes	Option=No	source_count	source_weight	sampling_probability
1A	No	Mobile Home	0	1	1090	9527435.45	0.000759
1A	Yes	Mobile Home	0	1	77	722695.87	0.000089
2A	No	Mobile Home	0	1	1090	9527435.45	0.006292
2A	Yes	Mobile Home	0	1	77	722695.87	0.000742
2B	No	Mobile Home	0	1	138	1444647.92	0.001066
2B	Yes	Mobile Home	0	1	12	131804.71	0.000126
3A	No	Mobile Home	0	1	901	10269769.42	0.007221
3A	Yes	Mobile Home	0	1	31	369640.28	0.000852
3B	No	Mobile Home	0	1	881	7094052.4	0.005042
3B	Yes	Mobile Home	0	1	49	393847.22	0.000595
3C	No	Mobile Home	0	1	181	1456066.19	0.001272
3C	Yes	Mobile Home	0	1	40	325411.22	0.00015
4A	No	Mobile Home	0	1	1716	15959650.5	0.011684
4A	Yes	Mobile Home	0	1	84	882617.64	0.001378
4B	No	Mobile Home	0	1	881	7094052.4	0.00042
4B	Yes	Mobile Home	0	1	49	393847.22	0.000049
4C	No	Mobile Home	0	1	176	1844723.71	0.001563
4C	Yes	Mobile Home	0	1	32	352719.76	0.000184
5A	No	Mobile Home	0	1	1490	16163851.69	0.012231
5A	Yes	Mobile Home	0	1	62	759767.89	0.001442
5B	No	Mobile Home	0	1	333	2959707.11	0.002057
5B	Yes	Mobile Home	0	1	20	257200.61	0.000243
6A	No	Mobile Home	0	1	752	5793320.4	0.003318
6A	Yes	Mobile Home	0	1	12	142992.15	0.000391
6B	No	Mobile Home	0	1	752	5793320.4	0.000501
6B	Yes	Mobile Home	0	1	12	142992.15	0.000059
7A	No	Mobile Home	0	1	108	692377.72	0.000429
7A	Yes	Mobile Home	0	1	12	69863.92	0.000051
7B	No	Mobile Home	0	1	108	692377.72	0.000061
7B	Yes	Mobile Home	0	1	12	69863.92	0.000007
1A	No	Single-Family Detached	0	1	1090	9527435.45	0.007908
1A	Yes	Single-Family Detached	0	1	77	722695.87	0.000933
2A	No	Single-Family Detached	0	1	1090	9527435.45	0.065561
2A	Yes	Single-Family Detached	0	1	77	722695.87	0.007731
2B	No	Single-Family Detached	0	1	138	1444647.92	0.011108
2B	Yes	Single-Family Detached	0	1	12	131804.71	0.00131
3A	No	Single-Family Detached	0	1	901	10269769.42	0.075239
3A	Yes	Single-Family Detached	0	1	31	369640.28	0.008872
3B	No	Single-Family Detached	0	1	881	7094052.4	0.052534
3B	Yes	Single-Family Detached	0	1	49	393847.22	0.006195
3C	No	Single-Family Detached	0	1	181	1456066.19	0.013258
3C	Yes	Single-Family Detached	0	1	40	325411.22	0.001563
4A	No	Single-Family Detached	0	1	1716	15959650.5	0.121739
4A	Yes	Single-Family Detached	0	1	84	882617.64	0.014356
4B	No	Single-Family Detached	0	1	881	7094052.4	0.004372
4B	Yes	Single-Family Detached	0	1	49	393847.22	0.000516
4C	No	Single-Family Detached	0	1	176	1844723.71	0.016286
4C	Yes	Single-Family Detached	0	1	32	352719.76	0.001921
5A	No	Single-Family Detached	0	1	1490	16163851.69	0.127445
5A	Yes	Single-Family Detached	0	1	62	759767.89	0.015029
5B	No	Single-Family Detached	0	1	333	2959707.11	0.021428
5B	Yes	Single-Family Detached	0	1	20	257200.61	0.002527
6A	No	Single-Family Detached	0	1	752	5793320.4	0.034569
6A	Yes	Single-Family Detached	0	1	12	142992.15	0.004076
6B	No	Single-Family Detached	0	1	752	5793320.4	0.00522
6B	Yes	Single-Family Detached	0	1	12	142992.15	0.000616
7A	No	Single-Family Detached	0	1	108	692377.72	0.004466
7A	Yes	Single-Family Detached	0	1	12	69863.92	0.000527
7B	No	Single-Family Detached	0	1	108	692377.72	0.00064
7B	Yes	Single-Family Detached	0	1	12	69863.92	0.000075
1A	No	Single-Family Attached	0	1	362	2913446.47	0.000735
1A	Yes	Single-Family Attached	0	1	28	221015.7	0.000087
2A	No	Single-Family Attached	0	1	362	2913446.47	0.006093
2A	Yes	Single-Family Attached	0	1	28	221015.7	0.000719
2B	No	Single-Family Attached	0	1	47	450774.34	0.001032
2B	Yes	Single-Family Attached	0	1	12	131804.71	0.000122
3A	No	Single-Family Attached	0	1	277	2922036.42	0.006993
3A	Yes	Single-Family Attached	0	1	22	226699.47	0.000825
3B	No	Single-Family Attached	0	1	333	2641525.13	0.004882
3B	Yes	Single-Family Attached	0	1	57	456089.75	0.000576
3C	No	Single-Family Attached	0	1	119	965893.78	0.001232
3C	Yes	Single-Family Attached	0	1	32	268255.68	0.000145
4A	No	Single-Family Attached	0	1	836	7995568.59	0.011314
4A	Yes	Single-Family Attached	0	1	67	826939.55	0.001334
4B	No	Single-Family Attached	0	1	333	2641525.13	0.000406
4B	Yes	Single-Family Attached	0	1	57	456089.75	0.000048
4C	No	Single-Family Attached	0	1	21	192745.66	0.001514
4C	Yes	Single-Family Attached	0	1	76	830198.5	0.000178
5A	No	Single-Family Attached	0	1	739	7946116.51	0.011844
5A	Yes	Single-Family Attached	0	1	105	1220928.95	0.001397
5B	No	Single-Family Attached	0	1	122	841554.8	0.001991
5B	Yes	Single-Family Attached	0	1	11	93789.66	0.000235
6A	No	Single-Family Attached	0	1	174	1408846.09	0.003213
6A	Yes	Single-Family Attached	0	1	31	247480.48	0.000379
6B	No	Single-Family Attached	0	1	174	1408846.09	0.000485
6B	Yes	Single-Family Attached	0	1	31	247480.48	0.000057
7A	No	Single-Family Attached	0	1	24	164900.08	0.000415
7A	Yes	Single-Family Attached	0	1	12	69863.92	0.000049
7B	No	Single-Family Attached	0	1	24	164900.08	0.000059
7B	Yes	Single-Family Attached	0	1	12	69863.92	0.000007
1A	No	Multi-Family with 2 - 4 Units	0	1	362	2913446.47	0.00099
1A	Yes	Multi-Family with 2 - 4 Units	0	1	28	221015.7	0.000117
2A	No	Multi-Family with 2 - 4 Units	0	1	362	2913446.47	0.008206
2A	Yes	Multi-Family with 2 - 4 Units	0	1	28	221015.7	0.000968
2B	No	Multi-Family with 2 - 4 Units	0	1	47	450774.34	0.00139
2B	Yes	Multi-Family with 2 - 4 Units	0	1	12	131804.71	0.000164
3A	No	Multi-Family with 2 - 4 Units	0	1	277	2922036.42	0.009418
