Dependency=Geometry Building Type RECS	Dependency=Location Region	Dependency=Vintage	Option=None	"Option=Uninsulated, Vented"	"Option=Ceiling R-7, Vented"	"Option=Ceiling R-13, Vented"	"Option=Ceiling R-19, Vented"	"Option=Ceiling R-30, Vented"	"Option=Ceiling R-38, Vented"	"Option=Ceiling R-49, Vented"	resstock_probability
Single-Family Detached	CR02	<1940	0%	0%	4%	14%	16%	28%	13%	26%	0.004339967
Single-Family Detached	CR02	1950s	0%	0%	3%	8%	14%	23%	15%	36%	0.003542326
Single-Family Detached	CR02	1960s	0%	0%	1%	4%	16%	36%	9%	34%	0.003627507
Single-Family Detached	CR02	1970s	0%	0%	1%	7%	12%	22%	19%	39%	0.005189689
Single-Family Detached	CR02	1980s	0%	0%	0%	1%	8%	27%	40%	23%	0.004490787
Single-Family Detached	CR02	1990s	0%	0%	0%	0%	1%	20%	26%	54%	0.004801015
Single-Family Detached	CR02	2000s	0%	0%	0%	0%	1%	21%	25%	53%	0.00484063
Single-Family Detached	CR02	1940s	0%	0%	4%	14%	16%	28%	13%	26%	0.001720696
Single-Family Detached	CR02	2010s	0%	0%	0%	0%	1%	21%	25%	53%	0.001100355
Mobile Home	CR02	<1940	0%	0%	4%	14%	16%	28%	13%	26%	0.000422029
Mobile Home	CR02	1950s	0%	0%	3%	8%	14%	23%	15%	36%	0.000344465
Mobile Home	CR02	1960s	0%	0%	1%	4%	16%	36%	9%	34%	0.000352748
Mobile Home	CR02	1970s	0%	0%	1%	7%	12%	22%	19%	39%	0.000504658
Mobile Home	CR02	1980s	0%	0%	0%	1%	8%	27%	40%	23%	0.000436696
Mobile Home	CR02	1990s	0%	0%	0%	0%	1%	20%	26%	54%	0.000466863
Mobile Home	CR02	2000s	0%	0%	0%	0%	1%	21%	25%	53%	0.000470715
Mobile Home	CR02	1940s	0%	0%	4%	14%	16%	28%	13%	26%	0.000167325
Mobile Home	CR02	2010s	0%	0%	0%	0%	1%	21%	25%	53%	0.000107001
Single-Family Attached	CR02	<1940	0%	0%	4%	14%	16%	28%	13%	26%	0.000401166
Single-Family Attached	CR02	1950s	0%	0%	3%	8%	14%	23%	15%	36%	0.000327436
Single-Family Attached	CR02	1960s	0%	0%	1%	4%	16%	36%	9%	34%	0.00033531
Single-Family Attached	CR02	1970s	0%	0%	1%	7%	12%	22%	19%	39%	0.000479711
Single-Family Attached	CR02	1980s	0%	0%	0%	1%	8%	27%	40%	23%	0.000415107
Single-Family Attached	CR02	1990s	0%	0%	0%	0%	1%	20%	26%	54%	0.000443783
Single-Family Attached	CR02	2000s	0%	0%	0%	0%	1%	21%	25%	53%	0.000447445
Single-Family Attached	CR02	1940s	0%	0%	4%	14%	16%	28%	13%	26%	0.000159053
