Dependency=County	Option=1A	Option=2A	Option=2B	Option=3A	Option=3B	Option=3C	Option=4A	Option=4B	Option=4C	Option=5A	Option=5B	Option=6A	Option=6B	Option=7A	Option=7B	Option=NA
"WA, King County"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"GA, Fulton County"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"CO, Denver County"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"AZ, Pima County"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"NY, New York County"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"CA, San Diego County"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"FL, Hillsborough County"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NM, Bernalillo County"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"NY, Erie County"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"TX, Midland County"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"MN, Olmsted County"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"MN, Koochiching County"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"WA, Clallam County"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"MT, Cascade County"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"AL, Autauga County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Baldwin County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Barbour County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Bibb County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Blount County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Bullock County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Butler County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Calhoun County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Chambers County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Cherokee County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Chilton County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Choctaw County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Clarke County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Clay County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Cleburne County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Coffee County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Colbert County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Conecuh County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Coosa County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Covington County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Crenshaw County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Cullman County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Dale County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Dallas County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, DeKalb County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Elmore County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Escambia County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Etowah County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Fayette County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Franklin County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Geneva County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Greene County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Hale County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Henry County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Houston County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Jackson County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Jefferson County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Lamar County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Lauderdale County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Lawrence County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Lee County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Limestone County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Lowndes County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Macon County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Madison County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Marengo County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Marion County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Marshall County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Mobile County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Monroe County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Montgomery County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Morgan County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Perry County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Pickens County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Pike County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Randolph County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Russell County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Shelby County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, St. Clair County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Sumter County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Talladega County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Tallapoosa County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Tuscaloosa County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Walker County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Washington County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Wilcox County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AL, Winston County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Arkansas County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Ashley County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Baxter County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Benton County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Boone County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Bradley County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Calhoun County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Carroll County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Chicot County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Clark County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Clay County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Cleburne County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Cleveland County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Columbia County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Conway County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Craighead County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Crawford County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Crittenden County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Cross County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Dallas County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Desha County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Drew County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Faulkner County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Franklin County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Fulton County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Garland County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Grant County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Greene County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Hempstead County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Hot Spring County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
