Level,Parameter,Option,Saturation
0,ASHRAE IECC Climate Zone 2004,1A,0.0140726
0,ASHRAE IECC Climate Zone 2004,2A,0.116665
0,ASHRAE IECC Climate Zone 2004,2B,0.0198678
0,ASHRAE IECC Climate Zone 2004,3A,0.133888
0,ASHRAE IECC Climate Zone 2004,3B,0.0934979
0,ASHRAE IECC Climate Zone 2004,3C,0.0235923
0,ASHRAE IECC Climate Zone 2004,4A,0.216659
0,ASHRAE IECC Climate Zone 2004,4B,0.00777942
0,ASHRAE IECC Climate Zone 2004,4C,0.0289818
0,ASHRAE IECC Climate Zone 2004,5A,0.226787
0,ASHRAE IECC Climate Zone 2004,5B,0.0381317
0,ASHRAE IECC Climate Zone 2004,6A,0.0617035
0,ASHRAE IECC Climate Zone 2004,6B,0.00928877
0,ASHRAE IECC Climate Zone 2004,7A,0.00794609
0,ASHRAE IECC Climate Zone 2004,7B,0.00113878
0,Bathroom Spot Vent Hour,Hour0,0.061
0,Bathroom Spot Vent Hour,Hour1,0.061
0,Bathroom Spot Vent Hour,Hour2,0.061
0,Bathroom Spot Vent Hour,Hour3,0.061
0,Bathroom Spot Vent Hour,Hour4,0.061
0,Bathroom Spot Vent Hour,Hour5,0.061
0,Bathroom Spot Vent Hour,Hour6,0.061
0,Bathroom Spot Vent Hour,Hour7,0.053
0,Bathroom Spot Vent Hour,Hour8,0.025
0,Bathroom Spot Vent Hour,Hour9,0.015
0,Bathroom Spot Vent Hour,Hour10,0.015
0,Bathroom Spot Vent Hour,Hour11,0.015
0,Bathroom Spot Vent Hour,Hour12,0.015
0,Bathroom Spot Vent Hour,Hour13,0.015
0,Bathroom Spot Vent Hour,Hour14,0.015
0,Bathroom Spot Vent Hour,Hour15,0.015
0,Bathroom Spot Vent Hour,Hour16,0.018
0,Bathroom Spot Vent Hour,Hour17,0.033
0,Bathroom Spot Vent Hour,Hour18,0.054
0,Bathroom Spot Vent Hour,Hour19,0.054
0,Bathroom Spot Vent Hour,Hour20,0.054
0,Bathroom Spot Vent Hour,Hour21,0.061
0,Bathroom Spot Vent Hour,Hour22,0.061
0,Bathroom Spot Vent Hour,Hour23,0.061
0,Dehumidifier,None,1
0,Door Area,20 ft^2,1
