Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=HVAC Has Zonal Electric Heating	Dependency=HVAC Heating Type	Dependency=Tenure	Option=55F	Option=60F	Option=62F	Option=65F	Option=67F	Option=68F	Option=70F	Option=72F	Option=75F	Option=76F	Option=78F	Option=80F	source_count	source_weight	sampling_probability
1A	Mobile Home	No	Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	37	16405.8	4.03664e-05
1A	Mobile Home	No	Ducted Heat Pump	Owner	0	0	0	0	0	0.0676449	0.0849776	0.186776	0.44883	0.102067	0.109705	0	30	16405.8	8.50966e-05
1A	Mobile Home	No	Ducted Heat Pump	Renter	0	0.0238432	0.0209647	0.0694483	0.0398081	0.0668267	0.252128	0.219028	0.159957	0.0720316	0.0514107	0.024553	141	0	4.53545e-05
1A	Mobile Home	No	Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	37	0	2.48152e-05
1A	Mobile Home	No	Ducted Heating	Owner	0	0	0	0	0	0.0676449	0.0849776	0.186776	0.44883	0.102067	0.109705	0	30	0	5.20739e-05
1A	Mobile Home	No	Ducted Heating	Renter	0	0.0238432	0.0209647	0.0694483	0.0398081	0.0668267	0.252128	0.219028	0.159957	0.0720316	0.0514107	0.024553	141	0	2.74197e-05
1A	Mobile Home	No	Non-Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	37	0	6.47862e-07
1A	Mobile Home	No	Non-Ducted Heat Pump	Owner	0	0	0	0	0	0.0676449	0.0849776	0.186776	0.44883	0.102067	0.109705	0	30	0	1.31122e-06
1A	Mobile Home	No	Non-Ducted Heat Pump	Renter	0	0.0238432	0.0209647	0.0694483	0.0398081	0.0668267	0.252128	0.219028	0.159957	0.0720316	0.0514107	0.024553	141	0	7.14024e-07
1A	Mobile Home	No	Non-Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	37	0	2.24872e-06
1A	Mobile Home	No	Non-Ducted Heating	Owner	0	0	0	0	0	0.0676449	0.0849776	0.186776	0.44883	0.102067	0.109705	0	30	0	4.70324e-06
1A	Mobile Home	No	Non-Ducted Heating	Renter	0	0.0238432	0.0209647	0.0694483	0.0398081	0.0668267	0.252128	0.219028	0.159957	0.0720316	0.0514107	0.024553	141	0	2.65136e-06
1A	Mobile Home	No	None	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5.49828e-06
1A	Mobile Home	No	None	Owner	0	0	0	0	0	0.0676449	0.0849776	0.186776	0.44883	0.102067	0.109705	0	0	0	1.02056e-05
1A	Mobile Home	No	None	Renter	0	0.00516521	0.00403177	0.0189362	0.00790273	0.0327679	0.14425	0.152036	0.368718	0.118103	0.137705	0.0103855	0	0	5.55468e-06
1A	Mobile Home	Yes	Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	100	0	0
1A	Mobile Home	Yes	Ducted Heat Pump	Owner	0	0.0798774	0.013253	0.0286521	0	0.130359	0.216659	0.127936	0.292617	0.0406374	0.047942	0.0220674	75	0	0
1A	Mobile Home	Yes	Ducted Heat Pump	Renter	0	0.0435762	0.0079047	0.0491955	0.0297498	0.0614923	0.171141	0.45413	0.0451606	0.0511472	0.0492681	0.0372347	25	0	0
1A	Mobile Home	Yes	Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	100	0	0
1A	Mobile Home	Yes	Ducted Heating	Owner	0	0.0798774	0.013253	0.0286521	0	0.130359	0.216659	0.127936	0.292617	0.0406374	0.047942	0.0220674	75	0	0
1A	Mobile Home	Yes	Ducted Heating	Renter	0	0.0435762	0.0079047	0.0491955	0.0297498	0.0614923	0.171141	0.45413	0.0451606	0.0511472	0.0492681	0.0372347	25	0	0
1A	Mobile Home	Yes	Non-Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	100	0	0
1A	Mobile Home	Yes	Non-Ducted Heat Pump	Owner	0	0.0798774	0.013253	0.0286521	0	0.130359	0.216659	0.127936	0.292617	0.0406374	0.047942	0.0220674	75	0	0
1A	Mobile Home	Yes	Non-Ducted Heat Pump	Renter	0	0.0435762	0.0079047	0.0491955	0.0297498	0.0614923	0.171141	0.45413	0.0451606	0.0511472	0.0492681	0.0372347	25	0	0
1A	Mobile Home	Yes	Non-Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	100	0	6.92359e-06
1A	Mobile Home	Yes	Non-Ducted Heating	Owner	0	0.0798774	0.013253	0.0286521	0	0.130359	0.216659	0.127936	0.292617	0.0406374	0.047942	0.0220674	75	0	1.42234e-05
1A	Mobile Home	Yes	Non-Ducted Heating	Renter	0	0.0435762	0.0079047	0.0491955	0.0297498	0.0614923	0.171141	0.45413	0.0451606	0.0511472	0.0492681	0.0372347	25	0	7.82825e-06
1A	Mobile Home	Yes	None	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1A	Mobile Home	Yes	None	Owner	0	0	0	0	0	0.0676449	0.0849776	0.186776	0.44883	0.102067	0.109705	0	0	0	0
1A	Mobile Home	Yes	None	Renter	0	0.00516521	0.00403177	0.0189362	0.00790273	0.0327679	0.14425	0.152036	0.368718	0.118103	0.137705	0.0103855	0	0	0
1A	Multi-Family with 2 - 4 Units	No	Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	19	14291.4	3.6964e-05
1A	Multi-Family with 2 - 4 Units	No	Ducted Heat Pump	Owner	0	0	0	0.0350012	0	0.0359037	0.16858	0.16019	0.299757	0.207209	0.0933589	0	28	0	5.50901e-05
1A	Multi-Family with 2 - 4 Units	No	Ducted Heat Pump	Renter	0	0	0	0	0	0	0.0988249	0.112805	0.480695	0.139119	0.168556	0	10	14291.4	0.000224361
1A	Multi-Family with 2 - 4 Units	No	Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	19	16373.1	3.93623e-05
1A	Multi-Family with 2 - 4 Units	No	Ducted Heating	Owner	0	0	0	0.0350012	0	0.0359037	0.16858	0.16019	0.299757	0.207209	0.0933589	0	28	14256.7	5.80929e-05
1A	Multi-Family with 2 - 4 Units	No	Ducted Heating	Renter	0	0	0	0	0	0	0.0988249	0.112805	0.480695	0.139119	0.168556	0	10	2116.42	0.000239982
1A	Multi-Family with 2 - 4 Units	No	Non-Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	19	11853.7	3.33279e-06
1A	Multi-Family with 2 - 4 Units	No	Non-Ducted Heat Pump	Owner	0	0	0	0.0350012	0	0.0359037	0.16858	0.16019	0.299757	0.207209	0.0933589	0	28	0	5.38665e-06
1A	Multi-Family with 2 - 4 Units	No	Non-Ducted Heat Pump	Renter	0	0	0	0	0	0	0.0988249	0.112805	0.480695	0.139119	0.168556	0	10	11853.7	2.05241e-05
1A	Multi-Family with 2 - 4 Units	No	Non-Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	19	0	1.47385e-05
1A	Multi-Family with 2 - 4 Units	No	Non-Ducted Heating	Owner	0	0	0	0.0350012	0	0.0359037	0.16858	0.16019	0.299757	0.207209	0.0933589	0	28	0	2.07315e-05
1A	Multi-Family with 2 - 4 Units	No	Non-Ducted Heating	Renter	0	0	0	0	0	0	0.0988249	0.112805	0.480695	0.139119	0.168556	0	10	0	8.22872e-05
1A	Multi-Family with 2 - 4 Units	No	None	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3.18747e-05
1A	Multi-Family with 2 - 4 Units	No	None	Owner	0	0	0	0.0350012	0	0.0359037	0.16858	0.16019	0.299757	0.207209	0.0933589	0	0	0	4.53644e-05
1A	Multi-Family with 2 - 4 Units	No	None	Renter	0	0	0	0	0	0	0.0988249	0.112805	0.480695	0.139119	0.168556	0	0	0	0.000132048
1A	Multi-Family with 2 - 4 Units	Yes	Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	38	0	0
1A	Multi-Family with 2 - 4 Units	Yes	Ducted Heat Pump	Owner	0	0.0743762	0.0123403	0.0266788	0	0.121381	0.201738	0.119125	0.341334	0.0378387	0.0446402	0.0205477	79	0	0
1A	Multi-Family with 2 - 4 Units	Yes	Ducted Heat Pump	Renter	0	0	0	0.0383474	0	0.142532	0.21472	0.21432	0.148349	0.0869743	0.11641	0.0383474	34	0	0
1A	Multi-Family with 2 - 4 Units	Yes	Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	38	0	0
1A	Multi-Family with 2 - 4 Units	Yes	Ducted Heating	Owner	0	0.0743762	0.0123403	0.0266788	0	0.121381	0.201738	0.119125	0.341334	0.0378387	0.0446402	0.0205477	79	0	0
1A	Multi-Family with 2 - 4 Units	Yes	Ducted Heating	Renter	0	0	0	0.0383474	0	0.142532	0.21472	0.21432	0.148349	0.0869743	0.11641	0.0383474	34	0	0
1A	Multi-Family with 2 - 4 Units	Yes	Non-Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	38	0	0
1A	Multi-Family with 2 - 4 Units	Yes	Non-Ducted Heat Pump	Owner	0	0.0743762	0.0123403	0.0266788	0	0.121381	0.201738	0.119125	0.341334	0.0378387	0.0446402	0.0205477	79	0	0
1A	Multi-Family with 2 - 4 Units	Yes	Non-Ducted Heat Pump	Renter	0	0	0	0.0383474	0	0.142532	0.21472	0.21432	0.148349	0.0869743	0.11641	0.0383474	34	0	0
1A	Multi-Family with 2 - 4 Units	Yes	Non-Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	38	0	1.20766e-05
1A	Multi-Family with 2 - 4 Units	Yes	Non-Ducted Heating	Owner	0	0.0743762	0.0123403	0.0266788	0	0.121381	0.201738	0.119125	0.341334	0.0378387	0.0446402	0.0205477	79	0	1.7804e-05
