Dependency=Geometry Building Type ACS	Dependency=Geometry Floor Area Bin	Dependency=Vintage ACS	Option=1	Option=2	Option=3	Option=4	Option=5	Option=6	Option=7	Option=8	Option=9	Option=10	Option=11	Option=12	Option=13	Option=14	Option=15	Option=20	Option=21	source_count	source_weight	sampling_probability
2 Unit	2500-3999	2000-09	0.113932	0.886068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9	3.45667e-05
2 Unit	4000+	2000-09	0.113932	0.886068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9	3.86824e-05
2 Unit	0-1499	2010s	0.113932	0.886068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9	0.000480808
2 Unit	1500-2499	2010s	0.113932	0.886068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9	0.000164276
2 Unit	2500-3999	2010s	0.113932	0.886068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9	1.52191e-05
2 Unit	4000+	2010s	0.113932	0.886068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9	2.65039e-06
2 Unit	0-1499	<1940	0.3634	0.6366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	49336.3	0.00993641
2 Unit	1500-2499	<1940	0.3634	0.6366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	49336.3	0.00128935
2 Unit	2500-3999	<1940	0.3634	0.6366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	49336.3	0.000257143
2 Unit	4000+	<1940	0.3634	0.6366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	49336.3	7.22869e-05
20 to 49 Unit	0-1499	1940-59	0.106378	0.249894	0.18718	0.08394	0.093673	0.14253	0.112487	0	0.023918	0	0	0	0	0	0	0	0	54	128179	0.0034352
20 to 49 Unit	1500-2499	1940-59	0.106378	0.249894	0.18718	0.08394	0.093673	0.14253	0.112487	0	0.023918	0	0	0	0	0	0	0	0	54	128179	0.000150838
20 to 49 Unit	2500-3999	1940-59	0.106378	0.249894	0.18718	0.08394	0.093673	0.14253	0.112487	0	0.023918	0	0	0	0	0	0	0	0	54	128179	1.06025e-05
20 to 49 Unit	4000+	1940-59	0.106378	0.249894	0.18718	0.08394	0.093673	0.14253	0.112487	0	0.023918	0	0	0	0	0	0	0	0	54	128179	5.45931e-06
20 to 49 Unit	0-1499	1960-79	0.032027	0.305101	0.505507	0.118589	0	0.014604	0.016033	0	0	0	0	0	0	0	0.008137	0	0	131	296571	0.00971452
20 to 49 Unit	1500-2499	1960-79	0.032027	0.305101	0.505507	0.118589	0	0.014604	0.016033	0	0	0	0	0	0	0	0.008137	0	0	131	296571	0.0003269
20 to 49 Unit	2500-3999	1960-79	0.032027	0.305101	0.505507	0.118589	0	0.014604	0.016033	0	0	0	0	0	0	0	0.008137	0	0	131	296571	3.10582e-05
20 to 49 Unit	4000+	1960-79	0.032027	0.305101	0.505507	0.118589	0	0.014604	0.016033	0	0	0	0	0	0	0	0.008137	0	0	131	296571	3.28599e-05
20 to 49 Unit	0-1499	1980-99	0.084388	0.173873	0.632478	0.067062	0.0422	0	0	0	0	0	0	0	0	0	0	0	0	104	245801	0.0089431
20 to 49 Unit	1500-2499	1980-99	0.084388	0.173873	0.632478	0.067062	0.0422	0	0	0	0	0	0	0	0	0	0	0	0	104	245801	0.000549002
20 to 49 Unit	2500-3999	1980-99	0.084388	0.173873	0.632478	0.067062	0.0422	0	0	0	0	0	0	0	0	0	0	0	0	104	245801	4.3153e-05
20 to 49 Unit	4000+	1980-99	0.084388	0.173873	0.632478	0.067062	0.0422	0	0	0	0	0	0	0	0	0	0	0	0	104	245801	3.95782e-05
20 to 49 Unit	0-1499	2000-09	0.086225	0.296387	0.369193	0.180274	0.043153	0.024767	0	0	0	0	0	0	0	0	0	0	0	48	56485.8	0.00419572
20 to 49 Unit	1500-2499	2000-09	0.086225	0.296387	0.369193	0.180274	0.043153	0.024767	0	0	0	0	0	0	0	0	0	0	0	48	56485.8	0.000369435
20 to 49 Unit	2500-3999	2000-09	0.086225	0.296387	0.369193	0.180274	0.043153	0.024767	0	0	0	0	0	0	0	0	0	0	0	48	56485.8	3.57373e-05
20 to 49 Unit	4000+	2000-09	0.086225	0.296387	0.369193	0.180274	0.043153	0.024767	0	0	0	0	0	0	0	0	0	0	0	48	56485.8	8.45205e-06
20 to 49 Unit	0-1499	2010s	0.086225	0.296387	0.369193	0.180274	0.043153	0.024767	0	0	0	0	0	0	0	0	0	0	0	48	56485.8	0.00158592
20 to 49 Unit	1500-2499	2010s	0.086225	0.296387	0.369193	0.180274	0.043153	0.024767	0	0	0	0	0	0	0	0	0	0	0	48	56485.8	0.000146354
20 to 49 Unit	2500-3999	2010s	0.086225	0.296387	0.369193	0.180274	0.043153	0.024767	0	0	0	0	0	0	0	0	0	0	0	48	56485.8	1.45719e-05
20 to 49 Unit	4000+	2010s	0.086225	0.296387	0.369193	0.180274	0.043153	0.024767	0	0	0	0	0	0	0	0	0	0	0	48	56485.8	1.19167e-07
20 to 49 Unit	0-1499	<1940	0.022418	0.073904	0.225817	0.125702	0.275567	0.190991	0.040628	0	0	0.026154	0.006305	0.012514	0	0	0	0	0	51	133124	0.00449428
20 to 49 Unit	1500-2499	<1940	0.022418	0.073904	0.225817	0.125702	0.275567	0.190991	0.040628	0	0	0.026154	0.006305	0.012514	0	0	0	0	0	51	133124	0.000253819
20 to 49 Unit	2500-3999	<1940	0.022418	0.073904	0.225817	0.125702	0.275567	0.190991	0.040628	0	0	0.026154	0.006305	0.012514	0	0	0	0	0	51	133124	7.50803e-05
20 to 49 Unit	4000+	<1940	0.022418	0.073904	0.225817	0.125702	0.275567	0.190991	0.040628	0	0	0.026154	0.006305	0.012514	0	0	0	0	0	51	133124	2.99804e-05
3 or 4 Unit	0-1499	1940-59	0.067192	0.507037	0.359101	0.06667	0	0	0	0	0	0	0	0	0	0	0	0	0	59	46245.2	0.00510876
3 or 4 Unit	1500-2499	1940-59	0.067192	0.507037	0.359101	0.06667	0	0	0	0	0	0	0	0	0	0	0	0	0	59	46245.2	0.000543008
3 or 4 Unit	2500-3999	1940-59	0.067192	0.507037	0.359101	0.06667	0	0	0	0	0	0	0	0	0	0	0	0	0	59	46245.2	7.14681e-05
3 or 4 Unit	4000+	1940-59	0.067192	0.507037	0.359101	0.06667	0	0	0	0	0	0	0	0	0	0	0	0	0	59	46245.2	2.4171e-05
3 or 4 Unit	0-1499	1960-79	0.132742	0.602176	0.262715	0.002367	0	0	0	0	0	0	0	0	0	0	0	0	0	233	196213	0.0113026
3 or 4 Unit	1500-2499	1960-79	0.132742	0.602176	0.262715	0.002367	0	0	0	0	0	0	0	0	0	0	0	0	0	233	196213	0.000723233
3 or 4 Unit	2500-3999	1960-79	0.132742	0.602176	0.262715	0.002367	0	0	0	0	0	0	0	0	0	0	0	0	0	233	196213	9.59732e-05
3 or 4 Unit	4000+	1960-79	0.132742	0.602176	0.262715	0.002367	0	0	0	0	0	0	0	0	0	0	0	0	0	233	196213	7.91336e-05
3 or 4 Unit	0-1499	1980-99	0.111374	0.745035	0.136613	0.006979	0	0	0	0	0	0	0	0	0	0	0	0	0	209	179602	0.010411
3 or 4 Unit	1500-2499	1980-99	0.111374	0.745035	0.136613	0.006979	0	0	0	0	0	0	0	0	0	0	0	0	0	209	179602	0.000922688
3 or 4 Unit	2500-3999	1980-99	0.111374	0.745035	0.136613	0.006979	0	0	0	0	0	0	0	0	0	0	0	0	0	209	179602	7.72368e-05
3 or 4 Unit	4000+	1980-99	0.111374	0.745035	0.136613	0.006979	0	0	0	0	0	0	0	0	0	0	0	0	0	209	179602	4.67187e-05
3 or 4 Unit	0-1499	2000-09	0.096851	0.753226	0.140675	0.009248	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9	0.00306405
3 or 4 Unit	1500-2499	2000-09	0.096851	0.753226	0.140675	0.009248	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9	0.000672252
3 or 4 Unit	2500-3999	2000-09	0.096851	0.753226	0.140675	0.009248	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9	5.79121e-05
3 or 4 Unit	4000+	2000-09	0.096851	0.753226	0.140675	0.009248	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9	4.05857e-05
3 or 4 Unit	0-1499	2010s	0.096851	0.753226	0.140675	0.009248	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9	0.000707527
3 or 4 Unit	1500-2499	2010s	0.096851	0.753226	0.140675	0.009248	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9	0.000235876
3 or 4 Unit	2500-3999	2010s	0.096851	0.753226	0.140675	0.009248	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9	2.05615e-05
3 or 4 Unit	4000+	2010s	0.096851	0.753226	0.140675	0.009248	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9	5.0103e-06
3 or 4 Unit	0-1499	<1940	0.157767	0.276375	0.399699	0.166159	0	0	0	0	0	0	0	0	0	0	0	0	0	58	49336.3	0.00759006
3 or 4 Unit	1500-2499	<1940	0.157767	0.276375	0.399699	0.166159	0	0	0	0	0	0	0	0	0	0	0	0	0	58	49336.3	0.00100251
3 or 4 Unit	2500-3999	<1940	0.157767	0.276375	0.399699	0.166159	0	0	0	0	0	0	0	0	0	0	0	0	0	58	49336.3	0.000185902
3 or 4 Unit	4000+	<1940	0.157767	0.276375	0.399699	0.166159	0	0	0	0	0	0	0	0	0	0	0	0	0	58	49336.3	6.21212e-05
5 to 9 Unit	0-1499	1940-59	0.067192	0.507037	0.359101	0.06667	0	0	0	0	0	0	0	0	0	0	0	0	0	59	46245.2	0.00424595
5 to 9 Unit	1500-2499	1940-59	0.067192	0.507037	0.359101	0.06667	0	0	0	0	0	0	0	0	0	0	0	0	0	59	46245.2	0.000219741
5 to 9 Unit	2500-3999	1940-59	0.067192	0.507037	0.359101	0.06667	0	0	0	0	0	0	0	0	0	0	0	0	0	59	46245.2	1.67786e-05
5 to 9 Unit	4000+	1940-59	0.067192	0.507037	0.359101	0.06667	0	0	0	0	0	0	0	0	0	0	0	0	0	59	46245.2	1.40619e-05
5 to 9 Unit	0-1499	1960-79	0.131888	0.598303	0.261025	0.002352	0.003762	0	0.00267	0	0	0	0	0	0	0	0	0	0	233	196213	0.0140077
5 to 9 Unit	1500-2499	1960-79	0.131888	0.598303	0.261025	0.002352	0.003762	0	0.00267	0	0	0	0	0	0	0	0	0	0	233	196213	0.000396836
5 to 9 Unit	2500-3999	1960-79	0.131888	0.598303	0.261025	0.002352	0.003762	0	0.00267	0	0	0	0	0	0	0	0	0	0	233	196213	2.72776e-05
5 to 9 Unit	4000+	1960-79	0.131888	0.598303	0.261025	0.002352	0.003762	0	0.00267	0	0	0	0	0	0	0	0	0	0	233	196213	3.00927e-05
5 to 9 Unit	0-1499	1980-99	0.110901	0.741875	0.136034	0.006949	0	0	0	0	0.004241	0	0	0	0	0	0	0	0	209	179602	0.0145718
5 to 9 Unit	1500-2499	1980-99	0.110901	0.741875	0.136034	0.006949	0	0	0	0	0.004241	0	0	0	0	0	0	0	0	209	179602	0.000859206
5 to 9 Unit	2500-3999	1980-99	0.110901	0.741875	0.136034	0.006949	0	0	0	0	0.004241	0	0	0	0	0	0	0	0	209	179602	6.31896e-05
5 to 9 Unit	4000+	1980-99	0.110901	0.741875	0.136034	0.006949	0	0	0	0	0.004241	0	0	0	0	0	0	0	0	209	179602	7.24637e-05
5 to 9 Unit	0-1499	2000-09	0.096851	0.753226	0.140675	0.009248	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9	0.00476416
5 to 9 Unit	1500-2499	2000-09	0.096851	0.753226	0.140675	0.009248	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9	0.000393558
5 to 9 Unit	2500-3999	2000-09	0.096851	0.753226	0.140675	0.009248	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9	3.31926e-05
5 to 9 Unit	4000+	2000-09	0.096851	0.753226	0.140675	0.009248	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9	1.09601e-05
5 to 9 Unit	0-1499	2010s	0.096851	0.753226	0.140675	0.009248	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9	0.00129165
5 to 9 Unit	1500-2499	2010s	0.096851	0.753226	0.140675	0.009248	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9	0.000126579
5 to 9 Unit	2500-3999	2010s	0.096851	0.753226	0.140675	0.009248	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9	9.76348e-06
5 to 9 Unit	4000+	2010s	0.096851	0.753226	0.140675	0.009248	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9	1.3111e-07
5 to 9 Unit	0-1499	<1940	0.144838	0.253726	0.366943	0.152542	0.064955	0.016997	0	0	0	0	0	0	0	0	0	0	0	58	49336.3	0.00487904
5 to 9 Unit	1500-2499	<1940	0.144838	0.253726	0.366943	0.152542	0.064955	0.016997	0	0	0	0	0	0	0	0	0	0	0	58	49336.3	0.000286274
5 to 9 Unit	2500-3999	<1940	0.144838	0.253726	0.366943	0.152542	0.064955	0.016997	0	0	0	0	0	0	0	0	0	0	0	58	49336.3	8.21382e-05
5 to 9 Unit	4000+	<1940	0.144838	0.253726	0.366943	0.152542	0.064955	0.016997	0	0	0	0	0	0	0	0	0	0	0	58	49336.3	3.69777e-05
50 or more Unit	0-1499	1940-59	0	0.11884	0.096088	0.06786	0.04606	0.121743	0	0.040929	0	0.068907	0	0.025091	0	0.163547	0.050666	0	0.200269	43	97797	0.00496172
50 or more Unit	1500-2499	1940-59	0	0.11884	0.096088	0.06786	0.04606	0.121743	0	0.040929	0	0.068907	0	0.025091	0	0.163547	0.050666	0	0.200269	43	97797	0.00022568
50 or more Unit	2500-3999	1940-59	0	0.11884	0.096088	0.06786	0.04606	0.121743	0	0.040929	0	0.068907	0	0.025091	0	0.163547	0.050666	0	0.200269	43	97797	1.0835e-05
50 or more Unit	4000+	1940-59	0	0.11884	0.096088	0.06786	0.04606	0.121743	0	0.040929	0	0.068907	0	0.025091	0	0.163547	0.050666	0	0.200269	43	97797	6.39846e-06
50 or more Unit	0-1499	1960-79	0.041375	0.115796	0.192076	0.063325	0.064466	0.042385	0.011066	0.017088	0.048004	0.022456	0.035098	0.062944	0.011508	0.01283	0.018978	0.025553	0.215053	113	302478	0.0145597
50 or more Unit	1500-2499	1960-79	0.041375	0.115796	0.192076	0.063325	0.064466	0.042385	0.011066	0.017088	0.048004	0.022456	0.035098	0.062944	0.011508	0.01283	0.018978	0.025553	0.215053	113	302478	0.000517708
50 or more Unit	2500-3999	1960-79	0.041375	0.115796	0.192076	0.063325	0.064466	0.042385	0.011066	0.017088	0.048004	0.022456	0.035098	0.062944	0.011508	0.01283	0.018978	0.025553	0.215053	113	302478	7.90309e-05
50 or more Unit	4000+	1960-79	0.041375	0.115796	0.192076	0.063325	0.064466	0.042385	0.011066	0.017088	0.048004	0.022456	0.035098	0.062944	0.011508	0.01283	0.018978	0.025553	0.215053	113	302478	7.64545e-05
50 or more Unit	0-1499	1980-99	0.025615	0.13173	0.40724	0.084812	0.093258	0.042946	0.015037	0.033416	0.019155	0	0.024771	0.028137	0.018312	0	0.011969	0.02876	0.034841	126	324771	0.0119434
50 or more Unit	1500-2499	1980-99	0.025615	0.13173	0.40724	0.084812	0.093258	0.042946	0.015037	0.033416	0.019155	0	0.024771	0.028137	0.018312	0	0.011969	0.02876	0.034841	126	324771	0.000715807
50 or more Unit	2500-3999	1980-99	0.025615	0.13173	0.40724	0.084812	0.093258	0.042946	0.015037	0.033416	0.019155	0	0.024771	0.028137	0.018312	0	0.011969	0.02876	0.034841	126	324771	7.08738e-05
50 or more Unit	4000+	1980-99	0.025615	0.13173	0.40724	0.084812	0.093258	0.042946	0.015037	0.033416	0.019155	0	0.024771	0.028137	0.018312	0	0.011969	0.02876	0.034841	126	324771	5.04123e-05
50 or more Unit	0-1499	2000-09	0.012501	0	0.164946	0.425983	0.080072	0.137382	0	0.014471	0	0.045634	0	0	0.039148	0	0	0.079865	0	49	63285	0.00757985
50 or more Unit	1500-2499	2000-09	0.012501	0	0.164946	0.425983	0.080072	0.137382	0	0.014471	0	0.045634	0	0	0.039148	0	0	0.079865	0	49	63285	0.000649185
50 or more Unit	2500-3999	2000-09	0.012501	0	0.164946	0.425983	0.080072	0.137382	0	0.014471	0	0.045634	0	0	0.039148	0	0	0.079865	0	49	63285	7.10021e-05
50 or more Unit	4000+	2000-09	0.012501	0	0.164946	0.425983	0.080072	0.137382	0	0.014471	0	0.045634	0	0	0.039148	0	0	0.079865	0	49	63285	2.70667e-05
50 or more Unit	0-1499	2010s	0.012501	0	0.164946	0.425983	0.080072	0.137382	0	0.014471	0	0.045634	0	0	0.039148	0	0	0.079865	0	49	63285	0.00326939
50 or more Unit	1500-2499	2010s	0.012501	0	0.164946	0.425983	0.080072	0.137382	0	0.014471	0	0.045634	0	0	0.039148	0	0	0.079865	0	49	63285	0.000243841
50 or more Unit	2500-3999	2010s	0.012501	0	0.164946	0.425983	0.080072	0.137382	0	0.014471	0	0.045634	0	0	0.039148	0	0	0.079865	0	49	63285	2.87356e-05
50 or more Unit	4000+	2010s	0.012501	0	0.164946	0.425983	0.080072	0.137382	0	0.014471	0	0.045634	0	0	0.039148	0	0	0.079865	0	49	63285	1.7685e-07
50 or more Unit	0-1499	<1940	0	0.01396	0.040369	0.101503	0.082484	0.149291	0.019369	0.059589	0.034589	0.02935	0	0.040129	0.016674	0.020228	0.041695	0	0.350771	50	129083	0.00486198
50 or more Unit	1500-2499	<1940	0	0.01396	0.040369	0.101503	0.082484	0.149291	0.019369	0.059589	0.034589	0.02935	0	0.040129	0.016674	0.020228	0.041695	0	0.350771	50	129083	0.000282638
50 or more Unit	2500-3999	<1940	0	0.01396	0.040369	0.101503	0.082484	0.149291	0.019369	0.059589	0.034589	0.02935	0	0.040129	0.016674	0.020228	0.041695	0	0.350771	50	129083	8.0579e-05
50 or more Unit	4000+	<1940	0	0.01396	0.040369	0.101503	0.082484	0.149291	0.019369	0.059589	0.034589	0.02935	0	0.040129	0.016674	0.020228	0.041695	0	0.350771	50	129083	3.33299e-05
Mobile Home	0-1499	1940-59	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	153716	0.000791654
Mobile Home	1500-2499	1940-59	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000162012
Mobile Home	2500-3999	1940-59	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.64346e-05
Mobile Home	4000+	1940-59	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.82173e-05
Mobile Home	0-1499	1960-79	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	1.93806e+06	0.0135094
Mobile Home	1500-2499	1960-79	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	124459	0.00179645
Mobile Home	2500-3999	1960-79	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.27291e-05
Mobile Home	4000+	1960-79	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.68368e-05
Mobile Home	0-1499	1980-99	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	3.16739e+06	0.0228442
Mobile Home	1500-2499	1980-99	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	515447	0.00818623
Mobile Home	2500-3999	1980-99	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	12732.1	0.000463975
Mobile Home	4000+	1980-99	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000186853
Mobile Home	0-1499	2000-09	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	329761	0.00598171
Mobile Home	1500-2499	2000-09	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	128458	0.00349461
Mobile Home	2500-3999	2000-09	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000437767
Mobile Home	4000+	2000-09	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.19946e-05
Mobile Home	0-1499	2010s	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	329761	0.00104301
Mobile Home	1500-2499	2010s	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	128458	0.000751268
Mobile Home	2500-3999	2010s	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.53945e-05
Mobile Home	4000+	2010s	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.6553e-06
Mobile Home	0-1499	<1940	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	13826.1	0.000214947
Mobile Home	1500-2499	<1940	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.23897e-05
Mobile Home	2500-3999	<1940	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.87277e-05
Mobile Home	4000+	<1940	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.84521e-05
Single-Family Attached	0-1499	1940-59	0.691809	0.308191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	467547	0.00525838
