Dependency=Geometry Building Type RECS	Dependency=Location Region	Option=None	"Option=Asphalt Shingles, Medium"	Option=Composition Shingles	"Option=Metal, Dark"	Option=Slate	"Option=Tile, Clay or Ceramic"	"Option=Tile, Concrete"	Option=Wood Shingles	sample_count	sample_weight
Mobile Home	CR02	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	28.000000	246786.515625
Mobile Home	CR03	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	15.000000	73915.578125
Mobile Home	CR04	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	21.000000	474033.125000
Mobile Home	CR05	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	18.000000	236355.734375
Mobile Home	CR06	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	24.000000	262711.125000
Mobile Home	CR07	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	435344.156250
Mobile Home	CR08	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	96.000000	1239595.875000
Mobile Home	CR09	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	199.000000	2915974.000000
Mobile Home	CR10	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	38.000000	412606.312500
Mobile Home	CR11	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	44.000000	371094.500000
Single-Family Attached	CR02	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	64.000000	354896.687500
Single-Family Attached	CR03	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	65.000000	278203.562500
Single-Family Attached	CR04	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	43.000000	690747.125000
Single-Family Attached	CR05	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	54.000000	290683.562500
Single-Family Attached	CR06	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	22.000000	171122.062500
Single-Family Attached	CR07	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	139.000000	1366826.250000
Single-Family Attached	CR08	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	158.000000	1147990.625000
Single-Family Attached	CR09	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	157.000000	1169114.500000
Single-Family Attached	CR10	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	19.000000	166085.031250
Single-Family Attached	CR11	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	142.000000	844424.187500
Single-Family Detached	CR02	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	687.000000	4316425.000000
Single-Family Detached	CR03	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	532.000000	3075303.750000
Single-Family Detached	CR04	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	663.000000	10654372.000000
Single-Family Detached	CR05	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	300.000000	2793711.750000
Single-Family Detached	CR06	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	223.000000	2302325.500000
Single-Family Detached	CR07	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	652.000000	7727557.500000
Single-Family Detached	CR08	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1300.000000	9212236.000000
Single-Family Detached	CR09	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2166.000000	21222322.000000
Single-Family Detached	CR10	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	228.000000	2522397.750000
Single-Family Detached	CR11	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	935.000000	6990448.000000
Multi-Family with 2 - 4 Units	CR02	0.000000	0.454353	0.466872	0.025573	0.000000	0.000000	0.000000	0.053203	44.000000	395817.156250
Multi-Family with 2 - 4 Units	CR03	0.000000	0.377312	0.442319	0.041746	0.023600	0.007516	0.000000	0.107508	159.000000	1022216.875000
Multi-Family with 2 - 4 Units	CR04	0.000000	0.183189	0.741159	0.013442	0.000000	0.000000	0.000000	0.062209	55.000000	1276916.625000
Multi-Family with 2 - 4 Units	CR05	0.000000	0.434866	0.399357	0.000000	0.025999	0.000000	0.000000	0.139778	18.000000	179806.671875
Multi-Family with 2 - 4 Units	CR06	0.000000	0.028238	0.731615	0.000000	0.000000	0.039034	0.000000	0.201112	33.000000	337683.968750
Multi-Family with 2 - 4 Units	CR07	0.000000	0.332425	0.486797	0.029577	0.030429	0.000000	0.008659	0.112112	157.000000	1894010.875000
Multi-Family with 2 - 4 Units	CR08	0.000000	0.134352	0.740490	0.064646	0.007685	0.010535	0.000000	0.042292	91.000000	676012.625000
Multi-Family with 2 - 4 Units	CR09	0.000000	0.127175	0.589711	0.030844	0.018583	0.049974	0.018765	0.164948	190.000000	1769331.500000
Multi-Family with 2 - 4 Units	CR10	0.000000	0.087861	0.137632	0.000000	0.000000	0.533040	0.241466	0.000000	12.000000	130099.359375
Multi-Family with 2 - 4 Units	CR11	0.000000	0.087029	0.513843	0.000000	0.033284	0.144638	0.011051	0.210155	141.000000	1034231.375000
Multi-Family with 5+ Units	CR02	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	114.000000	839194.125000
Multi-Family with 5+ Units	CR03	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	159.000000	1025052.625000
Multi-Family with 5+ Units	CR04	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	121.000000	2401607.750000
Multi-Family with 5+ Units	CR05	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	48.000000	377622.937500
Multi-Family with 5+ Units	CR06	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	60.000000	722521.812500
Multi-Family with 5+ Units	CR07	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	316.000000	3424272.500000
Multi-Family with 5+ Units	CR08	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	225.000000	2100599.750000
Multi-Family with 5+ Units	CR09	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	475.000000	4572983.500000
Multi-Family with 5+ Units	CR10	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	52.000000	550501.375000
Multi-Family with 5+ Units	CR11	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	330.000000	2871667.750000
# Created by: \Users\oadekany\Documents\GitDocs\resstock-estimation\sources\recs\2009\tsv_maker.py using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata
