Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=State	Dependency=Tenure	Option=EF 12, National Average	Option=None	Option=Void	source_count	source_weight	sampling_probability
0-100%	Mobile Home	AK	Not Available	0	0	1	34	6824.34	0
0-100%	Mobile Home	AK	Owner	0.542601	0.457399	0	21	5023.1	8.78203e-06
0-100%	Mobile Home	AK	Renter	0.749492	0.250508	0	13	1801.24	5.01535e-06
100-150%	Mobile Home	AK	Not Available	0	0	1	30	600.16	0
100-150%	Mobile Home	AK	Owner	0.729613	0.270387	0	24	272.238	6.62393e-06
100-150%	Mobile Home	AK	Renter	0.699103	0.300897	0	16	327.922	4.45384e-06
150-200%	Mobile Home	AK	Not Available	0	0	1	48	1190.06	0
150-200%	Mobile Home	AK	Owner	0.637685	0.362315	0	38	550.855	6.3337e-06
150-200%	Mobile Home	AK	Renter	0.624097	0.375903	0	10	639.206	3.45969e-06
200-300%	Mobile Home	AK	Not Available	0	0	1	54	1347.56	0
200-300%	Mobile Home	AK	Owner	0.623679	0.376321	0	39	1347.56	1.385e-05
200-300%	Mobile Home	AK	Renter	0.47457	0.52543	0	15	0	4.59082e-06
300-400%	Mobile Home	AK	Not Available	0	0	1	97	1543.82	0
300-400%	Mobile Home	AK	Owner	0.646206	0.353794	0	81	1543.82	1.06631e-05
300-400%	Mobile Home	AK	Renter	0.583218	0.416782	0	16	0	2.84672e-06
400%+	Mobile Home	AK	Not Available	0	0	1	123	0	0
400%+	Mobile Home	AK	Owner	0.754062	0.245938	0	106	0	2.21429e-05
400%+	Mobile Home	AK	Renter	0.517241	0.482759	0	17	0	4.99175e-06
Not Available	Mobile Home	AK	Not Available	0.402626	0.597374	0	12	11505.9	2.35995e-05
Not Available	Mobile Home	AK	Owner	0	0	1	205	8737.57	0
Not Available	Mobile Home	AK	Renter	0	0	1	53	2768.36	0
0-100%	Mobile Home	AL	Not Available	0	0	1	16	118673	0
0-100%	Mobile Home	AL	Owner	0.453121	0.546879	0	11	75224.8	0.000255428
0-100%	Mobile Home	AL	Renter	0.465247	0.534753	0	20	43447.9	0.000177992
100-150%	Mobile Home	AL	Not Available	0	0	1	34	37162.4	0
100-150%	Mobile Home	AL	Owner	0.550883	0.449117	0	25	32326.1	0.000191563
100-150%	Mobile Home	AL	Renter	0.35777	0.64223	0	48	4836.32	9.09125e-05
150-200%	Mobile Home	AL	Not Available	0	0	1	29	33653.8	0
150-200%	Mobile Home	AL	Owner	0.377136	0.622864	0	20	25418	0.000158935
150-200%	Mobile Home	AL	Renter	0.247495	0.752505	0	36	8235.82	6.32767e-05
200-300%	Mobile Home	AL	Not Available	0	0	1	35	25745.9	0
200-300%	Mobile Home	AL	Owner	0.28381	0.71619	0	29	17748.7	0.000250653
200-300%	Mobile Home	AL	Renter	0.131308	0.868692	0	47	7997.21	8.22434e-05
300-400%	Mobile Home	AL	Not Available	0	0	1	16	23194.7	0
300-400%	Mobile Home	AL	Owner	0.48826	0.51174	0	15	23194.7	0.000155705
300-400%	Mobile Home	AL	Renter	0.355061	0.644939	0	21	0	4.31044e-05
400%+	Mobile Home	AL	Not Available	0	0	1	20	17041.5	0
400%+	Mobile Home	AL	Owner	0.668375	0.331625	0	19	17041.5	0.000194882
400%+	Mobile Home	AL	Renter	0.17263	0.82737	0	37	0	4.05392e-05
Not Available	Mobile Home	AL	Not Available	0.448929	0.551071	0	33	255471	0.000526286
Not Available	Mobile Home	AL	Owner	0	0	1	25	190954	0
Not Available	Mobile Home	AL	Renter	0	0	1	34	64517.3	0
0-100%	Mobile Home	AR	Not Available	0	0	1	48	36235.4	0
0-100%	Mobile Home	AR	Owner	0.332956	0.667044	0	32	7453.72	0.000120051
0-100%	Mobile Home	AR	Renter	0.195535	0.804465	0	16	28781.7	8.72225e-05
100-150%	Mobile Home	AR	Not Available	0	0	1	10	38844.9	0
100-150%	Mobile Home	AR	Owner	0.326283	0.673717	0	35	23351.1	9.96456e-05
100-150%	Mobile Home	AR	Renter	0.393293	0.606707	0	10	15493.8	5.07438e-05
150-200%	Mobile Home	AR	Not Available	0	0	1	34	14208.3	0
150-200%	Mobile Home	AR	Owner	0.360809	0.639191	0	27	7806.47	8.52295e-05
150-200%	Mobile Home	AR	Renter	0.322535	0.677465	0	58	6401.81	3.51965e-05
200-300%	Mobile Home	AR	Not Available	0	0	1	30	21700.6	0
200-300%	Mobile Home	AR	Owner	0.420897	0.579103	0	29	16811.1	0.000135263
200-300%	Mobile Home	AR	Renter	0.32249	0.67751	0	66	4889.52	4.59694e-05
300-400%	Mobile Home	AR	Not Available	0	0	1	13	6542.65	0
300-400%	Mobile Home	AR	Owner	0.75958	0.24042	0	12	6542.65	8.99157e-05
300-400%	Mobile Home	AR	Renter	0.316754	0.683246	0	40	0	2.32884e-05
400%+	Mobile Home	AR	Not Available	0	0	1	18	4771.53	0
400%+	Mobile Home	AR	Owner	0.803708	0.196292	0	17	4771.53	0.000119133
400%+	Mobile Home	AR	Renter	0.286085	0.713915	0	45	0	2.22177e-05
Not Available	Mobile Home	AR	Not Available	0.432981	0.567019	0	24	122303	0.000297079
Not Available	Mobile Home	AR	Owner	0	0	1	14	66736.6	0
Not Available	Mobile Home	AR	Renter	0	0	1	10	55566.8	0
0-100%	Mobile Home	AZ	Not Available	0	0	1	12	74775.2	0
0-100%	Mobile Home	AZ	Owner	0.25756	0.74244	0	21	53030.9	0.000239463
0-100%	Mobile Home	AZ	Renter	0.342912	0.657088	0	27	21744.3	0.000113112
100-150%	Mobile Home	AZ	Not Available	0	0	1	15	53407.2	0
100-150%	Mobile Home	AZ	Owner	0.350757	0.649243	0	18	32422	0.000194175
100-150%	Mobile Home	AZ	Renter	0.376961	0.623039	0	25	20985.2	7.35566e-05
150-200%	Mobile Home	AZ	Not Available	0	0	1	14	26817.9	0
150-200%	Mobile Home	AZ	Owner	0.413158	0.586842	0	11	24487.1	0.000171946
150-200%	Mobile Home	AZ	Renter	0.567896	0.432104	0	18	2330.81	5.54009e-05
200-300%	Mobile Home	AZ	Not Available	0	0	1	11	40384.2	0
200-300%	Mobile Home	AZ	Owner	0.622619	0.377381	0	10	32627.2	0.000281643
200-300%	Mobile Home	AZ	Renter	0.261135	0.738865	0	34	7757.03	7.77498e-05
300-400%	Mobile Home	AZ	Not Available	0	0	1	11	21249.3	0
