Dependency=HVAC Has Ducts	Dependency=Geometry Building Type RECS	Dependency=Vintage	Dependency=Geometry Foundation Type	Option=None	Option=10% Leakage, Uninsulated	Option=20% Leakage, Uninsulated	Option=30% Leakage, Uninsulated	Option=10% Leakage, R-4	Option=20% Leakage, R-4	Option=30% Leakage, R-4	Option=10% Leakage, R-6	Option=20% Leakage, R-6	Option=30% Leakage, R-6	Option=10% Leakage, R-8	Option=20% Leakage, R-8	Option=30% Leakage, R-8	Option=0% Leakage, Uninsulated	sampling_probability
Yes	Multi-Family with 2 - 4 Units	2000s	Vented Crawlspace	0	0	0	0	0	0	0	0.26	0.47	0.27	0	0	0	0	0.000877784
Yes	Multi-Family with 5+ Units	<1940	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0.00301887
Yes	Multi-Family with 5+ Units	1950s	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0.00258859
Yes	Multi-Family with 5+ Units	1960s	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0.00395626
Yes	Multi-Family with 5+ Units	1970s	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0.00708696
Yes	Multi-Family with 5+ Units	1980s	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0.00483308
Yes	Multi-Family with 5+ Units	1990s	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0.00461292
Yes	Multi-Family with 5+ Units	2000s	Vented Crawlspace	0	0	0	0	0	0	0	0.26	0.47	0.27	0	0	0	0	0.00331203
Yes	Mobile Home	<1940	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0
Yes	Mobile Home	1950s	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0
Yes	Mobile Home	1960s	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0
Yes	Mobile Home	1970s	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0
Yes	Mobile Home	1980s	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0
Yes	Mobile Home	1990s	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0
Yes	Mobile Home	2000s	Vented Crawlspace	0	0	0	0	0	0	0	0.26	0.47	0.27	0	0	0	0	0
Yes	Single-Family Detached	1940s	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0.00676452
Yes	Single-Family Attached	1940s	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0.000535398
Yes	Multi-Family with 2 - 4 Units	1940s	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0.00101375
Yes	Multi-Family with 5+ Units	1940s	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0.00114301
Yes	Mobile Home	1940s	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0
Yes	Single-Family Detached	2010s	Vented Crawlspace	0	0	0	0	0	0	0	0.26	0.47	0.27	0	0	0	0	0.00227203
Yes	Single-Family Attached	2010s	Vented Crawlspace	0	0	0	0	0	0	0	0.26	0.47	0.27	0	0	0	0	0.000278695
Yes	Multi-Family with 2 - 4 Units	2010s	Vented Crawlspace	0	0	0	0	0	0	0	0.26	0.47	0.27	0	0	0	0	0.000232006
Yes	Multi-Family with 5+ Units	2010s	Vented Crawlspace	0	0	0	0	0	0	0	0.26	0.47	0.27	0	0	0	0	0.00122726
Yes	Mobile Home	2010s	Vented Crawlspace	0	0	0	0	0	0	0	0.26	0.47	0.27	0	0	0	0	0
No	Single-Family Detached	<1940	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00947682
No	Single-Family Detached	1950s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00704977
No	Single-Family Detached	1960s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00415
No	Single-Family Detached	1970s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00428091
No	Single-Family Detached	1980s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00184104
No	Single-Family Detached	1990s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00142729
No	Single-Family Detached	2000s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000702346
No	Single-Family Attached	<1940	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00100098
No	Single-Family Attached	1950s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000412359
No	Single-Family Attached	1960s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000269372
No	Single-Family Attached	1970s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000454965
No	Single-Family Attached	1980s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000288851
No	Single-Family Attached	1990s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000169263
No	Single-Family Attached	2000s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9.92755e-05
No	Multi-Family with 2 - 4 Units	<1940	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00297726
No	Multi-Family with 2 - 4 Units	1950s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00103588
No	Multi-Family with 2 - 4 Units	1960s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000908007
No	Multi-Family with 2 - 4 Units	1970s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00105871
No	Multi-Family with 2 - 4 Units	1980s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000525888
No	Multi-Family with 2 - 4 Units	1990s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000312834
No	Multi-Family with 2 - 4 Units	2000s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8.23449e-05
No	Multi-Family with 5+ Units	<1940	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00335805
No	Multi-Family with 5+ Units	1950s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00181779
No	Multi-Family with 5+ Units	1960s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00239281
No	Multi-Family with 5+ Units	1970s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00298671
No	Multi-Family with 5+ Units	1980s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00156827
No	Multi-Family with 5+ Units	1990s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00111071
No	Multi-Family with 5+ Units	2000s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000332628
No	Mobile Home	<1940	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Mobile Home	1950s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Mobile Home	1960s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Mobile Home	1970s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Mobile Home	1980s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Mobile Home	1990s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Mobile Home	2000s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Single-Family Detached	1940s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00400249
No	Single-Family Attached	1940s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000382649
No	Multi-Family with 2 - 4 Units	1940s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000830642
No	Multi-Family with 5+ Units	1940s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00121215
No	Mobile Home	1940s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Single-Family Detached	2010s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000151758
No	Single-Family Attached	2010s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.97471e-05
No	Multi-Family with 2 - 4 Units	2010s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2.11845e-05
No	Multi-Family with 5+ Units	2010s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000133502
No	Mobile Home	2010s	Vented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yes	Single-Family Detached	<1940	Unvented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0
Yes	Single-Family Detached	1950s	Unvented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0
Yes	Single-Family Detached	1960s	Unvented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0
Yes	Single-Family Detached	1970s	Unvented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0
Yes	Single-Family Detached	1980s	Unvented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0.00270748
Yes	Single-Family Detached	1990s	Unvented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0.00346677
Yes	Single-Family Detached	2000s	Unvented Crawlspace	0	0	0	0	0	0	0	0.26	0.47	0.27	0	0	0	0	0.00263086
Yes	Single-Family Attached	<1940	Unvented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0
Yes	Single-Family Attached	1950s	Unvented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0
Yes	Single-Family Attached	1960s	Unvented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0
Yes	Single-Family Attached	1970s	Unvented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0
Yes	Single-Family Attached	1980s	Unvented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0.000403064
Yes	Single-Family Attached	1990s	Unvented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0.000390331
Yes	Single-Family Attached	2000s	Unvented Crawlspace	0	0	0	0	0	0	0	0.26	0.47	0.27	0	0	0	0	0.000393425
Yes	Multi-Family with 2 - 4 Units	<1940	Unvented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0
Yes	Multi-Family with 2 - 4 Units	1950s	Unvented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0
Yes	Multi-Family with 2 - 4 Units	1960s	Unvented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0
Yes	Multi-Family with 2 - 4 Units	1970s	Unvented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0
Yes	Multi-Family with 2 - 4 Units	1980s	Unvented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0.000485053
Yes	Multi-Family with 2 - 4 Units	1990s	Unvented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0.00042097
Yes	Multi-Family with 2 - 4 Units	2000s	Unvented Crawlspace	0	0	0	0	0	0	0	0.26	0.47	0.27	0	0	0	0	0.000260209
Yes	Multi-Family with 5+ Units	<1940	Unvented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0
Yes	Multi-Family with 5+ Units	1950s	Unvented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0
Yes	Multi-Family with 5+ Units	1960s	Unvented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0
Yes	Multi-Family with 5+ Units	1970s	Unvented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0
Yes	Multi-Family with 5+ Units	1980s	Unvented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0.0012871
Yes	Multi-Family with 5+ Units	1990s	Unvented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0.00125606
Yes	Multi-Family with 5+ Units	2000s	Unvented Crawlspace	0	0	0	0	0	0	0	0.26	0.47	0.27	0	0	0	0	0.000911037
Yes	Mobile Home	<1940	Unvented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0
Yes	Mobile Home	1950s	Unvented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0
Yes	Mobile Home	1960s	Unvented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0
Yes	Mobile Home	1970s	Unvented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0
Yes	Mobile Home	1980s	Unvented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0
Yes	Mobile Home	1990s	Unvented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0
Yes	Mobile Home	2000s	Unvented Crawlspace	0	0	0	0	0	0	0	0.26	0.47	0.27	0	0	0	0	0
Yes	Single-Family Detached	1940s	Unvented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0
Yes	Single-Family Attached	1940s	Unvented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0
Yes	Multi-Family with 2 - 4 Units	1940s	Unvented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0
Yes	Multi-Family with 5+ Units	1940s	Unvented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0
Yes	Mobile Home	1940s	Unvented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0	0
Yes	Single-Family Detached	2010s	Unvented Crawlspace	0	0	0	0	0	0	0	0.26	0.47	0.27	0	0	0	0	0.000525898
Yes	Single-Family Attached	2010s	Unvented Crawlspace	0	0	0	0	0	0	0	0.26	0.47	0.27	0	0	0	0	8.67291e-05
Yes	Multi-Family with 2 - 4 Units	2010s	Unvented Crawlspace	0	0	0	0	0	0	0	0.26	0.47	0.27	0	0	0	0	6.81721e-05
Yes	Multi-Family with 5+ Units	2010s	Unvented Crawlspace	0	0	0	0	0	0	0	0.26	0.47	0.27	0	0	0	0	0.000349459
Yes	Mobile Home	2010s	Unvented Crawlspace	0	0	0	0	0	0	0	0.26	0.47	0.27	0	0	0	0	0
No	Single-Family Detached	<1940	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Single-Family Detached	1950s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Single-Family Detached	1960s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Single-Family Detached	1970s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Single-Family Detached	1980s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000478125
No	Single-Family Detached	1990s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000400945
No	Single-Family Detached	2000s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000237345
No	Single-Family Attached	<1940	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Single-Family Attached	1950s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Single-Family Attached	1960s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Single-Family Attached	1970s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Single-Family Attached	1980s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7.90116e-05
No	Single-Family Attached	1990s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5.09165e-05
No	Single-Family Attached	2000s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3.64203e-05
No	Multi-Family with 2 - 4 Units	<1940	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Multi-Family with 2 - 4 Units	1950s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Multi-Family with 2 - 4 Units	1960s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Multi-Family with 2 - 4 Units	1970s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Multi-Family with 2 - 4 Units	1980s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000165078
No	Multi-Family with 2 - 4 Units	1990s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9.4198e-05
No	Multi-Family with 2 - 4 Units	2000s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76593e-05
No	Multi-Family with 5+ Units	<1940	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Multi-Family with 5+ Units	1950s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Multi-Family with 5+ Units	1960s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Multi-Family with 5+ Units	1970s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Multi-Family with 5+ Units	1980s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000491436
No	Multi-Family with 5+ Units	1990s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000317591
No	Multi-Family with 5+ Units	2000s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000104986
No	Mobile Home	<1940	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Mobile Home	1950s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Mobile Home	1960s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Mobile Home	1970s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Mobile Home	1980s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Mobile Home	1990s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Mobile Home	2000s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Single-Family Detached	1940s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Single-Family Attached	1940s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Multi-Family with 2 - 4 Units	1940s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Multi-Family with 5+ Units	1940s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Mobile Home	1940s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	Single-Family Detached	2010s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4.78449e-05
No	Single-Family Attached	2010s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01834e-06
No	Multi-Family with 2 - 4 Units	2010s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6.74639e-06
No	Multi-Family with 5+ Units	2010s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4.17655e-05
No	Mobile Home	2010s	Unvented Crawlspace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yes	Single-Family Detached	<1940	Heated Basement	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00948845
Yes	Single-Family Detached	1950s	Heated Basement	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0137332
Yes	Single-Family Detached	1960s	Heated Basement	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0105071
Yes	Single-Family Detached	1970s	Heated Basement	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0126281
Yes	Single-Family Detached	1980s	Heated Basement	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00966481
Yes	Single-Family Detached	1990s	Heated Basement	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0125827
Yes	Single-Family Detached	2000s	Heated Basement	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0116948
Yes	Single-Family Attached	<1940	Heated Basement	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000837534
Yes	Single-Family Attached	1950s	Heated Basement	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000676516
Yes	Single-Family Attached	1960s	Heated Basement	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000541725
Yes	Single-Family Attached	1970s	Heated Basement	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00110845
Yes	Single-Family Attached	1980s	Heated Basement	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00164027
Yes	Single-Family Attached	1990s	Heated Basement	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00166871
Yes	Single-Family Attached	2000s	Heated Basement	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00191585
Yes	Multi-Family with 2 - 4 Units	<1940	Heated Basement	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Yes	Multi-Family with 2 - 4 Units	1950s	Heated Basement	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Yes	Multi-Family with 2 - 4 Units	1960s	Heated Basement	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Yes	Multi-Family with 2 - 4 Units	1970s	Heated Basement	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Yes	Multi-Family with 2 - 4 Units	1980s	Heated Basement	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Yes	Multi-Family with 2 - 4 Units	1990s	Heated Basement	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Yes	Multi-Family with 2 - 4 Units	2000s	Heated Basement	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Yes	Multi-Family with 5+ Units	<1940	Heated Basement	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Yes	Multi-Family with 5+ Units	1950s	Heated Basement	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Yes	Multi-Family with 5+ Units	1960s	Heated Basement	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Yes	Multi-Family with 5+ Units	1970s	Heated Basement	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Yes	Multi-Family with 5+ Units	1980s	Heated Basement	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Yes	Multi-Family with 5+ Units	1990s	Heated Basement	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Yes	Multi-Family with 5+ Units	2000s	Heated Basement	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Yes	Mobile Home	<1940	Heated Basement	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Yes	Mobile Home	1950s	Heated Basement	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Yes	Mobile Home	1960s	Heated Basement	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Yes	Mobile Home	1970s	Heated Basement	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Yes	Mobile Home	1980s	Heated Basement	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
