Dependency=County	Option=CAISO	Option=ERCOT	Option=MISO	Option=NEISO	Option=None	Option=NYISO	Option=PJM	Option=SPP	source_count	source_weight	sampling_probability
AK, Aleutians East Borough	0	0	0	0	1	0	0	0	1105	1005	7.49692e-06
AK, Aleutians West Census Area	0	0	0	0	1	0	0	0	1206	1958	1.46059e-05
AK, Anchorage Municipality	0	0	0	0	1	0	0	0	4337	114443	0.0008537
AK, Bethel Census Area	0	0	0	0	1	0	0	0	1710	5986	4.46533e-05
AK, Bristol Bay Borough	0	0	0	0	1	0	0	0	177	909	6.78079e-06
AK, Denali Borough	0	0	0	0	1	0	0	0	690	1711	1.27634e-05
AK, Dillingham Census Area	0	0	0	0	1	0	0	0	816	2444	1.82313e-05
AK, Fairbanks North Star Borough	0	0	0	0	1	0	0	0	4499	41670	0.000310842
AK, Haines Borough	0	0	0	0	1	0	0	0	758	1623	1.2107e-05
AK, Hoonah-Angoon Census Area	0	0	0	0	1	0	0	0	873	1647	1.2286e-05
AK, Juneau City and Borough	0	0	0	0	1	0	0	0	928	13263	9.89369e-05
AK, Kenai Peninsula Borough	0	0	0	0	1	0	0	0	4024	30752	0.000229398
AK, Ketchikan Gateway Borough	0	0	0	0	1	0	0	0	904	6254	4.66524e-05
AK, Kodiak Island Borough	0	0	0	0	1	0	0	0	1561	5322	3.97e-05
AK, Kusilvak Census Area	0	0	0	0	1	0	0	0	952	2250	1.67841e-05
AK, Lake and Peninsula Borough	0	0	0	0	1	0	0	0	837	1451	1.08239e-05
AK, Matanuska-Susitna Borough	0	0	0	0	1	0	0	0	4590	41417	0.000308955
AK, Nome Census Area	0	0	0	0	1	0	0	0	1471	4053	3.02338e-05
AK, North Slope Borough	0	0	0	0	1	0	0	0	1263	2550	1.9022e-05
AK, Northwest Arctic Borough	0	0	0	0	1	0	0	0	793	2722	2.03051e-05
AK, Petersburg Borough	0	0	0	0	1	0	0	0	705	1764	1.31588e-05
AK, Prince of Wales-Hyder Census Area	0	0	0	0	1	0	0	0	1614	3359	2.50568e-05
AK, Sitka City and Borough	0	0	0	0	1	0	0	0	1325	4112	3.06739e-05
AK, Skagway Municipality	0	0	0	0	1	0	0	0	198	639	4.7667e-06
AK, Southeast Fairbanks Census Area	0	0	0	0	1	0	0	0	1994	3901	2.91e-05
AK, Valdez-Cordova Census Area	0	0	0	0	1	0	0	0	2194	6107	4.55558e-05
AK, Wrangell City and Borough	0	0	0	0	1	0	0	0	428	1408	1.05031e-05
AK, Yakutat City and Borough	0	0	0	0	1	0	0	0	683	391	2.91671e-06
AK, Yukon-Koyukuk Census Area	0	0	0	0	1	0	0	0	2657	4060	3.0286e-05
AL, Autauga County	0	0	0	0	1	0	0	0	1887	22714	0.000169438
AL, Baldwin County	0	0	0	0	1	0	0	0	8628	107579	0.000802499
AL, Barbour County	0	0	0	0	1	0	0	0	1820	11802	8.80385e-05
AL, Bibb County	0	0	0	0	1	0	0	0	1777	8972	6.69277e-05
AL, Blount County	0	0	0	0	1	0	0	0	2750	23850	0.000177912
AL, Bullock County	0	0	0	0	1	0	0	0	820	4462	3.32848e-05
AL, Butler County	0	0	0	0	1	0	0	0	1654	9914	7.39546e-05
AL, Calhoun County	0	0	0	0	1	0	0	0	6919	53326	0.000397791
AL, Chambers County	0	0	0	0	1	0	0	0	2184	16905	0.000126105
AL, Cherokee County	0	0	0	0	1	0	0	0	2497	16260	0.000121293
AL, Chilton County	0	0	0	0	1	0	0	0	2208	19260	0.000143673
AL, Choctaw County	0	0	0	0	1	0	0	0	1139	7241	5.40151e-05
AL, Clarke County	0	0	0	0	1	0	0	0	1884	12589	9.39092e-05
AL, Clay County	0	0	0	0	1	0	0	0	1588	6745	5.03151e-05
AL, Cleburne County	0	0	0	0	1	0	0	0	1471	6689	4.98974e-05
AL, Coffee County	0	0	0	0	1	0	0	0	2321	22862	0.000170542
AL, Colbert County	0	0	0	0	1	0	0	0	3799	26156	0.000195114
AL, Conecuh County	0	0	0	0	1	0	0	0	1444	7055	5.26276e-05
AL, Coosa County	0	0	0	0	1	0	0	0	1534	6453	4.81369e-05
AL, Covington County	0	0	0	0	1	0	0	0	3271	18783	0.000140114
AL, Crenshaw County	0	0	0	0	1	0	0	0	1124	6699	4.9972e-05
AL, Cullman County	0	0	0	0	1	0	0	0	4363	37150	0.000277124
AL, Dale County	0	0	0	0	1	0	0	0	3033	22839	0.00017037
AL, Dallas County	0	0	0	0	1	0	0	0	3099	20242	0.000150997
AL, DeKalb County	0	0	0	0	1	0	0	0	4435	31068	0.000231756
AL, Elmore County	0	0	0	0	1	0	0	0	3680	33322	0.000248569
AL, Escambia County	0	0	0	0	1	0	0	0	3382	16421	0.000122494
AL, Etowah County	0	0	0	0	1	0	0	0	5044	47504	0.000354361
AL, Fayette County	0	0	0	0	1	0	0	0	1731	8412	6.27503e-05
AL, Franklin County	0	0	0	0	1	0	0	0	2556	14050	0.000104808
AL, Geneva County	0	0	0	0	1	0	0	0	2417	12643	9.43119e-05
AL, Greene County	0	0	0	0	1	0	0	0	1363	4996	3.72682e-05
AL, Hale County	0	0	0	0	1	0	0	0	1186	7655	5.71034e-05
AL, Henry County	0	0	0	0	1	0	0	0	1445	8950	6.67635e-05
AL, Houston County	0	0	0	0	1	0	0	0	4192	46385	0.000346015
AL, Jackson County	0	0	0	0	1	0	0	0	4476	24773	0.000184797
AL, Jefferson County	0	0	0	0	1	0	0	0	28737	305262	0.00227714
AL, Lamar County	0	0	0	0	1	0	0	0	1628	7327	5.46566e-05
AL, Lauderdale County	0	0	0	0	1	0	0	0	4233	44313	0.000330559
AL, Lawrence County	0	0	0	0	1	0	0	0	2304	15181	0.000113245
AL, Lee County	0	0	0	0	1	0	0	0	4059	65701	0.000490104
AL, Limestone County	0	0	0	0	1	0	0	0	3809	35515	0.000264928
AL, Lowndes County	0	0	0	0	1	0	0	0	1270	5081	3.79023e-05
AL, Macon County	0	0	0	0	1	0	0	0	1901	10222	7.62522e-05
AL, Madison County	0	0	0	0	1	0	0	0	15427	154710	0.00115408
AL, Marengo County	0	0	0	0	1	0	0	0	1898	10208	7.61478e-05
AL, Marion County	0	0	0	0	1	0	0	0	3344	14702	0.000109671
AL, Marshall County	0	0	0	0	1	0	0	0	4364	40352	0.000301011
AL, Mobile County	0	0	0	0	1	0	0	0	19465	181612	0.00135476
AL, Monroe County	0	0	0	0	1	0	0	0	1627	11275	8.41072e-05
AL, Montgomery County	0	0	0	0	1	0	0	0	5621	103577	0.000772645
AL, Morgan County	0	0	0	0	1	0	0	0	5025	51523	0.000384341
AL, Perry County	0	0	0	0	1	0	0	0	1064	4693	3.5008e-05
AL, Pickens County	0	0	0	0	1	0	0	0	1481	9449	7.0486e-05
AL, Pike County	0	0	0	0	1	0	0	0	1880	15734	0.00011737
AL, Randolph County	0	0	0	0	1	0	0	0	1992	11937	8.90455e-05
AL, Russell County	0	0	0	0	1	0	0	0	2158	26719	0.000199314
AL, Shelby County	0	0	0	0	1	0	0	0	7945	83622	0.000623789
AL, St. Clair County	0	0	0	0	1	0	0	0	3900	35844	0.000267382
AL, Sumter County	0	0	0	0	1	0	0	0	1223	6767	5.04793e-05
AL, Talladega County	0	0	0	0	1	0	0	0	5316	37197	0.000277476
AL, Tallapoosa County	0	0	0	0	1	0	0	0	3208	22058	0.000164544
AL, Tuscaloosa County	0	0	0	0	1	0	0	0	9004	87923	0.000655872
AL, Walker County	0	0	0	0	1	0	0	0	4274	30708	0.000229069
AL, Washington County	0	0	0	0	1	0	0	0	1818	8374	6.24668e-05
AL, Wilcox County	0	0	0	0	1	0	0	0	1139	5619	4.19156e-05
AL, Winston County	0	0	0	0	1	0	0	0	2031	13404	9.99887e-05
