Dependency=County	Option=Cold	Option=Hot-Dry	Option=Hot-Humid	Option=Marine	Option=Mixed-Dry	Option=Mixed-Humid	Option=Very Cold	source_count	source_weight	sampling_probability
AL, Autauga County	0	0	1	0	0	0	0	12	22714	0.000170558
AL, Baldwin County	0	0	1	0	0	0	0	32	107579	0.000807802
AL, Barbour County	0	0	1	0	0	0	0	9	11802	8.86208e-05
AL, Bibb County	0	0	0	0	0	1	0	4	8972	6.73704e-05
AL, Blount County	0	0	0	0	0	1	0	9	23850	0.000179088
AL, Bullock County	0	0	1	0	0	0	0	3	4462	3.3505e-05
AL, Butler County	0	0	1	0	0	0	0	9	9914	7.44438e-05
AL, Calhoun County	0	0	0	0	0	1	0	31	53326	0.000400422
AL, Chambers County	0	0	0	0	0	1	0	9	16905	0.000126939
AL, Cherokee County	0	0	0	0	0	1	0	6	16260	0.000122096
AL, Chilton County	0	0	0	0	0	1	0	9	19260	0.000144623
AL, Choctaw County	0	0	1	0	0	0	0	4	7241	5.43724e-05
AL, Clarke County	0	0	1	0	0	0	0	9	12589	9.45303e-05
AL, Clay County	0	0	0	0	0	1	0	4	6745	5.06479e-05
AL, Cleburne County	0	0	0	0	0	1	0	4	6689	5.02275e-05
AL, Coffee County	0	0	1	0	0	0	0	14	22862	0.00017167
AL, Colbert County	0	0	0	0	0	1	0	14	26156	0.000196404
AL, Conecuh County	0	0	1	0	0	0	0	5	7055	5.29757e-05
AL, Coosa County	0	0	0	0	0	1	0	3	6453	4.84553e-05
AL, Covington County	0	0	1	0	0	0	0	14	18783	0.00014104
AL, Crenshaw County	0	0	1	0	0	0	0	6	6699	5.03025e-05
AL, Cullman County	0	0	0	0	0	1	0	18	37150	0.000278957
AL, Dale County	0	0	1	0	0	0	0	14	22839	0.000171497
AL, Dallas County	0	0	1	0	0	0	0	15	20242	0.000151996
AL, DeKalb County	0	0	0	0	0	1	0	14	31068	0.000233289
AL, Elmore County	0	0	1	0	0	0	0	15	33322	0.000250213
AL, Escambia County	0	0	1	0	0	0	0	9	16421	0.000123305
AL, Etowah County	0	0	0	0	0	1	0	30	47504	0.000356705
AL, Fayette County	0	0	0	0	0	1	0	5	8412	6.31654e-05
AL, Franklin County	0	0	0	0	0	1	0	9	14050	0.000105501
AL, Geneva County	0	0	1	0	0	0	0	6	12643	9.49357e-05
AL, Greene County	0	0	0	0	0	1	0	3	4996	3.75147e-05
AL, Hale County	0	0	0	0	0	1	0	6	7655	5.74811e-05
AL, Henry County	0	0	1	0	0	0	0	6	8950	6.72051e-05
AL, Houston County	0	0	1	0	0	0	0	22	46385	0.000348304
AL, Jackson County	0	0	0	0	0	1	0	11	24773	0.000186019
AL, Jefferson County	0	0	0	0	0	1	0	163	305262	0.0022922
AL, Lamar County	0	0	0	0	0	1	0	3	7327	5.50182e-05
AL, Lauderdale County	0	0	0	0	0	1	0	22	44313	0.000332745
AL, Lawrence County	0	0	0	0	0	1	0	9	15181	0.000113994
AL, Lee County	0	0	0	0	0	1	0	27	65701	0.000493346
AL, Limestone County	0	0	0	0	0	1	0	16	35515	0.00026668
AL, Lowndes County	0	0	1	0	0	0	0	4	5081	3.8153e-05
AL, Macon County	0	0	1	0	0	0	0	12	10222	7.67566e-05
AL, Madison County	0	0	0	0	0	1	0	73	154710	0.00116171
AL, Marengo County	0	0	1	0	0	0	0	6	10208	7.66515e-05
AL, Marion County	0	0	0	0	0	1	0	8	14702	0.000110397
AL, Marshall County	0	0	0	0	0	1	0	18	40352	0.000303002
AL, Mobile County	0	0	1	0	0	0	0	115	181612	0.00136371
AL, Monroe County	0	0	1	0	0	0	0	7	11275	8.46636e-05
AL, Montgomery County	0	0	1	0	0	0	0	65	103577	0.000777755
AL, Morgan County	0	0	0	0	0	1	0	27	51523	0.000386884
AL, Perry County	0	0	1	0	0	0	0	3	4693	3.52395e-05
AL, Pickens County	0	0	0	0	0	1	0	5	9449	7.09522e-05
AL, Pike County	0	0	1	0	0	0	0	8	15734	0.000118146
AL, Randolph County	0	0	0	0	0	1	0	6	11937	8.96345e-05
AL, Russell County	0	0	1	0	0	0	0	13	26719	0.000200632
AL, Shelby County	0	0	0	0	0	1	0	48	83622	0.000627915
AL, St. Clair County	0	0	0	0	0	1	0	13	35844	0.000269151
AL, Sumter County	0	0	0	0	0	1	0	4	6767	5.08132e-05
AL, Talladega County	0	0	0	0	0	1	0	22	37197	0.000279311
AL, Tallapoosa County	0	0	0	0	0	1	0	10	22058	0.000165633
AL, Tuscaloosa County	0	0	0	0	0	1	0	47	87923	0.00066021
AL, Walker County	0	0	0	0	0	1	0	18	30708	0.000230585
AL, Washington County	0	0	1	0	0	0	0	5	8374	6.288e-05
AL, Wilcox County	0	0	1	0	0	0	0	4	5619	4.21929e-05
AL, Winston County	0	0	0	0	0	1	0	7	13404	0.00010065
AR, Arkansas County	0	0	0	0	0	1	0	8	9441	7.08921e-05
AR, Ashley County	0	0	0	0	0	1	0	7	10101	7.5848e-05
AR, Baxter County	0	0	0	0	0	1	0	9	22588	0.000169612
AR, Benton County	0	0	0	0	0	1	0	49	98027	0.000736079
AR, Boone County	0	0	0	0	0	1	0	7	16908	0.000126961
AR, Bradley County	0	0	0	0	0	1	0	5	5819	4.36947e-05
AR, Calhoun County	0	0	0	0	0	1	0	2	2888	2.16858e-05
AR, Carroll County	0	0	0	0	0	1	0	5	13581	0.000101979
AR, Chicot County	0	0	0	0	0	1	0	4	5407	4.0601e-05
AR, Clark County	0	0	0	0	0	1	0	5	10405	7.81307e-05
AR, Clay County	0	0	0	0	0	1	0	6	8039	6.03645e-05
AR, Cleburne County	0	0	0	0	0	1	0	7	15854	0.000119047
AR, Cleveland County	0	0	0	0	0	1	0	2	4058	3.04713e-05
AR, Columbia County	0	0	1	0	0	0	0	5	11578	8.69388e-05
AR, Conway County	0	0	0	0	0	1	0	6	9733	7.30846e-05
AR, Craighead County	0	0	0	0	0	1	0	17	43278	0.000324973
AR, Crawford County	0	0	0	0	0	1	0	11	26430	0.000198461
AR, Crittenden County	0	0	0	0	0	1	0	20	21607	0.000162245
AR, Cross County	0	0	0	0	0	1	0	6	7883	5.91932e-05
AR, Dallas County	0	0	0	0	0	1	0	3	4285	3.21759e-05
AR, Desha County	0	0	0	0	0	1	0	5	6283	4.71788e-05
AR, Drew County	0	0	0	0	0	1	0	5	8479	6.36684e-05
AR, Faulkner County	0	0	0	0	0	1	0	25	48753	0.000366084
AR, Franklin County	0	0	0	0	0	1	0	3	8024	6.02519e-05
AR, Fulton County	0	0	0	0	0	1	0	2	6746	5.06554e-05
AR, Garland County	0	0	0	0	0	1	0	20	50530	0.000379428
AR, Grant County	0	0	0	0	0	1	0	4	7840	5.88703e-05
AR, Greene County	0	0	0	0	0	1	0	9	18479	0.000138758
AR, Hempstead County	0	0	0	0	0	1	0	5	10430	7.83185e-05
AR, Hot Spring County	0	0	0	0	0	1	0	7	14331	0.000107611
AR, Howard County	0	0	0	0	0	1	0	3	6230	4.67808e-05
AR, Independence County	0	0	0	0	0	1	0	8	16273	0.000122193
AR, Izard County	0	0	0	0	0	1	0	4	7212	5.41544e-05
AR, Jackson County	0	0	0	0	0	1	0	5	7598	5.70531e-05
AR, Jefferson County	0	0	0	0	0	1	0	24	33207	0.000249349
AR, Johnson County	0	0	0	0	0	1	0	6	11350	8.52267e-05
AR, Lafayette County	0	0	1	0	0	0	0	2	4342	3.26039e-05
AR, Lawrence County	0	0	0	0	0	1	0	6	7969	5.98388e-05
AR, Lee County	0	0	0	0	0	1	0	4	4363	3.27615e-05
AR, Lincoln County	0	0	0	0	0	1	0	4	4852	3.64335e-05
AR, Little River County	0	0	1	0	0	0	0	4	6449	4.84253e-05
AR, Logan County	0	0	0	0	0	1	0	6	10129	7.60583e-05
AR, Lonoke County	0	0	0	0	0	1	0	16	28553	0.000214403
AR, Madison County	0	0	0	0	0	1	0	4	7482	5.61819e-05
AR, Marion County	0	0	0	0	0	1	0	4	9343	7.01561e-05
AR, Miller County	0	0	1	0	0	0	0	12	19397	0.000145652
AR, Mississippi County	0	0	0	0	0	1	0	12	20495	0.000153896
AR, Monroe County	0	0	0	0	0	1	0	3	4441	3.33472e-05
AR, Montgomery County	0	0	0	0	0	1	0	3	5740	4.31015e-05
AR, Nevada County	0	0	0	0	0	1	0	3	4542	3.41057e-05
AR, Newton County	0	0	0	0	0	1	0	2	4670	3.50668e-05
AR, Ouachita County	0	0	0	0	0	1	0	6	13063	9.80895e-05
AR, Perry County	0	0	0	0	0	1	0	3	4907	3.68464e-05
AR, Phillips County	0	0	0	0	0	1	0	6	10156	7.62609e-05
AR, Pike County	0	0	0	0	0	1	0	3	5572	4.18399e-05
AR, Poinsett County	0	0	0	0	0	1	0	7	10926	8.20428e-05
AR, Polk County	0	0	0	0	0	1	0	6	10032	7.53299e-05
AR, Pope County	0	0	0	0	0	1	0	11	25867	0.000194235
AR, Prairie County	0	0	0	0	0	1	0	3	4497	3.37678e-05
AR, Pulaski County	0	0	0	0	0	1	0	95	181232	0.00136086
AR, Randolph County	0	0	0	0	0	1	0	4	8537	6.4104e-05
AR, Saline County	0	0	0	0	0	1	0	21	46800	0.000351419
AR, Scott County	0	0	0	0	0	1	0	3	5181	3.8904e-05
AR, Searcy County	0	0	0	0	0	1	0	3	4904	3.68238e-05
AR, Sebastian County	0	0	0	0	0	1	0	26	56055	0.000420915
AR, Sevier County	0	0	0	0	0	1	0	4	6874	5.16166e-05
AR, Sharp County	0	0	0	0	0	1	0	4	9826	7.37831e-05
AR, St. Francis County	0	0	0	0	0	1	0	6	10898	8.18327e-05
AR, Stone County	0	0	0	0	0	1	0	3	6759	5.07529e-05
AR, Union County	0	0	1	0	0	0	0	10	19688	0.000147836
