Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Building Type RECS	Dependency=Geometry Foundation Type	Option=None	Option=Uninsulated	Option=Ceiling R-13	Option=Ceiling R-19	Option=Ceiling R-30	sampling_probability
CR02	<1940	Mobile Home	Ambient	0	1	0	0	0	1.86996e-05
CR03	<1940	Mobile Home	Ambient	0	1	0	0	0	1.63224e-05
CR04	<1940	Mobile Home	Ambient	0	1	0	0	0	4.89494e-05
CR05	<1940	Mobile Home	Ambient	0	1	0	0	0	1.72979e-05
CR06	<1940	Mobile Home	Ambient	0	1	0	0	0	1.49903e-05
CR07	<1940	Mobile Home	Ambient	0	1	0	0	0	5.09791e-05
CR08	<1940	Mobile Home	Ambient	0	1	0	0	0	4.21125e-05
CR09	<1940	Mobile Home	Ambient	0	1	0	0	0	9.53758e-05
CR10	<1940	Mobile Home	Ambient	0	1	0	0	0	1.48486e-05
CR11	<1940	Mobile Home	Ambient	0	1	0	0	0	3.49408e-05
CR02	1940s	Mobile Home	Ambient	0	1	0	0	0	5.14332e-06
CR03	1940s	Mobile Home	Ambient	0	1	0	0	0	8.01208e-06
CR04	1940s	Mobile Home	Ambient	0	1	0	0	0	2.30209e-05
CR05	1940s	Mobile Home	Ambient	0	1	0	0	0	8.18815e-06
CR06	1940s	Mobile Home	Ambient	0	1	0	0	0	8.94335e-06
CR07	1940s	Mobile Home	Ambient	0	1	0	0	0	2.18353e-05
CR08	1940s	Mobile Home	Ambient	0	1	0	0	0	2.58356e-05
CR09	1940s	Mobile Home	Ambient	0	1	0	0	0	8.93836e-05
CR10	1940s	Mobile Home	Ambient	0	1	0	0	0	1.22434e-05
CR11	1940s	Mobile Home	Ambient	0	1	0	0	0	3.9332e-05
CR02	1950s	Mobile Home	Ambient	0	1	0	0	0	2.12801e-05
CR03	1950s	Mobile Home	Ambient	0	1	0	0	0	2.18133e-05
CR04	1950s	Mobile Home	Ambient	0	1	0	0	0	6.92456e-05
CR05	1950s	Mobile Home	Ambient	0	1	0	0	0	2.44378e-05
CR06	1950s	Mobile Home	Ambient	0	1	0	0	0	3.0498e-05
CR07	1950s	Mobile Home	Ambient	0	1	0	0	0	5.63576e-05
CR08	1950s	Mobile Home	Ambient	0	1	0	0	0	6.39581e-05
CR09	1950s	Mobile Home	Ambient	0	1	0	0	0	0.000282175
CR10	1950s	Mobile Home	Ambient	0	1	0	0	0	5.62586e-05
CR11	1950s	Mobile Home	Ambient	0	1	0	0	0	0.000140356
CR02	1960s	Mobile Home	Ambient	0	1	0	0	0	9.17483e-05
CR03	1960s	Mobile Home	Ambient	0	1	0	0	0	0.000104846
CR04	1960s	Mobile Home	Ambient	0	1	0	0	0	0.000327226
CR05	1960s	Mobile Home	Ambient	0	1	0	0	0	0.00016005
CR06	1960s	Mobile Home	Ambient	0	1	0	0	0	0.000173352
CR07	1960s	Mobile Home	Ambient	0	1	0	0	0	0.000233367
CR08	1960s	Mobile Home	Ambient	0	1	0	0	0	0.000366784
CR09	1960s	Mobile Home	Ambient	0	1	0	0	0	0.0011307
CR10	1960s	Mobile Home	Ambient	0	1	0	0	0	0.000240983
CR11	1960s	Mobile Home	Ambient	0	1	0	0	0	0.00046441
CR02	1970s	Mobile Home	Ambient	0	1	0	0	0	0.000502669
CR03	1970s	Mobile Home	Ambient	0	1	0	0	0	0.000303848
CR04	1970s	Mobile Home	Ambient	0	1	0	0	0	0.00107793
CR05	1970s	Mobile Home	Ambient	0	1	0	0	0	0.000704176
CR06	1970s	Mobile Home	Ambient	0	1	0	0	0	0.000772123
CR07	1970s	Mobile Home	Ambient	0	1	0	0	0	0.000790424
CR08	1970s	Mobile Home	Ambient	0	1	0	0	0	0.00137667
CR09	1970s	Mobile Home	Ambient	0	1	0	0	0	0.0043118
CR10	1970s	Mobile Home	Ambient	0	1	0	0	0	0.000881739
CR11	1970s	Mobile Home	Ambient	0	1	0	0	0	0.00144057
CR02	1980s	Mobile Home	Ambient	0	0.62	0.14	0.24	0	0.00036152
CR03	1980s	Mobile Home	Ambient	0	0.41	0.26	0.33	0	0.000340042
CR04	1980s	Mobile Home	Ambient	0	0.56	0.2	0.24	0	0.00110734
CR05	1980s	Mobile Home	Ambient	0	0.77	0.06	0.17	0	0.000406601
CR06	1980s	Mobile Home	Ambient	0	0.23	0.17	0.6	0	0.000573247
CR07	1980s	Mobile Home	Ambient	0	0.47	0.2	0.33	0	0.000785363
CR08	1980s	Mobile Home	Ambient	0	0.41	0.12	0.47	0	0.00170613
CR09	1980s	Mobile Home	Ambient	0	0.57	0.2	0.23	0	0.00676933
CR10	1980s	Mobile Home	Ambient	0	0.41	0.51	0.08	0	0.000895827
CR11	1980s	Mobile Home	Ambient	0	0.23	0.17	0.6	0	0.000738686
CR02	1990s	Mobile Home	Ambient	0	0.23	0.17	0.6	0	0.000552808
CR03	1990s	Mobile Home	Ambient	0	0.77	0.06	0.17	0	0.000237892
CR04	1990s	Mobile Home	Ambient	0	0.41	0.26	0.33	0	0.00151842
CR05	1990s	Mobile Home	Ambient	0	0.62	0.14	0.24	0	0.000471338
CR06	1990s	Mobile Home	Ambient	0	0.56	0.2	0.24	0	0.000693485
CR07	1990s	Mobile Home	Ambient	0	0.23	0.17	0.6	0	0.000762863
