Dependency=Geometry Building Type RECS	Dependency=Location Region	Option=Has Pool	Option=None	source_count	source_weight	sampling_probability
Mobile Home	CR02	0.000000	1.000000	29.000000	253875.265625	0.003226
Mobile Home	CR03	0.000000	1.000000	17.000000	84436.820312	0.002929
Mobile Home	CR04	0.000000	1.000000	23.000000	509126.718750	0.008075
Mobile Home	CR05	0.000000	1.000000	19.000000	241470.843750	0.002153
Mobile Home	CR06	0.000000	1.000000	26.000000	285404.625000	0.002116
Mobile Home	CR07	0.000000	1.000000	32.000000	435344.156250	0.007855
Mobile Home	CR08	0.000000	1.000000	98.000000	1258499.750000	0.007744
Mobile Home	CR09	0.000000	1.000000	203.000000	2958488.250000	0.017640
Mobile Home	CR10	0.000000	1.000000	39.000000	421342.125000	0.002270
Mobile Home	CR11	0.000000	1.000000	47.000000	394079.281250	0.006299
Multi-Family with 2 - 4 Units	CR02	0.000000	1.000000	46.000000	411911.562500	0.004207
Multi-Family with 2 - 4 Units	CR03	0.000000	1.000000	160.000000	1027010.562500	0.003820
Multi-Family with 2 - 4 Units	CR04	0.000000	1.000000	55.000000	1276916.625000	0.010532
Multi-Family with 2 - 4 Units	CR05	0.000000	1.000000	20.000000	190449.359375	0.002808
Multi-Family with 2 - 4 Units	CR06	0.000000	1.000000	33.000000	337683.968750	0.002760
Multi-Family with 2 - 4 Units	CR07	0.000000	1.000000	172.000000	2112466.500000	0.010244
Multi-Family with 2 - 4 Units	CR08	0.000000	1.000000	91.000000	676012.625000	0.010100
Multi-Family with 2 - 4 Units	CR09	0.000000	1.000000	190.000000	1769331.500000	0.023006
Multi-Family with 2 - 4 Units	CR10	0.000000	1.000000	13.000000	139943.781250	0.002961
Multi-Family with 2 - 4 Units	CR11	0.000000	1.000000	141.000000	1034231.375000	0.008215
Multi-Family with 5+ Units	CR02	0.000000	1.000000	114.000000	839194.125000	0.009323
Multi-Family with 5+ Units	CR03	0.000000	1.000000	159.000000	1025052.625000	0.008465
Multi-Family with 5+ Units	CR04	0.000000	1.000000	121.000000	2401607.750000	0.023340
Multi-Family with 5+ Units	CR05	0.000000	1.000000	48.000000	377622.937500	0.006223
Multi-Family with 5+ Units	CR06	0.000000	1.000000	60.000000	722521.812500	0.006117
Multi-Family with 5+ Units	CR07	0.000000	1.000000	316.000000	3424272.500000	0.022702
Multi-Family with 5+ Units	CR08	0.000000	1.000000	225.000000	2100599.750000	0.022383
Multi-Family with 5+ Units	CR09	0.000000	1.000000	475.000000	4572983.500000	0.050985
Multi-Family with 5+ Units	CR10	0.000000	1.000000	52.000000	550501.375000	0.006562
Multi-Family with 5+ Units	CR11	0.000000	1.000000	330.000000	2871667.750000	0.018206
Single-Family Attached	CR02	0.014771	0.985229	64.000000	354896.687500	0.003123
Single-Family Attached	CR03	0.000000	1.000000	67.000000	285479.375000	0.002836
Single-Family Attached	CR04	0.000000	1.000000	43.000000	690747.125000	0.007820
Single-Family Attached	CR05	0.000000	1.000000	55.000000	295264.906250	0.002085
Single-Family Attached	CR06	0.000000	1.000000	22.000000	171122.062500	0.002049
Single-Family Attached	CR07	0.023598	0.976402	154.000000	1523358.500000	0.007606
Single-Family Attached	CR08	0.018171	0.981829	160.000000	1171957.750000	0.007499
Single-Family Attached	CR09	0.014544	0.985456	158.000000	1174675.625000	0.017082
Single-Family Attached	CR10	0.046176	0.953824	20.000000	174125.406250	0.002198
Single-Family Attached	CR11	0.012129	0.987871	144.000000	856699.000000	0.006100
Single-Family Detached	CR02	0.051495	0.948505	688.000000	4320619.000000	0.033608
Single-Family Detached	CR03	0.119015	0.880985	535.000000	3089118.000000	0.030518
Single-Family Detached	CR04	0.079175	0.920825	666.000000	10702742.000000	0.084140
Single-Family Detached	CR05	0.025394	0.974606	303.000000	2815783.750000	0.022435
Single-Family Detached	CR06	0.035908	0.964092	226.000000	2329728.000000	0.022052
Single-Family Detached	CR07	0.173149	0.826851	654.000000	7763908.500000	0.081841
Single-Family Detached	CR08	0.080455	0.919545	1306.000000	9230493.000000	0.080691
Single-Family Detached	CR09	0.114957	0.885043	2178.000000	21322996.000000	0.183799
Single-Family Detached	CR10	0.192343	0.807657	243.000000	2698771.500000	0.023655
Single-Family Detached	CR11	0.167064	0.832936	944.000000	7058214.000000	0.065633
# Created by: sources\recs\2009\tsv_maker.py
# Source: Constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.
