Dependency=Geometry Building Type RECS	Dependency=HVAC Heating Type	Dependency=State	Dependency=Vintage ACS	Option=Central AC	Option=Ducted Heat Pump	Option=Evaporative or Swamp Cooler	Option=Non-Ducted Heat Pump	Option=None	Option=Room AC	source_count	source_weight	sampling_probability
Mobile Home	Ducted Heat Pump	AK	1940-59	0	0	0	0	1	0	13	0	0
Mobile Home	Ducted Heating	AK	1940-59	0	0	0	0	1	0	11	802.902	2.26816e-06
Mobile Home	Non-Ducted Heat Pump	AK	1940-59	0	0	0	1	0	0	13	0	3.21811e-08
Mobile Home	Non-Ducted Heating	AK	1940-59	0	0	0	0	1	0	87	0	1.93222e-06
Mobile Home	None	AK	1940-59	0	0	0	0	1	0	51	0	0
Mobile Home	Ducted Heat Pump	AK	1960-79	0	0	0	0	1	0	31	0	0
Mobile Home	Ducted Heating	AK	1960-79	0	0	0	0	1	0	23	5636.44	5.56331e-05
Mobile Home	Non-Ducted Heat Pump	AK	1960-79	0	0	0	1	0	0	10	0	3.41592e-07
Mobile Home	Non-Ducted Heating	AK	1960-79	0	0	0	0	1	0	47	1873.61	1.7246e-05
Mobile Home	None	AK	1960-79	0	0	0	0	1	0	86	0	0
Mobile Home	Ducted Heat Pump	AK	1980-99	0	0	0	0	1	0	34	0	0
Mobile Home	Ducted Heating	AK	1980-99	0	0	0	0	1	0	40	1281.42	2.47785e-05
Mobile Home	Non-Ducted Heat Pump	AK	1980-99	0	0	0	1	0	0	41	0	1.78342e-07
Mobile Home	Non-Ducted Heating	AK	1980-99	0	0	0	0	1	0	51	0	6.49091e-06
Mobile Home	None	AK	1980-99	0	0	0	0	1	0	77	0	0
Mobile Home	Ducted Heat Pump	AK	2000-09	0	0	0	0	1	0	16	0	0
Mobile Home	Ducted Heating	AK	2000-09	0	0	0	0	1	0	24	0	2.95328e-06
Mobile Home	Non-Ducted Heat Pump	AK	2000-09	0	0	0	1	0	0	41	0	2.39619e-08
Mobile Home	Non-Ducted Heating	AK	2000-09	0	0	0	0	1	0	28	0	1.00557e-06
Mobile Home	None	AK	2000-09	0	0	0	0	1	0	28	0	0
Mobile Home	Ducted Heat Pump	AK	2010s	0	0	0	0	1	0	22	0	0
Mobile Home	Ducted Heating	AK	2010s	0	0	0	0	1	0	12	967.128	3.02668e-06
Mobile Home	Non-Ducted Heat Pump	AK	2010s	0	0	0	1	0	0	41	0	1.81517e-08
Mobile Home	Non-Ducted Heating	AK	2010s	0	0	0	0	1	0	14	944.437	7.9499e-07
Mobile Home	None	AK	2010s	0	0	0	0	1	0	16	0	0
Mobile Home	Ducted Heat Pump	AK	<1940	0	0	0	0	1	0	13	0	0
Mobile Home	Ducted Heating	AK	<1940	0	0	0	0	1	0	138	0	3.63319e-07
Mobile Home	Non-Ducted Heat Pump	AK	<1940	0	0	0	1	0	0	13	0	2.82365e-09
Mobile Home	Non-Ducted Heating	AK	<1940	0	0	0	0	1	0	44	0	2.63601e-07
Mobile Home	None	AK	<1940	0	0	0	0	1	0	21	0	0
Multi-Family with 2 - 4 Units	Ducted Heat Pump	AK	1940-59	0	0	0	0	1	0	52	0	0
Multi-Family with 2 - 4 Units	Ducted Heating	AK	1940-59	0	0	0	0	1	0	20	0	3.66701e-06
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	AK	1940-59	0	0	0	1	0	0	5	0	3.04438e-07
Multi-Family with 2 - 4 Units	Non-Ducted Heating	AK	1940-59	0	0	0	0	1	0	52	1444.59	2.00747e-05
Multi-Family with 2 - 4 Units	None	AK	1940-59	0	0	0	0	1	0	18	0	0
Multi-Family with 2 - 4 Units	Ducted Heat Pump	AK	1960-79	0	0	0	0	1	0	17	0	0
Multi-Family with 2 - 4 Units	Ducted Heating	AK	1960-79	0	0	0	0	1	0	45	2309.44	5.99961e-06
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	AK	1960-79	0	0	0	1	0	0	9	0	3.36391e-07
Multi-Family with 2 - 4 Units	Non-Ducted Heating	AK	1960-79	0	0	0	0	1	0	15	6188.47	9.25228e-05
Multi-Family with 2 - 4 Units	None	AK	1960-79	0	0	0	0	1	0	57	0	0
Multi-Family with 2 - 4 Units	Ducted Heat Pump	AK	1980-99	0	0	0	0	1	0	14	0	0
Multi-Family with 2 - 4 Units	Ducted Heating	AK	1980-99	0	0	0	0	1	0	36	3173.08	1.11273e-05
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	AK	1980-99	0	0	0	1	0	0	9	0	1.24341e-06
Multi-Family with 2 - 4 Units	Non-Ducted Heating	AK	1980-99	0	0	0	0	1	0	14	8823.06	9.49115e-05
Multi-Family with 2 - 4 Units	None	AK	1980-99	0	0	0	0	1	0	39	0	0
Multi-Family with 2 - 4 Units	Ducted Heat Pump	AK	2000-09	0	0	0	0	1	0	11	0	0
Multi-Family with 2 - 4 Units	Ducted Heating	AK	2000-09	0	0	0	0	1	0	17	0	4.60149e-06
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	AK	2000-09	0	0	0	1	0	0	20	0	3.67482e-07
Multi-Family with 2 - 4 Units	Non-Ducted Heating	AK	2000-09	0	0	0	0	1	0	25	1113.17	3.07374e-05
Multi-Family with 2 - 4 Units	None	AK	2000-09	0	0	0	0	1	0	18	0	0
Multi-Family with 2 - 4 Units	Ducted Heat Pump	AK	2010s	0	0	0	0	1	0	11	0	0
Multi-Family with 2 - 4 Units	Ducted Heating	AK	2010s	0	0	0	0	1	0	14	1950.72	3.26565e-06
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	AK	2010s	0	0	0	1	0	0	20	0	9.5133e-07
Multi-Family with 2 - 4 Units	Non-Ducted Heating	AK	2010s	0	0	0	0	1	0	31	0	1.29344e-05
Multi-Family with 2 - 4 Units	None	AK	2010s	0	0	0	0	1	0	13	0	0
Multi-Family with 2 - 4 Units	Ducted Heat Pump	AK	<1940	0	0	0	0	1	0	52	0	0
Multi-Family with 2 - 4 Units	Ducted Heating	AK	<1940	0	0	0	0	1	0	20	0	7.61139e-07
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	AK	<1940	0	0	0	1	0	0	5	0	4.95374e-08
Multi-Family with 2 - 4 Units	Non-Ducted Heating	AK	<1940	0	0	0	0	1	0	35	742.807	5.36037e-06
Multi-Family with 2 - 4 Units	None	AK	<1940	0	0	0	0	1	0	10	0	0
Multi-Family with 5+ Units	Ducted Heat Pump	AK	1940-59	0	0	0	0	1	0	52	0	0
Multi-Family with 5+ Units	Ducted Heating	AK	1940-59	0	0	0	0	1	0	20	1218.25	2.99099e-06
Multi-Family with 5+ Units	Non-Ducted Heat Pump	AK	1940-59	0	0	0	1	0	0	5	0	2.57598e-07
Multi-Family with 5+ Units	Non-Ducted Heating	AK	1940-59	0	0	0	0	1	0	52	4250.79	1.54971e-05
Multi-Family with 5+ Units	None	AK	1940-59	0	0	0	0	1	0	18	0	0
Multi-Family with 5+ Units	Ducted Heat Pump	AK	1960-79	0	0	0	0	1	0	17	0	0
Multi-Family with 5+ Units	Ducted Heating	AK	1960-79	0	0	0	0	1	0	45	1824.77	6.51462e-06
Multi-Family with 5+ Units	Non-Ducted Heat Pump	AK	1960-79	0	0	0	1	0	0	9	0	3.37785e-07
Multi-Family with 5+ Units	Non-Ducted Heating	AK	1960-79	0	0	0	0	1	0	15	10921.1	9.97285e-05
Multi-Family with 5+ Units	None	AK	1960-79	0	0	0	0	1	0	57	0	0
Multi-Family with 5+ Units	Ducted Heat Pump	AK	1980-99	0	0	0	0	1	0	14	0	0
Multi-Family with 5+ Units	Ducted Heating	AK	1980-99	0	0	0	0	1	0	36	1145.49	1.18288e-05
Multi-Family with 5+ Units	Non-Ducted Heat Pump	AK	1980-99	0	0	0	1	0	0	9	0	1.10741e-06
Multi-Family with 5+ Units	Non-Ducted Heating	AK	1980-99	0	0	0	0	1	0	14	7094.98	9.63256e-05
Multi-Family with 5+ Units	None	AK	1980-99	0	0	0	0	1	0	39	0	0
Multi-Family with 5+ Units	Ducted Heat Pump	AK	2000-09	0	0	0	0	1	0	11	0	0
Multi-Family with 5+ Units	Ducted Heating	AK	2000-09	0	0	0	0	1	0	17	1008.37	2.76623e-06
Multi-Family with 5+ Units	Non-Ducted Heat Pump	AK	2000-09	0	0	0	1	0	0	20	0	1.77391e-07
Multi-Family with 5+ Units	Non-Ducted Heating	AK	2000-09	0	0	0	0	1	0	25	930.575	1.62975e-05
Multi-Family with 5+ Units	None	AK	2000-09	0	0	0	0	1	0	18	1070.2	0
Multi-Family with 5+ Units	Ducted Heat Pump	AK	2010s	0	0	0	0	1	0	11	0	0
Multi-Family with 5+ Units	Ducted Heating	AK	2010s	0	0	0	0	1	0	14	0	2.04153e-06
