Dependency=Electric Vehicle Charger	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=Tenure	Dependency=Vintage ACS	Option=No	Option=Yes	Option=Void	source_count	source_weight	sampling_probability
Level 1 charger	0-100%	Mobile Home	Not Available	1940-59	0	0	1	7.747	5.24871e-18	0
Level 1 charger	0-100%	Mobile Home	Not Available	1960-79	0	0	1	7.747	919.696	0
Level 1 charger	0-100%	Mobile Home	Not Available	1980-99	0	0	1	7.747	732.457	0
Level 1 charger	0-100%	Mobile Home	Not Available	2000-09	0	0	1	7.747	59.9681	0
Level 1 charger	0-100%	Mobile Home	Not Available	2010s	0	0	1	7.747	5.24871e-18	0
Level 1 charger	0-100%	Mobile Home	Not Available	<1940	0	0	1	7.747	5.24871e-18	0
Level 1 charger	0-100%	Mobile Home	Owner	1940-59	0.1054	0.8946	0	3.65398	2.40075e-18	2.64315e-07
Level 1 charger	0-100%	Mobile Home	Owner	1960-79	0.1054	0.8946	0	3.65398	420.666	2.62504e-06
Level 1 charger	0-100%	Mobile Home	Owner	1980-99	0.1054	0.8946	0	3.65398	335.024	2.69944e-06
Level 1 charger	0-100%	Mobile Home	Owner	2000-09	0.1054	0.8946	0	3.65398	27.4292	6.76302e-07
Level 1 charger	0-100%	Mobile Home	Owner	2010s	0.1054	0.8946	0	3.65398	2.40075e-18	1.89771e-07
Level 1 charger	0-100%	Mobile Home	Owner	<1940	0.1054	0.8946	0	3.65398	2.40075e-18	5.98717e-08
Level 1 charger	0-100%	Mobile Home	Renter	1940-59	0.197402	0.802598	0	0.758789	5.4993e-19	4.5446e-07
Level 1 charger	0-100%	Mobile Home	Renter	1960-79	0.197402	0.802598	0	0.758789	96.3606	4.17124e-06
Level 1 charger	0-100%	Mobile Home	Renter	1980-99	0.197402	0.802598	0	0.758789	76.7428	5.04004e-06
Level 1 charger	0-100%	Mobile Home	Renter	2000-09	0.197402	0.802598	0	0.758789	6.28312	1.46391e-06
Level 1 charger	0-100%	Mobile Home	Renter	2010s	0.197402	0.802598	0	0.758789	5.4993e-19	3.9465e-07
Level 1 charger	0-100%	Mobile Home	Renter	<1940	0.197402	0.802598	0	0.758789	5.4993e-19	1.50999e-07
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Not Available	1940-59	0	0	1	0.870201	403.74	0
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Not Available	1960-79	0	0	1	0.870201	387.195	0
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Not Available	1980-99	0	0	1	0.870201	4.3977e-18	0
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Not Available	2000-09	0	0	1	0.870201	4.3977e-18	0
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Not Available	2010s	0	0	1	0.870201	377.656	0
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Not Available	<1940	0	0	1	0.870201	320.2	0
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Owner	1940-59	0.398034	0.601966	0	0.00220808	1.1979	6.79234e-07
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Owner	1960-79	0.398034	0.601966	0	0.00220808	1.14881	1.12324e-06
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Owner	1980-99	0.398034	0.601966	0	0.00220808	1.3048e-20	8.59642e-07
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Owner	2000-09	0.398034	0.601966	0	0.00220808	1.3048e-20	2.13698e-07
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Owner	2010s	0.398034	0.601966	0	0.00220808	1.12051	8.45322e-08
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Owner	<1940	0.398034	0.601966	0	0.00220808	0.950035	1.36495e-06
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Renter	1940-59	0.736095	0.263905	0	0.784472	360.954	4.28278e-06
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Renter	1960-79	0.736095	0.263905	0	0.784472	346.163	6.92923e-06
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Renter	1980-99	0.736095	0.263905	0	0.784472	3.93166e-18	5.19205e-06
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Renter	2000-09	0.736095	0.263905	0	0.784472	3.93166e-18	1.73338e-06
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Renter	2010s	0.736095	0.263905	0	0.784472	337.634	6.56246e-07
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Renter	<1940	0.736095	0.263905	0	0.784472	286.267	5.65115e-06
Level 1 charger	0-100%	Multi-Family with 5+ Units	Not Available	1940-59	0	0	1	0.297795	78.1831	0
Level 1 charger	0-100%	Multi-Family with 5+ Units	Not Available	1960-79	0	0	1	0.297795	742.057	0
Level 1 charger	0-100%	Multi-Family with 5+ Units	Not Available	1980-99	0	0	1	0.297795	1.88354e-18	0
Level 1 charger	0-100%	Multi-Family with 5+ Units	Not Available	2000-09	0	0	1	0.297795	1355.76	0
Level 1 charger	0-100%	Multi-Family with 5+ Units	Not Available	2010s	0	0	1	0.297795	340.629	0
Level 1 charger	0-100%	Multi-Family with 5+ Units	Not Available	<1940	0	0	1	0.297795	202.043	0
Level 1 charger	0-100%	Multi-Family with 5+ Units	Owner	1940-59	0.496824	0.503176	0	0.000526023	0.129046	1.20549e-06
Level 1 charger	0-100%	Multi-Family with 5+ Units	Owner	1960-79	0.496824	0.503176	0	0.000526023	1.22481	4.02003e-06
Level 1 charger	0-100%	Multi-Family with 5+ Units	Owner	1980-99	0.496824	0.503176	0	0.000526023	3.10889e-21	2.74552e-06
Level 1 charger	0-100%	Multi-Family with 5+ Units	Owner	2000-09	0.496824	0.503176	0	0.000526023	2.23777	7.76648e-07
Level 1 charger	0-100%	Multi-Family with 5+ Units	Owner	2010s	0.496824	0.503176	0	0.000526023	0.562228	4.5054e-07
Level 1 charger	0-100%	Multi-Family with 5+ Units	Owner	<1940	0.496824	0.503176	0	0.000526023	0.333484	1.1046e-06
Level 1 charger	0-100%	Multi-Family with 5+ Units	Renter	1940-59	0.754005	0.245995	0	0.273275	71.9595	2.60032e-05
Level 1 charger	0-100%	Multi-Family with 5+ Units	Renter	1960-79	0.754005	0.245995	0	0.273275	682.987	6.62791e-05
Level 1 charger	0-100%	Multi-Family with 5+ Units	Renter	1980-99	0.754005	0.245995	0	0.273275	1.7336e-18	5.2093e-05
Level 1 charger	0-100%	Multi-Family with 5+ Units	Renter	2000-09	0.754005	0.245995	0	0.273275	1247.84	2.21676e-05
Level 1 charger	0-100%	Multi-Family with 5+ Units	Renter	2010s	0.754005	0.245995	0	0.273275	313.514	1.19293e-05
Level 1 charger	0-100%	Multi-Family with 5+ Units	Renter	<1940	0.754005	0.245995	0	0.273275	185.96	2.96043e-05
Level 1 charger	0-100%	Single-Family Attached	Not Available	1940-59	0	0	1	0.161478	2.66109	0
Level 1 charger	0-100%	Single-Family Attached	Not Available	1960-79	0	0	1	0.161478	223.348	0
Level 1 charger	0-100%	Single-Family Attached	Not Available	1980-99	0	0	1	0.161478	88.1057	0
Level 1 charger	0-100%	Single-Family Attached	Not Available	2000-09	0	0	1	0.161478	144.759	0
Level 1 charger	0-100%	Single-Family Attached	Not Available	2010s	0	0	1	0.161478	127.467	0
Level 1 charger	0-100%	Single-Family Attached	Not Available	<1940	0	0	1	0.161478	6.87688	0
Level 1 charger	0-100%	Single-Family Attached	Owner	1940-59	0.0338401	0.96616	0	0.00954095	0.162993	0
Level 1 charger	0-100%	Single-Family Attached	Owner	1960-79	0.0338401	0.96616	0	0.00954095	13.6802	0
Level 1 charger	0-100%	Single-Family Attached	Owner	1980-99	0.0338401	0.96616	0	0.00954095	5.39652	0
Level 1 charger	0-100%	Single-Family Attached	Owner	2000-09	0.0338401	0.96616	0	0.00954095	8.86659	0
Level 1 charger	0-100%	Single-Family Attached	Owner	2010s	0.0338401	0.96616	0	0.00954095	7.80745	0
Level 1 charger	0-100%	Single-Family Attached	Owner	<1940	0.0338401	0.96616	0	0.00954095	0.421212	0
Level 1 charger	0-100%	Single-Family Attached	Renter	1940-59	0.0590002	0.941	0	0.0925041	1.50691	6.98424e-07
Level 1 charger	0-100%	Single-Family Attached	Renter	1960-79	0.0590002	0.941	0	0.0925041	126.476	8.18738e-07
Level 1 charger	0-100%	Single-Family Attached	Renter	1980-99	0.0590002	0.941	0	0.0925041	49.8919	8.42902e-07
Level 1 charger	0-100%	Single-Family Attached	Renter	2000-09	0.0590002	0.941	0	0.0925041	81.9735	3.48694e-07
Level 1 charger	0-100%	Single-Family Attached	Renter	2010s	0.0590002	0.941	0	0.0925041	72.1814	1.15126e-07
Level 1 charger	0-100%	Single-Family Attached	Renter	<1940	0.0590002	0.941	0	0.0925041	3.89419	7.09166e-07
Level 1 charger	0-100%	Single-Family Detached	Not Available	1940-59	0	0	1	0.0798422	326.091	0
Level 1 charger	0-100%	Single-Family Detached	Not Available	1960-79	0	0	1	0.0487925	344.377	0
Level 1 charger	0-100%	Single-Family Detached	Not Available	1980-99	0	0	1	0.0620995	496.122	0
Level 1 charger	0-100%	Single-Family Detached	Not Available	2000-09	0	0	1	0.0399211	212.625	0
Level 1 charger	0-100%	Single-Family Detached	Not Available	2010s	0	0	1	0.0243962	134.39	0
Level 1 charger	0-100%	Single-Family Detached	Not Available	<1940	0	0	1	0.055446	304.999	0
Level 1 charger	0-100%	Single-Family Detached	Owner	1940-59	0.132022	0.867978	0	0.0368874	145.751	1.81291e-05
Level 1 charger	0-100%	Single-Family Detached	Owner	1960-79	0.411295	0.588705	0	0.0225423	153.925	1.87199e-05
Level 1 charger	0-100%	Single-Family Detached	Owner	1980-99	0.121111	0.878889	0	0.0286902	221.75	1.40684e-05
Level 1 charger	0-100%	Single-Family Detached	Owner	2000-09	0	1	0	0.0184437	95.0361	6.6065e-06
Level 1 charger	0-100%	Single-Family Detached	Owner	2010s	0.529209	0.470791	0	0.0112711	60.0675	1.76473e-06
Level 1 charger	0-100%	Single-Family Detached	Owner	<1940	0.315338	0.684662	0	0.0256162	136.324	9.33558e-06
Level 1 charger	0-100%	Single-Family Detached	Renter	1940-59	0.207933	0.792067	0	0.0081759	35.8231	7.87903e-06
Level 1 charger	0-100%	Single-Family Detached	Renter	1960-79	0.546653	0.453347	0	0.00499638	37.8319	7.22795e-06
Level 1 charger	0-100%	Single-Family Detached	Renter	1980-99	0.192137	0.807863	0	0.00635903	54.502	5.68806e-06
Level 1 charger	0-100%	Single-Family Detached	Renter	2000-09	0	1	0	0.00408795	23.3582	2.90644e-06
Level 1 charger	0-100%	Single-Family Detached	Renter	2010s	0.659874	0.340126	0	0.00249819	14.7635	8.06757e-07
Level 1 charger	0-100%	Single-Family Detached	Renter	<1940	0.442873	0.557127	0	0.00567771	33.506	4.51309e-06
Level 1 charger	100-150%	Mobile Home	Not Available	1940-59	0	0	1	3.82051	1.84031e-18	0
Level 1 charger	100-150%	Mobile Home	Not Available	1960-79	0	0	1	3.82051	322.465	0
Level 1 charger	100-150%	Mobile Home	Not Available	1980-99	0	0	1	3.82051	256.815	0
Level 1 charger	100-150%	Mobile Home	Not Available	2000-09	0	0	1	3.82051	21.0261	0
Level 1 charger	100-150%	Mobile Home	Not Available	2010s	0	0	1	3.82051	1.84031e-18	0
Level 1 charger	100-150%	Mobile Home	Not Available	<1940	0	0	1	3.82051	1.84031e-18	0
Level 1 charger	100-150%	Mobile Home	Owner	1940-59	0.0834749	0.916525	0	2.41288	1.18977e-18	1.01901e-09
Level 1 charger	100-150%	Mobile Home	Owner	1960-79	0.0834749	0.916525	0	2.41288	208.476	1.18566e-08
Level 1 charger	100-150%	Mobile Home	Owner	1980-99	0.0834749	0.916525	0	2.41288	166.033	1.24809e-08
Level 1 charger	100-150%	Mobile Home	Owner	2000-09	0.0834749	0.916525	0	2.41288	13.5935	3.33663e-09
Level 1 charger	100-150%	Mobile Home	Owner	2010s	0.0834749	0.916525	0	2.41288	1.18977e-18	9.28589e-10
Level 1 charger	100-150%	Mobile Home	Owner	<1940	0.0834749	0.916525	0	2.41288	1.18977e-18	2.25688e-10
Level 1 charger	100-150%	Mobile Home	Renter	1940-59	0.230047	0.769953	0	0.160601	7.06574e-20	2.49247e-07
Level 1 charger	100-150%	Mobile Home	Renter	1960-79	0.230047	0.769953	0	0.160601	12.3808	2.60896e-06
Level 1 charger	100-150%	Mobile Home	Renter	1980-99	0.230047	0.769953	0	0.160601	9.86023	3.28173e-06
Level 1 charger	100-150%	Mobile Home	Renter	2000-09	0.230047	0.769953	0	0.160601	0.807282	1.01828e-06
Level 1 charger	100-150%	Mobile Home	Renter	2010s	0.230047	0.769953	0	0.160601	7.06574e-20	2.66572e-07
Level 1 charger	100-150%	Mobile Home	Renter	<1940	0.230047	0.769953	0	0.160601	7.06574e-20	5.67593e-08
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Not Available	1940-59	0	0	1	0.189443	52.1749	0
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Not Available	1960-79	0	0	1	0.189443	50.0368	0
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Not Available	1980-99	0	0	1	0.189443	5.6831e-19	0
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Not Available	2000-09	0	0	1	0.189443	5.6831e-19	0
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Not Available	2010s	0	0	1	0.189443	48.804	0
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Not Available	<1940	0	0	1	0.189443	41.379	0
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Owner	1940-59	0.927075	0.0729245	0	0.00197955	0.749562	5.91331e-07
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Owner	1960-79	0.927075	0.0729245	0	0.00197955	0.718845	9.74084e-07
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Owner	1980-99	0.927075	0.0729245	0	0.00197955	8.16453e-21	7.13387e-07
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Owner	2000-09	0.927075	0.0729245	0	0.00197955	8.16453e-21	1.70642e-07
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Owner	2010s	0.927075	0.0729245	0	0.00197955	0.701135	4.66335e-08
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Owner	<1940	0.927075	0.0729245	0	0.00197955	0.594465	1.14997e-06
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Renter	1940-59	0.849204	0.150796	0	0.1522	40.4171	0
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Renter	1960-79	0.849204	0.150796	0	0.1522	38.7608	0
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Renter	1980-99	0.849204	0.150796	0	0.1522	4.4024e-19	0
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Renter	2000-09	0.849204	0.150796	0	0.1522	4.4024e-19	0
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Renter	2010s	0.849204	0.150796	0	0.1522	37.8059	0
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Renter	<1940	0.849204	0.150796	0	0.1522	32.0542	0
Level 1 charger	100-150%	Multi-Family with 5+ Units	Not Available	1940-59	0	0	1	0.112468	18.1157	0
Level 1 charger	100-150%	Multi-Family with 5+ Units	Not Available	1960-79	0	0	1	0.112468	171.941	0
Level 1 charger	100-150%	Multi-Family with 5+ Units	Not Available	1980-99	0	0	1	0.112468	4.36432e-19	0
Level 1 charger	100-150%	Multi-Family with 5+ Units	Not Available	2000-09	0	0	1	0.112468	314.143	0
Level 1 charger	100-150%	Multi-Family with 5+ Units	Not Available	2010s	0	0	1	0.112468	78.9269	0
