Dependency=Heating Fuel	Dependency=Location Region	Dependency=Usage Level	Option=Gas, 80% Usage	Option=Gas, 100% Usage	Option=Gas, 120% Usage	Option=Propane, 80% Usage	Option=Propane, 100% Usage	Option=Propane, 120% Usage	Option=Electric, 80% Usage	Option=Electric, 100% Usage	Option=Electric, 120% Usage	Option=None	sampling_probability
Natural Gas	CR07	Average	0	0.68	0	0	0	0	0	0.31	0	0.01	0
Natural Gas	CR08	Average	0	0.34	0	0	0	0	0	0.65	0	0.01	0
Natural Gas	CR09	Average	0	0.5	0	0	0	0	0	0.5	0	0.01	0
Natural Gas	CR10	Average	0	0.65	0	0	0	0	0	0.34	0	0.01	0
Natural Gas	CR11	Average	0	0.73	0	0	0	0	0	0.26	0	0.01	0
None	CR02	Average	0	0	0	0	0	0	0	0	0	1	0
None	CR03	Average	0	0	0	0	0	0	0	0	0	1	0
None	CR04	Average	0	0	0	0	0	0	0	0	0	1	0
None	CR05	Average	0	0	0	0	0	0	0	1	0	0	0
None	CR06	Average	0	0	0	0	0	0	0	0	0	1	0
None	CR07	Average	0	0	0	0	0	0	0	0	0	1	0
None	CR08	Average	0	0	0	0	0	0	0	0	0	1	0
None	CR09	Average	0	0.22	0	0	0.06	0	0	0.69	0	0.04	0
None	CR10	Average	0	0.49	0	0	0	0	0	0.51	0	0	0
None	CR11	Average	0	0.86	0	0	0	0	0	0.12	0	0.03	0
Other Fuel	CR02	Average	0	0.07	0	0	0.35	0	0	0.58	0	0	0
Other Fuel	CR03	Average	0	0.03	0	0	0.27	0	0	0.68	0	0.02	0
Other Fuel	CR04	Average	0	0	0	0	0.23	0	0	0.77	0	0	0
Other Fuel	CR05	Average	0	0	0	0	0.23	0	0	0.77	0	0	0
Other Fuel	CR06	Average	0	0	0	0	0.05	0	0	0.9	0	0.05	0
Other Fuel	CR07	Average	0	0.08	0	0	0.23	0	0	0.65	0	0.03	0
Other Fuel	CR08	Average	0	0.01	0	0	0.18	0	0	0.82	0	0	0
Other Fuel	CR09	Average	0	0.04	0	0	0.33	0	0	0.61	0	0.02	0
Other Fuel	CR10	Average	0	0.11	0	0	0.17	0	0	0.47	0	0.25	0
Other Fuel	CR11	Average	0	0.27	0	0	0.19	0	0	0.49	0	0.05	0
Propane	CR02	Average	0	0.02	0	0	0.37	0	0	0.61	0	0	0
Propane	CR03	Average	0	0.06	0	0	0.33	0	0	0.52	0	0.09	0
Propane	CR04	Average	0	0.03	0	0	0.4	0	0	0.57	0	0	0
Propane	CR05	Average	0	0	0	0	0.55	0	0	0.45	0	0	0
Propane	CR06	Average	0	0	0	0	0.18	0	0	0.82	0	0	0
Propane	CR07	Average	0	0.02	0	0	0.52	0	0	0.46	0	0	0
Propane	CR08	Average	0	0	0	0	0.25	0	0	0.75	0	0	0
Propane	CR09	Average	0	0.02	0	0	0.47	0	0	0.51	0	0	0
Propane	CR10	Average	0	0	0	0	0.38	0	0	0.62	0	0	0
Propane	CR11	Average	0	0	0	0	0.4	0	0	0.6	0	0	0
Electricity	CR02	High	0	0	0.07	0	0	0.02	0	0	0.9	0	0.00266724
Electricity	CR03	High	0	0	0.17	0	0	0.06	0	0	0.77	0	0.0016534
Electricity	CR04	High	0	0	0.11	0	0	0.02	0	0	0.85	0.01	0.00643846
Electricity	CR05	High	0	0	0.04	0	0	0.18	0	0	0.77	0	0.00205655
Electricity	CR06	High	0	0	0	0	0	0.05	0	0	0.95	0	0.00477095
Electricity	CR07	High	0	0	0.14	0	0	0.11	0	0	0.75	0	0.00515168
Electricity	CR08	High	0	0	0.04	0	0	0.02	0	0	0.93	0.01	0.0149687
Electricity	CR09	High	0	0	0.09	0	0	0.05	0	0	0.85	0.01	0.0496855
Electricity	CR10	High	0	0	0.15	0	0	0.03	0	0	0.82	0	0.0044665
Electricity	CR11	High	0	0	0.6	0	0	0.01	0	0	0.37	0.02	0.00695781
Fuel Oil	CR02	High	0	0	0.05	0	0	0.06	0	0	0.88	0	0.000232398
Fuel Oil	CR03	High	0	0	0.07	0	0	0.11	0	0	0.82	0	0.00436604
Fuel Oil	CR04	High	0	0	0	0	0	0.15	0	0	0.85	0	0.000348835
Fuel Oil	CR05	High	0	0	0	0	0	0	0	0	0	1	3.7775e-05
Fuel Oil	CR06	High	0	0	0	0	0	0	0	0	1	0	0.000155624
Fuel Oil	CR07	High	0	0	0.14	0	0	0.13	0	0	0.71	0.02	0.00546838
Fuel Oil	CR08	High	0	0	0.03	0	0	0.19	0	0	0.78	0	0.000916298
Fuel Oil	CR09	High	0	0	0.17	0	0	0	0	0	0.83	0	0.000390593
Fuel Oil	CR10	High	0	0	0	0	0	0	0	0	1	0	2.15872e-05
Fuel Oil	CR11	High	0	0	0	0	0	1	0	0	0	0	7.25827e-05
Natural Gas	CR02	High	0	0	0.41	0	0	0	0	0	0.59	0	0.00814034
Natural Gas	CR03	High	0	0	0.64	0	0	0.01	0	0	0.32	0.03	0.00465062
Natural Gas	CR04	High	0	0	0.55	0	0	0	0	0	0.44	0.01	0.0235602
Natural Gas	CR05	High	0	0	0.23	0	0	0	0	0	0.76	0	0.0058887
Natural Gas	CR06	High	0	0	0.31	0	0	0	0	0	0.69	0	0.00307214
Natural Gas	CR07	High	0	0	0.68	0	0	0	0	0	0.31	0.01	0.0193591
Natural Gas	CR08	High	0	0	0.34	0	0	0	0	0	0.65	0.01	0.0133233
Natural Gas	CR09	High	0	0	0.5	0	0	0	0	0	0.5	0.01	0.0188748
Natural Gas	CR10	High	0	0	0.65	0	0	0	0	0	0.34	0.01	0.00411572
Natural Gas	CR11	High	0	0	0.73	0	0	0	0	0	0.26	0.01	0.0165993
None	CR02	High	0	0	0	0	0	0	0	0	0	1	8.2929e-05
None	CR03	High	0	0	0	0	0	0	0	0	0	1	5.22104e-05
None	CR04	High	0	0	0	0	0	0	0	0	0	1	0.000165697
None	CR05	High	0	0	0	0	0	0	0	0	1	0	3.49561e-05
None	CR06	High	0	0	0	0	0	0	0	0	0	1	3.86066e-05
None	CR07	High	0	0	0	0	0	0	0	0	0	1	0.000237307
None	CR08	High	0	0	0	0	0	0	0	0	0	1	0.000126391
None	CR09	High	0	0	0.22	0	0	0.06	0	0	0.69	0.04	0.000546345
None	CR10	High	0	0	0.49	0	0	0	0	0	0.51	0	7.2387e-05
None	CR11	High	0	0	0.86	0	0	0	0	0	0.12	0.03	0.000869834
Other Fuel	CR02	High	0	0	0.07	0	0	0.35	0	0	0.58	0	0.000508717
Other Fuel	CR03	High	0	0	0.03	0	0	0.27	0	0	0.68	0.02	0.000630336
Other Fuel	CR04	High	0	0	0	0	0	0.23	0	0	0.77	0	0.000872621
Other Fuel	CR05	High	0	0	0	0	0	0.23	0	0	0.77	0	0.00040164
Other Fuel	CR06	High	0	0	0	0	0	0.05	0	0	0.9	0.05	0.000506077
Other Fuel	CR07	High	0	0	0.08	0	0	0.23	0	0	0.65	0.03	0.0010778
Other Fuel	CR08	High	0	0	0.01	0	0	0.18	0	0	0.82	0	0.000926248
Other Fuel	CR09	High	0	0	0.04	0	0	0.33	0	0	0.61	0.02	0.00072792
Other Fuel	CR10	High	0	0	0.11	0	0	0.17	0	0	0.47	0.25	0.00037872
Other Fuel	CR11	High	0	0	0.27	0	0	0.19	0	0	0.49	0.05	0.000703083
Propane	CR02	High	0	0	0.02	0	0	0.37	0	0	0.61	0	0.00174078
Propane	CR03	High	0	0	0.06	0	0	0.33	0	0	0.52	0.09	0.000788972
Propane	CR04	High	0	0	0.03	0	0	0.4	0	0	0.57	0	0.00209075
Propane	CR05	High	0	0	0	0	0	0.55	0	0	0.45	0	0.000505422
Propane	CR06	High	0	0	0	0	0	0.18	0	0	0.82	0	0.00022913
Propane	CR07	High	0	0	0.02	0	0	0.52	0	0	0.46	0	0.00126653
Propane	CR08	High	0	0	0	0	0	0.25	0	0	0.75	0	0.00184159
Propane	CR09	High	0	0	0.02	0	0	0.47	0	0	0.51	0	0.00290045
Propane	CR10	High	0	0	0	0	0	0.38	0	0	0.62	0	0.00035573
Propane	CR11	High	0	0	0	0	0	0.4	0	0	0.6	0	0.000909685
Electricity	CR02	Low	0.07	0	0	0.02	0	0	0.9	0	0	0	0.00266724
Electricity	CR03	Low	0.17	0	0	0.06	0	0	0.77	0	0	0	0.0016534
Electricity	CR04	Low	0.11	0	0	0.02	0	0	0.85	0	0	0.01	0.00643846
Electricity	CR05	Low	0.04	0	0	0.18	0	0	0.77	0	0	0	0.00205655
Electricity	CR06	Low	0	0	0	0.05	0	0	0.95	0	0	0	0.00477095
Electricity	CR07	Low	0.14	0	0	0.11	0	0	0.75	0	0	0	0.00515168
Electricity	CR08	Low	0.04	0	0	0.02	0	0	0.93	0	0	0.01	0.0149687
Electricity	CR09	Low	0.09	0	0	0.05	0	0	0.85	0	0	0.01	0.0496855
Electricity	CR10	Low	0.15	0	0	0.03	0	0	0.82	0	0	0	0.0044665
Electricity	CR11	Low	0.6	0	0	0.01	0	0	0.37	0	0	0.02	0.00695781
Fuel Oil	CR02	Low	0.05	0	0	0.06	0	0	0.88	0	0	0	0.000232398
Fuel Oil	CR03	Low	0.07	0	0	0.11	0	0	0.82	0	0	0	0.00436604
Fuel Oil	CR04	Low	0	0	0	0.15	0	0	0.85	0	0	0	0.000348835
Fuel Oil	CR05	Low	0	0	0	0	0	0	0	0	0	1	3.7775e-05
Fuel Oil	CR06	Low	0	0	0	0	0	0	1	0	0	0	0.000155624
Fuel Oil	CR07	Low	0.14	0	0	0.13	0	0	0.71	0	0	0.02	0.00546838
Fuel Oil	CR08	Low	0.03	0	0	0.19	0	0	0.78	0	0	0	0.000916298
Fuel Oil	CR09	Low	0.17	0	0	0	0	0	0.83	0	0	0	0.000390593
Fuel Oil	CR10	Low	0	0	0	0	0	0	1	0	0	0	2.15872e-05
Fuel Oil	CR11	Low	0	0	0	1	0	0	0	0	0	0	7.25827e-05
Natural Gas	CR02	Low	0.41	0	0	0	0	0	0.59	0	0	0	0.00814034
Natural Gas	CR03	Low	0.64	0	0	0.01	0	0	0.32	0	0	0.03	0.00465062
Natural Gas	CR04	Low	0.55	0	0	0	0	0	0.44	0	0	0.01	0.0235602
Natural Gas	CR05	Low	0.23	0	0	0	0	0	0.76	0	0	0	0.0058887
Natural Gas	CR06	Low	0.31	0	0	0	0	0	0.69	0	0	0	0.00307214
Natural Gas	CR07	Low	0.68	0	0	0	0	0	0.31	0	0	0.01	0.0193591
Natural Gas	CR08	Low	0.34	0	0	0	0	0	0.65	0	0	0.01	0.0133233
Natural Gas	CR09	Low	0.5	0	0	0	0	0	0.5	0	0	0.01	0.0188748
Natural Gas	CR10	Low	0.65	0	0	0	0	0	0.34	0	0	0.01	0.00411572
Natural Gas	CR11	Low	0.73	0	0	0	0	0	0.26	0	0	0.01	0.0165993
None	CR02	Low	0	0	0	0	0	0	0	0	0	1	8.2929e-05
None	CR03	Low	0	0	0	0	0	0	0	0	0	1	5.22104e-05
None	CR04	Low	0	0	0	0	0	0	0	0	0	1	0.000165697
None	CR05	Low	0	0	0	0	0	0	1	0	0	0	3.49561e-05
None	CR06	Low	0	0	0	0	0	0	0	0	0	1	3.86066e-05
None	CR07	Low	0	0	0	0	0	0	0	0	0	1	0.000237307
None	CR08	Low	0	0	0	0	0	0	0	0	0	1	0.000126391
None	CR09	Low	0.22	0	0	0.06	0	0	0.69	0	0	0.04	0.000546345
None	CR10	Low	0.49	0	0	0	0	0	0.51	0	0	0	7.2387e-05
None	CR11	Low	0.86	0	0	0	0	0	0.12	0	0	0.03	0.000869834
Other Fuel	CR02	Low	0.07	0	0	0.35	0	0	0.58	0	0	0	0.000508717
Other Fuel	CR03	Low	0.03	0	0	0.27	0	0	0.68	0	0	0.02	0.000630336
Other Fuel	CR04	Low	0	0	0	0.23	0	0	0.77	0	0	0	0.000872621
Other Fuel	CR05	Low	0	0	0	0.23	0	0	0.77	0	0	0	0.00040164
Other Fuel	CR06	Low	0	0	0	0.05	0	0	0.9	0	0	0.05	0.000506077
Other Fuel	CR07	Low	0.08	0	0	0.23	0	0	0.65	0	0	0.03	0.0010778
Other Fuel	CR08	Low	0.01	0	0	0.18	0	0	0.82	0	0	0	0.000926248
Other Fuel	CR09	Low	0.04	0	0	0.33	0	0	0.61	0	0	0.02	0.00072792
Other Fuel	CR10	Low	0.11	0	0	0.17	0	0	0.47	0	0	0.25	0.00037872
Other Fuel	CR11	Low	0.27	0	0	0.19	0	0	0.49	0	0	0.05	0.000703083
Propane	CR02	Low	0.02	0	0	0.37	0	0	0.61	0	0	0	0.00174078
Propane	CR03	Low	0.06	0	0	0.33	0	0	0.52	0	0	0.09	0.000788972
Propane	CR04	Low	0.03	0	0	0.4	0	0	0.57	0	0	0	0.00209075
Propane	CR05	Low	0	0	0	0.55	0	0	0.45	0	0	0	0.000505422
Propane	CR06	Low	0	0	0	0.18	0	0	0.82	0	0	0	0.00022913
Propane	CR07	Low	0.02	0	0	0.52	0	0	0.46	0	0	0	0.00126653
Propane	CR08	Low	0	0	0	0.25	0	0	0.75	0	0	0	0.00184159
Propane	CR09	Low	0.02	0	0	0.47	0	0	0.51	0	0	0	0.00290045
Propane	CR10	Low	0	0	0	0.38	0	0	0.62	0	0	0	0.00035573
Propane	CR11	Low	0	0	0	0.4	0	0	0.6	0	0	0	0.000909685
Electricity	CR02	Medium	0	0.07	0	0	0.02	0	0	0.9	0	0	0.00533449
Electricity	CR03	Medium	0	0.17	0	0	0.06	0	0	0.77	0	0	0.00330681
Electricity	CR04	Medium	0	0.11	0	0	0.02	0	0	0.85	0	0.01	0.0128769
Electricity	CR05	Medium	0	0.04	0	0	0.18	0	0	0.77	0	0	0.0041131
Electricity	CR06	Medium	0	0	0	0	0.05	0	0	0.95	0	0	0.0095419
Electricity	CR07	Medium	0	0.14	0	0	0.11	0	0	0.75	0	0	0.0103034
Electricity	CR08	Medium	0	0.04	0	0	0.02	0	0	0.93	0	0.01	0.0299375
Electricity	CR09	Medium	0	0.09	0	0	0.05	0	0	0.85	0	0.01	0.099371
Electricity	CR10	Medium	0	0.15	0	0	0.03	0	0	0.82	0	0	0.008933
Electricity	CR11	Medium	0	0.6	0	0	0.01	0	0	0.37	0	0.02	0.0139156
Fuel Oil	CR02	Medium	0	0.05	0	0	0.06	0	0	0.88	0	0	0.000464797
Fuel Oil	CR03	Medium	0	0.07	0	0	0.11	0	0	0.82	0	0	0.00873208
Fuel Oil	CR04	Medium	0	0	0	0	0.15	0	0	0.85	0	0	0.000697669
Fuel Oil	CR05	Medium	0	0	0	0	0	0	0	0	0	1	7.555e-05
Fuel Oil	CR06	Medium	0	0	0	0	0	0	0	1	0	0	0.000311249
Fuel Oil	CR07	Medium	0	0.14	0	0	0.13	0	0	0.71	0	0.02	0.0109368
Fuel Oil	CR08	Medium	0	0.03	0	0	0.19	0	0	0.78	0	0	0.0018326
Fuel Oil	CR09	Medium	0	0.17	0	0	0	0	0	0.83	0	0	0.000781186
Fuel Oil	CR10	Medium	0	0	0	0	0	0	0	1	0	0	4.31744e-05
Fuel Oil	CR11	Medium	0	0	0	0	1	0	0	0	0	0	0.000145165
Natural Gas	CR02	Medium	0	0.41	0	0	0	0	0	0.59	0	0	0.0162807
Natural Gas	CR03	Medium	0	0.64	0	0	0.01	0	0	0.32	0	0.03	0.00930123
Natural Gas	CR04	Medium	0	0.55	0	0	0	0	0	0.44	0	0.01	0.0471204
Natural Gas	CR05	Medium	0	0.23	0	0	0	0	0	0.76	0	0	0.0117774
Natural Gas	CR06	Medium	0	0.31	0	0	0	0	0	0.69	0	0	0.00614428
Natural Gas	CR07	Medium	0	0.68	0	0	0	0	0	0.31	0	0.01	0.0387182
Natural Gas	CR08	Medium	0	0.34	0	0	0	0	0	0.65	0	0.01	0.0266465
Natural Gas	CR09	Medium	0	0.5	0	0	0	0	0	0.5	0	0.01	0.0377496
Natural Gas	CR10	Medium	0	0.65	0	0	0	0	0	0.34	0	0.01	0.00823145
Natural Gas	CR11	Medium	0	0.73	0	0	0	0	0	0.26	0	0.01	0.0331985
None	CR02	Medium	0	0	0	0	0	0	0	0	0	1	0.000165858
None	CR03	Medium	0	0	0	0	0	0	0	0	0	1	0.000104421
None	CR04	Medium	0	0	0	0	0	0	0	0	0	1	0.000331393
None	CR05	Medium	0	0	0	0	0	0	0	1	0	0	6.99123e-05
None	CR06	Medium	0	0	0	0	0	0	0	0	0	1	7.72132e-05
None	CR07	Medium	0	0	0	0	0	0	0	0	0	1	0.000474614
None	CR08	Medium	0	0	0	0	0	0	0	0	0	1	0.000252782
None	CR09	Medium	0	0.22	0	0	0.06	0	0	0.69	0	0.04	0.00109269
None	CR10	Medium	0	0.49	0	0	0	0	0	0.51	0	0	0.000144774
None	CR11	Medium	0	0.86	0	0	0	0	0	0.12	0	0.03	0.00173967
Other Fuel	CR02	Medium	0	0.07	0	0	0.35	0	0	0.58	0	0	0.00101743
Other Fuel	CR03	Medium	0	0.03	0	0	0.27	0	0	0.68	0	0.02	0.00126067
Other Fuel	CR04	Medium	0	0	0	0	0.23	0	0	0.77	0	0	0.00174524
Other Fuel	CR05	Medium	0	0	0	0	0.23	0	0	0.77	0	0	0.000803281
Other Fuel	CR06	Medium	0	0	0	0	0.05	0	0	0.9	0	0.05	0.00101215
Other Fuel	CR07	Medium	0	0.08	0	0	0.23	0	0	0.65	0	0.03	0.00215559
Other Fuel	CR08	Medium	0	0.01	0	0	0.18	0	0	0.82	0	0	0.0018525
Other Fuel	CR09	Medium	0	0.04	0	0	0.33	0	0	0.61	0	0.02	0.00145584
Other Fuel	CR10	Medium	0	0.11	0	0	0.17	0	0	0.47	0	0.25	0.000757439
Other Fuel	CR11	Medium	0	0.27	0	0	0.19	0	0	0.49	0	0.05	0.00140617
Propane	CR02	Medium	0	0.02	0	0	0.37	0	0	0.61	0	0	0.00348156
Propane	CR03	Medium	0	0.06	0	0	0.33	0	0	0.52	0	0.09	0.00157794
Propane	CR04	Medium	0	0.03	0	0	0.4	0	0	0.57	0	0	0.0041815
Propane	CR05	Medium	0	0	0	0	0.55	0	0	0.45	0	0	0.00101084
Propane	CR06	Medium	0	0	0	0	0.18	0	0	0.82	0	0	0.000458259
Propane	CR07	Medium	0	0.02	0	0	0.52	0	0	0.46	0	0	0.00253305
Propane	CR08	Medium	0	0	0	0	0.25	0	0	0.75	0	0	0.00368318
Propane	CR09	Medium	0	0.02	0	0	0.47	0	0	0.51	0	0	0.0058009
Propane	CR10	Medium	0	0	0	0	0.38	0	0	0.62	0	0	0.00071146
Propane	CR11	Medium	0	0	0	0	0.4	0	0	0.6	0	0	0.00181937
# Source: (fuel type) RECS 2009
# Source: (usage) engineering judgement
